ID,Area,Longitude,Latitude
0,上庄地区_110108030000,116.161469,40.126396
1,上庄地区_110108030000,116.161852,40.126055
2,上庄地区_110108030000,116.162241,40.125718
3,上庄地区_110108030000,116.162678,40.125418
4,上庄地区_110108030000,116.16316,40.125169
5,上庄地区_110108030000,116.163694,40.124984
6,上庄地区_110108030000,116.16412,40.124685
7,上庄地区_110108030000,116.164476,40.124327
8,上庄地区_110108030000,116.164831,40.123969
9,上庄地区_110108030000,116.165187,40.123612
10,上庄地区_110108030000,116.165542,40.123254
11,上庄地区_110108030000,116.165897,40.122896
12,上庄地区_110108030000,116.166253,40.122538
13,上庄地区_110108030000,116.161895,40.121358
14,上庄地区_110108030000,116.161645,40.120954
15,上庄地区_110108030000,116.161659,40.120509
16,上庄地区_110108030000,116.161723,40.120366
17,上庄地区_110108030000,116.162903,40.120393
18,上庄地区_110108030000,116.162345,40.120268
19,上庄地区_110108030000,116.162913,40.12129
20,上庄地区_110108030000,116.162344,40.12139
21,上庄地区_110108030000,116.164167,40.13558
22,上庄地区_110108030000,116.163594,40.135481
23,上庄地区_110108030000,116.163021,40.135387
24,上庄地区_110108030000,116.162448,40.135293
25,上庄地区_110108030000,116.162398,40.141228
26,上庄地区_110108030000,116.162984,40.141227
27,上庄地区_110108030000,116.162903,40.120393
28,上庄地区_110108030000,116.16289,40.120844
29,上庄地区_110108030000,116.162903,40.120393
30,上庄地区_110108030000,116.163467,40.120284
31,上庄地区_110108030000,116.164028,40.120367
32,上庄地区_110108030000,116.162913,40.12129
33,上庄地区_110108030000,116.163485,40.121381
34,上庄地区_110108030000,116.16372,40.109232
35,上庄地区_110108030000,116.164247,40.109425
36,上庄地区_110108030000,116.164783,40.109609
37,上庄地区_110108030000,116.165318,40.109793
38,上庄地区_110108030000,116.165853,40.109977
39,上庄地区_110108030000,116.166388,40.110162
40,上庄地区_110108030000,116.166923,40.110346
41,上庄地区_110108030000,116.167459,40.11053
42,上庄地区_110108030000,116.167994,40.110715
43,上庄地区_110108030000,116.168529,40.110899
44,上庄地区_110108030000,116.169072,40.111068
45,上庄地区_110108030000,116.169617,40.111233
46,上庄地区_110108030000,116.170164,40.111395
47,上庄地区_110108030000,116.16372,40.109232
48,上庄地区_110108030000,116.163533,40.109659
49,上庄地区_110108030000,116.163347,40.110086
50,上庄地区_110108030000,116.16316,40.110513
51,上庄地区_110108030000,116.162974,40.11094
52,上庄地区_110108030000,116.162787,40.111367
53,上庄地区_110108030000,116.162582,40.111789
54,上庄地区_110108030000,116.162379,40.112208
55,上庄地区_110108030000,116.162172,40.11263
56,上庄地区_110108030000,116.161965,40.113051
57,上庄地区_110108030000,116.161758,40.113473
58,上庄地区_110108030000,116.161551,40.113894
59,上庄地区_110108030000,116.161345,40.114316
60,上庄地区_110108030000,116.161149,40.114741
61,上庄地区_110108030000,116.160953,40.115165
62,上庄地区_110108030000,116.160756,40.11559
63,上庄地区_110108030000,116.16056,40.116014
64,上庄地区_110108030000,116.160364,40.116439
65,上庄地区_110108030000,116.160167,40.116863
66,上庄地区_110108030000,116.159974,40.117288
67,上庄地区_110108030000,116.159781,40.117714
68,上庄地区_110108030000,116.159589,40.118139
69,上庄地区_110108030000,116.15932,40.118539
70,上庄地区_110108030000,116.159059,40.118941
71,上庄地区_110108030000,116.158834,40.119357
72,上庄地区_110108030000,116.158609,40.119773
73,上庄地区_110108030000,116.158384,40.120189
