ID,Area,Longitude,Latitude
0,八达岭镇_110119102000,115.903458,40.356575
1,八达岭镇_110119102000,115.904043,40.356627
2,八达岭镇_110119102000,115.904628,40.35667
3,八达岭镇_110119102000,115.905214,40.356714
4,八达岭镇_110119102000,115.905799,40.356761
5,八达岭镇_110119102000,115.906384,40.35681
6,八达岭镇_110119102000,115.906969,40.35686
7,八达岭镇_110119102000,115.907554,40.35691
8,八达岭镇_110119102000,115.908133,40.356859
9,八达岭镇_110119102000,115.908649,40.356646
10,八达岭镇_110119102000,115.908883,40.355515
11,八达岭镇_110119102000,115.908511,40.355166
12,八达岭镇_110119102000,115.908954,40.356331
13,八达岭镇_110119102000,115.908852,40.355888
14,八达岭镇_110119102000,115.908883,40.355515
15,八达岭镇_110119102000,115.909396,40.355296
16,八达岭镇_110119102000,115.909969,40.35521
17,八达岭镇_110119102000,115.908918,40.356489
18,八达岭镇_110119102000,115.909324,40.356814
19,八达岭镇_110119102000,115.909831,40.357037
20,八达岭镇_110119102000,115.908954,40.356331
21,八达岭镇_110119102000,115.908954,40.356331
22,八达岭镇_110119102000,115.909535,40.356255
23,八达岭镇_110119102000,115.910114,40.356211
24,八达岭镇_110119102000,115.910589,40.356477
25,八达岭镇_110119102000,115.911006,40.356683
26,八达岭镇_110119102000,115.911482,40.357005
27,八达岭镇_110119102000,115.911296,40.356724
28,八达岭镇_110119102000,115.911465,40.356294
29,八达岭镇_110119102000,115.911594,40.357036
30,八达岭镇_110119102000,115.913409,40.357378
31,八达岭镇_110119102000,115.912821,40.357373
32,八达岭镇_110119102000,115.912238,40.357318
33,八达岭镇_110119102000,115.911717,40.357114
34,八达岭镇_110119102000,115.913267,40.353017
35,八达岭镇_110119102000,115.913045,40.35343
36,八达岭镇_110119102000,115.912966,40.353876
37,八达岭镇_110119102000,115.912887,40.354322
38,八达岭镇_110119102000,115.912808,40.354768
39,八达岭镇_110119102000,115.913267,40.353017
40,八达岭镇_110119102000,115.913849,40.35308
41,八达岭镇_110119102000,115.914428,40.353163
42,八达岭镇_110119102000,115.913434,40.351857
43,八达岭镇_110119102000,115.913236,40.352278
44,八达岭镇_110119102000,115.913186,40.352726
45,八达岭镇_110119102000,115.913434,40.351857
46,八达岭镇_110119102000,115.914018,40.351857
47,八达岭镇_110119102000,115.914583,40.351978
48,八达岭镇_110119102000,115.915071,40.352225
49,八达岭镇_110119102000,115.913425,40.357383
50,八达岭镇_110119102000,115.913425,40.357383
51,八达岭镇_110119102000,115.914011,40.35742
52,八达岭镇_110119102000,115.914597,40.357459
53,八达岭镇_110119102000,115.914234,40.354802
54,八达岭镇_110119102000,115.914357,40.354361
55,八达岭镇_110119102000,115.914479,40.353921
56,八达岭镇_110119102000,115.914593,40.353479
57,八达岭镇_110119102000,115.915019,40.353021
58,八达岭镇_110119102000,115.914706,40.357466
59,八达岭镇_110119102000,115.915293,40.357463
60,八达岭镇_110119102000,115.91587,40.357547
61,八达岭镇_110119102000,115.921824,40.354202
62,八达岭镇_110119102000,115.921241,40.354229
63,八达岭镇_110119102000,115.920665,40.354142
