ID,Area,Longitude,Latitude
0,六里屯街道_110105014000,116.464305,39.930468
1,六里屯街道_110105014000,116.464876,39.930551
2,六里屯街道_110105014000,116.464305,39.930468
3,六里屯街道_110105014000,116.464204,39.930028
4,六里屯街道_110105014000,116.464245,39.929581
5,六里屯街道_110105014000,116.464339,39.929388
6,六里屯街道_110105014000,116.464396,39.929356
7,六里屯街道_110105014000,116.464971,39.929273
8,六里屯街道_110105014000,116.465051,39.929264
9,六里屯街道_110105014000,116.464895,39.929698
10,六里屯街道_110105014000,116.465051,39.929264
11,六里屯街道_110105014000,116.466237,39.929688
12,六里屯街道_110105014000,116.465745,39.929444
13,六里屯街道_110105014000,116.465196,39.929291
14,六里屯街道_110105014000,116.466211,39.929883
15,六里屯街道_110105014000,116.465781,39.930188
16,六里屯街道_110105014000,116.465373,39.930511
17,六里屯街道_110105014000,116.466211,39.929883
18,六里屯街道_110105014000,116.466484,39.930281
19,六里屯街道_110105014000,116.466573,39.930723
20,六里屯街道_110105014000,116.466577,39.931173
21,六里屯街道_110105014000,116.466582,39.931623
22,六里屯街道_110105014000,116.466706,39.932063
23,六里屯街道_110105014000,116.466237,39.929688
24,六里屯街道_110105014000,116.466237,39.929688
25,六里屯街道_110105014000,116.466528,39.929532
26,六里屯街道_110105014000,116.467112,39.929559
27,六里屯街道_110105014000,116.467674,39.929675
28,六里屯街道_110105014000,116.466528,39.929532
29,六里屯街道_110105014000,116.466667,39.929095
30,六里屯街道_110105014000,116.466787,39.928655
31,六里屯街道_110105014000,116.466903,39.928213
32,六里屯街道_110105014000,116.470707,39.932178
33,六里屯街道_110105014000,116.470142,39.932284
34,六里屯街道_110105014000,116.469557,39.932282
35,六里屯街道_110105014000,116.468973,39.93228
36,六里屯街道_110105014000,116.468388,39.932278
37,六里屯街道_110105014000,116.467803,39.932276
38,六里屯街道_110105014000,116.467218,39.932274
39,六里屯街道_110105014000,116.46774,39.929694
40,六里屯街道_110105014000,116.468324,39.92971
41,六里屯街道_110105014000,116.468688,39.925101
42,六里屯街道_110105014000,116.468542,39.924667
43,六里屯街道_110105014000,116.468591,39.923878
44,六里屯街道_110105014000,116.468557,39.924328
45,六里屯街道_110105014000,116.469383,39.92376
46,六里屯街道_110105014000,116.468806,39.923834
47,六里屯街道_110105014000,116.468688,39.925101
48,六里屯街道_110105014000,116.469296,39.925312
49,六里屯街道_110105014000,116.468912,39.929729
50,六里屯街道_110105014000,116.469496,39.92974
51,六里屯街道_110105014000,116.470081,39.929751
52,六里屯街道_110105014000,116.470647,39.929852
53,六里屯街道_110105014000,116.469296,39.925312
54,六里屯街道_110105014000,116.469383,39.92376
55,六里屯街道_110105014000,116.469383,39.92376
56,六里屯街道_110105014000,116.469485,39.923317
57,六里屯街道_110105014000,116.469488,39.923837
58,六里屯街道_110105014000,116.469628,39.922889
59,六里屯街道_110105014000,116.470202,39.922821
60,六里屯街道_110105014000,116.470207,39.925727
61,六里屯街道_110105014000,116.469876,39.925356
62,六里屯街道_110105014000,116.469845,39.925323
63,六里屯街道_110105014000,116.470083,39.924914
64,六里屯街道_110105014000,116.470121,39.924466
65,六里屯街道_110105014000,116.470107,39.923969
66,六里屯街道_110105014000,116.470821,39.923373
67,六里屯街道_110105014000,116.470422,39.923702
68,六里屯街道_110105014000,116.471986,39.925818
69,六里屯街道_110105014000,116.471401,39.925819
70,六里屯街道_110105014000,116.470816,39.925819
71,六里屯街道_110105014000,116.470246,39.925739
72,六里屯街道_110105014000,116.470736,39.922955
73,六里屯街道_110105014000,116.470736,39.922955
74,六里屯街道_110105014000,116.470821,39.922879
75,六里屯街道_110105014000,116.470682,39.930674
76,六里屯街道_110105014000,116.470687,39.930223
77,六里屯街道_110105014000,116.470688,39.929867
78,六里屯街道_110105014000,116.471255,39.929766
79,六里屯街道_110105014000,116.47184,39.929767
80,六里屯街道_110105014000,116.470707,39.932178
81,六里屯街道_110105014000,116.4707,39.931728
82,六里屯街道_110105014000,116.470839,39.932216
83,六里屯街道_110105014000,116.470783,39.923066
84,六里屯街道_110105014000,116.470808,39.923156
85,六里屯街道_110105014000,116.472133,39.922861
86,六里屯街道_110105014000,116.471548,39.922869
87,六里屯街道_110105014000,116.470963,39.922877
88,六里屯街道_110105014000,116.470823,39.923335
89,六里屯街道_110105014000,116.470822,39.923247
90,六里屯街道_110105014000,116.470839,39.932216
91,六里屯街道_110105014000,116.471424,39.932226
92,六里屯街道_110105014000,116.472002,39.932177
93,六里屯街道_110105014000,116.472201,39.92272
94,六里屯街道_110105014000,116.471616,39.922728
95,六里屯街道_110105014000,116.471438,39.92346
96,六里屯街道_110105014000,116.472023,39.923452
97,六里屯街道_110105014000,116.472088,39.923361
98,六里屯街道_110105014000,116.471503,39.923369
99,六里屯街道_110105014000,116.472086,39.923271
100,六里屯街道_110105014000,116.471501,39.923279
101,六里屯街道_110105014000,116.472084,39.923181
102,六里屯街道_110105014000,116.471986,39.925818
103,六里屯街道_110105014000,116.472141,39.92625
104,六里屯街道_110105014000,116.472183,39.926698
105,六里屯街道_110105014000,116.471986,39.925818
106,六里屯街道_110105014000,116.472124,39.925382
107,六里屯街道_110105014000,116.47212,39.924932
108,六里屯街道_110105014000,116.472111,39.924482
109,六里屯街道_110105014000,116.472102,39.924031
110,六里屯街道_110105014000,116.472094,39.923581
111,六里屯街道_110105014000,116.472202,39.922718
112,六里屯街道_110105014000,116.47206,39.922285
113,六里屯街道_110105014000,116.472248,39.921679
114,六里屯街道_110105014000,116.472084,39.923181
115,六里屯街道_110105014000,116.472084,39.923181
116,六里屯街道_110105014000,116.472086,39.923091
117,六里屯街道_110105014000,116.472086,39.923271
118,六里屯街道_110105014000,116.472088,39.923361
119,六里屯街道_110105014000,116.472133,39.922861
120,六里屯街道_110105014000,116.472133,39.922861
121,六里屯街道_110105014000,116.472202,39.922718
122,六里屯街道_110105014000,116.472787,39.922708
123,六里屯街道_110105014000,116.473371,39.922698
124,六里屯街道_110105014000,116.473955,39.922688
125,六里屯街道_110105014000,116.474527,39.922762
126,六里屯街道_110105014000,116.472177,39.927742
127,六里屯街道_110105014000,116.472247,39.928187
128,六里屯街道_110105014000,116.472177,39.927742
129,六里屯街道_110105014000,116.472178,39.927292
130,六里屯街道_110105014000,116.472217,39.929773
131,六里屯街道_110105014000,116.472215,39.929322
132,六里屯街道_110105014000,116.472205,39.928872
133,六里屯街道_110105014000,116.472284,39.921649
134,六里屯街道_110105014000,116.472217,39.929773
135,六里屯街道_110105014000,116.472284,39.921649
136,六里屯街道_110105014000,116.47286,39.921591
137,六里屯街道_110105014000,116.473445,39.921594
138,六里屯街道_110105014000,116.474029,39.9216
139,六里屯街道_110105014000,116.474613,39.921599
140,六里屯街道_110105014000,116.475178,39.921491
141,六里屯街道_110105014000,116.472297,39.92694
142,六里屯街道_110105014000,116.472881,39.926925
143,六里屯街道_110105014000,116.473458,39.926975
144,六里屯街道_110105014000,116.472282,39.929826
145,六里屯街道_110105014000,116.472244,39.930276
146,六里屯街道_110105014000,116.472242,39.930726
147,六里屯街道_110105014000,116.472249,39.931176
148,六里屯街道_110105014000,116.472255,39.931626
149,六里屯街道_110105014000,116.472268,39.932076
150,六里屯街道_110105014000,116.472282,39.929826
151,六里屯街道_110105014000,116.472867,39.929818
152,六里屯街道_110105014000,116.473447,39.929779
153,六里屯街道_110105014000,116.47227,39.932124
154,六里屯街道_110105014000,116.4724,39.932201
155,六里屯街道_110105014000,116.47297,39.932293
156,六里屯街道_110105014000,116.473555,39.932293
157,六里屯街道_110105014000,116.474139,39.932293
158,六里屯街道_110105014000,116.474724,39.932294
159,六里屯街道_110105014000,116.475309,39.932294
160,六里屯街道_110105014000,116.475885,39.932237
161,六里屯街道_110105014000,116.47367,39.929717
162,六里屯街道_110105014000,116.473674,39.929267
163,六里屯街道_110105014000,116.473684,39.928817
164,六里屯街道_110105014000,116.473692,39.928367
165,六里屯街道_110105014000,116.473689,39.927917
166,六里屯街道_110105014000,116.473686,39.927467
167,六里屯街道_110105014000,116.473662,39.927041
168,六里屯街道_110105014000,116.47422,39.926918
169,六里屯街道_110105014000,116.474804,39.926888
170,六里屯街道_110105014000,116.475039,39.929743
171,六里屯街道_110105014000,116.474471,39.929838
172,六里屯街道_110105014000,116.473894,39.929783
173,六里屯街道_110105014000,116.474629,39.922797
174,六里屯街道_110105014000,116.474652,39.923247
175,六里屯街道_110105014000,116.474656,39.923697
176,六里屯街道_110105014000,116.474655,39.924147
177,六里屯街道_110105014000,116.474696,39.924595
178,六里屯街道_110105014000,116.47496,39.924994
179,六里屯街道_110105014000,116.474629,39.922797
180,六里屯街道_110105014000,116.475181,39.922659
181,六里屯街道_110105014000,116.475765,39.92264
182,六里屯街道_110105014000,116.476349,39.922621
183,六里屯街道_110105014000,116.474934,39.92688
184,六里屯街道_110105014000,116.474934,39.92688
185,六里屯街道_110105014000,116.474919,39.92643
186,六里屯街道_110105014000,116.475119,39.92602
187,六里屯街道_110105014000,116.475392,39.925623
188,六里屯街道_110105014000,116.474988,39.925024
189,六里屯街道_110105014000,116.47553,39.925195
190,六里屯街道_110105014000,116.475039,39.929743
191,六里屯街道_110105014000,116.475041,39.929293
192,六里屯街道_110105014000,116.475049,39.928844
193,六里屯街道_110105014000,116.475041,39.928394
194,六里屯街道_110105014000,116.475033,39.927944
195,六里屯街道_110105014000,116.475019,39.927494
196,六里屯街道_110105014000,116.475,39.927044
197,六里屯街道_110105014000,116.478162,39.926859
198,六里屯街道_110105014000,116.477581,39.926888
199,六里屯街道_110105014000,116.476996,39.926892
200,六里屯街道_110105014000,116.476411,39.926897
201,六里屯街道_110105014000,116.475827,39.926904
202,六里屯街道_110105014000,116.475243,39.926926
203,六里屯街道_110105014000,116.475039,39.929743
204,六里屯街道_110105014000,116.475465,39.921368
205,六里屯街道_110105014000,116.475567,39.925209
206,六里屯街道_110105014000,116.475567,39.925209
207,六里屯街道_110105014000,116.475935,39.92486
208,六里屯街道_110105014000,116.47556,39.929862
209,六里屯街道_110105014000,116.476061,39.930095
210,六里屯街道_110105014000,116.476511,39.930381
211,六里屯街道_110105014000,116.475648,39.925349
212,六里屯街道_110105014000,116.476177,39.925537
213,六里屯街道_110105014000,116.476272,39.921335
214,六里屯街道_110105014000,116.476095,39.932169
215,六里屯街道_110105014000,116.476581,39.931918
216,六里屯街道_110105014000,116.476272,39.921335
217,六里屯街道_110105014000,116.476272,39.921335
218,六里屯街道_110105014000,116.476539,39.920935
219,六里屯街道_110105014000,116.476594,39.922614
220,六里屯街道_110105014000,116.476548,39.921478
221,六里屯街道_110105014000,116.476541,39.921928
222,六里屯街道_110105014000,116.476548,39.921478
223,六里屯街道_110105014000,116.476589,39.920852
224,六里屯街道_110105014000,116.477029,39.920562
225,六里屯街道_110105014000,116.477547,39.920353
226,六里屯街道_110105014000,116.478088,39.920187
227,六里屯街道_110105014000,116.476711,39.92262
228,六里屯街道_110105014000,116.476591,39.931913
229,六里屯街道_110105014000,116.476586,39.931462
230,六里屯街道_110105014000,116.476569,39.931012
231,六里屯街道_110105014000,116.476555,39.930562
232,六里屯街道_110105014000,116.476553,39.930411
233,六里屯街道_110105014000,116.477027,39.930148
234,六里屯街道_110105014000,116.477574,39.929997
235,六里屯街道_110105014000,116.478157,39.929978
236,六里屯街道_110105014000,116.476664,39.921524
237,六里屯街道_110105014000,116.476657,39.921974
238,六里屯街道_110105014000,116.476664,39.921524
239,六里屯街道_110105014000,116.476591,39.931913
240,六里屯街道_110105014000,116.476711,39.92262
241,六里屯街道_110105014000,116.476772,39.922114
242,六里屯街道_110105014000,116.476779,39.921663
243,六里屯街道_110105014000,116.47678,39.921562
244,六里屯街道_110105014000,116.478413,39.932307
245,六里屯街道_110105014000,116.477828,39.932304
246,六里屯街道_110105014000,116.477253,39.932232
247,六里屯街道_110105014000,116.476739,39.932022
248,六里屯街道_110105014000,116.476829,39.922636
249,六里屯街道_110105014000,116.476804,39.922186
250,六里屯街道_110105014000,116.476829,39.922636
251,六里屯街道_110105014000,116.476889,39.922106
252,六里屯街道_110105014000,116.476896,39.921655
253,六里屯街道_110105014000,116.477014,39.921614
254,六里屯街道_110105014000,116.476921,39.922185
255,六里屯街道_110105014000,116.476946,39.922635
256,六里屯街道_110105014000,116.476948,39.922661
257,六里屯街道_110105014000,116.477006,39.922094
258,六里屯街道_110105014000,116.477013,39.921643
259,六里屯街道_110105014000,116.477131,39.921627
260,六里屯街道_110105014000,116.477067,39.922695
261,六里屯街道_110105014000,116.477042,39.922245
262,六里屯街道_110105014000,116.477067,39.922695
263,六里屯街道_110105014000,116.477247,39.921633
264,六里屯街道_110105014000,116.47777,39.923023
265,六里屯街道_110105014000,116.477358,39.923343
266,六里屯街道_110105014000,116.477158,39.922236
267,六里屯街道_110105014000,116.477183,39.922686
268,六里屯街道_110105014000,116.477186,39.922737
269,六里屯街道_110105014000,116.478609,39.922015
270,六里屯街道_110105014000,116.478091,39.921805
271,六里屯街道_110105014000,116.477546,39.921648
272,六里屯街道_110105014000,116.477306,39.922789
273,六里屯街道_110105014000,116.47777,39.923023
274,六里屯街道_110105014000,116.477872,39.923007
275,六里屯街道_110105014000,116.478257,39.923345
276,六里屯街道_110105014000,116.478503,39.923751
277,六里屯街道_110105014000,116.478538,39.924199
278,六里屯街道_110105014000,116.478537,39.924649
279,六里屯街道_110105014000,116.478536,39.925099
280,六里屯街道_110105014000,116.478534,39.925549
281,六里屯街道_110105014000,116.478533,39.925998
282,六里屯街道_110105014000,116.478532,39.926448
283,六里屯街道_110105014000,116.477872,39.923007
284,六里屯街道_110105014000,116.478164,39.922616
285,六里屯街道_110105014000,116.478454,39.922225
286,六里屯街道_110105014000,116.478462,39.926714
287,六里屯街道_110105014000,116.47834,39.920169
288,六里屯街道_110105014000,116.478463,39.920262
289,六里屯街道_110105014000,116.478595,39.920697
290,六里屯街道_110105014000,116.478604,39.921147
291,六里屯街道_110105014000,116.478606,39.921597
292,六里屯街道_110105014000,116.478609,39.922016
293,六里屯街道_110105014000,116.479194,39.922027
294,六里屯街道_110105014000,116.479779,39.922023
295,六里屯街道_110105014000,116.480248,39.922483
296,六里屯街道_110105014000,116.480339,39.922039
297,六里屯街道_110105014000,116.481259,39.922021
298,六里屯街道_110105014000,116.480674,39.92202
299,六里屯街道_110105014000,116.481259,39.922021
300,六里屯街道_110105014000,116.48164,39.922361
301,六里屯街道_110105014000,116.481259,39.922021
302,六里屯街道_110105014000,116.481745,39.92177
303,六里屯街道_110105014000,116.48177,39.921758
304,六里屯街道_110105014000,116.482342,39.921675
305,六里屯街道_110105014000,116.482927,39.921677
306,六里屯街道_110105014000,116.483512,39.921685
307,六里屯街道_110105014000,116.483785,39.920573
308,六里屯街道_110105014000,116.483341,39.920282
309,六里屯街道_110105014000,116.483823,39.923118
310,六里屯街道_110105014000,116.483246,39.923195
311,六里屯街道_110105014000,116.483708,39.928273
312,六里屯街道_110105014000,116.483481,39.927861
313,六里屯街道_110105014000,116.483459,39.927633
314,六里屯街道_110105014000,116.483533,39.927189
315,六里屯街道_110105014000,116.483708,39.928273
316,六里屯街道_110105014000,116.483785,39.920573
317,六里屯街道_110105014000,116.483789,39.921024
318,六里屯街道_110105014000,116.483787,39.921474
319,六里屯街道_110105014000,116.484202,39.91989
320,六里屯街道_110105014000,116.483989,39.920309
321,六里屯街道_110105014000,116.483786,39.921688
322,六里屯街道_110105014000,116.483786,39.923336
323,六里屯街道_110105014000,116.483766,39.923786
324,六里屯街道_110105014000,116.483826,39.924234
325,六里屯街道_110105014000,116.483823,39.923118
326,六里屯街道_110105014000,116.483802,39.921706
327,六里屯街道_110105014000,116.48379,39.922156
