ID,Area,Longitude,Latitude
0,十渡镇_110111111000,115.482189,39.656386
1,十渡镇_110111111000,115.482433,39.656794
2,十渡镇_110111111000,115.48278,39.657154
3,十渡镇_110111111000,115.48223,39.65542
4,十渡镇_110111111000,115.482473,39.655012
5,十渡镇_110111111000,115.482802,39.654644
6,十渡镇_110111111000,115.483223,39.654337
7,十渡镇_110111111000,115.483709,39.654091
8,十渡镇_110111111000,115.484232,39.653894
9,十渡镇_110111111000,115.484755,39.653697
10,十渡镇_110111111000,115.485281,39.653504
11,十渡镇_110111111000,115.485807,39.653312
12,十渡镇_110111111000,115.486333,39.65312
13,十渡镇_110111111000,115.48686,39.652928
14,十渡镇_110111111000,115.487398,39.652758
15,十渡镇_110111111000,115.487951,39.65262
16,十渡镇_110111111000,115.488494,39.652456
17,十渡镇_110111111000,115.488914,39.65215
18,十渡镇_110111111000,115.48291,39.657277
19,十渡镇_110111111000,115.48343,39.657478
20,十渡镇_110111111000,115.483963,39.657657
21,十渡镇_110111111000,115.484508,39.657815
22,十渡镇_110111111000,115.485053,39.657973
23,十渡镇_110111111000,115.485599,39.658129
24,十渡镇_110111111000,115.486162,39.658244
25,十渡镇_110111111000,115.48674,39.65825
26,十渡镇_110111111000,115.486768,39.658246
27,十渡镇_110111111000,115.487264,39.658475
28,十渡镇_110111111000,115.487837,39.658553
29,十渡镇_110111111000,115.488414,39.658606
30,十渡镇_110111111000,115.488978,39.658503
31,十渡镇_110111111000,115.486768,39.658246
32,十渡镇_110111111000,115.486924,39.657812
33,十渡镇_110111111000,115.488844,39.657933
34,十渡镇_110111111000,115.489264,39.658243
35,十渡镇_110111111000,115.489718,39.651023
36,十渡镇_110111111000,115.489433,39.651411
37,十渡镇_110111111000,115.489173,39.651814
38,十渡镇_110111111000,115.489358,39.658338
39,十渡镇_110111111000,115.489895,39.65838
40,十渡镇_110111111000,115.489895,39.65838
41,十渡镇_110111111000,115.490019,39.658371
42,十渡镇_110111111000,115.4906,39.658399
43,十渡镇_110111111000,115.49118,39.658437
44,十渡镇_110111111000,115.491761,39.658447
45,十渡镇_110111111000,115.492338,39.658385
46,十渡镇_110111111000,115.492917,39.658343
47,十渡镇_110111111000,115.493499,39.658331
