ID,Area,Longitude,Latitude
0,宛平街道_110106014000,116.211057,39.842446
1,宛平街道_110106014000,116.211246,39.842021
2,宛平街道_110106014000,116.211568,39.841648
3,宛平街道_110106014000,116.211694,39.841556
4,宛平街道_110106014000,116.211852,39.841123
5,宛平街道_110106014000,116.21201,39.84069
6,宛平街道_110106014000,116.212223,39.840273
7,宛平街道_110106014000,116.212318,39.840166
8,宛平街道_110106014000,116.213577,39.838158
9,宛平街道_110106014000,116.213395,39.838586
10,宛平街道_110106014000,116.213211,39.839013
11,宛平街道_110106014000,116.213028,39.83944
12,宛平街道_110106014000,116.212698,39.839805
13,宛平街道_110106014000,116.213859,39.837815
14,宛平街道_110106014000,116.213859,39.837815
15,宛平街道_110106014000,116.214198,39.837448
16,宛平街道_110106014000,116.216131,39.834141
17,宛平街道_110106014000,116.215839,39.834531
18,宛平街道_110106014000,116.215599,39.834941
19,宛平街道_110106014000,116.215396,39.835363
20,宛平街道_110106014000,116.216131,39.834141
21,宛平街道_110106014000,116.216336,39.83372
22,宛平街道_110106014000,116.216651,39.833341
23,宛平街道_110106014000,116.217144,39.847752
24,宛平街道_110106014000,116.216609,39.847933
25,宛平街道_110106014000,116.217004,39.833111
26,宛平街道_110106014000,116.217495,39.833355
27,宛平街道_110106014000,116.217976,39.83361
28,宛平街道_110106014000,116.218491,39.833818
29,宛平街道_110106014000,116.217004,39.833111
30,宛平街道_110106014000,116.217161,39.83268
31,宛平街道_110106014000,116.217433,39.832281
32,宛平街道_110106014000,116.217704,39.831883
33,宛平街道_110106014000,116.217979,39.831486
34,宛平街道_110106014000,116.216945,39.843539
35,宛平街道_110106014000,116.217525,39.843575
36,宛平街道_110106014000,116.217144,39.847752
37,宛平街道_110106014000,116.217575,39.848055
38,宛平街道_110106014000,116.218101,39.848245
39,宛平街道_110106014000,116.21867,39.848344
40,宛平街道_110106014000,116.219241,39.84844
41,宛平街道_110106014000,116.219812,39.848535
42,宛平街道_110106014000,116.220372,39.848658
43,宛平街道_110106014000,116.220877,39.848882
44,宛平街道_110106014000,116.217144,39.847752
45,宛平街道_110106014000,116.217309,39.84732
46,宛平街道_110106014000,116.217342,39.846472
47,宛平街道_110106014000,116.217342,39.846472
48,宛平街道_110106014000,116.217503,39.846042
49,宛平街道_110106014000,116.217835,39.845672
50,宛平街道_110106014000,116.218185,39.845312
51,宛平街道_110106014000,116.218535,39.844951
52,宛平街道_110106014000,116.218953,39.844637
53,宛平街道_110106014000,116.217417,39.846867
54,宛平街道_110106014000,116.217476,39.842008
55,宛平街道_110106014000,116.217892,39.842324
56,宛平街道_110106014000,116.217476,39.842008
57,宛平街道_110106014000,116.217632,39.841575
58,宛平街道_110106014000,116.221149,39.845963
59,宛平街道_110106014000,116.220624,39.846161
60,宛平街道_110106014000,116.220057,39.846264
61,宛平街道_110106014000,116.219502,39.846404
62,宛平街道_110106014000,116.218952,39.846555
63,宛平街道_110106014000,116.21841,39.846722
64,宛平街道_110106014000,116.217851,39.846845
65,宛平街道_110106014000,116.21785,39.843524
66,宛平街道_110106014000,116.217667,39.841514
67,宛平街道_110106014000,116.218177,39.841294
68,宛平街道_110106014000,116.21785,39.843524
69,宛平街道_110106014000,116.218233,39.843864
70,宛平街道_110106014000,116.21785,39.843524
71,宛平街道_110106014000,116.21822,39.842585
