ID,Area,Longitude,Latitude
0,山东庄镇_110117102000,117.123236,40.184746
1,山东庄镇_110117102000,117.123823,40.184747
2,山东庄镇_110117102000,117.1244,40.184811
3,山东庄镇_110117102000,117.124312,40.188187
4,山东庄镇_110117102000,117.124312,40.188187
5,山东庄镇_110117102000,117.124319,40.188148
6,山东庄镇_110117102000,117.124331,40.188269
7,山东庄镇_110117102000,117.124664,40.187402
8,山东庄镇_110117102000,117.12437,40.187787
9,山东庄镇_110117102000,117.124374,40.188446
10,山东庄镇_110117102000,117.124374,40.188446
11,山东庄镇_110117102000,117.124481,40.188889
12,山东庄镇_110117102000,117.124495,40.184832
13,山东庄镇_110117102000,117.124581,40.185276
14,山东庄镇_110117102000,117.124554,40.185725
15,山东庄镇_110117102000,117.124521,40.186175
16,山东庄镇_110117102000,117.124663,40.186608
17,山东庄镇_110117102000,117.124495,40.184832
18,山东庄镇_110117102000,117.124936,40.184537
19,山东庄镇_110117102000,117.125483,40.184397
20,山东庄镇_110117102000,117.126069,40.184372
21,山东庄镇_110117102000,117.126652,40.184327
22,山东庄镇_110117102000,117.127235,40.184278
23,山东庄镇_110117102000,117.124664,40.187402
24,山东庄镇_110117102000,117.124664,40.187402
25,山东庄镇_110117102000,117.124641,40.186953
26,山东庄镇_110117102000,117.124718,40.186694
27,山东庄镇_110117102000,117.125301,40.186639
28,山东庄镇_110117102000,117.125887,40.186625
29,山东庄镇_110117102000,117.126471,40.186671
30,山东庄镇_110117102000,117.127056,40.186682
31,山东庄镇_110117102000,117.124997,40.187485
32,山东庄镇_110117102000,117.125316,40.187863
33,山东庄镇_110117102000,117.125242,40.190557
34,山东庄镇_110117102000,117.125124,40.190997
35,山东庄镇_110117102000,117.125107,40.191446
36,山东庄镇_110117102000,117.125262,40.191855
37,山东庄镇_110117102000,117.125848,40.191877
38,山东庄镇_110117102000,117.126435,40.191878
39,山东庄镇_110117102000,117.127021,40.191879
40,山东庄镇_110117102000,117.127608,40.191861
41,山东庄镇_110117102000,117.125262,40.191855
42,山东庄镇_110117102000,117.125097,40.192283
43,山东庄镇_110117102000,117.125084,40.192733
44,山东庄镇_110117102000,117.125074,40.193183
45,山东庄镇_110117102000,117.125104,40.193633
46,山东庄镇_110117102000,117.125109,40.194083
47,山东庄镇_110117102000,117.125129,40.194532
48,山东庄镇_110117102000,117.125236,40.194974
49,山东庄镇_110117102000,117.125363,40.195414
50,山东庄镇_110117102000,117.125493,40.195853
51,山东庄镇_110117102000,117.125595,40.196296
52,山东庄镇_110117102000,117.12566,40.196743
53,山东庄镇_110117102000,117.125726,40.19719
54,山东庄镇_110117102000,117.125807,40.197636
55,山东庄镇_110117102000,117.125883,40.198082
56,山东庄镇_110117102000,117.125497,40.18813
57,山东庄镇_110117102000,117.125872,40.188476
58,山东庄镇_110117102000,117.125695,40.200877
59,山东庄镇_110117102000,117.125774,40.200431
60,山东庄镇_110117102000,117.125854,40.199986
61,山东庄镇_110117102000,117.125989,40.19955
62,山东庄镇_110117102000,117.126076,40.198418
63,山东庄镇_110117102000,117.125946,40.198853
64,山东庄镇_110117102000,117.126069,40.199291
65,山东庄镇_110117102000,117.126076,40.198418
66,山东庄镇_110117102000,117.126662,40.198387
67,山东庄镇_110117102000,117.127248,40.198362
68,山东庄镇_110117102000,117.127833,40.198325
69,山东庄镇_110117102000,117.128411,40.198249
70,山东庄镇_110117102000,117.128917,40.199407
71,山东庄镇_110117102000,117.128333,40.199456
72,山东庄镇_110117102000,117.127747,40.19947
73,山东庄镇_110117102000,117.12716,40.199474
74,山东庄镇_110117102000,117.126582,40.199398
75,山东庄镇_110117102000,117.127887,40.180481
76,山东庄镇_110117102000,117.127321,40.180375
77,山东庄镇_110117102000,117.126734,40.180375
78,山东庄镇_110117102000,117.127887,40.180481
79,山东庄镇_110117102000,117.127416,40.180527
80,山东庄镇_110117102000,117.126849,40.180412
81,山东庄镇_110117102000,117.126701,40.180375
82,山东庄镇_110117102000,117.126131,40.180277
83,山东庄镇_110117102000,117.12555,40.180235
84,山东庄镇_110117102000,117.125136,40.180426
85,山东庄镇_110117102000,117.125037,40.18087
86,山东庄镇_110117102000,117.124927,40.181312
87,山东庄镇_110117102000,117.124852,40.181755
88,山东庄镇_110117102000,117.124835,40.182205
89,山东庄镇_110117102000,117.12484,40.182655
90,山东庄镇_110117102000,117.124843,40.183105
91,山东庄镇_110117102000,117.124803,40.183554
92,山东庄镇_110117102000,117.124753,40.184003
93,山东庄镇_110117102000,117.124619,40.184441
94,山东庄镇_110117102000,117.124183,40.184644
95,山东庄镇_110117102000,117.123601,40.184706
96,山东庄镇_110117102000,117.123018,40.18473
97,山东庄镇_110117102000,117.122442,40.184657
98,山东庄镇_110117102000,117.122105,40.184702
99,山东庄镇_110117102000,117.122226,40.185136
100,山东庄镇_110117102000,117.12233,40.185579
101,山东庄镇_110117102000,117.122403,40.186025
102,山东庄镇_110117102000,117.122516,40.186467
103,山东庄镇_110117102000,117.122616,40.186911
104,山东庄镇_110117102000,117.122656,40.187359
105,山东庄镇_110117102000,117.122665,40.187809
106,山东庄镇_110117102000,117.12266,40.18826
107,山东庄镇_110117102000,117.123097,40.188377
108,山东庄镇_110117102000,117.12351,40.188526
109,山东庄镇_110117102000,117.123644,40.188894
110,山东庄镇_110117102000,117.124102,40.189031
111,山东庄镇_110117102000,117.124087,40.189479
112,山东庄镇_110117102000,117.123951,40.189916
113,山东庄镇_110117102000,117.123421,40.190053
114,山东庄镇_110117102000,117.123095,40.190249
115,山东庄镇_110117102000,117.123172,40.190696
116,山东庄镇_110117102000,117.123243,40.191141
117,山东庄镇_110117102000,117.123791,40.19125
118,山东庄镇_110117102000,117.12395,40.191549
119,山东庄镇_110117102000,117.123897,40.191998
120,山东庄镇_110117102000,117.123841,40.192446
121,山东庄镇_110117102000,117.123734,40.192888
122,山东庄镇_110117102000,117.123779,40.193315
123,山东庄镇_110117102000,117.124056,40.193571
124,山东庄镇_110117102000,117.124174,40.19391
125,山东庄镇_110117102000,117.124095,40.194355
126,山东庄镇_110117102000,117.12394,40.194783
127,山东庄镇_110117102000,117.123371,40.19487
128,山东庄镇_110117102000,117.122997,40.195138
129,山东庄镇_110117102000,117.122505,40.195198
130,山东庄镇_110117102000,117.122449,40.19551
131,山东庄镇_110117102000,117.122581,40.195947
132,山东庄镇_110117102000,117.122685,40.19639
133,山东庄镇_110117102000,117.122854,40.196821
134,山东庄镇_110117102000,117.12298,40.19726
135,山东庄镇_110117102000,117.122744,40.197666
136,山东庄镇_110117102000,117.122886,40.198026
137,山东庄镇_110117102000,117.123142,40.198411
138,山东庄镇_110117102000,117.123294,40.198846
139,山东庄镇_110117102000,117.123509,40.199216
140,山东庄镇_110117102000,117.124083,40.199129
141,山东庄镇_110117102000,117.124655,40.199031
142,山东庄镇_110117102000,117.125241,40.199021
143,山东庄镇_110117102000,117.12562,40.199176
144,山东庄镇_110117102000,117.125528,40.19962
145,山东庄镇_110117102000,117.125457,40.200066
146,山东庄镇_110117102000,117.125377,40.200513
147,山东庄镇_110117102000,117.125459,40.200865
148,山东庄镇_110117102000,117.125557,40.201173
149,山东庄镇_110117102000,117.125744,40.201382
150,山东庄镇_110117102000,117.126329,40.20137
151,山东庄镇_110117102000,117.126915,40.20137
152,山东庄镇_110117102000,117.127503,40.201366
153,山东庄镇_110117102000,117.128008,40.201445
154,山东庄镇_110117102000,117.128019,40.201893
155,山东庄镇_110117102000,117.127943,40.202339
156,山东庄镇_110117102000,117.127807,40.202777
157,山东庄镇_110117102000,117.127632,40.203207
158,山东庄镇_110117102000,117.127363,40.203606
159,山东庄镇_110117102000,117.127036,40.203975
160,山东庄镇_110117102000,117.126966,40.204418
161,山东庄镇_110117102000,117.127242,40.204769
162,山东庄镇_110117102000,117.127798,40.204904
163,山东庄镇_110117102000,117.128284,40.205155
164,山东庄镇_110117102000,117.12857,40.205545
165,山东庄镇_110117102000,117.12889,40.205921
166,山东庄镇_110117102000,117.129185,40.20631
167,山东庄镇_110117102000,117.129541,40.206668
168,山东庄镇_110117102000,117.129967,40.206975
169,山东庄镇_110117102000,117.130428,40.207254
170,山东庄镇_110117102000,117.130903,40.207519
171,山东庄镇_110117102000,117.131426,40.207722
172,山东庄镇_110117102000,117.131972,40.207889
173,山东庄镇_110117102000,117.132519,40.208054
174,山东庄镇_110117102000,117.133069,40.208211
175,山东庄镇_110117102000,117.133616,40.208375
176,山东庄镇_110117102000,117.134134,40.208588
177,山东庄镇_110117102000,117.134643,40.20881
178,山东庄镇_110117102000,117.135189,40.208973
179,山东庄镇_110117102000,117.135756,40.209093
180,山东庄镇_110117102000,117.136324,40.209207
181,山东庄镇_110117102000,117.136905,40.20926
182,山东庄镇_110117102000,117.137478,40.209346
183,山东庄镇_110117102000,117.138004,40.209543
184,山东庄镇_110117102000,117.138431,40.209845
185,山东庄镇_110117102000,117.13871,40.210241
186,山东庄镇_110117102000,117.139183,40.210501
187,山东庄镇_110117102000,117.139572,40.210831
188,山东庄镇_110117102000,117.139876,40.211216
189,山东庄镇_110117102000,117.140136,40.21162
190,山东庄镇_110117102000,117.140468,40.211985
191,山东庄镇_110117102000,117.140984,40.212199
192,山东庄镇_110117102000,117.14155,40.212304
193,山东庄镇_110117102000,117.14202,40.212464
194,山东庄镇_110117102000,117.142427,40.212764
195,山东庄镇_110117102000,117.143003,40.212824
196,山东庄镇_110117102000,117.143572,40.212758
197,山东庄镇_110117102000,117.144121,40.21289
198,山东庄镇_110117102000,117.144699,40.212824
199,山东庄镇_110117102000,117.145252,40.212796
200,山东庄镇_110117102000,117.145594,40.21313
201,山东庄镇_110117102000,117.145996,40.213438
202,山东庄镇_110117102000,117.146443,40.213714
203,山东庄镇_110117102000,117.146767,40.214073
204,山东庄镇_110117102000,117.146898,40.214511
205,山东庄镇_110117102000,117.146863,40.214958
206,山东庄镇_110117102000,117.146735,40.215397
207,山东庄镇_110117102000,117.146525,40.215806
208,山东庄镇_110117102000,117.146365,40.216233
209,山东庄镇_110117102000,117.146445,40.216674
210,山东庄镇_110117102000,117.14662,40.217104
211,山东庄镇_110117102000,117.146625,40.217541
212,山东庄镇_110117102000,117.146405,40.217955
213,山东庄镇_110117102000,117.146154,40.218362
214,山东庄镇_110117102000,117.14596,40.218787
215,山东庄镇_110117102000,117.145938,40.219224
216,山东庄镇_110117102000,117.145659,40.219395
217,山东庄镇_110117102000,117.145111,40.219523
218,山东庄镇_110117102000,117.144688,40.219829
219,山东庄镇_110117102000,117.144425,40.220226
220,山东庄镇_110117102000,117.144139,40.220607
221,山东庄镇_110117102000,117.143831,40.220983
222,山东庄镇_110117102000,117.143319,40.221179
223,山东庄镇_110117102000,117.142764,40.221295
224,山东庄镇_110117102000,117.14228,40.221549
225,山东庄镇_110117102000,117.141989,40.221918
226,山东庄镇_110117102000,117.141644,40.222171
