ID,Area,Longitude,Latitude
0,康庄镇_110119101000,115.829551,40.409893
1,康庄镇_110119101000,115.828968,40.409852
2,康庄镇_110119101000,115.828388,40.409773
3,康庄镇_110119101000,115.827805,40.409711
4,康庄镇_110119101000,115.828506,40.418759
5,康庄镇_110119101000,115.829009,40.418987
6,康庄镇_110119101000,115.82958,40.419099
7,康庄镇_110119101000,115.830154,40.4192
8,康庄镇_110119101000,115.830727,40.419301
9,康庄镇_110119101000,115.831301,40.419403
10,康庄镇_110119101000,115.831884,40.419432
11,康庄镇_110119101000,115.832465,40.419501
12,康庄镇_110119101000,115.833042,40.41959
13,康庄镇_110119101000,115.833575,40.419779
14,康庄镇_110119101000,115.834108,40.419971
15,康庄镇_110119101000,115.828506,40.418759
16,康庄镇_110119101000,115.828652,40.418326
17,康庄镇_110119101000,115.828952,40.417938
18,康庄镇_110119101000,115.829252,40.417551
19,康庄镇_110119101000,115.829552,40.417164
20,康庄镇_110119101000,115.829852,40.416776
21,康庄镇_110119101000,115.830152,40.416389
22,康庄镇_110119101000,115.830452,40.416002
23,康庄镇_110119101000,115.830752,40.415614
24,康庄镇_110119101000,115.831052,40.415227
25,康庄镇_110119101000,115.831352,40.414839
26,康庄镇_110119101000,115.831652,40.414452
27,康庄镇_110119101000,115.831968,40.414072
28,康庄镇_110119101000,115.829606,40.409875
29,康庄镇_110119101000,115.830966,40.407936
30,康庄镇_110119101000,115.83066,40.408318
31,康庄镇_110119101000,115.830403,40.408723
32,康庄镇_110119101000,115.830146,40.409128
33,康庄镇_110119101000,115.829888,40.409533
34,康庄镇_110119101000,115.831254,40.407796
35,康庄镇_110119101000,115.831254,40.407796
36,康庄镇_110119101000,115.83176,40.408024
37,康庄镇_110119101000,115.832236,40.408289
38,康庄镇_110119101000,115.832737,40.408525
39,康庄镇_110119101000,115.83324,40.408759
40,康庄镇_110119101000,115.833743,40.408992
41,康庄镇_110119101000,115.83425,40.409222
42,康庄镇_110119101000,115.834818,40.409337
43,康庄镇_110119101000,115.835396,40.409381
44,康庄镇_110119101000,115.835978,40.409312
45,康庄镇_110119101000,115.83656,40.409243
46,康庄镇_110119101000,115.837145,40.4092
47,康庄镇_110119101000,115.837733,40.409169
48,康庄镇_110119101000,115.838321,40.409137
49,康庄镇_110119101000,115.838908,40.409103
50,康庄镇_110119101000,115.839494,40.409063
51,康庄镇_110119101000,115.840081,40.409032
52,康庄镇_110119101000,115.840663,40.409098
53,康庄镇_110119101000,115.84122,40.409243
54,康庄镇_110119101000,115.841773,40.409396
55,康庄镇_110119101000,115.842327,40.409549
56,康庄镇_110119101000,115.842862,40.409734
57,康庄镇_110119101000,115.843378,40.409951
58,康庄镇_110119101000,115.843914,40.410133
59,康庄镇_110119101000,115.844472,40.410278
60,康庄镇_110119101000,115.845029,40.410424
61,康庄镇_110119101000,115.845607,40.410501
62,康庄镇_110119101000,115.846189,40.410568
63,康庄镇_110119101000,115.831254,40.407796
64,康庄镇_110119101000,115.831341,40.407355
65,康庄镇_110119101000,115.831598,40.406949
66,康庄镇_110119101000,115.831855,40.406544
67,康庄镇_110119101000,115.832112,40.406139
68,康庄镇_110119101000,115.832368,40.405734
69,康庄镇_110119101000,115.832527,40.405302
70,康庄镇_110119101000,115.832651,40.404865
71,康庄镇_110119101000,115.832685,40.404416
72,康庄镇_110119101000,115.8328,40.403979
73,康庄镇_110119101000,115.833007,40.403557
74,康庄镇_110119101000,115.833213,40.403136
75,康庄镇_110119101000,115.833419,40.402714
76,康庄镇_110119101000,115.833626,40.402293
77,康庄镇_110119101000,115.833832,40.401871
78,康庄镇_110119101000,115.834066,40.401459
79,康庄镇_110119101000,115.834312,40.401051
80,康庄镇_110119101000,115.834553,40.400641
81,康庄镇_110119101000,115.832314,40.413843
82,康庄镇_110119101000,115.832799,40.414099
83,康庄镇_110119101000,115.833251,40.414386
84,康庄镇_110119101000,115.833704,40.414674
85,康庄镇_110119101000,115.834157,40.414962
86,康庄镇_110119101000,115.83461,40.41525
87,康庄镇_110119101000,115.835064,40.415536
88,康庄镇_110119101000,115.83409,40.411428
89,康庄镇_110119101000,115.833732,40.411783
90,康庄镇_110119101000,115.833431,40.412169
91,康庄镇_110119101000,115.833129,40.412555
92,康庄镇_110119101000,115.832828,40.412942
93,康庄镇_110119101000,115.832527,40.413328
94,康庄镇_110119101000,115.832332,40.413749
95,康庄镇_110119101000,115.83409,40.411428
96,康庄镇_110119101000,115.837838,40.412619
97,康庄镇_110119101000,115.837302,40.412433
98,康庄镇_110119101000,115.836767,40.412247
99,康庄镇_110119101000,115.836231,40.41206
100,康庄镇_110119101000,115.835696,40.411874
101,康庄镇_110119101000,115.83516,40.411687
102,康庄镇_110119101000,115.834624,40.411501
