ID,Area,Longitude,Latitude
0,建外街道_110105001000,116.429346,39.911268
1,建外街道_110105001000,116.429701,39.910913
2,建外街道_110105001000,116.429634,39.909614
3,建外街道_110105001000,116.429584,39.910061
4,建外街道_110105001000,116.429716,39.910499
5,建外街道_110105001000,116.429634,39.909614
6,建外街道_110105001000,116.429731,39.90917
7,建外街道_110105001000,116.429891,39.908737
8,建外街道_110105001000,116.429886,39.910788
9,建外街道_110105001000,116.430247,39.911141
10,建外街道_110105001000,116.430458,39.911559
11,建外街道_110105001000,116.429886,39.910788
12,建外街道_110105001000,116.430382,39.910549
13,建外街道_110105001000,116.429978,39.908357
14,建外街道_110105001000,116.429978,39.908357
15,建外街道_110105001000,116.430354,39.907035
16,建外街道_110105001000,116.430124,39.907448
17,建外街道_110105001000,116.430035,39.907892
18,建外街道_110105001000,116.430419,39.90373
19,建外街道_110105001000,116.430195,39.903315
20,建外街道_110105001000,116.430463,39.901883
21,建外街道_110105001000,116.430172,39.902271
22,建外街道_110105001000,116.430103,39.902716
23,建外街道_110105001000,116.430354,39.907035
24,建外街道_110105001000,116.430166,39.90661
25,建外街道_110105001000,116.430123,39.906162
26,建外街道_110105001000,116.430273,39.905014
27,建外街道_110105001000,116.430104,39.905444
28,建外街道_110105001000,116.430099,39.905893
29,建外街道_110105001000,116.430273,39.905014
30,建外街道_110105001000,116.430298,39.904988
31,建外街道_110105001000,116.430864,39.9051
32,建外街道_110105001000,116.43144,39.905168
33,建外街道_110105001000,116.432024,39.905162
34,建外街道_110105001000,116.430298,39.904988
35,建外街道_110105001000,116.430328,39.904538
36,建外街道_110105001000,116.430334,39.904449
37,建外街道_110105001000,116.430354,39.907035
38,建外街道_110105001000,116.430938,39.907059
39,建外街道_110105001000,116.431523,39.907068
40,建外街道_110105001000,116.432108,39.907069
41,建外街道_110105001000,116.430415,39.904237
42,建外街道_110105001000,116.430408,39.903788
43,建外街道_110105001000,116.432394,39.903433
44,建外街道_110105001000,116.431809,39.90343
45,建外街道_110105001000,116.431226,39.903451
46,建外街道_110105001000,116.430688,39.903622
47,建外街道_110105001000,116.430415,39.904237
48,建外街道_110105001000,116.430998,39.904274
49,建外街道_110105001000,116.43056,39.901841
50,建外街道_110105001000,116.430494,39.901393
51,建外街道_110105001000,116.43056,39.901841
52,建外街道_110105001000,116.43056,39.901841
53,建外街道_110105001000,116.430561,39.910462
54,建外街道_110105001000,116.431129,39.910368
55,建外街道_110105001000,116.431713,39.910371
56,建外街道_110105001000,116.432295,39.91035
57,建外街道_110105001000,116.431783,39.901947
58,建外街道_110105001000,116.431201,39.901914
59,建外街道_110105001000,116.431783,39.901947
60,建外街道_110105001000,116.43212,39.901971
61,建外街道_110105001000,116.432394,39.903433
62,建外街道_110105001000,116.432564,39.90386
63,建外街道_110105001000,116.432568,39.90431
64,建外街道_110105001000,116.432552,39.902042
65,建外街道_110105001000,116.432575,39.902492
66,建外街道_110105001000,116.432573,39.902942
67,建外街道_110105001000,116.432433,39.903375
68,建外街道_110105001000,116.432628,39.907056
69,建外街道_110105001000,116.432591,39.906607
70,建外街道_110105001000,116.432564,39.906157
71,建外街道_110105001000,116.432567,39.905707
72,建外街道_110105001000,116.432463,39.905268
73,建外街道_110105001000,116.432732,39.904749
74,建外街道_110105001000,116.432437,39.905138
75,建外街道_110105001000,116.432552,39.902042
76,建外街道_110105001000,116.433059,39.901817
77,建外街道_110105001000,116.432612,39.907064
78,建外街道_110105001000,116.432632,39.907514
79,建外街道_110105001000,116.432648,39.907965
80,建外街道_110105001000,116.432644,39.908414
81,建外街道_110105001000,116.43264,39.908864
82,建外街道_110105001000,116.432636,39.909314
83,建外街道_110105001000,116.432632,39.909764
84,建外街道_110105001000,116.432614,39.910214
85,建外街道_110105001000,116.432612,39.907064
86,建外街道_110105001000,116.434822,39.907016
87,建外街道_110105001000,116.434238,39.907036
88,建外街道_110105001000,116.433653,39.907046
89,建外街道_110105001000,116.433069,39.907052
90,建外街道_110105001000,116.434765,39.91036
91,建外街道_110105001000,116.434182,39.910395
92,建外街道_110105001000,116.433598,39.91039
93,建外街道_110105001000,116.433015,39.910365
94,建外街道_110105001000,116.433922,39.904865
95,建外街道_110105001000,116.433363,39.904747
96,建外街道_110105001000,116.432778,39.904747
97,建外街道_110105001000,116.433156,39.901776
98,建外街道_110105001000,116.43374,39.901799
99,建外街道_110105001000,116.433904,39.905459
100,建外街道_110105001000,116.433922,39.904865
101,建外街道_110105001000,116.433902,39.905315
102,建外街道_110105001000,116.435345,39.906334
103,建外街道_110105001000,116.434822,39.906133
104,建外街道_110105001000,116.434314,39.90591
105,建外街道_110105001000,116.433904,39.905639
106,建外街道_110105001000,116.433904,39.905639
107,建外街道_110105001000,116.435544,39.90511
108,建外街道_110105001000,116.435056,39.904865
109,建外街道_110105001000,116.43449,39.904764
110,建外街道_110105001000,116.434183,39.901813
111,建外街道_110105001000,116.435374,39.902008
112,建外街道_110105001000,116.434803,39.901909
113,建外街道_110105001000,116.435561,39.905549
114,建外街道_110105001000,116.434976,39.905551
115,建外街道_110105001000,116.435548,39.905459
116,建外街道_110105001000,116.434963,39.905461
117,建外街道_110105001000,116.435542,39.905369
118,建外街道_110105001000,116.434957,39.905371
119,建外街道_110105001000,116.434765,39.91036
120,建外街道_110105001000,116.434962,39.909002
121,建外街道_110105001000,116.4348,39.909433
122,建外街道_110105001000,116.434788,39.909883
123,建外街道_110105001000,116.434767,39.910333
124,建外街道_110105001000,116.434822,39.907016
125,建外街道_110105001000,116.434825,39.907466
126,建外街道_110105001000,116.434815,39.907917
127,建外街道_110105001000,116.434811,39.908367
128,建外街道_110105001000,116.434862,39.908813
129,建外街道_110105001000,116.434822,39.907016
130,建外街道_110105001000,116.435318,39.911858
131,建外街道_110105001000,116.435121,39.911434
132,建外街道_110105001000,116.434934,39.910474
133,建外街道_110105001000,116.434911,39.910924
134,建外街道_110105001000,116.434934,39.910474
