ID,Area,Longitude,Latitude
0,永乐店镇_110112117000,116.720435,39.633843
1,永乐店镇_110112117000,116.719855,39.633828
2,永乐店镇_110112117000,116.720435,39.633843
3,永乐店镇_110112117000,116.720596,39.634272
4,永乐店镇_110112117000,116.720592,39.634723
5,永乐店镇_110112117000,116.720586,39.635173
6,永乐店镇_110112117000,116.72058,39.635623
7,永乐店镇_110112117000,116.720574,39.636073
8,永乐店镇_110112117000,116.720568,39.636523
9,永乐店镇_110112117000,116.720562,39.636973
10,永乐店镇_110112117000,116.720786,39.625898
11,永乐店镇_110112117000,116.720648,39.626331
12,永乐店镇_110112117000,116.720646,39.626782
13,永乐店镇_110112117000,116.720643,39.627232
14,永乐店镇_110112117000,116.72064,39.627682
15,永乐店镇_110112117000,116.720638,39.628132
16,永乐店镇_110112117000,116.720635,39.628583
17,永乐店镇_110112117000,116.720632,39.629033
18,永乐店镇_110112117000,116.72063,39.629483
19,永乐店镇_110112117000,116.720627,39.629933
20,永乐店镇_110112117000,116.720624,39.630384
21,永乐店镇_110112117000,116.720622,39.630834
22,永乐店镇_110112117000,116.720619,39.631284
23,永乐店镇_110112117000,116.720616,39.631734
24,永乐店镇_110112117000,116.720613,39.632185
25,永乐店镇_110112117000,116.720611,39.632635
26,永乐店镇_110112117000,116.720608,39.633085
27,永乐店镇_110112117000,116.720581,39.633534
28,永乐店镇_110112117000,116.72121,39.625553
29,永乐店镇_110112117000,116.72075,39.62528
30,永乐店镇_110112117000,116.72121,39.625553
31,永乐店镇_110112117000,116.720808,39.625878
32,永乐店镇_110112117000,116.724061,39.625506
33,永乐店镇_110112117000,116.72348,39.625527
34,永乐店镇_110112117000,116.722898,39.625533
35,永乐店镇_110112117000,116.722315,39.625539
36,永乐店镇_110112117000,116.721733,39.625545
37,永乐店镇_110112117000,116.731592,39.63829
38,永乐店镇_110112117000,116.731064,39.638479
39,永乐店镇_110112117000,116.730496,39.63853
40,永乐店镇_110112117000,116.729914,39.638537
41,永乐店镇_110112117000,116.729332,39.638545
42,永乐店镇_110112117000,116.728751,39.638554
43,永乐店镇_110112117000,116.728169,39.638563
44,永乐店镇_110112117000,116.727587,39.638572
45,永乐店镇_110112117000,116.727005,39.638581
46,永乐店镇_110112117000,116.726423,39.638589
47,永乐店镇_110112117000,116.725841,39.638598
48,永乐店镇_110112117000,116.725259,39.638605
49,永乐店镇_110112117000,116.724677,39.638612
50,永乐店镇_110112117000,116.724096,39.638618
51,永乐店镇_110112117000,116.723514,39.638624
52,永乐店镇_110112117000,116.722932,39.63863
53,永乐店镇_110112117000,116.72235,39.638636
54,永乐店镇_110112117000,116.724061,39.625506
55,永乐店镇_110112117000,116.724448,39.625842
56,永乐店镇_110112117000,116.724893,39.626131
57,永乐店镇_110112117000,116.724061,39.625506
58,永乐店镇_110112117000,116.724394,39.625222
59,永乐店镇_110112117000,116.724402,39.624772
60,永乐店镇_110112117000,116.724432,39.624323
61,永乐店镇_110112117000,116.724467,39.623873
62,永乐店镇_110112117000,116.724502,39.623424
63,永乐店镇_110112117000,116.724536,39.622975
64,永乐店镇_110112117000,116.724571,39.622526
65,永乐店镇_110112117000,116.724605,39.622077
66,永乐店镇_110112117000,116.724695,39.621634
67,永乐店镇_110112117000,116.724394,39.625222
68,永乐店镇_110112117000,116.724975,39.625192
69,永乐店镇_110112117000,116.725557,39.625188
70,永乐店镇_110112117000,116.72614,39.625183
71,永乐店镇_110112117000,116.726722,39.625179
72,永乐店镇_110112117000,116.727302,39.625155
73,永乐店镇_110112117000,116.724742,39.621547
74,永乐店镇_110112117000,116.725312,39.621467
75,永乐店镇_110112117000,116.725894,39.62146
76,永乐店镇_110112117000,116.726476,39.621454
77,永乐店镇_110112117000,116.727038,39.621351
78,永乐店镇_110112117000,116.72759,39.621206
79,永乐店镇_110112117000,116.728141,39.621062
80,永乐店镇_110112117000,116.728692,39.620917
81,永乐店镇_110112117000,116.729244,39.620772
82,永乐店镇_110112117000,116.729788,39.620613
83,永乐店镇_110112117000,116.7266,39.628659
84,永乐店镇_110112117000,116.726431,39.628228
85,永乐店镇_110112117000,116.726187,39.62782
86,永乐店镇_110112117000,116.725914,39.627422
87,永乐店镇_110112117000,116.72564,39.627024
88,永乐店镇_110112117000,116.725366,39.626627
89,永乐店镇_110112117000,116.725589,39.628853
90,永乐店镇_110112117000,116.726166,39.628813
91,永乐店镇_110112117000,116.7266,39.628659
92,永乐店镇_110112117000,116.727177,39.628704
93,永乐店镇_110112117000,116.72767,39.623958
94,永乐店镇_110112117000,116.727668,39.624407
95,永乐店镇_110112117000,116.727667,39.624857
96,永乐店镇_110112117000,116.72767,39.625048
97,永乐店镇_110112117000,116.728228,39.625165
98,永乐店镇_110112117000,116.728806,39.625129
99,永乐店镇_110112117000,116.727845,39.622977
100,永乐店镇_110112117000,116.728427,39.622968
101,永乐店镇_110112117000,116.728994,39.623054
102,永乐店镇_110112117000,116.729389,39.624854
103,永乐店镇_110112117000,116.729265,39.623133
104,永乐店镇_110112117000,116.729265,39.623133
105,永乐店镇_110112117000,116.729498,39.622721
106,永乐店镇_110112117000,116.729626,39.622282
107,永乐店镇_110112117000,116.729355,39.624043
108,永乐店镇_110112117000,116.729404,39.624489
109,永乐店镇_110112117000,116.729362,39.623612
110,永乐店镇_110112117000,116.729362,39.623612
111,永乐店镇_110112117000,116.729375,39.624643
112,永乐店镇_110112117000,116.729389,39.624854
113,永乐店镇_110112117000,116.731036,39.623318
114,永乐店镇_110112117000,116.730455,39.623349
115,永乐店镇_110112117000,116.729875,39.623379
116,永乐店镇_110112117000,116.731246,39.625021
117,永乐店镇_110112117000,116.730691,39.625143
118,永乐店镇_110112117000,116.730109,39.625137
119,永乐店镇_110112117000,116.729738,39.622095
120,永乐店镇_110112117000,116.73031,39.62203
121,永乐店镇_110112117000,116.730044,39.620479
122,永乐店镇_110112117000,116.730036,39.620029
123,永乐店镇_110112117000,116.730069,39.619579
124,永乐店镇_110112117000,116.730234,39.619152
125,永乐店镇_110112117000,116.730463,39.618739
126,永乐店镇_110112117000,116.730527,39.616956
127,永乐店镇_110112117000,116.7305,39.617404
128,永乐店镇_110112117000,116.730508,39.617854
129,永乐店镇_110112117000,116.730515,39.618304
130,永乐店镇_110112117000,116.730527,39.616956
131,永乐店镇_110112117000,116.730979,39.616673
132,永乐店镇_110112117000,116.731534,39.616536
133,永乐店镇_110112117000,116.732079,39.616383
134,永乐店镇_110112117000,116.732548,39.616117
135,永乐店镇_110112117000,116.73227,39.622645
136,永乐店镇_110112117000,116.731841,39.622342
137,永乐店镇_110112117000,116.731305,39.622179
138,永乐店镇_110112117000,116.73074,39.622069
139,永乐店镇_110112117000,116.731366,39.623977
140,永乐店镇_110112117000,116.731143,39.623562
141,永乐店镇_110112117000,116.73117,39.623149
142,永乐店镇_110112117000,116.73117,39.623149
143,永乐店镇_110112117000,116.731689,39.622943
144,永乐店镇_110112117000,116.734706,39.624993
145,永乐店镇_110112117000,116.734147,39.625108
146,永乐店镇_110112117000,116.733565,39.625117
147,永乐店镇_110112117000,116.732983,39.625122
148,永乐店镇_110112117000,116.732401,39.625127
149,永乐店镇_110112117000,116.731819,39.625128
150,永乐店镇_110112117000,116.731246,39.625021
151,永乐店镇_110112117000,116.731237,39.62457
152,永乐店镇_110112117000,116.731302,39.624125
153,永乐店镇_110112117000,116.731366,39.623977
154,永乐店镇_110112117000,116.731592,39.63829
155,永乐店镇_110112117000,116.732105,39.638085
156,永乐店镇_110112117000,116.731794,39.622902
157,永乐店镇_110112117000,116.731821,39.623352
158,永乐店镇_110112117000,116.731908,39.622847
159,永乐店镇_110112117000,116.731908,39.622847
160,永乐店镇_110112117000,116.731934,39.623297
