ID,Area,Longitude,Latitude
0,永定门外街道_110101017000,116.375484,39.869464
1,永定门外街道_110101017000,116.376068,39.869454
2,永定门外街道_110101017000,116.376635,39.869349
3,永定门外街道_110101017000,116.377161,39.869154
4,永定门外街道_110101017000,116.377729,39.867795
5,永定门外街道_110101017000,116.37735,39.867453
6,永定门外街道_110101017000,116.377533,39.868959
7,永定门外街道_110101017000,116.378009,39.86922
8,永定门外街道_110101017000,116.378541,39.869405
9,永定门外街道_110101017000,116.37911,39.869501
10,永定门外街道_110101017000,116.377729,39.867795
11,永定门外街道_110101017000,116.37758,39.86823
12,永定门外街道_110101017000,116.377524,39.868678
13,永定门外街道_110101017000,116.377729,39.867795
14,永定门外街道_110101017000,116.378273,39.867632
15,永定门外街道_110101017000,116.378463,39.867593
16,永定门外街道_110101017000,116.378951,39.867842
17,永定门外街道_110101017000,116.381498,39.867021
18,永定门外街道_110101017000,116.380919,39.866958
19,永定门外街道_110101017000,116.380338,39.866985
20,永定门外街道_110101017000,116.379757,39.867034
21,永定门外街道_110101017000,116.379204,39.867178
22,永定门外街道_110101017000,116.378714,39.867422
23,永定门外街道_110101017000,116.38201,39.869493
24,永定门外街道_110101017000,116.381451,39.869622
25,永定门外街道_110101017000,116.380869,39.869649
26,永定门外街道_110101017000,116.380289,39.869594
27,永定门外街道_110101017000,116.37971,39.869536
28,永定门外街道_110101017000,116.381929,39.867996
29,永定门外街道_110101017000,116.381378,39.868144
30,永定门外街道_110101017000,116.381971,39.865184
31,永定门外街道_110101017000,116.381754,39.864767
32,永定门外街道_110101017000,116.381609,39.864332
33,永定门外街道_110101017000,116.381498,39.867021
34,永定门外街道_110101017000,116.381642,39.867457
35,永定门外街道_110101017000,116.381845,39.867878
36,永定门外街道_110101017000,116.381498,39.867021
37,永定门外街道_110101017000,116.381667,39.866592
38,永定门外街道_110101017000,116.381684,39.866142
39,永定门外街道_110101017000,116.381971,39.865184
40,永定门外街道_110101017000,116.381762,39.865604
41,永定门外街道_110101017000,116.381929,39.867996
42,永定门外街道_110101017000,116.386665,39.865075
43,永定门外街道_110101017000,116.386109,39.865206
44,永定门外街道_110101017000,116.385525,39.865221
45,永定门外街道_110101017000,116.384941,39.865232
46,永定门外街道_110101017000,116.384357,39.865221
47,永定门外街道_110101017000,116.383774,39.865201
48,永定门外街道_110101017000,116.38319,39.865181
49,永定门外街道_110101017000,116.382607,39.865162
50,永定门外街道_110101017000,116.382023,39.865179
51,永定门外街道_110101017000,116.38201,39.869493
52,永定门外街道_110101017000,116.382543,39.869676
53,永定门外街道_110101017000,116.383117,39.869755
54,永定门外街道_110101017000,116.38201,39.869493
55,永定门外街道_110101017000,116.382039,39.869043
56,永定门外街道_110101017000,116.382055,39.868659
57,永定门外街道_110101017000,116.382079,39.868209
58,永定门外街道_110101017000,116.383166,39.867321
59,永定门外街道_110101017000,116.382767,39.86765
60,永定门外街道_110101017000,116.382334,39.867951
61,永定门外街道_110101017000,116.382467,39.867124
62,永定门外街道_110101017000,116.383032,39.86724
63,永定门外街道_110101017000,116.383166,39.867321
64,永定门外街道_110101017000,116.384441,39.867438
65,永定门外街道_110101017000,116.383857,39.867423
66,永定门外街道_110101017000,116.383285,39.867344
67,永定门外街道_110101017000,116.383626,39.869767
68,永定门外街道_110101017000,116.386116,39.869992
69,永定门外街道_110101017000,116.38554,39.870058
70,永定门外街道_110101017000,116.384956,39.870045
71,永定门外街道_110101017000,116.384385,39.869952
72,永定门外街道_110101017000,116.383836,39.869799
73,永定门外街道_110101017000,116.384441,39.867438
74,永定门外街道_110101017000,116.384676,39.867755
75,永定门外街道_110101017000,116.385153,39.868013
76,永定门外街道_110101017000,116.386716,39.863865
77,永定门外街道_110101017000,116.386132,39.863848
78,永定门外街道_110101017000,116.385548,39.863834
79,永定门外街道_110101017000,116.386136,39.868289
80,永定门外街道_110101017000,116.385566,39.86819
81,永定门外街道_110101017000,116.388773,39.870058
82,永定门外街道_110101017000,116.388202,39.87015
83,永定门外街道_110101017000,116.387619,39.870133
84,永定门外街道_110101017000,116.387035,39.870109
85,永定门外街道_110101017000,116.386454,39.870069
86,永定门外街道_110101017000,116.386136,39.868289
87,永定门外街道_110101017000,116.386133,39.868739
88,永定门外街道_110101017000,116.386118,39.869189
89,永定门外街道_110101017000,116.386112,39.869639
90,永定门外街道_110101017000,116.386796,39.867903
91,永定门外街道_110101017000,116.38633,39.868175
92,永定门外街道_110101017000,116.386352,39.867503
93,永定门外街道_110101017000,116.386739,39.867838
94,永定门外街道_110101017000,116.388825,39.865174
95,永定门外街道_110101017000,116.388241,39.865173
96,永定门外街道_110101017000,116.387657,39.865183
97,永定门外街道_110101017000,116.387074,39.865174
98,永定门外街道_110101017000,116.386665,39.865075
99,永定门外街道_110101017000,116.38666,39.864625
100,永定门外街道_110101017000,116.386695,39.864176
101,永定门外街道_110101017000,116.386716,39.863865
102,永定门外街道_110101017000,116.386769,39.863829
103,永定门外街道_110101017000,116.387351,39.863869
104,永定门外街道_110101017000,116.387935,39.863877
105,永定门外街道_110101017000,116.388508,39.86395
106,永定门外街道_110101017000,116.386769,39.863829
107,永定门外街道_110101017000,116.386785,39.863379
108,永定门外街道_110101017000,116.386833,39.86293
109,永定门外街道_110101017000,116.386796,39.867903
110,永定门外街道_110101017000,116.38744,39.862335
111,永定门外街道_110101017000,116.388108,39.867988
112,永定门外街道_110101017000,116.387524,39.867981
113,永定门外街道_110101017000,116.38744,39.862335
114,永定门外街道_110101017000,116.387978,39.862504
115,永定门外街道_110101017000,116.388555,39.86257
116,永定门外街道_110101017000,116.389135,39.862622
117,永定门外街道_110101017000,116.389717,39.86266
118,永定门外街道_110101017000,116.3903,39.862692
119,永定门外街道_110101017000,116.390884,39.862692
120,永定门外街道_110101017000,116.38744,39.862335
121,永定门外街道_110101017000,116.388108,39.867988
122,永定门外街道_110101017000,116.388556,39.868278
123,永定门外街道_110101017000,116.388586,39.868296
124,永定门外街道_110101017000,116.388718,39.86873
125,永定门外街道_110101017000,116.38871,39.86918
126,永定门外街道_110101017000,116.388729,39.86963
127,永定门外街道_110101017000,116.390256,39.869985
128,永定门外街道_110101017000,116.389691,39.870099
129,永定门外街道_110101017000,116.389109,39.870112
130,永定门外街道_110101017000,116.388834,39.864034
131,永定门外街道_110101017000,116.38882,39.864485
132,永定门外街道_110101017000,116.388832,39.864935
133,永定门外街道_110101017000,116.388879,39.865965
134,永定门外街道_110101017000,116.388831,39.865518
135,永定门外街道_110101017000,116.38884,39.865162
136,永定门外街道_110101017000,116.388842,39.86403
137,永定门外街道_110101017000,116.389404,39.863919
138,永定门外街道_110101017000,116.389988,39.863934
139,永定门外街道_110101017000,116.390572,39.863949
140,永定门外街道_110101017000,116.391156,39.863965
141,永定门外街道_110101017000,116.38884,39.865162
142,永定门外街道_110101017000,116.389424,39.865147
143,永定门外街道_110101017000,116.390008,39.865131
144,永定门外街道_110101017000,116.390592,39.865118
145,永定门外街道_110101017000,116.391175,39.865099
146,永定门外街道_110101017000,116.389496,39.866179
147,永定门外街道_110101017000,116.388963,39.865994
148,永定门外街道_110101017000,116.389496,39.866179
149,永定门外街道_110101017000,116.39008,39.866181
150,永定门外街道_110101017000,116.390665,39.866184
151,永定门外街道_110101017000,116.389769,39.860669
152,永定门外街道_110101017000,116.389774,39.860579
153,永定门外街道_110101017000,116.389774,39.860579
154,永定门外街道_110101017000,116.389778,39.860489
155,永定门外街道_110101017000,116.389782,39.860399
156,永定门外街道_110101017000,116.389786,39.860309
157,永定门外街道_110101017000,116.38979,39.860219
158,永定门外街道_110101017000,116.38985,39.861135
159,永定门外街道_110101017000,116.389798,39.860039
160,永定门外街道_110101017000,116.389798,39.860039
161,永定门外街道_110101017000,116.389802,39.859949
162,永定门外街道_110101017000,116.389806,39.859859
163,永定门外街道_110101017000,116.389815,39.859679
164,永定门外街道_110101017000,116.389815,39.859679
165,永定门外街道_110101017000,116.389819,39.859589
166,永定门外街道_110101017000,116.389823,39.859499
167,永定门外街道_110101017000,116.390436,39.858386
168,永定门外街道_110101017000,116.39007,39.858736
169,永定门外街道_110101017000,116.389849,39.85915
170,永定门外街道_110101017000,116.390387,39.858129
171,永定门外街道_110101017000,116.389906,39.857873
172,永定门外街道_110101017000,116.38985,39.861135
173,永定门外街道_110101017000,116.390408,39.861259
174,永定门外街道_110101017000,116.390256,39.869985
175,永定门外街道_110101017000,116.390097,39.869552
176,永定门外街道_110101017000,116.390921,39.86992
177,永定门外街道_110101017000,116.390343,39.869984
178,永定门外街道_110101017000,116.390387,39.858129
179,永定门外街道_110101017000,116.390387,39.858129
180,永定门外街道_110101017000,116.390782,39.857798
181,永定门外街道_110101017000,116.39111,39.857425
182,永定门外街道_110101017000,116.390436,39.858386
183,永定门外街道_110101017000,116.390794,39.858741
184,永定门外街道_110101017000,116.390993,39.859161
185,永定门外街道_110101017000,116.390795,39.861284
186,永定门外街道_110101017000,116.391211,39.861591
187,永定门外街道_110101017000,116.390966,39.860724
188,永定门外街道_110101017000,116.390864,39.861164
