ID,Area,Longitude,Latitude
0,潞城镇_110112119000,116.682574,39.916995
1,潞城镇_110112119000,116.683074,39.917222
2,潞城镇_110112119000,116.683622,39.917378
3,潞城镇_110112119000,116.68468,39.914188
4,潞城镇_110112119000,116.684276,39.914511
5,潞城镇_110112119000,116.68468,39.914188
6,潞城镇_110112119000,116.684991,39.914103
7,潞城镇_110112119000,116.685104,39.914115
8,潞城镇_110112119000,116.685633,39.914306
9,潞城镇_110112119000,116.686156,39.914508
10,潞城镇_110112119000,116.686692,39.914688
11,潞城镇_110112119000,116.68723,39.914865
12,潞城镇_110112119000,116.68777,39.915037
13,潞城镇_110112119000,116.688323,39.915184
14,潞城镇_110112119000,116.688841,39.91539
15,潞城镇_110112119000,116.689272,39.915694
16,潞城镇_110112119000,116.687589,39.917747
17,潞城镇_110112119000,116.687017,39.917661
18,潞城镇_110112119000,116.686437,39.917608
19,潞城镇_110112119000,116.685854,39.917568
20,潞城镇_110112119000,116.686207,39.920662
21,潞城镇_110112119000,116.686792,39.920659
22,潞城镇_110112119000,116.687376,39.920642
23,潞城镇_110112119000,116.687929,39.920502
24,潞城镇_110112119000,116.688419,39.920256
25,潞城镇_110112119000,116.686564,39.922475
26,潞城镇_110112119000,116.687148,39.92247
27,潞城镇_110112119000,116.687726,39.92242
28,潞城镇_110112119000,116.687192,39.924094
29,潞城镇_110112119000,116.687406,39.923677
30,潞城镇_110112119000,116.687416,39.923664
31,潞城镇_110112119000,116.687988,39.923586
32,潞城镇_110112119000,116.688572,39.923564
33,潞城镇_110112119000,116.689156,39.92355
34,潞城镇_110112119000,116.689741,39.923556
35,潞城镇_110112119000,116.690325,39.923582
36,潞城镇_110112119000,116.690909,39.923591
37,潞城镇_110112119000,116.691493,39.923608
38,潞城镇_110112119000,116.692077,39.923629
39,潞城镇_110112119000,116.692662,39.92365
40,潞城镇_110112119000,116.693246,39.923671
41,潞城镇_110112119000,116.69383,39.923691
42,潞城镇_110112119000,116.694414,39.923712
43,潞城镇_110112119000,116.694999,39.923733
44,潞城镇_110112119000,116.695583,39.923732
45,潞城镇_110112119000,116.696167,39.923732
46,潞城镇_110112119000,116.696752,39.923731
47,潞城镇_110112119000,116.697336,39.92373
48,潞城镇_110112119000,116.69792,39.923729
49,潞城镇_110112119000,116.698502,39.923694
50,潞城镇_110112119000,116.699086,39.923671
51,潞城镇_110112119000,116.69967,39.923649
52,潞城镇_110112119000,116.687561,39.918946
53,潞城镇_110112119000,116.688145,39.918967
54,潞城镇_110112119000,116.687589,39.917747
55,潞城镇_110112119000,116.687589,39.917747
56,潞城镇_110112119000,116.695616,39.909162
57,潞城镇_110112119000,116.69507,39.909001
58,潞城镇_110112119000,116.694524,39.90884
59,潞城镇_110112119000,116.693978,39.908678
60,潞城镇_110112119000,116.693432,39.908517
61,潞城镇_110112119000,116.69289,39.908351
62,潞城镇_110112119000,116.692362,39.908205
63,潞城镇_110112119000,116.691815,39.908044
64,潞城镇_110112119000,116.691269,39.907882
65,潞城镇_110112119000,116.690723,39.907721
66,潞城镇_110112119000,116.690322,39.907951
67,潞城镇_110112119000,116.68997,39.90831
68,潞城镇_110112119000,116.689617,39.90867
69,潞城镇_110112119000,116.689265,39.909029
70,潞城镇_110112119000,116.688912,39.909389
71,潞城镇_110112119000,116.688591,39.909764
72,潞城镇_110112119000,116.688285,39.910148
73,潞城镇_110112119000,116.687979,39.910532
74,潞城镇_110112119000,116.687682,39.91092
75,潞城镇_110112119000,116.687388,39.911309
76,潞城镇_110112119000,116.687094,39.911699
77,潞城镇_110112119000,116.686801,39.912088
78,潞城镇_110112119000,116.686507,39.912478
79,潞城镇_110112119000,116.686166,39.912839
80,潞城镇_110112119000,116.685751,39.913157
81,潞城镇_110112119000,116.685336,39.913474
82,潞城镇_110112119000,116.68492,39.913791
83,潞城镇_110112119000,116.684438,39.913757
84,潞城镇_110112119000,116.684042,39.913835
85,潞城镇_110112119000,116.683779,39.914238
86,潞城镇_110112119000,116.683742,39.914622
87,潞城镇_110112119000,116.683648,39.914965
88,潞城镇_110112119000,116.683262,39.915304
89,潞城镇_110112119000,116.682877,39.915643
90,潞城镇_110112119000,116.682674,39.916052
91,潞城镇_110112119000,116.682556,39.916493
92,潞城镇_110112119000,116.682438,39.916934
93,潞城镇_110112119000,116.68237,39.917337
94,潞城镇_110112119000,116.682952,39.917373
95,潞城镇_110112119000,116.683534,39.917422
96,潞城镇_110112119000,116.684091,39.917546
97,潞城镇_110112119000,116.684675,39.917562
98,潞城镇_110112119000,116.68526,39.917572
99,潞城镇_110112119000,116.685829,39.917614
100,潞城镇_110112119000,116.686411,39.917658
101,潞城镇_110112119000,116.686994,39.917702
102,潞城镇_110112119000,116.687576,39.917746
103,潞城镇_110112119000,116.687641,39.917759
104,潞城镇_110112119000,116.6882,39.917891
105,潞城镇_110112119000,116.687641,39.917759
106,潞城镇_110112119000,116.687242,39.918089
107,潞城镇_110112119000,116.686845,39.918419
108,潞城镇_110112119000,116.686447,39.918749
109,潞城镇_110112119000,116.686049,39.91908
110,潞城镇_110112119000,116.685653,39.919409
111,潞城镇_110112119000,116.685255,39.919739
112,潞城镇_110112119000,116.685389,39.920164
113,潞城镇_110112119000,116.685557,39.920596
114,潞城镇_110112119000,116.685726,39.921027
115,潞城镇_110112119000,116.685913,39.921454
116,潞城镇_110112119000,116.686101,39.921878
117,潞城镇_110112119000,116.686289,39.922304
118,潞城镇_110112119000,116.68648,39.92273
119,潞城镇_110112119000,116.686679,39.923153
120,潞城镇_110112119000,116.686877,39.923577
121,潞城镇_110112119000,116.687076,39.924001
122,潞城镇_110112119000,116.687274,39.924425
123,潞城镇_110112119000,116.687441,39.924856
124,潞城镇_110112119000,116.687587,39.925292
125,潞城镇_110112119000,116.687734,39.925728
126,潞城镇_110112119000,116.687887,39.926163
127,潞城镇_110112119000,116.687903,39.926603
128,潞城镇_110112119000,116.687856,39.927051
129,潞城镇_110112119000,116.687808,39.9275
130,潞城镇_110112119000,116.68776,39.927949
131,潞城镇_110112119000,116.687713,39.928398
132,潞城镇_110112119000,116.687665,39.928847
133,潞城镇_110112119000,116.688078,39.928998
