ID,Area,Longitude,Latitude
0,窦店镇_110111103000,116.010193,39.640101
1,窦店镇_110111103000,116.010439,39.639693
2,窦店镇_110111103000,116.010685,39.639286
3,窦店镇_110111103000,116.010937,39.63888
4,窦店镇_110111103000,116.011151,39.638677
5,窦店镇_110111103000,116.011441,39.638528
6,窦店镇_110111103000,116.011986,39.638676
7,窦店镇_110111103000,116.012562,39.638728
8,窦店镇_110111103000,116.011441,39.638528
9,窦店镇_110111103000,116.011517,39.638085
10,窦店镇_110111103000,116.011765,39.637677
11,窦店镇_110111103000,116.012116,39.637321
12,窦店镇_110111103000,116.012258,39.637235
13,窦店镇_110111103000,116.012807,39.637382
14,窦店镇_110111103000,116.013386,39.63742
15,窦店镇_110111103000,116.013967,39.637452
16,窦店镇_110111103000,116.014548,39.637479
17,窦店镇_110111103000,116.015128,39.637508
18,窦店镇_110111103000,116.015708,39.637547
19,窦店镇_110111103000,116.016289,39.637583
20,窦店镇_110111103000,116.013775,39.634566
21,窦店镇_110111103000,116.013517,39.634968
22,窦店镇_110111103000,116.013255,39.635371
23,窦店镇_110111103000,116.012994,39.635773
24,窦店镇_110111103000,116.012732,39.636175
25,窦店镇_110111103000,116.01247,39.636577
26,窦店镇_110111103000,116.012263,39.636995
27,窦店镇_110111103000,116.012833,39.638812
28,窦店镇_110111103000,116.012843,39.639262
29,窦店镇_110111103000,116.012833,39.638812
30,窦店镇_110111103000,116.013392,39.638697
31,窦店镇_110111103000,116.012998,39.640368
32,窦店镇_110111103000,116.012871,39.639937
33,窦店镇_110111103000,116.012857,39.639487
34,窦店镇_110111103000,116.014087,39.640245
35,窦店镇_110111103000,116.013527,39.640361
36,窦店镇_110111103000,116.013946,39.63877
37,窦店镇_110111103000,116.014085,39.639203
38,窦店镇_110111103000,116.014082,39.639653
39,窦店镇_110111103000,116.014089,39.640103
40,窦店镇_110111103000,116.016754,39.640448
41,窦店镇_110111103000,116.016173,39.640469
42,窦店镇_110111103000,116.015593,39.640432
43,窦店镇_110111103000,116.015012,39.640405
44,窦店镇_110111103000,116.014435,39.640354
45,窦店镇_110111103000,116.014419,39.629242
46,窦店镇_110111103000,116.015001,39.629241
47,窦店镇_110111103000,116.015583,39.62924
48,窦店镇_110111103000,116.016165,39.629239
49,窦店镇_110111103000,116.016748,39.629238
50,窦店镇_110111103000,116.01733,39.629237
51,窦店镇_110111103000,116.017912,39.629243
52,窦店镇_110111103000,116.023123,39.634674
53,窦店镇_110111103000,116.022638,39.634425
54,窦店镇_110111103000,116.022136,39.634199
55,窦店镇_110111103000,116.021614,39.634
56,窦店镇_110111103000,116.021092,39.633801
57,窦店镇_110111103000,116.020549,39.633641
58,窦店镇_110111103000,116.019976,39.633589
59,窦店镇_110111103000,116.019395,39.633599
60,窦店镇_110111103000,116.018813,39.633608
61,窦店镇_110111103000,116.018231,39.633618
62,窦店镇_110111103000,116.017649,39.633627
63,窦店镇_110111103000,116.017067,39.633637
64,窦店镇_110111103000,116.016486,39.633646
65,窦店镇_110111103000,116.015907,39.633678
66,窦店镇_110111103000,116.015343,39.633787
67,窦店镇_110111103000,116.016812,39.637753
68,窦店镇_110111103000,116.016786,39.638203
69,窦店镇_110111103000,116.016809,39.638653
70,窦店镇_110111103000,116.016831,39.639103
71,窦店镇_110111103000,116.016855,39.639553
72,窦店镇_110111103000,116.016885,39.640003
73,窦店镇_110111103000,116.016758,39.640439
74,窦店镇_110111103000,116.016755,39.640449
75,窦店镇_110111103000,116.016933,39.640876
76,窦店镇_110111103000,116.016967,39.641326
77,窦店镇_110111103000,116.016995,39.641775
78,窦店镇_110111103000,116.017023,39.642224
79,窦店镇_110111103000,116.020519,39.637922
80,窦店镇_110111103000,116.019968,39.637781
81,窦店镇_110111103000,116.019387,39.637747
82,窦店镇_110111103000,116.018807,39.637714
83,窦店镇_110111103000,116.018226,39.637681
84,窦店镇_110111103000,116.017645,39.637648
85,窦店镇_110111103000,116.017067,39.637677
86,窦店镇_110111103000,116.018421,39.629379
87,窦店镇_110111103000,116.018411,39.629829
88,窦店镇_110111103000,116.018473,39.630276
89,窦店镇_110111103000,116.018539,39.630723
90,窦店镇_110111103000,116.018605,39.63117
91,窦店镇_110111103000,116.018421,39.629379
92,窦店镇_110111103000,116.018992,39.629317
93,窦店镇_110111103000,116.019564,39.6294
94,窦店镇_110111103000,116.020135,39.629487
95,窦店镇_110111103000,116.020706,39.629574
96,窦店镇_110111103000,116.021281,39.629642
97,窦店镇_110111103000,116.020519,39.637922
98,窦店镇_110111103000,116.020515,39.638372
99,窦店镇_110111103000,116.020526,39.638822
100,窦店镇_110111103000,116.020537,39.639272
101,窦店镇_110111103000,116.020554,39.639722
102,窦店镇_110111103000,116.020579,39.640171
103,窦店镇_110111103000,116.020606,39.640621
104,窦店镇_110111103000,116.020519,39.637922
105,窦店镇_110111103000,116.021082,39.637825
106,窦店镇_110111103000,116.021663,39.637849
107,窦店镇_110111103000,116.020744,39.642895
108,窦店镇_110111103000,116.020716,39.642445
109,窦店镇_110111103000,116.020687,39.641995
110,窦店镇_110111103000,116.020659,39.641545
111,窦店镇_110111103000,116.020734,39.641102
112,窦店镇_110111103000,116.022466,39.640878
113,窦店镇_110111103000,116.021909,39.640996
114,窦店镇_110111103000,116.021327,39.640996
115,窦店镇_110111103000,116.021336,39.622969
116,窦店镇_110111103000,116.021247,39.623411
117,窦店镇_110111103000,116.021279,39.623861
118,窦店镇_110111103000,116.021312,39.624311
119,窦店镇_110111103000,116.021347,39.624761
120,窦店镇_110111103000,116.021387,39.62521
121,窦店镇_110111103000,116.021427,39.625659
122,窦店镇_110111103000,116.021468,39.626108
123,窦店镇_110111103000,116.021509,39.626557
124,窦店镇_110111103000,116.021552,39.627006
125,窦店镇_110111103000,116.021594,39.627455
126,窦店镇_110111103000,116.021637,39.627904
127,窦店镇_110111103000,116.02168,39.628353
128,窦店镇_110111103000,116.021723,39.628802
129,窦店镇_110111103000,116.021757,39.629251
130,窦店镇_110111103000,116.029033,39.622509
131,窦店镇_110111103000,116.028453,39.622553
132,窦店镇_110111103000,116.027873,39.622578
133,窦店镇_110111103000,116.027292,39.622605
134,窦店镇_110111103000,116.026711,39.622632
135,窦店镇_110111103000,116.02613,39.622659
136,窦店镇_110111103000,116.02555,39.622686
137,窦店镇_110111103000,116.024969,39.622713
138,窦店镇_110111103000,116.024388,39.62274
139,窦店镇_110111103000,116.023807,39.622767
140,窦店镇_110111103000,116.023226,39.622794
141,窦店镇_110111103000,116.022646,39.622821
142,窦店镇_110111103000,116.022065,39.622848
143,窦店镇_110111103000,116.021492,39.622915
144,窦店镇_110111103000,116.021833,39.630005
145,窦店镇_110111103000,116.021833,39.630005
146,窦店镇_110111103000,116.022414,39.630031
147,窦店镇_110111103000,116.022996,39.630008
148,窦店镇_110111103000,116.023577,39.629981
149,窦店镇_110111103000,116.024159,39.629954
150,窦店镇_110111103000,116.02474,39.629928
151,窦店镇_110111103000,116.025321,39.629901
152,窦店镇_110111103000,116.025903,39.629875
153,窦店镇_110111103000,116.026484,39.629848
154,窦店镇_110111103000,116.027066,39.629822
155,窦店镇_110111103000,116.027647,39.629796
156,窦店镇_110111103000,116.028229,39.629769
157,窦店镇_110111103000,116.02881,39.629743
158,窦店镇_110111103000,116.029392,39.629717
159,窦店镇_110111103000,116.021833,39.630005
160,窦店镇_110111103000,116.021691,39.63044
161,窦店镇_110111103000,116.021715,39.630889
162,窦店镇_110111103000,116.021753,39.631338
163,窦店镇_110111103000,116.021855,39.631779
164,窦店镇_110111103000,116.029675,39.631624
165,窦店镇_110111103000,116.029092,39.631628
166,窦店镇_110111103000,116.028511,39.631652
167,窦店镇_110111103000,116.02793,39.631675
168,窦店镇_110111103000,116.027349,39.631699
169,窦店镇_110111103000,116.026768,39.631722
170,窦店镇_110111103000,116.026187,39.631746
171,窦店镇_110111103000,116.025606,39.631769
172,窦店镇_110111103000,116.025025,39.631793
173,窦店镇_110111103000,116.024444,39.631817
174,窦店镇_110111103000,116.023863,39.63184
175,窦店镇_110111103000,116.023282,39.631864
176,窦店镇_110111103000,116.022701,39.631887
177,窦店镇_110111103000,116.02212,39.631889
178,窦店镇_110111103000,116.021828,39.637856
179,窦店镇_110111103000,116.022378,39.638003
180,窦店镇_110111103000,116.022466,39.640878
181,窦店镇_110111103000,116.022459,39.640428
182,窦店镇_110111103000,116.022442,39.639977
183,窦店镇_110111103000,116.022425,39.639527
184,窦店镇_110111103000,116.022407,39.639077
185,窦店镇_110111103000,116.02239,39.638627
186,窦店镇_110111103000,116.022417,39.638178
187,窦店镇_110111103000,116.022435,39.63803
188,窦店镇_110111103000,116.023001,39.637942
189,窦店镇_110111103000,116.023582,39.637972
190,窦店镇_110111103000,116.024163,39.638001
191,窦店镇_110111103000,116.024744,39.638031
192,窦店镇_110111103000,116.025325,39.638058
193,窦店镇_110111103000,116.02674,39.640901
194,窦店镇_110111103000,116.026171,39.640984
195,窦店镇_110111103000,116.025589,39.640986
196,窦店镇_110111103000,116.025007,39.640988
197,窦店镇_110111103000,116.024425,39.64099
198,窦店镇_110111103000,116.023843,39.640992
199,窦店镇_110111103000,116.023261,39.640994
200,窦店镇_110111103000,116.022685,39.640945
201,窦店镇_110111103000,116.026013,39.637898
202,窦店镇_110111103000,116.025907,39.637458
203,窦店镇_110111103000,116.025624,39.637065
204,窦店镇_110111103000,116.025272,39.636707
205,窦店镇_110111103000,116.024906,39.636357
206,窦店镇_110111103000,116.024541,39.636007
207,窦店镇_110111103000,116.024175,39.635657
208,窦店镇_110111103000,116.023809,39.635307
209,窦店镇_110111103000,116.023444,39.634957
210,窦店镇_110111103000,116.025838,39.637986
211,窦店镇_110111103000,116.026013,39.637898
212,窦店镇_110111103000,116.02648,39.638164
213,窦店镇_110111103000,116.026827,39.639382
214,窦店镇_110111103000,116.026706,39.638942
215,窦店镇_110111103000,116.026677,39.638789
216,窦店镇_110111103000,116.026827,39.639382
217,窦店镇_110111103000,116.026858,39.639831
218,窦店镇_110111103000,116.026853,39.640281
219,窦店镇_110111103000,116.026816,39.640729
220,窦店镇_110111103000,116.026784,39.638374
221,窦店镇_110111103000,116.027314,39.638194
222,窦店镇_110111103000,116.027794,39.63794
223,窦店镇_110111103000,116.027985,39.635736
224,窦店镇_110111103000,116.028319,39.635368
225,窦店镇_110111103000,116.028233,39.63771
226,窦店镇_110111103000,116.028387,39.634107
227,窦店镇_110111103000,116.028414,39.634552
228,窦店镇_110111103000,116.02846,39.63406
229,窦店镇_110111103000,116.028489,39.635182
230,窦店镇_110111103000,116.028444,39.634734
231,窦店镇_110111103000,116.02971,39.633819
232,窦店镇_110111103000,116.029134,39.633887
233,窦店镇_110111103000,116.028578,39.634012
234,窦店镇_110111103000,116.029836,39.637597
235,窦店镇_110111103000,116.029261,39.637652
236,窦店镇_110111103000,116.028679,39.637644
237,窦店镇_110111103000,116.029033,39.622509
238,窦店镇_110111103000,116.029006,39.62206
239,窦店镇_110111103000,116.02897,39.62161
240,窦店镇_110111103000,116.028936,39.621161
241,窦店镇_110111103000,116.029053,39.622523
242,窦店镇_110111103000,116.029582,39.629704
