ID,Area,Longitude,Latitude
0,蒲洼乡_110111213000,115.42196,39.772547
1,蒲洼乡_110111213000,115.422148,39.772973
2,蒲洼乡_110111213000,115.423933,39.772966
3,蒲洼乡_110111213000,115.430176,39.763026
4,蒲洼乡_110111213000,115.429608,39.762937
5,蒲洼乡_110111213000,115.436396,39.767699
6,蒲洼乡_110111213000,115.435975,39.767388
7,蒲洼乡_110111213000,115.435554,39.767077
8,蒲洼乡_110111213000,115.435129,39.766769
9,蒲洼乡_110111213000,115.434729,39.766441
10,蒲洼乡_110111213000,115.434357,39.766096
11,蒲洼乡_110111213000,115.434058,39.76571
12,蒲洼乡_110111213000,115.439352,39.780055
13,蒲洼乡_110111213000,115.439931,39.780094
14,蒲洼乡_110111213000,115.442303,39.775066
15,蒲洼乡_110111213000,115.44177,39.775249
16,蒲洼乡_110111213000,115.441209,39.77537
17,蒲洼乡_110111213000,115.443228,39.774808
18,蒲洼乡_110111213000,115.442682,39.774955
19,蒲洼乡_110111213000,115.445087,39.774984
20,蒲洼乡_110111213000,115.44454,39.775132
21,蒲洼乡_110111213000,115.445211,39.777868
22,蒲洼乡_110111213000,115.444762,39.778156
23,蒲洼乡_110111213000,115.445211,39.777868
24,蒲洼乡_110111213000,115.445623,39.777568
25,蒲洼乡_110111213000,115.446175,39.777709
26,蒲洼乡_110111213000,115.446753,39.77777
27,蒲洼乡_110111213000,115.447332,39.777818
28,蒲洼乡_110111213000,115.455446,39.778979
29,蒲洼乡_110111213000,115.455147,39.778593
30,蒲洼乡_110111213000,115.457997,39.778023
31,蒲洼乡_110111213000,115.457544,39.778301
32,蒲洼乡_110111213000,115.457095,39.778588
33,蒲洼乡_110111213000,115.456646,39.778875
34,蒲洼乡_110111213000,115.456125,39.779002
35,蒲洼乡_110111213000,115.455543,39.778985
36,蒲洼乡_110111213000,115.455966,39.767429
37,蒲洼乡_110111213000,115.456347,39.767769
38,蒲洼乡_110111213000,115.459622,39.779551
39,蒲洼乡_110111213000,115.459186,39.77985
40,蒲洼乡_110111213000,115.459704,39.776554
41,蒲洼乡_110111213000,115.460118,39.776236
42,蒲洼乡_110111213000,115.463222,39.769935
43,蒲洼乡_110111213000,115.462675,39.769779
44,蒲洼乡_110111213000,115.462129,39.769622
45,蒲洼乡_110111213000,115.461568,39.769505
46,蒲洼乡_110111213000,115.460995,39.769436
47,蒲洼乡_110111213000,115.460413,39.769423
48,蒲洼乡_110111213000,115.461876,39.780548
49,蒲洼乡_110111213000,115.461297,39.780595
50,蒲洼乡_110111213000,115.462183,39.780616
51,蒲洼乡_110111213000,115.462183,39.780616
52,蒲洼乡_110111213000,115.462236,39.781064
53,蒲洼乡_110111213000,115.462247,39.781163
54,蒲洼乡_110111213000,115.462599,39.781522
55,蒲洼乡_110111213000,115.463767,39.749603
56,蒲洼乡_110111213000,115.463584,39.749176
57,蒲洼乡_110111213000,115.464427,39.770724
58,蒲洼乡_110111213000,115.464097,39.770354
59,蒲洼乡_110111213000,115.463599,39.770126
60,蒲洼乡_110111213000,115.464767,39.772096
61,蒲洼乡_110111213000,115.464931,39.772528
62,蒲洼乡_110111213000,115.46505,39.772968
63,蒲洼乡_110111213000,115.465199,39.773401
64,蒲洼乡_110111213000,115.465396,39.773825
65,蒲洼乡_110111213000,115.465595,39.774248
66,蒲洼乡_110111213000,115.465885,39.774638
67,蒲洼乡_110111213000,115.466314,39.774918
68,蒲洼乡_110111213000,115.466831,39.775127
69,蒲洼乡_110111213000,115.467347,39.775336
70,蒲洼乡_110111213000,115.467864,39.775545
71,蒲洼乡_110111213000,115.466769,39.78279
72,蒲洼乡_110111213000,115.466807,39.782341
73,蒲洼乡_110111213000,115.468614,39.780398
74,蒲洼乡_110111213000,115.468922,39.780016
75,蒲洼乡_110111213000,115.469298,39.779678
76,蒲洼乡_110111213000,115.469747,39.779391
77,蒲洼乡_110111213000,115.469294,39.778493
78,蒲洼乡_110111213000,115.469716,39.778782
79,蒲洼乡_110111213000,115.469978,39.779223
80,蒲洼乡_110111213000,115.472317,39.781493
81,蒲洼乡_110111213000,115.471782,39.781345
82,蒲洼乡_110111213000,115.472933,39.777165
83,蒲洼乡_110111213000,115.472444,39.777411
84,蒲洼乡_110111213000,115.47311,39.779739
85,蒲洼乡_110111213000,115.472554,39.779605
86,蒲洼乡_110111213000,115.473354,39.77636
87,蒲洼乡_110111213000,115.473134,39.776778
88,蒲洼乡_110111213000,115.473508,39.779928
89,蒲洼乡_110111213000,115.473508,39.779928
90,蒲洼乡_110111213000,115.473977,39.780195
91,蒲洼乡_110111213000,115.474452,39.780457
92,蒲洼乡_110111213000,115.474908,39.780736
93,蒲洼乡_110111213000,115.475432,39.781315
94,蒲洼乡_110111213000,115.475104,39.780942
95,蒲洼乡_110111213000,115.4782,39.775044
96,蒲洼乡_110111213000,115.477628,39.774955
97,蒲洼乡_110111213000,115.477053,39.774884
98,蒲洼乡_110111213000,115.476475,39.774822
99,蒲洼乡_110111213000,115.477424,39.77588
100,蒲洼乡_110111213000,115.477621,39.776304
101,蒲洼乡_110111213000,115.478167,39.783549
102,蒲洼乡_110111213000,115.477741,39.783242
103,蒲洼乡_110111213000,115.478032,39.789227
104,蒲洼乡_110111213000,115.478433,39.78892
105,蒲洼乡_110111213000,115.478167,39.783549
106,蒲洼乡_110111213000,115.478474,39.783895
107,蒲洼乡_110111213000,115.478911,39.784193
108,蒲洼乡_110111213000,115.479854,39.774968
109,蒲洼乡_110111213000,115.479654,39.775373
110,蒲洼乡_110111213000,115.47947,39.7758
111,蒲洼乡_110111213000,115.483051,39.775164
112,蒲洼乡_110111213000,115.482472,39.775222
113,蒲洼乡_110111213000,115.483741,39.776379
114,蒲洼乡_110111213000,115.484323,39.776353
115,蒲洼乡_110111213000,115.486441,39.75046
116,蒲洼乡_110111213000,115.486668,39.750875
117,蒲洼乡_110111213000,115.487659,39.725475
118,蒲洼乡_110111213000,115.487628,39.725026
119,蒲洼乡_110111213000,115.487702,39.724585
120,蒲洼乡_110111213000,115.488276,39.723802
121,蒲洼乡_110111213000,115.487914,39.724155
