ID,Area,Longitude,Latitude
0,雁翅镇_110109105000,115.728352,40.043562
1,雁翅镇_110109105000,115.728057,40.043177
2,雁翅镇_110109105000,115.738548,40.040419
3,雁翅镇_110109105000,115.738063,40.040659
4,雁翅镇_110109105000,115.737634,40.040965
5,雁翅镇_110109105000,115.741295,40.042901
6,雁翅镇_110109105000,115.743269,40.044618
7,雁翅镇_110109105000,115.74291,40.04497
8,雁翅镇_110109105000,115.744984,40.0444
9,雁翅镇_110109105000,115.744527,40.044677
10,雁翅镇_110109105000,115.745744,40.041326
11,雁翅镇_110109105000,115.746179,40.041025
12,雁翅镇_110109105000,115.748567,40.041067
13,雁翅镇_110109105000,115.748266,40.040681
14,雁翅镇_110109105000,115.749069,40.041235
15,雁翅镇_110109105000,115.749069,40.041235
16,雁翅镇_110109105000,115.749653,40.041217
17,雁翅镇_110109105000,115.749597,40.043418
18,雁翅镇_110109105000,115.749347,40.043823
19,雁翅镇_110109105000,115.7512,40.039718
20,雁翅镇_110109105000,115.751779,40.039772
21,雁翅镇_110109105000,115.751687,40.051975
22,雁翅镇_110109105000,115.751379,40.052354
23,雁翅镇_110109105000,115.749719,40.152419
24,雁翅镇_110109105000,115.750302,40.152468
25,雁翅镇_110109105000,115.752092,40.040077
26,雁翅镇_110109105000,115.751847,40.040481
27,雁翅镇_110109105000,115.751909,40.03981
28,雁翅镇_110109105000,115.753976,40.038863
29,雁翅镇_110109105000,115.7543,40.038493
30,雁翅镇_110109105000,115.752867,40.152363
31,雁翅镇_110109105000,115.752293,40.15229
32,雁翅镇_110109105000,115.755427,40.036741
33,雁翅镇_110109105000,115.7554,40.038169
34,雁翅镇_110109105000,115.755518,40.037728
35,雁翅镇_110109105000,115.755656,40.059574
36,雁翅镇_110109105000,115.755491,40.059142
37,雁翅镇_110109105000,115.755656,40.059574
38,雁翅镇_110109105000,115.756187,40.059764
39,雁翅镇_110109105000,115.75631,40.032021
40,雁翅镇_110109105000,115.756868,40.031886
41,雁翅镇_110109105000,115.756403,40.05985
42,雁翅镇_110109105000,115.756614,40.060269
43,雁翅镇_110109105000,115.757417,40.036232
44,雁翅镇_110109105000,115.757552,40.036669
45,雁翅镇_110109105000,115.757722,40.037101
46,雁翅镇_110109105000,115.758515,40.037299
47,雁翅镇_110109105000,115.757935,40.037351
48,雁翅镇_110109105000,115.7561,40.139173
49,雁翅镇_110109105000,115.756676,40.139104
50,雁翅镇_110109105000,115.759373,40.036326
51,雁翅镇_110109105000,115.759785,40.036007
52,雁翅镇_110109105000,115.758303,40.128289
53,雁翅镇_110109105000,115.760249,40.065926
54,雁翅镇_110109105000,115.758577,40.140197
55,雁翅镇_110109105000,115.758513,40.139751
56,雁翅镇_110109105000,115.760051,40.059993
57,雁翅镇_110109105000,115.760449,40.060324
58,雁翅镇_110109105000,115.760814,40.060672
59,雁翅镇_110109105000,115.760249,40.065926
60,雁翅镇_110109105000,115.760983,40.065634
61,雁翅镇_110109105000,115.760497,40.065885
62,雁翅镇_110109105000,115.760984,40.065634
