﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,上地街道_110108022000,116.279145,40.050066,12945659.873582665,4846565.044694851
1,上地街道_110108022000,116.280362,40.04318,12945795.742786014,4845566.738895562
2,上地街道_110108022000,116.280244,40.04362,12945782.566190654,4845630.567973053
3,上地街道_110108022000,116.280147,40.044064,12945771.720932089,4845694.967847866
4,上地街道_110108022000,116.28005,40.044508,12945760.907368682,4845759.32788612
5,上地街道_110108022000,116.279953,40.044952,12945750.0347207,4845823.727346364
6,上地街道_110108022000,116.279856,40.045396,12945739.224034945,4845888.086751113
7,上地街道_110108022000,116.279759,40.04584,12945728.384540556,4845952.446058104
8,上地街道_110108022000,116.279663,40.046284,12945717.667510184,4846016.843489913
9,上地街道_110108022000,116.279566,40.046728,12945706.86117222,4846081.241255631
10,上地街道_110108022000,116.279469,40.047172,12945695.995793087,4846145.599824562
11,上地街道_110108022000,116.279372,40.047616,12945685.162130492,4846209.95786324
12,上地街道_110108022000,116.279275,40.04806,12945674.360182868,4846274.3546761805
13,上地街道_110108022000,116.279178,40.048504,12945663.52945342,4846338.75136769
14,上地街道_110108022000,116.279082,40.048948,12945652.821186893,4846403.068378499
15,上地街道_110108022000,116.278989,40.049393,12945642.44710734,4846467.618805996
16,上地街道_110108022000,116.279038,40.049839,12945647.923989885,4846532.1890048
17,上地街道_110108022000,116.27925,40.050129,12945671.610803545,4846574.0860128
18,上地街道_110108022000,116.27953,40.050186,12945702.86074652,4846582.169004496
19,上地街道_110108022000,116.280107,40.050113,12945767.273695158,4846571.252615494
20,上地街道_110108022000,116.280357,40.042104,12945795.235748012,4845410.926322335
21,上地街道_110108022000,116.280938,40.042048,12945860.091634462,4845402.343044864
22,上地街道_110108022000,116.280362,40.04318,12945795.742786014,4845566.738895562
23,上地街道_110108022000,116.280469,40.042737,12945807.710567808,4845502.525645678
24,上地街道_110108022000,116.280734,40.042337,12945837.291386198,4845444.414631788
25,上地街道_110108022000,116.280611,40.040935,12945823.608568693,4845241.413849581
26,上地街道_110108022000,116.281139,40.04113,12945882.586888475,4845269.242134108
27,上地街道_110108022000,116.280648,40.050077,12945827.703782003,4846565.630309049
28,上地街道_110108022000,116.280648,40.050077,12945827.703782003,4846565.630309049
29,上地街道_110108022000,116.280813,40.049644,12945846.13185623,4846502.759491006
30,上地街道_110108022000,116.280906,40.049528,12945856.512259267,4846485.931659473
31,上地街道_110108022000,116.280906,40.049528,12945856.512259267,4846485.931659473
32,上地街道_110108022000,116.281397,40.049288,12945911.35665564,4846450.752814488
33,上地街道_110108022000,116.280988,40.042045,12945865.690951187,4845401.902416638
34,上地街道_110108022000,116.281449,40.041767,12945917.18828953,4845361.257282116
35,上地街道_110108022000,116.280951,40.050309,12945861.541367833,4846599.026262392
36,上地街道_110108022000,116.281209,40.041152,12945890.395077784,4845272.3558211485
37,上地街道_110108022000,116.281067,40.040715,12945874.554151472,4845209.204472528
