﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,东升地区_110108024000,116.32106,40.018689,12950359.354202611,4841942.776551486
1,东升地区_110108024000,116.32106,40.018689,12950359.354202611,4841942.776551486
2,东升地区_110108024000,116.321519,40.018409,12950410.76682392,4841901.589534833
3,东升地区_110108024000,116.324273,40.020017,12950718.929088963,4842131.135631035
4,东升地区_110108024000,116.323692,40.019983,12950653.927377865,4842126.831842931
5,东升地区_110108024000,116.32315,40.019813,12950593.292906146,4842102.841432026
6,东升地区_110108024000,116.322613,40.019632,12950533.165668637,4842077.269020731
7,东升地区_110108024000,116.322076,40.019452,12950473.059826186,4842051.847454381
8,东升地区_110108024000,116.32156,40.019243,12950415.282502592,4842022.263356936
9,东升地区_110108024000,116.321182,40.018901,12950373.002997687,4841973.281337078
10,东升地区_110108024000,116.323226,40.015795,12950602.186653832,4841521.113250601
11,东升地区_110108024000,116.322946,40.016191,12950570.783982538,4841578.756410207
12,东升地区_110108024000,116.322664,40.016586,12950539.166732384,4841636.294027769
13,东升地区_110108024000,116.322398,40.016986,12950509.334399585,4841694.523970981
14,东升地区_110108024000,116.322148,40.017393,12950481.317508044,4841753.719146871
15,东升地区_110108024000,116.321904,40.017803,12950453.934831154,4841813.344822934
16,东升地区_110108024000,116.321665,40.018214,12950427.156367738,4841873.204587857
17,东升地区_110108024000,116.323179,40.015448,12950596.952428352,4841470.961793624
18,东升地区_110108024000,116.322594,40.015461,12950531.440765092,4841473.53274788
19,东升地区_110108024000,116.323179,40.015448,12950596.952428352,4841470.961793624
20,东升地区_110108024000,116.324529,40.014636,12950748.10890738,4841352.011179596
21,东升地区_110108024000,116.323997,40.014824,12950688.57078813,4841379.781593292
22,东升地区_110108024000,116.323533,40.015096,12950636.618760902,4841419.586258734
23,东升地区_110108024000,116.323411,40.015912,12950622.86685802,4841537.857201089
24,东升地区_110108024000,116.324369,40.016339,12950730.024494777,4841598.705553126
25,东升地区_110108024000,116.323859,40.016117,12950672.98181498,4841567.052110676
26,东升地区_110108024000,116.324287,40.020018,12950720.503963623,4842131.314015504
27,东升地区_110108024000,116.324344,40.01957,12950726.94404208,4842066.374968311
28,东升地区_110108024000,116.324417,40.019124,12950735.140521055,4842001.731128024
29,东升地区_110108024000,116.324189,40.018728,12950709.680996936,4841944.655002299
30,东升地区_110108024000,116.32408,40.018496,12950697.49958457,4841911.185391096
31,东升地区_110108024000,116.324539,40.018217,12950748.89969575,4841870.355653725
32,东升地区_110108024000,116.324287,40.020018,12950720.503963623,4842131.314015504
33,东升地区_110108024000,116.324821,40.020148,12950780.275187263,4842149.576845216
34,东升地区_110108024000,116.324369,40.016339,12950730.024494777,4841598.705553126
35,东升地区_110108024000,116.324534,40.016372,12950748.526487382,4841603.288341435
36,东升地区_110108024000,116.324529,40.014636,12950748.10890738,4841352.011179596
37,东升地区_110108024000,116.324731,40.015059,12950770.68680976,4841413.051345301
38,东升地区_110108024000,116.324529,40.014636,12950748.10890738,4841352.011179596
39,东升地区_110108024000,116.324881,40.014276,12950787.54842836,4841299.596907763
40,东升地区_110108024000,116.324648,40.016395,12950761.27442136,4841606.524080974
41,东升地区_110108024000,116.324648,40.016395,12950761.27442136,4841606.524080974
42,东升地区_110108024000,116.325218,40.016497,12950825.039471062,4841620.763407753
43,东升地区_110108024000,116.325773,40.016638,12950887.094090072,4841640.674604235
44,东升地区_110108024000,116.325567,40.012541,12950864.462635117,4841047.838554748
45,东升地区_110108024000,116.324982,40.012544,12950798.9968811,4841048.787375506
46,东升地区_110108024000,116.324787,40.018084,12950776.655830745,4841850.850913807
47,东升地区_110108024000,116.325514,40.020263,12950857.781937176,4842165.614485082
48,东升地区_110108024000,116.32494,40.020185,12950793.565622885,4842154.813540029
49,东升地区_110108024000,116.324906,40.014251,12950790.337209444,4841295.915625262
50,东升地区_110108024000,116.32549,40.014225,12950855.685769316,4841291.664395028
