﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,东四街道_110101006000,116.412447,39.931043,12960524.966081304,4829341.515945026
1,东四街道_110101006000,116.411869,39.930973,12960460.34306612,4829332.688202295
2,东四街道_110101006000,116.411291,39.930903,12960395.727182511,4829323.794326043
3,东四街道_110101006000,116.410996,39.931504,12960362.748586737,4829411.382324374
4,东四街道_110101006000,116.41158,39.93148,12960428.057445414,4829406.625251791
5,东四街道_110101006000,116.412164,39.931456,12960493.343370983,4829401.879916524
6,东四街道_110101006000,116.411122,39.924193,12960376.77111253,4828353.919660545
7,东四街道_110101006000,116.411406,39.923801,12960408.525500828,4828296.611384257
8,东四街道_110101006000,116.4111,39.927666,12960374.319849975,4828856.096369446
9,东四街道_110101006000,116.411141,39.928111,12960378.90037102,4828920.379822849
10,东四街道_110101006000,116.4111,39.927666,12960374.319849975,4828856.096369446
11,东四街道_110101006000,116.411279,39.927241,12960394.29142182,4828794.296746101
12,东四街道_110101006000,116.411631,39.926883,12960433.657504434,4828741.737368218
13,东四街道_110101006000,116.411229,39.92512,12960388.706915474,4828487.715424957
14,东四街道_110101006000,116.411139,39.924678,12960378.640998635,4828423.972561336
15,东四街道_110101006000,116.411112,39.930043,12960375.688587263,4829199.853334739
16,东四街道_110101006000,116.411556,39.930337,12960425.341288649,4829241.403624205
17,东四街道_110101006000,116.41198,39.930647,12960472.752897326,4829285.295884812
18,东四街道_110101006000,116.411112,39.930043,12960375.688587263,4829199.853334739
19,东四街道_110101006000,116.41101,39.929604,12960364.275163785,4829136.594916501
20,东四街道_110101006000,116.411027,39.929154,12960366.15469524,4829071.481833398
21,东四街道_110101006000,116.411194,39.928726,12960384.81738032,4829009.194807243
22,东四街道_110101006000,116.411229,39.92512,12960388.706915474,4828487.715424957
23,东四街道_110101006000,116.411556,39.925494,12960425.300405256,4828541.07346948
24,东四街道_110101006000,116.411948,39.925828,12960469.121403052,4828588.518614939
25,东四街道_110101006000,116.411406,39.923801,12960408.525500828,4828296.611384257
26,东四街道_110101006000,116.411988,39.923764,12960473.59813937,4828289.957657779
27,东四街道_110101006000,116.412572,39.923763,12960538.919766728,4828288.488372076
28,东四街道_110101006000,116.412099,39.928457,12960486.005261982,4828968.316415946
29,东四街道_110101006000,116.411515,39.928482,12960420.68940853,4828973.254975924
30,东四街道_110101006000,116.411465,39.926089,12960415.093274469,4828627.321346882
31,东四街道_110101006000,116.412049,39.926118,12960480.408039724,4828630.230122991
32,东四街道_110101006000,116.412282,39.931452,12960506.547129374,4829401.034588658
33,东四街道_110101006000,116.411876,39.931776,12960461.144911332,4829448.832655875
34,东四街道_110101006000,116.411684,39.926842,12960439.576238977,4828735.701786063
35,东四街道_110101006000,116.411841,39.926734,12960457.150589837,4828719.754527557
36,东四街道_110101006000,116.411852,39.927184,12960458.390674422,4828784.803656339
37,东四街道_110101006000,116.411864,39.927635,12960459.722977908,4828849.969652717
38,东四街道_110101006000,116.412001,39.926611,12960475.02923285,4828701.602939803
39,东四街道_110101006000,116.411973,39.925848,12960471.913474591,4828591.367300062
40,东四街道_110101006000,116.412001,39.926611,12960475.02923285,4828701.602939803
41,东四街道_110101006000,116.412008,39.927062,12960475.844094127,4828766.816763547
42,东四街道_110101006000,116.412016,39.927512,12960476.720839618,4828831.87346609
43,东四街道_110101006000,116.412024,39.927962,12960477.629106414,4828896.930528641
44,东四街道_110101006000,116.412001,39.926611,12960475.02923285,4828701.602939803
45,东四街道_110101006000,116.412099,39.928457,12960486.005261982,4828968.316415946
46,东四街道_110101006000,116.412099,39.928457,12960486.005261982,4828968.316415946
47,东四街道_110101006000,116.412125,39.926501,12960488.90172273,4828685.449057662
48,东四街道_110101006000,116.412146,39.928462,12960491.286685815,4828968.959341114
49,东四街道_110101006000,116.412146,39.928462,12960491.286685815,4828968.959341114
50,东四街道_110101006000,116.41224,39.927544,12960501.761915114,4828836.016544037
51,东四街道_110101006000,116.412229,39.927093,12960500.520814266,4828770.8101065615
52,东四街道_110101006000,116.412218,39.926643,12960499.311231716,4828705.721695338
53,东四街道_110101006000,116.412327,39.926341,12960511.486846082,4828661.828588205
54,东四街道_110101006000,116.412262,39.928479,12960504.247615185,4828971.139395164
55,东四街道_110101006000,116.412262,39.928479,12960504.247615185,4828971.139395164
56,东四街道_110101006000,116.412279,39.928028,12960506.130521197,4828905.909309522
57,东四街道_110101006000,116.412538,39.931316,12960535.169419147,4829380.819831784
58,东四街道_110101006000,116.412439,39.93176,12960524.12760418,4829445.256431839
59,东四街道_110101006000,116.412319,39.932201,12960510.689059488,4829509.26926138
60,东四街道_110101006000,116.412282,39.931452,12960506.547129374,4829401.034588658
61,东四街道_110101006000,116.412359,39.927629,12960515.08682768,4828847.994818175
62,东四街道_110101006000,116.412348,39.927178,12960513.845478728,4828782.788306735
63,东四街道_110101006000,116.412337,39.926728,12960512.63564358,4828717.778267471
64,东四街道_110101006000,116.412327,39.926341,12960511.486846082,4828661.828588205
65,东四街道_110101006000,116.412331,39.926132,12960511.914677544,4828631.618340733
66,东四街道_110101006000,116.412494,39.928529,12960530.170299623,4828977.849933756
67,东四街道_110101006000,116.412405,39.927809,12960520.215795428,4828873.939988146
68,东四街道_110101006000,116.412387,39.928259,12960518.210860545,4828939.015244691
69,东四街道_110101006000,116.412447,39.931043,12960524.966081304,4829341.515945026
70,东四街道_110101006000,116.412399,39.93096,12960519.592157217,4829329.617025337
71,东四街道_110101006000,116.4124,39.93051,12960519.708106276,4829264.572897851
72,东四街道_110101006000,116.412389,39.930059,12960518.45925022,4829199.360314962
73,东四街道_110101006000,116.412402,39.929609,12960519.913128918,4829134.2527184645
74,东四街道_110101006000,116.412477,39.92766,12960528.29094364,4828852.207824436
75,东四街道_110101006000,116.412469,39.92721,12960527.383382415,4828787.151697028
76,东四街道_110101006000,116.41246,39.926759,12960526.355577938,4828721.981225128
77,东四街道_110101006000,116.412451,39.926309,12960525.359287454,4828656.928774515
78,东四街道_110101006000,116.412463,39.926234,12960526.695917666,4828646.076930679
79,东四街道_110101006000,116.412428,39.929447,12960522.826333812,4829110.776819925
80,东四街道_110101006000,116.412604,39.926234,12960542.480684958,4828645.7664874885
81,东四街道_110101006000,116.412447,39.931043,12960524.966081304,4829341.515945026
82,东四街道_110101006000,116.412526,39.928538,12960533.752208866,4828979.074007627
83,东四街道_110101006000,116.412518,39.928989,12960532.872269012,4829044.325030983
84,东四街道_110101006000,116.412494,39.928529,12960530.170299623,4828977.849933756
85,东四街道_110101006000,116.412494,39.928529,12960530.170299623,4828977.849933756
86,东四街道_110101006000,116.412511,39.928079,12960532.083506722,4828912.7365235
87,东四街道_110101006000,116.412612,39.928518,12960543.37492199,4828975.981774044
88,东四街道_110101006000,116.412538,39.931316,12960535.169419147,4829380.819831784
89,东四街道_110101006000,116.412596,39.927675,12960541.556145364,4828854.143505984
90,东四街道_110101006000,116.412598,39.927224,12960541.802047942,4828788.907790485
91,东四街道_110101006000,116.412601,39.926774,12960542.14017801,4828723.828130879
92,东四街道_110101006000,116.412603,39.926323,12960542.358060176,4828658.63414407
93,东四街道_110101006000,116.412604,39.926234,12960542.480684958,4828645.7664874885
94,东四街道_110101006000,116.41264,39.927784,12960546.503577683,4828869.775214384
95,东四街道_110101006000,116.412623,39.928235,12960544.61991374,4828935.044471295
96,东四街道_110101006000,116.41273,39.928496,12960556.579833066,4828972.543504958
97,东四街道_110101006000,116.412643,39.931238,12960546.915861884,4829369.250918089
98,东四街道_110101006000,116.413227,39.931257,12960612.245506568,4829370.655230296
99,东四街道_110101006000,116.412713,39.927683,12960554.66988984,4828855.022039578
100,东四街道_110101006000,116.412715,39.927232,12960554.8854178,4828789.826115137
101,东四街道_110101006000,116.412718,39.926782,12960555.223533029,4828724.746413535
102,东四街道_110101006000,116.41272,39.926331,12960555.471757738,4828659.51257008
103,东四街道_110101006000,116.412721,39.926234,12960555.5337763,4828645.508626686
104,东四街道_110101006000,116.412757,39.92778,12960559.587130936,4828868.967272893
105,东四街道_110101006000,116.41274,39.92823,12960557.673064535,4828934.080367032
106,东四街道_110101006000,116.412847,39.92848,12960569.663591402,4828969.969575369
107,东四街道_110101006000,116.412807,39.926234,12960565.156814445,4828645.278646481
108,东四街道_110101006000,116.415944,39.925975,12960916.052777734,4828600.284180509
109,东四街道_110101006000,116.415362,39.925932,12960850.939562935,4828595.527657125
110,东四街道_110101006000,116.414777,39.92593,12960785.496948523,4828596.680892955
111,东四街道_110101006000,116.414192,39.925932,12960720.090296676,4828598.361178697
112,东四街道_110101006000,116.413615,39.926,12960655.538730912,4828609.571848438
113,东四街道_110101006000,116.413061,39.926143,12960593.603056502,4828631.532558182
114,东四街道_110101006000,116.412837,39.92628,12960568.525804134,4828651.840463129
115,东四街道_110101006000,116.41283,39.92769,12960567.753556434,4828855.782461703
116,东四街道_110101006000,116.412832,39.927239,12960567.969071874,4828790.547282743
117,东四街道_110101006000,116.412835,39.926789,12960568.276821611,4828725.428921469
118,东四街道_110101006000,116.412837,39.926338,12960568.525030147,4828660.23427034
119,东四街道_110101006000,116.412874,39.927777,12960572.670952342,4828868.275976396
120,东四街道_110101006000,116.412857,39.928227,12960570.787196446,4828933.388608906
121,东四街道_110101006000,116.412965,39.92847,12960582.869046504,4828968.255175498
122,东四街道_110101006000,116.41307,39.926612,12960594.598809114,4828699.329901572
123,东四街道_110101006000,116.412947,39.927695,12960580.837506862,4828856.188832715
124,东四街道_110101006000,116.412949,39.927245,12960581.053005274,4828791.110527497
125,东四街道_110101006000,116.412952,39.926794,12960581.391109023,4828725.913078647
126,东四街道_110101006000,116.412991,39.927775,12960585.785398418,4828867.661502949
127,东四街道_110101006000,116.412974,39.928225,12960583.871240553,4828932.774881238
