﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,东小口地区_110114007000,116.33473,40.105038,12951890.75853034,4854448.223900751
1,东小口地区_110114007000,116.334677,40.10459,12951884.861669034,4854383.242766902
2,东小口地区_110114007000,116.334614,40.104143,12951877.816384332,4854318.378799921
3,东小口地区_110114007000,116.334508,40.1037,12951865.969639162,4854254.101058118
4,东小口地区_110114007000,116.33441,40.103257,12951855.027138792,4854189.825471025
5,东小口地区_110114007000,116.334319,40.102812,12951844.837960033,4854125.315629817
6,东小口地区_110114007000,116.334246,40.102366,12951836.670303822,4854060.611267068
7,东小口地区_110114007000,116.334223,40.101917,12951834.087125396,4853995.477541253
8,东小口地区_110114007000,116.334246,40.101467,12951836.63572682,4853930.228384798
9,东小口地区_110114007000,116.334306,40.10102,12951843.289615624,4853865.453591671
10,东小口地区_110114007000,116.334418,40.100579,12951855.769638691,4853801.548656196
11,东小口地区_110114007000,116.334575,40.100145,12951873.260119298,4853738.67258918
12,东小口地区_110114007000,116.334704,40.099706,12951887.608838355,4853675.088457251
13,东小口地区_110114007000,116.334804,40.099263,12951898.725639705,4853610.873301179
14,东小口地区_110114007000,116.334896,40.098818,12951908.965550972,4853546.383013811
15,东小口地区_110114007000,116.334986,40.098374,12951918.96271452,4853482.011527992
16,东小口地区_110114007000,116.335074,40.097929,12951928.747275742,4853417.562158434
17,东小口地区_110114007000,116.335294,40.097516,12951953.262155771,4853357.741397331
18,东小口地区_110114007000,116.335514,40.097351,12951977.759768626,4853333.954835512
19,东小口地区_110114007000,116.335514,40.097351,12951977.759768626,4853333.954835512
20,东小口地区_110114007000,116.335335,40.096976,12951957.78610278,4853279.48042864
21,东小口地区_110114007000,116.335398,40.09653,12951964.789749436,4853214.872504579
22,东小口地区_110114007000,116.335498,40.096086,12951975.897075834,4853150.509600924
23,东小口地区_110114007000,116.335597,40.095643,12951986.882510498,4853086.344491457
24,东小口地区_110114007000,116.335721,40.095204,12952000.673618035,4853022.737989635
25,东小口地区_110114007000,116.336029,40.094823,12952035.017881772,4852967.643965742
26,东小口地区_110114007000,116.335514,40.097351,12951977.759768626,4853333.954835512
27,东小口地区_110114007000,116.336094,40.097414,12952042.435045866,4853343.396554813
28,东小口地区_110114007000,116.336679,40.09744,12952107.668939976,4853347.537784255
29,东小口地区_110114007000,116.337265,40.097466,12952172.980835697,4853351.7265762985
30,东小口地区_110114007000,116.33785,40.097492,12952238.189798512,4853355.961981957
31,东小口地区_110114007000,116.338431,40.097438,12952302.929232609,4853348.63870071
32,东小口地区_110114007000,116.336126,40.094742,12952045.7844935,4852955.953468863
33,东小口地区_110114007000,116.336126,40.094742,12952045.7844935,4852955.953468863
34,东小口地区_110114007000,116.335958,40.094313,12952027.04360087,4852893.679698538
35,东小口地区_110114007000,116.335995,40.093865,12952031.113291156,4852828.715465994
36,东小口地区_110114007000,116.336094,40.093421,12952042.09263066,4852764.43937533
37,东小口地区_110114007000,116.336194,40.092978,12952053.221734738,4852700.243809083
38,东小口地区_110114007000,116.336904,40.09272,12952132.338227017,4852663.304858705
39,东小口地区_110114007000,116.336327,40.092642,12952068.009465002,4852651.596794496
40,东小口地区_110114007000,116.336272,40.092635,12952061.913931465,4852650.555403665
41,东小口地区_110114007000,116.336306,40.092574,12952065.680541657,4852641.717476359
42,东小口地区_110114007000,116.336448,40.092004,12952081.443161815,4852559.172450447
43,东小口地区_110114007000,116.336288,40.092433,12952063.67745808,4852621.298502995
44,东小口地区_110114007000,116.336891,40.092629,12952130.882715425,4852650.084067156
45,东小口地区_110114007000,116.336448,40.092004,12952081.443161815,4852559.172450447
46,东小口地区_110114007000,116.337199,40.094821,12952165.412341207,4852968.1752423085
47,东小口地区_110114007000,116.336692,40.091409,12952108.60580815,4852473.0518722655
48,东小口地区_110114007000,116.336692,40.091409,12952108.60580815,4852473.0518722655
49,东小口地区_110114007000,116.336733,40.090962,12952113.12212765,4852408.250875504
50,东小口地区_110114007000,116.33683,40.090518,12952123.882778158,4852343.945323439
51,东小口地区_110114007000,116.336996,40.090089,12952142.336273056,4852281.873712689
52,东小口地区_110114007000,116.336821,40.091725,12952122.99332416,4852518.964173013
53,东小口地区_110114007000,116.337389,40.091837,12952186.319501951,4852535.584043302
54,东小口地区_110114007000,116.340796,40.089781,12952565.582832124,4852240.864288135
55,东小口地区_110114007000,116.340302,40.090022,12952510.614127591,4852275.258248933
56,东小口地区_110114007000,116.339738,40.090134,12952447.818887817,4852290.82705752
57,东小口地区_110114007000,116.339153,40.090137,12952382.681390535,4852290.690486274
58,东小口地区_110114007000,116.338569,40.090105,12952317.619004622,4852285.487261077
59,东小口地区_110114007000,116.337985,40.090062,12952252.543407995,4852278.717542058
60,东小口地区_110114007000,116.337403,40.090011,12952187.696102308,4852270.854707682
61,东小口地区_110114007000,116.337094,40.089968,12952153.245195664,4852264.415254203
62,东小口地区_110114007000,116.337057,40.089521,12952149.071167374,4852199.542277737
63,东小口地区_110114007000,116.337215,40.08909,12952166.646976274,4852137.157810018
64,东小口地区_110114007000,116.337554,40.088725,12952204.40574902,4852084.464721348
65,东小口地区_110114007000,116.337192,40.087074,12952163.856599856,4851844.844173772
66,东小口地区_110114007000,116.337242,40.086626,12952169.36174066,4851779.93379186
67,东小口地区_110114007000,116.337291,40.086178,12952174.775804998,4851714.984251077
68,东小口地区_110114007000,116.337199,40.094821,12952165.412341207,4852968.1752423085
69,东小口地区_110114007000,116.33745,40.095226,12952193.432914454,4853027.057954344
70,东小口地区_110114007000,116.337582,40.095664,12952208.182466976,4853090.684870719
71,东小口地区_110114007000,116.337199,40.094821,12952165.412341207,4852968.1752423085
72,东小口地区_110114007000,116.337483,40.09443,12952197.05423789,4852911.63721496
73,东小口地区_110114007000,116.33755,40.093985,12952204.47023602,4852847.207424012
74,东小口地区_110114007000,116.33755,40.093535,12952204.435208453,4852781.956910148
75,东小口地区_110114007000,116.33755,40.093086,12952204.399447108,4852716.863787937
76,东小口地区_110114007000,116.337512,40.091872,12952200.04608062,4852540.75887514
77,东小口地区_110114007000,116.337547,40.092321,12952203.974734483,4852605.909001669
78,东小口地区_110114007000,116.337512,40.091872,12952200.04608062,4852540.75887514
79,东小口地区_110114007000,116.338083,40.091782,12952263.642372629,4852528.211117934
80,东小口地区_110114007000,116.364458,40.088928,12955191.852859538,4852172.001305559
81,东小口地区_110114007000,116.363873,40.088908,12955127.034560822,4852167.420784057
82,东小口地区_110114007000,116.363287,40.088887,12955062.126233744,4852162.719855459
83,东小口地区_110114007000,116.362701,40.088866,12954997.15754865,4852157.979367883
84,东小口地区_110114007000,116.362115,40.088846,12954932.218268355,4852153.39959817
85,东小口地区_110114007000,116.361529,40.088825,12954867.277817642,4852148.70597848
86,东小口地区_110114007000,116.360943,40.088805,12954802.335938392,4852144.096623644
87,东小口地区_110114007000,116.360357,40.088784,12954737.392142314,4852139.415667216
88,东小口地区_110114007000,116.359771,40.088764,12954672.416163055,4852134.860508908
89,东小口地区_110114007000,116.359185,40.088743,12954607.467486491,4852130.198017254
90,东小口地区_110114007000,116.3586,40.088722,12954542.635806562,4852125.471017604
91,东小口地区_110114007000,116.358014,40.088702,12954477.650828894,4852120.98932507
92,东小口地区_110114007000,116.357428,40.088681,12954412.69195263,4852116.286553192
93,东小口地区_110114007000,116.356842,40.088661,12954347.729078474,4852111.796041714
94,东小口地区_110114007000,116.356256,40.08864,12954282.76160802,4852107.165196365
