﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,东邵渠镇_110118113000,116.849385,40.300454,13009143.60935095,4882855.123588717
1,东邵渠镇_110118113000,116.849066,40.300076,13009108.349955147,4882799.429906963
2,东邵渠镇_110118113000,116.849337,40.302602,13009138.502428686,4883167.500130612
3,东邵渠镇_110118113000,116.849272,40.302155,13009131.297119845,4883102.315481918
4,东邵渠镇_110118113000,116.852119,40.298842,13009445.560731584,4882626.83029108
5,东邵渠镇_110118113000,116.851625,40.2986,13009390.966578064,4882590.515379809
6,东邵渠镇_110118113000,116.852912,40.300843,13009533.323969008,4882919.600833146
7,东邵渠镇_110118113000,116.853499,40.300861,13009598.216307083,4882923.432779447
8,东邵渠镇_110118113000,116.854061,40.300991,13009660.359017866,4882943.556519312
9,东邵渠镇_110118113000,116.854617,40.301133,13009721.84764314,4882965.341081617
10,东邵渠镇_110118113000,116.8552,40.301077,13009786.27305859,4882958.362498693
11,东邵渠镇_110118113000,116.855333,40.301066,13009800.991353964,4882957.000298765
12,东邵渠镇_110118113000,116.856529,40.301337,13009933.257032882,4882998.760094548
13,东邵渠镇_110118113000,116.85597,40.301203,13009871.416518478,4882978.195615727
14,东邵渠镇_110118113000,116.856529,40.301337,13009933.257032882,4882998.760094548
15,东邵渠镇_110118113000,116.856799,40.301735,13009963.150700089,4883057.163748266
16,东邵渠镇_110118113000,116.856832,40.301792,13009966.820466124,4883065.517883111
17,东邵渠镇_110118113000,116.857391,40.30193,13010028.672527304,4883086.593645986
18,东邵渠镇_110118113000,116.857947,40.302076,13010090.171997942,4883108.818500102
19,东邵渠镇_110118113000,116.8585,40.30223,13010151.379129194,4883132.193063221
20,东邵渠镇_110118113000,116.859061,40.302359,13010213.464156205,4883151.923524494
21,东邵渠镇_110118113000,116.85964,40.302438,13010277.538294656,4883164.356807415
22,东邵渠镇_110118113000,116.860193,40.30259,13010338.769953076,4883187.323423565
23,东邵渠镇_110118113000,116.860743,40.302751,13010399.679992862,4883211.594495742
24,东邵渠镇_110118113000,116.859879,40.316295,13010305.487914313,4885180.9543105215
25,东邵渠镇_110118113000,116.859422,40.316022,13010254.915369716,4885140.499860667
26,东邵渠镇_110118113000,116.858923,40.315783,13010199.632364508,4885104.877150466
27,东邵渠镇_110118113000,116.858425,40.315544,13010144.506194798,4885069.272225234
28,东邵渠镇_110118113000,116.857926,40.315304,13010089.26599903,4885033.483745528
29,东邵渠镇_110118113000,116.8625,40.304319,13010594.431832414,4883442.191533403
30,东邵渠镇_110118113000,116.862224,40.303922,13010563.800903706,4883384.086933039
31,东邵渠镇_110118113000,116.861863,40.303568,13010523.789800374,4883332.074329671
32,东邵渠镇_110118113000,116.861498,40.303216,13010483.332016096,4883280.356639973
33,东邵渠镇_110118113000,116.861228,40.311665,13010454.313455716,4884509.236141036
34,东邵渠镇_110118113000,116.861214,40.311216,13010452.703689096,4884443.903204579
35,东邵渠镇_110118113000,116.861271,40.310768,13010458.975211252,4884378.806863182
36,东邵渠镇_110118113000,116.861339,40.310321,13010466.450584412,4884313.847034494
37,东邵渠镇_110118113000,116.86119,40.309888,13010449.894356776,4884250.661128671
38,东邵渠镇_110118113000,116.861172,40.309833,13010447.903767755,4884242.620902147
39,东邵渠镇_110118113000,116.861412,40.309422,13010474.454140306,4884183.154779546
40,东邵渠镇_110118113000,116.861653,40.309011,13010501.066821937,4884123.683749175
41,东邵渠镇_110118113000,116.861894,40.308601,13010527.741961174,4884064.36555189
42,东邵渠镇_110118113000,116.861914,40.313109,13010530.449778665,4884720.365329914
43,东邵渠镇_110118113000,116.861649,40.31271,13010501.046553636,4884661.932383067
44,东邵渠镇_110118113000,116.861965,40.308479,13010535.55246529,4884046.680635802
45,东邵渠镇_110118113000,116.862116,40.308045,13010552.269639984,4883983.782538232
46,东邵渠镇_110118113000,116.862349,40.307632,13010578.01628174,4883923.966775206
47,东邵渠镇_110118113000,116.86244,40.307189,13010588.05574923,4883859.630522023
48,东邵渠镇_110118113000,116.862475,40.30674,13010591.867110612,4883794.380520908
49,东邵渠镇_110118113000,116.862475,40.30629,13010591.827649852,4883728.88129772
50,东邵渠镇_110118113000,116.863278,40.314797,13010681.771891205,4884967.719113373
51,东邵渠镇_110118113000,116.862787,40.315044,13010627.38898421,4885003.078442943
52,东邵渠镇_110118113000,116.864389,40.314842,13010804.888109785,4884975.576678398
53,东邵渠镇_110118113000,116.863801,40.314813,13010739.742437698,4884970.655717205
54,东邵渠镇_110118113000,116.866389,40.31582,13011026.785652751,4885119.81790642
55,东邵渠镇_110118113000,116.865854,40.315635,13010967.42734831,4885092.408981491
56,东邵渠镇_110118113000,116.865374,40.315375,13010914.153592885,4885054.135522043
57,东邵渠镇_110118113000,116.864894,40.315116,13010860.917742211,4885015.952049552
58,东邵渠镇_110118113000,116.864414,40.314857,13010807.65939364,4884977.7398836585
59,东邵渠镇_110118113000,116.866389,40.31582,13011026.785652751,4885119.81790642
60,东邵渠镇_110118113000,116.866351,40.316268,13011022.61710002,4885184.975567771
61,东邵渠镇_110118113000,116.866148,40.31669,13011000.131816331,4885246.249351761
62,东邵渠镇_110118113000,116.865938,40.317111,13010976.89488375,4885307.274080754
63,东邵渠镇_110118113000,116.866389,40.31582,13011026.785652751,4885119.81790642
64,东邵渠镇_110118113000,116.866444,40.315795,13011032.898023162,4885116.204531644
65,东邵渠镇_110118113000,116.866791,40.315436,13011071.329414992,4885064.2620414775
66,东邵渠镇_110118113000,116.86701,40.315019,13011095.5677093,4885003.77712949
67,东邵渠镇_110118113000,116.867229,40.314601,13011119.80770868,4884943.089122976
68,东邵渠镇_110118113000,116.866734,40.309251,13011064.274914574,4884164.218397758
69,东邵渠镇_110118113000,116.867274,40.309424,13011124.188242214,4884189.79184941
70,东邵渠镇_110118113000,116.867835,40.309553,13011186.458158985,4884208.992119197
71,东邵渠镇_110118113000,116.868356,40.309761,13011244.315886838,4884239.563407552
72,东邵渠镇_110118113000,116.869316,40.312706,13011351.241732463,4884668.606923298
73,东邵渠镇_110118113000,116.868903,40.313026,13011305.418337518,4884714.972831201
74,东邵渠镇_110118113000,116.868489,40.313346,13011259.480581854,4884761.275800783
75,东邵渠镇_110118113000,116.868066,40.313659,13011212.583908688,4884806.601914615
76,东邵渠镇_110118113000,116.867641,40.31397,13011165.45234732,4884851.586961969
77,东邵渠镇_110118113000,116.867363,40.314363,13011134.637239346,4884908.562261097
78,东邵渠镇_110118113000,116.869317,40.312703,13011351.362026362,4884668.173534482
79,东邵渠镇_110118113000,116.869659,40.312336,13011389.256140787,4884614.915045407
80,东邵渠镇_110118113000,116.870009,40.269125,13011427.20241351,4878331.356126016
81,东邵渠镇_110118113000,116.869796,40.268706,13011403.539205171,4878270.381018684
82,东邵渠镇_110118113000,116.869469,40.268332,13011367.269678429,4878215.911689759
83,东邵渠镇_110118113000,116.871167,40.309435,13011556.4540631,4884193.311678678
84,东邵渠镇_110118113000,116.870734,40.309134,13011508.308467995,4884149.366023162
