﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,东风街道_110111005000,115.925834,39.762168,12906319.670770863,4804911.148584175
1,东风街道_110111005000,115.926411,39.762231,12906384.194042122,4804919.408267133
2,东风街道_110111005000,115.926743,39.762269,12906421.32418466,4804924.432038816
3,东风街道_110111005000,115.927308,39.762159,12906484.540865652,4804907.694638795
4,东风街道_110111005000,115.927475,39.762131,12906503.219214574,4804903.422292243
5,东风街道_110111005000,115.927666,39.762556,12906524.564604664,4804964.439243268
6,东风街道_110111005000,115.927777,39.762818,12906536.977259066,4805002.03956087
7,东风街道_110111005000,115.928357,39.762853,12906601.89803602,4805006.183063673
8,东风街道_110111005000,115.928938,39.762813,12906666.924343385,4804999.415150894
9,东风街道_110111005000,115.929029,39.762802,12906677.085823791,4804997.721360306
10,东风街道_110111005000,115.929061,39.762829,12906680.66289836,4805001.535052482
11,东风街道_110111005000,115.929557,39.763064,12906736.154350562,4805034.598465566
12,东风街道_110111005000,115.931489,39.7635,12906952.511650158,4805094.003493481
13,东风街道_110111005000,115.930912,39.763431,12906887.8515606,4805085.13590244
14,东风街道_110111005000,115.930336,39.76336,12906823.381385064,4805075.922895762
15,东风街道_110111005000,115.933657,39.764275,12907195.336552406,4805201.507037746
16,东风街道_110111005000,115.933912,39.76468,12907223.90282062,4805259.378945989
17,东风街道_110111005000,115.934951,39.765489,12907340.277263973,4805373.883209664
18,东风街道_110111005000,115.934495,39.76521,12907289.197668198,4805334.646246387
19,东风街道_110111005000,115.934057,39.764915,12907240.12660317,4805292.968372059
20,东风街道_110111005000,115.933927,39.764705,12907225.570615051,4805262.944378498
21,东风街道_110111005000,115.933927,39.764705,12907225.570615051,4805262.944378498
22,东风街道_110111005000,115.93446,39.764525,12907285.33687696,4805235.865398599
23,东风街道_110111005000,115.934951,39.765489,12907340.277263973,4805373.883209664
24,东风街道_110111005000,115.934797,39.765921,12907322.993298694,4805436.563642425
25,东风街道_110111005000,115.934542,39.766326,12907294.38584421,4805495.485991069
26,东风街道_110111005000,115.934212,39.766691,12907257.37220675,4805548.825087519
27,东风街道_110111005000,115.934951,39.765489,12907340.277263973,4805373.883209664
28,东风街道_110111005000,115.935086,39.765463,12907355.431845268,4805369.850117752
29,东风街道_110111005000,115.935668,39.765431,12907420.66308319,4805363.975872052
30,东风街道_110111005000,115.935517,39.779193,12907402.532200892,4807349.360824971
31,东风街道_110111005000,115.935156,39.779537,12907362.045400957,4807399.74759641
32,东风街道_110111005000,115.936359,39.76555,12907498.12635293,4805379.648039041
33,东风街道_110111005000,115.936359,39.76555,12907498.12635293,4805379.648039041
34,东风街道_110111005000,115.936936,39.765483,12907562.824879834,4805368.697190989
35,东风街道_110111005000,115.936981,39.765137,12907567.89572371,4805318.706311955
36,东风街道_110111005000,115.936981,39.765137,12907567.89572371,4805318.706311955
37,东风街道_110111005000,115.937155,39.764707,12907587.461317403,4805256.269989985
38,东风街道_110111005000,115.937316,39.764274,12907605.538431237,4805193.4738119785
39,东风街道_110111005000,115.936994,39.765475,12907569.325436348,4805367.45966026
40,东风街道_110111005000,115.937083,39.76533,12907579.330545863,4805346.310533038
41,东风街道_110111005000,115.937014,39.76552,12907571.59968966,4805373.8649624735
42,东风街道_110111005000,115.937343,39.765889,12907608.472955983,4805426.378108099
43,东风街道_110111005000,115.937308,39.765273,12907604.57628544,4805337.579616383
44,东风街道_110111005000,115.937533,39.764675,12907629.836646764,4805250.83760759
45,东风街道_110111005000,115.93737,39.765108,12907611.515392078,4805313.679985212
46,东风街道_110111005000,115.93828,39.765318,12907713.592712175,4805341.8873935575
47,东风街道_110111005000,115.937716,39.765223,12907650.325624958,4805329.487678434
48,东风街道_110111005000,115.938866,39.765665,12907779.272316808,4805390.602650354
49,东风街道_110111005000,115.938402,39.765904,12907727.243598452,4805426.123133119
50,东风街道_110111005000,115.93782,39.765933,12907661.93012022,4805431.650398068
51,东风街道_110111005000,115.93828,39.765318,12907713.592712175,4805341.8873935575
52,东风街道_110111005000,115.938757,39.765572,12907767.067752564,4805377.420413802
53,东风街道_110111005000,115.93935,39.765721,12907833.556587534,4805397.548116756
54,东风街道_110111005000,115.939206,39.776155,12907816.507364696,4806902.869451024
55,东风街道_110111005000,115.938751,39.77643,12907765.439443473,4806943.580491681
56,东风街道_110111005000,115.940654,39.763987,12907979.957100317,4805144.400787691
57,东风街道_110111005000,115.940119,39.764165,12907919.937097965,4805171.329050176
58,东风街道_110111005000,115.939545,39.764241,12907855.552324168,4805183.639191974
59,东风街道_110111005000,115.93935,39.765721,12907833.556587534,4805397.548116756
60,东风街道_110111005000,115.939926,39.765726,12907898.20744836,4805396.932609191
61,东风街道_110111005000,115.940507,39.765769,12907963.374192111,4805401.772448869
62,东风街道_110111005000,115.940696,39.763759,12907984.714615112,4805111.428939972
63,东风街道_110111005000,115.940257,39.763463,12907935.486503083,4805069.803745848
64,东风街道_110111005000,115.940654,39.763987,12907979.957100317,4805144.400787691
65,东风街道_110111005000,115.940654,39.763987,12907979.957100317,4805144.400787691
66,东风街道_110111005000,115.940696,39.763759,12907984.714615112,4805111.428939972
67,东风街道_110111005000,115.941151,39.763476,12908035.780996308,4805069.521804556
68,东风街道_110111005000,115.940742,39.764073,12907989.855327733,4805156.612797932
69,东风街道_110111005000,115.941093,39.764431,12908029.204260657,4805207.420778732
70,东风街道_110111005000,115.941571,39.764684,12908082.84265725,4805242.793080953
71,东风街道_110111005000,115.942146,39.764728,12908147.346477356,4805247.784269481
