﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,东高地街道_110106006000,116.390774,39.799256,12958105.082176028,4810322.980746447
1,东高地街道_110106006000,116.39134,39.799349,12958168.044146102,4810336.65842029
2,东高地街道_110106006000,116.391923,39.799367,12958232.922909437,4810339.453183401
3,东高地街道_110106006000,116.392507,39.799385,12958297.96493728,4810342.2014092775
4,东高地街道_110106006000,116.390856,39.797687,12958114.28114418,4810096.561675076
5,东高地街道_110106006000,116.390729,39.798123,12958100.136655131,4810159.414198518
6,东高地街道_110106006000,116.390707,39.798573,12958097.667541144,4810224.345871275
7,东高地街道_110106006000,116.390699,39.799022,12958096.738052128,4810289.127632863
8,东高地街道_110106006000,116.390856,39.797687,12958114.28114418,4810096.561675076
9,东高地街道_110106006000,116.391425,39.797603,12958177.616776071,4810084.672488969
10,东高地街道_110106006000,116.392009,39.797602,12958242.58885316,4810084.759567035
11,东高地街道_110106006000,116.392826,39.797624,12958333.532928944,4810088.161107831
12,东高地街道_110106006000,116.392243,39.797604,12958268.63533191,4810085.125834385
13,东高地街道_110106006000,116.392179,39.797602,12958261.512438051,4810084.798908211
14,东高地街道_110106006000,116.391595,39.797598,12958196.506879224,4810084.020812973
15,东高地街道_110106006000,116.391011,39.797596,12958131.513565416,4810083.469861093
16,东高地街道_110106006000,116.390427,39.797594,12958066.56271076,4810082.911501225
17,东高地街道_110106006000,116.389843,39.797591,12958001.563842287,4810082.149870749
18,东高地街道_110106006000,116.389506,39.797789,12957964.06617504,4810110.5354649415
19,东高地街道_110106006000,116.389481,39.798239,12957961.265569342,4810175.461085559
20,东高地街道_110106006000,116.389455,39.798689,12957958.345365984,4810240.386852746
21,东高地街道_110106006000,116.38943,39.799139,12957955.54682308,4810305.314052246
22,东高地街道_110106006000,116.389405,39.799589,12957952.749345126,4810370.202906054
23,东高地街道_110106006000,116.389482,39.79997,12957961.324743306,4810425.249287992
24,东高地街道_110106006000,116.389393,39.800382,12957951.414288834,4810484.660412086
25,东高地街道_110106006000,116.389386,39.800832,12957950.609943436,4810549.601534765
26,东高地街道_110106006000,116.38981,39.800964,12957997.769382058,4810568.909123283
27,东高地街道_110106006000,116.39007,39.801214,12958026.712400047,4810605.17953078
28,东高地街道_110106006000,116.390258,39.801513,12958047.60255201,4810648.413984272
29,东高地街道_110106006000,116.390842,39.801528,12958112.549376464,4810650.864951591
30,东高地街道_110106006000,116.39139,39.801518,12958173.586816914,4810649.656211045
31,东高地街道_110106006000,116.391974,39.801535,12958238.557429023,4810652.329848658
32,东高地街道_110106006000,116.392557,39.801551,12958303.480089838,4810654.799883513
