﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,丰台街道_110106009000,116.260559,39.858158,12943593.351004662,4818792.343043847
1,丰台街道_110106009000,116.260045,39.85837,12943536.373677429,4818822.06249955
2,丰台街道_110106009000,116.260559,39.858158,12943593.351004662,4818792.343043847
3,丰台街道_110106009000,116.260386,39.857728,12943574.137837922,4818729.886906673
4,丰台街道_110106009000,116.260269,39.857466,12943561.160126535,4818691.82466932
5,丰台街道_110106009000,116.260659,39.857131,12943604.386939283,4818644.129676645
6,丰台街道_110106009000,116.260559,39.858158,12943593.351004662,4818792.343043847
7,丰台街道_110106009000,116.261112,39.858298,12943654.717471773,4818813.493422513
8,丰台街道_110106009000,116.260759,39.863551,12943615.84503567,4819571.909201271
9,丰台街道_110106009000,116.261283,39.863358,12943673.982061507,4819544.911386507
10,丰台街道_110106009000,116.260869,39.856932,12943627.654014483,4818615.754754824
11,丰台街道_110106009000,116.260883,39.856924,12943629.21754858,4818614.602542616
12,丰台街道_110106009000,116.261463,39.856885,12943693.556729658,4818609.948865109
13,丰台街道_110106009000,116.262233,39.853996,12943778.705636498,4818193.790643643
14,丰台街道_110106009000,116.261792,39.854292,12943729.837004082,4818235.868094726
15,丰台街道_110106009000,116.261322,39.854558,12943677.722638482,4818273.486943019
16,丰台街道_110106009000,116.262233,39.853996,12943778.705636498,4818193.790643643
17,丰台街道_110106009000,116.261651,39.85404,12943714.173852624,4818199.235506772
18,丰台街道_110106009000,116.261266,39.858327,12943671.7747168,4818817.978033433
19,丰台街道_110106009000,116.261847,39.858377,12943736.245979205,4818826.157026114
20,丰台街道_110106009000,116.262259,39.853938,12943781.58971252,4818185.482216476
21,丰台街道_110106009000,116.261818,39.853644,12943732.6452467,4818142.277538918
22,丰台街道_110106009000,116.261432,39.853306,12943689.779217526,4818092.790524528
23,丰台街道_110106009000,116.261977,39.860013,12943750.80368716,4819062.73111541
24,丰台街道_110106009000,116.261577,39.860339,12943706.41380752,4819109.210961214
25,丰台街道_110106009000,116.261622,39.859633,12943711.373291127,4819007.303482682
26,丰台街道_110106009000,116.261963,39.859999,12943749.238514977,4819060.710411619
27,丰台街道_110106009000,116.262023,39.847552,12943754.756824756,4817262.380434705
28,丰台街道_110106009000,116.261784,39.847283,12943728.224422604,4817223.130084364
29,丰台街道_110106009000,116.261795,39.846833,12943729.412995568,4817158.129146429
30,丰台街道_110106009000,116.261867,39.8463,12943737.301734028,4817081.230656609
31,丰台街道_110106009000,116.261791,39.846744,12943728.952780534,4817145.268025077
32,丰台街道_110106009000,116.261699,39.856866,12943719.72810787,4818607.581629117
33,丰台街道_110106009000,116.262249,39.856713,12943780.73382344,4818586.369202008
34,丰台街道_110106009000,116.261867,39.8463,12943737.301734028,4817081.230656609
35,丰台街道_110106009000,116.262389,39.846107,12943795.20116748,4817054.166478119
36,丰台街道_110106009000,116.261752,39.864165,12943726.0183495,4819662.298808344
37,丰台街道_110106009000,116.261817,39.863719,12943733.22655862,4819597.968977002
38,丰台街道_110106009000,116.262049,39.863132,12943758.93253559,4819513.517429324
39,丰台街道_110106009000,116.261894,39.858379,12943741.48102074,4818826.544306423
40,丰台街道_110106009000,116.262295,39.858051,12943785.93148674,4818779.776665729
41,丰台街道_110106009000,116.26324,39.847592,12943889.813423963,4817270.056091214
42,丰台街道_110106009000,116.262657,39.84761,12943825.111912277,4817271.763877401
43,丰台街道_110106009000,116.262079,39.847566,12943760.986265536,4817264.504977686
44,丰台街道_110106009000,116.26226,39.86005,12943782.186998015,4819068.573855129
45,丰台街道_110106009000,116.262049,39.863132,12943758.93253559,4819513.517429324
46,丰台街道_110106009000,116.262625,39.863207,12943822.844993705,4819525.282844304
47,丰台街道_110106009000,116.2632,39.863285,12943886.677254057,4819537.401041784
48,丰台街道_110106009000,116.262049,39.863132,12943758.93253559,4819513.517429324
49,丰台街道_110106009000,116.262117,39.862685,12943766.46968862,4819449.033087233
50,丰台街道_110106009000,116.262212,39.862241,12943776.984751953,4819385.059438292
51,丰台街道_110106009000,116.262308,39.861798,12943787.61940238,4819321.203932276
52,丰台街道_110106009000,116.262515,39.861379,12943810.561280403,4819261.001436631
53,丰台街道_110106009000,116.262233,39.853996,12943778.705636498,4818193.790643643
54,丰台街道_110106009000,116.262251,39.853988,12943780.720976956,4818192.681695813
55,丰台街道_110106009000,116.262493,39.854398,12943807.622302275,4818252.266446806
56,丰台街道_110106009000,116.262622,39.854836,12943821.94817558,4818315.753808745
57,丰台街道_110106009000,116.262611,39.855285,12943820.776959842,4818380.601567999
58,丰台街道_110106009000,116.262543,39.855733,12943813.285610026,4818445.24728128
59,丰台街道_110106009000,116.262572,39.856181,12943816.535993256,4818510.036655988
60,丰台街道_110106009000,116.262259,39.853938,12943781.58971252,4818185.482216476
61,丰台街道_110106009000,116.262928,39.852439,12943855.705689138,4817969.895358804
62,丰台街道_110106009000,116.262866,39.852887,12943848.881011136,4818034.512647789
63,丰台街道_110106009000,116.262726,39.853323,12943833.387935858,4818097.290968997
64,丰台街道_110106009000,116.262456,39.853722,12943803.448146544,4818154.543054493
65,丰台街道_110106009000,116.262507,39.860915,12943809.63877116,4819193.930852357
66,丰台街道_110106009000,116.262487,39.860468,12943807.422011724,4819129.311939552
67,丰台街道_110106009000,116.2652,39.860013,12944108.572357789,4819067.401019182
68,丰台街道_110106009000,116.264617,39.859987,12944043.83178477,4819062.896195669
69,丰台街道_110106009000,116.264039,39.859921,12943979.642064605,4819052.555810724
70,丰台街道_110106009000,116.263462,39.859854,12943915.583268974,4819042.059257721
71,丰台街道_110106009000,116.262881,39.859851,12943851.08657922,4819040.767048731
72,丰台街道_110106009000,116.262339,39.860013,12943790.941149063,4819063.323989187
73,丰台街道_110106009000,116.262644,39.857745,12943824.63995515,4818736.128373475
