﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,云岗街道_110106012000,116.105997,39.848774,12926439.650664426,4817383.48492815
1,云岗街道_110106012000,116.106574,39.848833,12926503.58009489,4817392.920136065
2,云岗街道_110106012000,116.107109,39.849011,12926562.849655729,4817419.5245419545
3,云岗街道_110106012000,116.106263,39.849835,12926469.201293522,4817537.187578915
4,云岗街道_110106012000,116.106841,39.849879,12926533.275153812,4817544.486170525
5,云岗街道_110106012000,116.106951,39.849873,12926545.45579951,4817543.769355536
6,云岗街道_110106012000,116.107168,39.84987,12926569.486124512,4817543.7061683135
7,云岗街道_110106012000,116.107168,39.84987,12926569.486124512,4817543.7061683135
8,云岗街道_110106012000,116.107215,39.849421,12926574.647506008,4817478.924238632
9,云岗街道_110106012000,116.107221,39.849059,12926575.275187736,4817426.652865466
10,云岗街道_110106012000,116.107522,39.848676,12926608.590304734,4817371.795719771
11,云岗街道_110106012000,116.107615,39.848233,12926618.802274428,4817307.958029896
12,云岗街道_110106012000,116.107667,39.847784,12926624.53224884,4817243.148746928
13,云岗街道_110106012000,116.10723,39.849918,12926576.347584773,4817550.749001103
14,云岗街道_110106012000,116.107362,39.850357,12926591.033621237,4817614.428024313
15,云岗街道_110106012000,116.10739,39.850804,12926594.171186404,4817679.0253707
16,云岗街道_110106012000,116.107329,39.851251,12926587.44396443,4817743.508144158
17,云岗街道_110106012000,116.108908,39.849901,12926762.168865616,4817551.259831023
18,云岗街道_110106012000,116.108326,39.849867,12926697.707459064,4817545.24236069
19,云岗街道_110106012000,116.107744,39.849885,12926633.272066891,4817546.862182448
20,云岗街道_110106012000,116.107315,39.851368,12926585.950442323,4817760.376486297
21,云岗街道_110106012000,116.107197,39.851805,12926572.905679315,4817823.31206436
22,云岗街道_110106012000,116.107259,39.852249,12926579.800148662,4817887.5755692925
23,云岗街道_110106012000,116.108334,39.85235,12926698.857155915,4817904.059957029
24,云岗街道_110106012000,116.107756,39.852409,12926634.876187624,4817911.565292096
25,云岗街道_110106012000,116.108346,39.846704,12926699.597012954,4817088.306972478
26,云岗街道_110106012000,116.108543,39.84628,12926721.351710534,4817027.373994849
27,云岗街道_110106012000,116.108813,39.845882,12926751.224812984,4816970.383570164
28,云岗街道_110106012000,116.109342,39.849295,12926810.150087832,4817464.492114411
29,云岗街道_110106012000,116.10908,39.849696,12926781.17911788,4817521.916630951
30,云岗街道_110106012000,116.111263,39.849543,12927022.73978594,4817504.017702833
31,云岗街道_110106012000,116.110693,39.849447,12926959.688109454,4817489.003843664
32,云岗街道_110106012000,116.110122,39.84935,12926896.478595948,4817473.858634782
33,云岗街道_110106012000,116.109548,39.849279,12926832.933137944,4817462.53849991
34,云岗街道_110106012000,116.129469,39.818333,12929030.84922376,4813038.676074328
35,云岗街道_110106012000,116.129582,39.818775,12929043.360650742,4813102.766707449
36,云岗街道_110106012000,116.129593,39.817292,12929044.454142371,4812888.657246758
37,云岗街道_110106012000,116.129475,39.81773,12929031.44819537,4812951.618087493
38,云岗街道_110106012000,116.12947,39.818179,12929030.961110651,4813016.469924212
39,云岗街道_110106012000,116.129593,39.817292,12929044.454142371,4812888.657246758
40,云岗街道_110106012000,116.130161,39.817204,12929107.188602883,4812877.265630249
41,云岗街道_110106012000,116.130745,39.817204,12929171.70242246,4812878.589108841
42,云岗街道_110106012000,116.131322,39.817254,12929235.412461972,4812887.124035722
43,云岗街道_110106012000,116.129654,39.818972,12929051.326431764,4813131.384384288
44,云岗街道_110106012000,116.130233,39.81902,12929115.239005266,4813139.680193014
45,云岗街道_110106012000,116.130817,39.819015,12929179.753036369,4813140.257470313
46,云岗街道_110106012000,116.1314,39.819006,12929244.15125264,4813140.266744328
47,云岗街道_110106012000,116.13325,39.814097,12929448.212529063,4812435.482503512
48,云岗街道_110106012000,116.13284,39.814412,12929402.9360759,4812480.078805139
49,云岗街道_110106012000,116.132333,39.814635,12929346.939888664,4812511.197942862
50,云岗街道_110106012000,116.131825,39.814856,12929290.82786466,4812541.986016975
