﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,体育馆路街道_110101015000,116.41143,39.886511,12960413.973260935,4822907.371640154
1,体育馆路街道_110101015000,116.411438,39.886958,12960414.843563655,4822971.902618851
2,体育馆路街道_110101015000,116.411659,39.887371,12960439.51035321,4823031.122884767
3,体育馆路街道_110101015000,116.412052,39.887703,12960483.428375732,4823078.211236668
4,体育馆路街道_110101015000,116.413107,39.886213,12960601.524402171,4822860.532917799
5,体育馆路街道_110101015000,116.412526,39.886171,12960536.534456411,4822855.787098534
6,体育馆路街道_110101015000,116.411953,39.886248,12960472.451412454,4822868.20281542
7,体育馆路街道_110101015000,116.411462,39.886487,12960417.556584269,4822903.816002104
8,体育馆路街道_110101015000,116.412213,39.887801,12960501.44887903,4823092.010052089
9,体育馆路街道_110101015000,116.412527,39.889074,12960536.417160733,4823275.250935327
10,体育馆路街道_110101015000,116.412406,39.888634,12960522.95171347,4823211.946733833
11,体育馆路街道_110101015000,116.412374,39.888184,12960519.382367248,4823146.998382949
12,体育馆路街道_110101015000,116.413316,39.886962,12960624.86407395,4822968.269606206
13,体育馆路街道_110101015000,116.412927,39.887299,12960581.329872577,4823017.895709928
14,体育馆路街道_110101015000,116.412561,39.88765,12960540.346845409,4823069.420099413
15,体育馆路街道_110101015000,116.412468,39.889896,12960529.77981563,4823394.131184204
16,体育馆路街道_110101015000,116.412729,39.890297,12960558.941832924,4823451.481871901
17,体育馆路街道_110101015000,116.412874,39.890733,12960575.07796489,4823514.182012644
18,体育馆路街道_110101015000,116.413059,39.891135,12960595.740915475,4823571.812932108
19,体育馆路街道_110101015000,116.413427,39.891484,12960636.87187474,4823621.385969541
20,体育馆路街道_110101015000,116.412527,39.889074,12960536.417160733,4823275.250935327
21,体育馆路街道_110101015000,116.412461,39.88952,12960529.027716467,4823339.826563811
22,体育馆路街道_110101015000,116.412527,39.889074,12960536.417160733,4823275.250935327
23,体育馆路街道_110101015000,116.413112,39.889091,12960601.864564603,4823276.381956729
24,体育馆路街道_110101015000,116.413692,39.889137,12960666.738918364,4823281.654036166
25,体育馆路街道_110101015000,116.414259,39.889234,12960730.12661082,4823294.340850216
26,体育馆路街道_110101015000,116.414843,39.889244,12960795.471830552,4823294.384928444
27,体育馆路街道_110101015000,116.415411,39.889342,12960858.99192352,4823307.14490964
28,体育馆路街道_110101015000,116.415969,39.889477,12960921.389613034,4823325.240468017
29,体育馆路街道_110101015000,116.416527,39.889612,12960983.822132232,4823343.318301887
30,体育馆路街道_110101015000,116.41316,39.886432,12960607.455273552,4822892.04095982
31,体育馆路街道_110101015000,116.413107,39.886213,12960601.524402171,4822860.532917799
32,体育馆路街道_110101015000,116.413316,39.886962,12960624.86407395,4822968.269606206
33,体育馆路街道_110101015000,116.413187,39.886523,12960610.452659557,4822905.148890927
34,体育馆路街道_110101015000,116.413316,39.886962,12960624.86407395,4822968.269606206
35,体育馆路街道_110101015000,116.413867,39.887112,12960686.452324934,4822988.650077591
36,体育馆路街道_110101015000,116.413343,39.885869,12960627.936312135,4822810.307881115
37,体育馆路街道_110101015000,116.41388,39.885417,12960688.02886991,4822743.753813219
38,体育馆路街道_110101015000,116.416468,39.885351,12960977.532269182,4822727.845201796
39,体育馆路街道_110101015000,116.41599,39.885609,12960924.024479983,4822766.359804191
40,体育馆路街道_110101015000,116.41545,39.885777,12960863.603351852,4822791.959609502
41,体育馆路街道_110101015000,116.414871,39.885782,12960798.858295966,4822794.080197569
42,体育馆路街道_110101015000,116.414334,39.885607,12960738.779953351,4822770.0997272935
43,体育馆路街道_110101015000,116.41388,39.885417,12960688.02886991,4822743.753813219
44,体育馆路街道_110101015000,116.414088,39.884996,12960711.352581048,4822682.410671718
45,体育馆路街道_110101015000,116.414393,39.884613,12960745.482954372,4822626.365833789
46,体育馆路街道_110101015000,116.413968,39.891609,12960697.368988756,4823638.179484002
47,体育馆路街道_110101015000,116.414541,39.89154,12960761.444054384,4823626.856236937
48,体育馆路街道_110101015000,116.415063,39.891338,12960819.889941731,4823596.388287772
49,体育馆路街道_110101015000,116.415568,39.887702,12960876.671580795,4823069.777396671
50,体育馆路街道_110101015000,116.415016,39.887552,12960814.915759506,4823049.460789141
51,体育馆路街道_110101015000,116.414472,39.88739,12960754.107194792,4823027.381494432
52,体育馆路街道_110101015000,116.414505,39.884517,12960758.00114031,4822612.231279234
53,体育馆路街道_110101015000,116.415134,39.882926,12960828.45510718,4822380.816514779
54,体育馆路街道_110101015000,116.414722,39.883246,12960782.364024416,4822428.074140034
55,体育馆路街道_110101015000,116.414341,39.883574,12960739.70587573,4822476.386336694
56,体育馆路街道_110101015000,116.414307,39.88402,12960735.90549604,4822540.894517665
57,体育馆路街道_110101015000,116.414477,39.884451,12960754.878926655,4822602.773171007
58,体育馆路街道_110101015000,116.415645,39.884546,12960885.512472857,4822613.6034307815
59,体育馆路街道_110101015000,116.415061,39.884521,12960820.19113943,4822611.431927118
60,体育馆路街道_110101015000,116.414626,39.882066,12960771.702063242,4822257.819454087
61,体育馆路街道_110101015000,116.415009,39.882407,12960814.524528105,4822306.140597829
62,体育馆路街道_110101015000,116.414626,39.882066,12960771.702063242,4822257.819454087
