﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,光明街道_110113002000,116.650708,40.142045,12987010.461929578,4859863.970803421
1,光明街道_110113002000,116.650952,40.142454,12987037.787677858,4859922.830798651
2,光明街道_110113002000,116.651231,40.139326,12987069.386825174,4859468.708019349
3,光明街道_110113002000,116.650978,40.139728,12987040.969252609,4859527.487608003
4,光明街道_110113002000,116.650905,40.140174,12987032.757388905,4859592.265613524
5,光明街道_110113002000,116.650836,40.140621,12987024.940048777,4859657.233087844
6,光明街道_110113002000,116.650767,40.141068,12987017.18361283,4859722.199505883
7,光明街道_110113002000,116.650698,40.141515,12987009.427478883,4859787.087316166
8,光明街道_110113002000,116.650684,40.141963,12987007.800693816,4859852.100183492
9,光明街道_110113002000,116.650718,40.143034,12987011.4773898,4860007.374099046
10,光明街道_110113002000,116.65097,40.142628,12987039.801895836,4859948.047999796
11,光明街道_110113002000,116.650959,40.129066,12987039.823926697,4857981.395797054
12,光明街道_110113002000,116.650924,40.129513,12987035.86619298,4858046.28500166
13,光明街道_110113002000,116.651145,40.128818,12987060.694895267,4857945.102599089
14,光明街道_110113002000,116.650987,40.128591,12987042.994802795,4857912.470086402
15,光明街道_110113002000,116.651361,40.12508,12987085.215469196,4857402.6790915085
16,光明街道_110113002000,116.651184,40.125506,12987065.333104637,4857464.79659899
17,光明街道_110113002000,116.651151,40.125955,12987061.622942686,4857529.956198584
18,光明街道_110113002000,116.651118,40.126404,12987057.88173045,4857595.116371914
19,光明街道_110113002000,116.651085,40.126854,12987054.139738765,4857660.433888004
20,光明街道_110113002000,116.651047,40.127302,12987049.820694864,4857725.4867432
21,光明街道_110113002000,116.651006,40.127751,12987045.197523177,4857790.62384757
22,光明街道_110113002000,116.65096,40.1282,12987039.997174444,4857855.810863773
23,光明街道_110113002000,116.651061,40.129931,12987051.210096631,4858106.650753452
24,光明街道_110113002000,116.650976,40.130374,12987041.60750992,4858171.015114365
25,光明街道_110113002000,116.651024,40.130822,12987046.9639832,4858235.9304599045
26,光明街道_110113002000,116.651268,40.131228,12987074.294898244,4858294.303253518
27,光明街道_110113002000,116.651649,40.13157,12987116.98968907,4858343.217570972
28,光明街道_110113002000,116.651873,40.129917,12987142.285369894,4858103.134344824
29,光明街道_110113002000,116.651287,40.129927,12987076.549458727,4858105.630823487
30,光明街道_110113002000,116.651026,40.142539,12987046.092963278,4859935.02986535
31,光明街道_110113002000,116.652122,40.128822,12987170.314592382,4857943.86001008
32,光明街道_110113002000,116.651535,40.128825,12987104.454715408,4857945.38780481
33,光明街道_110113002000,116.651389,40.125052,12987088.373904187,4857398.569143375
34,光明街道_110113002000,116.651256,40.124616,12987073.478910536,4857335.604444438
35,光明街道_110113002000,116.651261,40.12455,12987074.030484105,4857326.037068147
36,光明街道_110113002000,116.651304,40.124101,12987078.891513346,4857260.816633546
37,光明街道_110113002000,116.651231,40.139326,12987069.386825174,4859468.708019349
38,光明街道_110113002000,116.651547,40.138175,12987104.92934899,4859301.227176305
39,光明街道_110113002000,116.651216,40.138545,12987067.773669563,4859355.494327711
40,光明街道_110113002000,116.651116,40.138984,12987056.527523492,4859419.306088181
41,光明街道_110113002000,116.651389,40.125052,12987088.373904187,4857398.569143375
42,光明街道_110113002000,116.651389,40.125052,12987088.373904187,4857398.569143375
43,光明街道_110113002000,116.651972,40.12504,12987153.746940576,4857395.760053723
44,光明街道_110113002000,116.6525,40.124846,12987213.01087652,4857366.612615303
45,光明街道_110113002000,116.651586,40.135177,12987109.597761173,4858866.390054138
46,光明街道_110113002000,116.651381,40.135488,12987086.560242292,4858911.857961747
47,光明街道_110113002000,116.651394,40.135939,12987087.998133216,4858977.241327352
48,光明街道_110113002000,116.651396,40.136794,12987088.147313152,4859101.216103644
49,光明街道_110113002000,116.651396,40.136344,12987088.19664733,4859035.961597935
50,光明街道_110113002000,116.651396,40.136794,12987088.147313152,4859101.216103644
