﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,六里桥街道_110106008000,116.226009,39.88805,12939770.248186018,4823033.198923383
1,六里桥街道_110106008000,116.225749,39.88765,12939741.49189426,4822975.030492375
2,六里桥街道_110106008000,116.225882,39.888153,12939756.188196229,4823047.8951971615
3,六里桥街道_110106008000,116.226089,39.888574,12939779.07425335,4823109.041555056
4,六里桥街道_110106008000,116.226355,39.88895,12939808.49097957,4823163.741583172
5,六里桥街道_110106008000,116.226823,39.888785,12939860.336972708,4823140.631808963
6,六里桥街道_110106008000,116.22726,39.888486,12939908.730633298,4823098.053832612
7,六里桥街道_110106008000,116.227789,39.888326,12939967.330316188,4823075.8012698125
8,六里桥街道_110106008000,116.228373,39.888308,12940031.982772138,4823074.173610048
9,六里桥街道_110106008000,116.228957,39.888319,12940096.623457655,4823076.7736495165
10,六里桥街道_110106008000,116.229013,39.887906,12940102.82504653,4823017.189222249
11,六里桥街道_110106008000,116.229024,39.887456,12940104.099026142,4822952.191816883
12,六里桥街道_110106008000,116.228945,39.887029,12940095.359097175,4822890.356951132
13,六里桥街道_110106008000,116.228895,39.886584,12940089.866933214,4822825.990658317
14,六里桥街道_110106008000,116.228891,39.886134,12940089.455366006,4822760.96524574
15,六里桥街道_110106008000,116.229288,39.885961,12940133.42234615,4822736.667371115
16,六里桥街道_110106008000,116.22987,39.885916,12940197.843930906,4822731.20270495
17,六里桥街道_110106008000,116.230453,39.885879,12940262.346651684,4822726.985987496
18,六里桥街道_110106008000,116.231037,39.885865,12940326.959600456,4822726.05476454
19,六里桥街道_110106008000,116.230925,39.885538,12940314.606640644,4822678.639503812
20,六里桥街道_110106008000,116.230671,39.885135,12940286.51213761,4822619.884767866
21,六里桥街道_110106008000,116.230671,39.884684,12940286.549219323,4822554.749646896
22,六里桥街道_110106008000,116.230671,39.884234,12940286.585447025,4822489.732177935
23,六里桥街道_110106008000,116.230672,39.883783,12940286.74116225,4822424.56021451
24,六里桥街道_110106008000,116.230673,39.883333,12940286.865912344,4822359.544526367
25,六里桥街道_110106008000,116.230673,39.882882,12940286.869667456,4822294.409121628
26,六里桥街道_110106008000,116.230434,39.882615,12940260.442500958,4822255.325364535
27,六里桥街道_110106008000,116.22985,39.882611,12940195.85273741,4822253.70214516
28,六里桥街道_110106008000,116.229265,39.882607,12940131.10433258,4822252.068773446
29,六里桥街道_110106008000,116.228948,39.882403,12940096.005725585,4822222.001668035
30,六里桥街道_110106008000,116.228981,39.881972,12940099.70411428,4822159.789604095
31,六里桥街道_110106008000,116.228975,39.881522,12940099.0737826,4822094.761306156
32,六里桥街道_110106008000,116.228973,39.881072,12940098.89348823,4822029.740630327
33,六里桥街道_110106008000,116.228416,39.881107,12940037.196287056,4822033.850394072
34,六里桥街道_110106008000,116.227833,39.881082,12939972.668088296,4822029.24623293
35,六里桥街道_110106008000,116.227248,39.881087,12939907.918102404,4822029.063188688
36,六里桥街道_110106008000,116.226664,39.881091,12939843.24889342,4822028.721675243
37,六里桥街道_110106008000,116.226079,39.881096,12939778.44948589,4822028.611375964
38,六里桥街道_110106008000,116.225607,39.881182,12939726.18210084,4822040.348960129
39,六里桥街道_110106008000,116.225601,39.881632,12939725.489770932,4822105.357033983
40,六里桥街道_110106008000,116.225582,39.882082,12939723.352236569,4822170.345472054
41,六里桥街道_110106008000,116.225562,39.882533,12939721.123447737,4822235.489516908
42,六里桥街道_110106008000,116.225542,39.882983,12939718.893845346,4822300.476882124
43,六里桥街道_110106008000,116.225523,39.883433,12939716.723551098,4822365.465153398
44,六里桥街道_110106008000,116.225503,39.883883,12939714.522314675,4822430.453114498
45,六里桥街道_110106008000,116.225483,39.884333,12939712.260064756,4822495.440369447
46,六里桥街道_110106008000,116.225464,39.884784,12939710.11729592,4822560.546937912
47,六里桥街道_110106008000,116.225445,39.885234,12939708.003890336,4822625.536461753
48,六里桥街道_110106008000,116.225426,39.885684,12939705.85959966,4822690.564902116
49,六里桥街道_110106008000,116.225407,39.886134,12939703.714581111,4822755.554292606
50,六里桥街道_110106008000,116.225388,39.886585,12939701.568761736,4822820.661406637
51,六里桥街道_110106008000,116.225369,39.887035,12939699.452397062,4822885.651511166
52,六里桥街道_110106008000,116.225554,39.887461,12939719.905391166,4822947.457893633
53,六里桥街道_110106008000,116.22575,39.887886,12939741.560399909,4823009.128089052
54,六里桥街道_110106008000,116.226009,39.88805,12939770.248186018,4823033.198923383
55,六里桥街道_110106008000,116.226009,39.88805,12939770.248186018,4823033.198923383
56,六里桥街道_110106008000,116.226577,39.888149,12939833.144036485,4823048.326619688
57,六里桥街道_110106008000,116.227156,39.888208,12939897.237398831,4823057.746538004
58,六里桥街道_110106008000,116.238821,39.862754,12941188.162874237,4819404.513122814
59,六里桥街道_110106008000,116.238838,39.863204,12941190.068722324,4819469.576428056
60,六里桥街道_110106008000,116.238854,39.863654,12941191.853386248,4819534.636916045
61,六里桥街道_110106008000,116.238872,39.864104,12941193.877034793,4819599.663672218
62,六里桥街道_110106008000,116.238821,39.862754,12941188.162874237,4819404.513122814
63,六里桥街道_110106008000,116.239247,39.862446,12941235.275353529,4819361.037691335
64,六里桥街道_110106008000,116.239712,39.862185,12941286.649358572,4819324.486883087
65,六里桥街道_110106008000,116.238955,39.864366,12941203.038488578,4819637.73386828
66,六里桥街道_110106008000,116.241474,39.864497,12941481.52626942,4819663.053420554
67,六里桥街道_110106008000,116.24089,39.864484,12941416.973178016,4819659.649380949
68,六里桥街道_110106008000,116.240306,39.864483,12941352.418400826,4819658.055732712
69,六里桥街道_110106008000,116.239721,39.86448,12941287.741150696,4819656.154726325
70,六里桥街道_110106008000,116.239885,39.85376,12941305.182930963,4818107.613340399
71,六里桥街道_110106008000,116.240392,39.853539,12941361.198759433,4818077.019754387
72,六里桥街道_110106008000,116.240071,39.862108,12941326.323479272,4819314.280763382
