﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,兴寿镇_110114116000,116.37816,40.247276,12956713.024943676,4875189.145027192
1,兴寿镇_110114116000,116.378285,40.247716,12956726.841563374,4875253.333482759
2,兴寿镇_110114116000,116.37841,40.248156,12956740.657977792,4875317.52058673
3,兴寿镇_110114116000,116.378291,40.248594,12956727.419983303,4875380.885791048
4,兴寿镇_110114116000,116.37827,40.246466,12956725.27207991,4875071.706346592
5,兴寿镇_110114116000,116.37822,40.246915,12956719.700866072,4875136.818360691
6,兴寿镇_110114116000,116.37827,40.246466,12956725.27207991,4875071.706346592
7,兴寿镇_110114116000,116.378354,40.246021,12956734.629895922,4875007.211305098
8,兴寿镇_110114116000,116.378367,40.245571,12956736.111776676,4874941.870776982
9,兴寿镇_110114116000,116.378372,40.245121,12956736.69109572,4874876.554178532
10,兴寿镇_110114116000,116.378381,40.244671,12956737.690548545,4874811.166133191
11,兴寿镇_110114116000,116.37835,40.244222,12956734.300344834,4874745.860020366
12,兴寿镇_110114116000,116.378303,40.243773,12956729.135841152,4874680.523192672
13,兴寿镇_110114116000,116.378218,40.243328,12956719.701822054,4874615.74246254
14,兴寿镇_110114116000,116.378198,40.242887,12956717.541137526,4874551.600139658
15,兴寿镇_110114116000,116.378381,40.24246,12956737.833089266,4874489.97475134
16,兴寿镇_110114116000,116.378719,40.242118,12956775.37468039,4874440.972102701
17,兴寿镇_110114116000,116.378449,40.249509,12956744.886386711,4875514.128278446
18,兴寿镇_110114116000,116.378361,40.249064,12956735.130137438,4875449.3020488685
19,兴寿镇_110114116000,116.378449,40.249509,12956744.886386711,4875514.128278446
20,兴寿镇_110114116000,116.378351,40.249951,12956733.99088978,4875578.165425151
21,兴寿镇_110114116000,116.378312,40.2504,12956729.617399912,4875643.299967751
22,兴寿镇_110114116000,116.37911,40.242015,12956818.764491187,4874426.806582744
23,兴寿镇_110114116000,116.379557,40.239293,12956868.492869632,4874032.238727024
24,兴寿镇_110114116000,116.379405,40.239724,12956851.598789738,4874094.571259645
25,兴寿镇_110114116000,116.379356,40.240173,12956846.128729183,4874159.689446154
26,兴寿镇_110114116000,116.379307,40.240622,12956840.687846158,4874224.807885131
27,兴寿镇_110114116000,116.379263,40.241071,12956835.787268668,4874289.974401926
28,兴寿镇_110114116000,116.37922,40.24152,12956830.976037346,4874355.102829786
29,兴寿镇_110114116000,116.379123,40.241964,12956820.211278256,4874419.423299877
30,兴寿镇_110114116000,116.379549,40.242974,12956867.43257992,4874566.964183169
31,兴寿镇_110114116000,116.379456,40.24253,12956857.1222549,4874502.298110176
32,兴寿镇_110114116000,116.379246,40.242114,12956833.85048183,4874441.476621171
33,兴寿镇_110114116000,116.379557,40.239293,12956868.492869632,4874032.238727024
34,兴寿镇_110114116000,116.380138,40.239251,12956932.967326056,4874027.236530768
35,兴寿镇_110114116000,116.380724,40.23929,12956997.987851964,4874033.98750558
36,兴寿镇_110114116000,116.381309,40.239329,12957062.958054986,4874040.700443566
37,兴寿镇_110114116000,116.381877,40.23943,12957126.009087328,4874056.331829121
38,兴寿镇_110114116000,116.380577,40.244649,12956981.395143405,4874812.250288315
39,兴寿镇_110114116000,116.382564,40.243962,12957201.99893538,4874715.82242869
40,兴寿镇_110114116000,116.382015,40.244123,12957141.08361837,4874738.325833119
41,兴寿镇_110114116000,116.381483,40.244315,12957081.979790756,4874765.312453662
42,兴寿镇_110114116000,116.380949,40.244502,12957022.704130178,4874791.555559086
43,兴寿镇_110114116000,116.380602,40.245022,12956984.161251787,4874866.468360445
44,兴寿镇_110114116000,116.380602,40.245022,12956984.161251787,4874866.468360445
45,兴寿镇_110114116000,116.38119,40.245025,12957049.40213959,4874867.952861533
46,兴寿镇_110114116000,116.380704,40.245658,12956995.41612785,4874959.033685041
47,兴寿镇_110114116000,116.38057,40.245224,12956980.59522659,4874895.728309839
48,兴寿镇_110114116000,116.380711,40.245665,12956996.197533464,4874960.069898053
49,兴寿镇_110114116000,116.381293,40.245682,12957060.807323769,4874963.58707217
50,兴寿镇_110114116000,116.381706,40.245047,12957106.678842643,4874872.04519601
51,兴寿镇_110114116000,116.381482,40.245463,12957081.793865431,4874932.053696
52,兴寿镇_110114116000,116.382382,40.244598,12957181.785985358,4874807.9481098205
53,兴寿镇_110114116000,116.381957,40.244908,12957134.580570526,4874852.222215099
54,兴寿镇_110114116000,116.382791,40.243566,12957227.248455135,4874658.627960159
55,兴寿镇_110114116000,116.382203,40.243559,12957161.979782302,4874656.65840762
56,兴寿镇_110114116000,116.382043,40.239502,12957144.4182908,4874067.066939565
57,兴寿镇_110114116000,116.381983,40.23995,12957137.74154377,4874132.024931025
58,兴寿镇_110114116000,116.382092,40.24039,12957149.809153384,4874196.137656268
59,兴寿镇_110114116000,116.382378,40.240782,12957181.5583421,4874253.54069102
60,兴寿镇_110114116000,116.382043,40.239502,12957144.4182908,4874067.066939565
61,兴寿镇_110114116000,116.382615,40.239414,12957207.914437195,4874055.1945799375
62,兴寿镇_110114116000,116.3832,40.239451,12957272.88797915,4874061.505500859
63,兴寿镇_110114116000,116.383786,40.239485,12957337.962802146,4874067.264658098
64,兴寿镇_110114116000,116.382382,40.244598,12957181.785985358,4874807.9481098205
65,兴寿镇_110114116000,116.382607,40.245014,12957206.727656838,4874868.719928172
66,兴寿镇_110114116000,116.382807,40.245437,12957228.90095736,4874930.435142674
