﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,兴谷街道_110117002000,117.089187,40.145303,13035899.6525936,4860366.145437447
1,兴谷街道_110117002000,117.089169,40.145752,13035897.625229858,4860431.246527628
2,兴谷街道_110117002000,117.08915,40.146202,13035895.478152722,4860496.463483252
3,兴谷街道_110117002000,117.089132,40.146652,13035893.45162497,4860561.644489286
4,兴谷街道_110117002000,117.089113,40.147102,13035891.305491704,4860626.862703385
5,兴谷街道_110117002000,117.089094,40.147552,13035889.159868209,4860692.081563389
6,兴谷街道_110117002000,117.089087,40.148001,13035888.335565455,4860757.174184008
7,兴谷街道_110117002000,117.089244,40.148397,13035905.706387194,4860815.054195644
8,兴谷街道_110117002000,117.089821,40.148461,13035969.636090023,4860825.842360529
9,兴谷街道_110117002000,117.090408,40.148466,13036034.65617918,4860828.102295552
10,兴谷街道_110117002000,117.090994,40.14847,13036099.560865536,4860830.106305487
11,兴谷街道_110117002000,117.091336,40.144167,13036137.824925495,4860206.886000765
12,兴谷街道_110117002000,117.091918,40.144201,13036202.28389554,4860213.256086718
13,兴谷街道_110117002000,117.092084,40.148323,13036220.33201546,4860811.4752556365
14,兴谷街道_110117002000,117.092084,40.148323,13036220.33201546,4860811.4752556365
15,兴谷街道_110117002000,117.092612,40.148514,13036278.807361431,4860840.510405395
16,兴谷街道_110117002000,117.093188,40.148589,13036342.644246472,4860852.762191482
17,兴谷街道_110117002000,117.093774,40.148601,13036407.57439497,4860855.846815221
18,兴谷街道_110117002000,117.094357,40.148571,13036472.184638998,4860852.841238881
19,兴谷街道_110117002000,117.092234,40.1443,13036237.314248553,4860228.374554643
20,兴谷街道_110117002000,117.092223,40.14475,13036236.035845404,4860293.61140479
21,兴谷街道_110117002000,117.092212,40.1452,13036234.787843732,4860358.849497349
22,兴谷街道_110117002000,117.0922,40.14565,13036233.420106798,4860424.124939421
23,兴谷街道_110117002000,117.092189,40.1461,13036232.142905302,4860489.363605201
24,兴谷街道_110117002000,117.092178,40.14655,13036230.896209871,4860554.564207928
25,兴谷街道_110117002000,117.092166,40.147,13036229.529856715,4860619.802192554
26,兴谷街道_110117002000,117.092155,40.14745,13036228.28411298,4860685.043425997
27,兴谷街道_110117002000,117.092144,40.1479,13036227.008869415,4860750.284671738
28,兴谷街道_110117002000,117.092234,40.1443,13036237.314248553,4860228.374554643
29,兴谷街道_110117002000,117.0928,40.144191,13036299.994941868,4860213.942844959
30,兴谷街道_110117002000,117.094823,40.144261,13036524.19684038,4860228.755330317
31,兴谷街道_110117002000,117.094259,40.144149,13036461.698457738,4860211.249596316
32,兴谷街道_110117002000,117.093672,40.144143,13036396.6422925,4860209.009219643
33,兴谷街道_110117002000,117.094641,40.148504,13036503.641130025,4860843.797278106
34,兴谷街道_110117002000,117.094641,40.148504,13036503.641130025,4860843.797278106
35,兴谷街道_110117002000,117.094656,40.148054,13036505.336729964,4860778.5222374415
36,兴谷街道_110117002000,117.094679,40.147604,13036507.934044365,4860713.305270608
37,兴谷街道_110117002000,117.094711,40.147154,13036511.523204926,4860648.108784311
38,兴谷街道_110117002000,117.094745,40.146705,13036515.323063908,4860583.074448266
39,兴谷街道_110117002000,117.094767,40.146256,13036517.83171598,4860518.01486706
40,兴谷街道_110117002000,117.094898,40.145821,13036532.35550256,4860455.201652972
41,兴谷街道_110117002000,117.094927,40.145775,13036535.574580606,4860448.577725928
42,兴谷街道_110117002000,117.094787,40.145341,13036520.088487852,4860385.363930241
43,兴谷街道_110117002000,117.094795,40.144891,13036521.036529854,4860320.078307596
44,兴谷街道_110117002000,117.094812,40.144441,13036522.946206387,4860254.851802825
45,兴谷街道_110117002000,117.098877,40.144192,13036973.64079264,4860227.050381933
46,兴谷街道_110117002000,117.098291,40.144187,13036908.642754786,4860225.205020846
47,兴谷街道_110117002000,117.097704,40.144181,13036843.56350164,4860223.20633469
48,兴谷街道_110117002000,117.097118,40.144176,13036778.582911337,4860221.333904319
49,兴谷街道_110117002000,117.096531,40.14417,13036713.490537338,4860219.270329323
50,兴谷街道_110117002000,117.095945,40.144165,13036648.55634578,4860217.297110204
51,兴谷街道_110117002000,117.095358,40.144163,13036583.479317194,4860215.724445555
52,兴谷街道_110117002000,117.096585,40.145877,13036719.322753044,4860466.945540685
53,兴谷街道_110117002000,117.096011,40.145798,13036655.717496302,4860454.260370886
