﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,刘家店镇_110117112000,116.95139,40.256999,13020519.37781019,4876493.520521844
1,刘家店镇_110117112000,116.950828,40.25687,13020456.922062552,4876473.388326742
2,刘家店镇_110117112000,116.950331,40.256633,13020401.713494657,4876437.7729935255
3,刘家店镇_110117112000,116.949853,40.256372,13020348.605447024,4876398.750482131
4,刘家店镇_110117112000,116.949423,40.256065,13020300.817114886,4876353.222767046
5,刘家店镇_110117112000,116.954002,40.228199,13020811.086782578,4872316.229225395
6,刘家店镇_110117112000,116.953416,40.228172,13020745.974088317,4872310.781329
7,刘家店镇_110117112000,116.956109,40.258467,13021043.511000335,4876719.138257345
8,刘家店镇_110117112000,116.956679,40.258358,13021106.837755194,4876704.90520542
9,刘家店镇_110117112000,116.95724,40.258252,13021169.13910779,4876691.09939367
10,刘家店镇_110117112000,116.957815,40.258346,13021233.005329682,4876706.3863832345
11,刘家店镇_110117112000,116.958223,40.227635,13021279.921185264,4872246.04679916
12,刘家店镇_110117112000,116.957893,40.227263,13021243.268930277,4872191.067162242
13,刘家店镇_110117112000,116.957871,40.258358,13021239.21734503,4876708.302022138
14,刘家店镇_110117112000,116.9583,40.258666,13021286.847886937,4876754.320551953
15,刘家店镇_110117112000,116.958729,40.258973,13021334.446548715,4876800.188480964
16,刘家店镇_110117112000,116.959151,40.259286,13021381.292442651,4876846.873518738
17,刘家店镇_110117112000,116.95957,40.259602,13021427.77622116,4876894.029359253
18,刘家店镇_110117112000,116.960066,40.259841,13021482.82004885,4876930.201996526
19,刘家店镇_110117112000,116.960582,40.260053,13021540.115713123,4876962.573417615
20,刘家店镇_110117112000,116.961154,40.260157,13021603.63337835,4876979.376864272
21,刘家店镇_110117112000,116.961738,40.260203,13021668.4460021,4876987.82443281
22,刘家店镇_110117112000,116.962317,40.260269,13021732.74487532,4876999.181171184
23,刘家店镇_110117112000,116.962853,40.260452,13021792.258779788,4877027.410775978
24,刘家店镇_110117112000,116.96339,40.260636,13021851.862054083,4877055.7630510125
25,刘家店镇_110117112000,116.963926,40.260819,13021911.345131963,4877083.995353019
26,刘家店镇_110117112000,116.960009,40.228741,13021478.280586287,4872411.987063917
27,刘家店镇_110117112000,116.959423,40.228759,13021413.185855825,4872412.897346552
