﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,刘斌堡乡_110119201000,116.196948,40.562502,12936548.396933945,4921026.120477266
1,刘斌堡乡_110119201000,116.196409,40.562319,12936488.22754446,4921000.620738665
2,刘斌堡乡_110119201000,116.19587,40.562136,12936428.05156663,4920975.185380793
3,刘斌堡乡_110119201000,116.19533,40.561954,12936367.747848986,4920949.855488759
4,刘斌堡乡_110119201000,116.194791,40.561771,12936307.559328934,4920924.427365893
5,刘斌堡乡_110119201000,116.194252,40.561588,12936247.364965552,4920899.06084748
6,刘斌堡乡_110119201000,116.193713,40.561405,12936187.164957462,4920873.675750642
7,刘斌堡乡_110119201000,116.193776,40.557577,12936193.727773407,4920314.23774525
8,刘斌堡乡_110119201000,116.193776,40.557577,12936193.727773407,4920314.23774525
9,刘斌堡乡_110119201000,116.193709,40.557132,12936186.17879466,4920249.434205143
10,刘斌堡乡_110119201000,116.193734,40.556683,12936188.953382498,4920183.784212669
11,刘斌堡乡_110119201000,116.193808,40.55624,12936197.133549051,4920118.8550764285
12,刘斌堡乡_110119201000,116.193959,40.555805,12936213.937915923,4920054.937958033
13,刘斌堡乡_110119201000,116.19683,40.557869,12936534.657656342,4920349.502256675
14,刘斌堡乡_110119201000,116.196248,40.55782,12936469.675513348,4920343.707390765
15,刘斌堡乡_110119201000,116.195683,40.557701,12936406.62069548,4920327.644721655
16,刘斌堡乡_110119201000,116.195096,40.557674,12936341.079869376,4920325.124095583
17,刘斌堡乡_110119201000,116.194507,40.557686,12936275.354079138,4920328.337501884
18,刘斌堡乡_110119201000,116.19392,40.557695,12936209.803330315,4920331.13704413
19,刘斌堡乡_110119201000,116.195702,40.566755,12936409.838492544,4921650.421464792
20,刘斌堡乡_110119201000,116.195112,40.566768,12936343.968191454,4921653.769023415
21,刘斌堡乡_110119201000,116.194522,40.566766,12936278.119540757,4921654.9246124495
22,刘斌堡乡_110119201000,116.195762,40.56553,12936416.421957402,4921471.280834724
23,刘斌堡乡_110119201000,116.195176,40.565582,12936350.981475651,4921480.321396919
24,刘斌堡乡_110119201000,116.195702,40.566755,12936409.838492544,4921650.421464792
25,刘斌堡乡_110119201000,116.195762,40.56553,12936416.421957402,4921471.280834724
26,刘斌堡乡_110119201000,116.196345,40.565463,12936481.458894908,4921460.096980495
27,刘斌堡乡_110119201000,116.196933,40.56542,12936547.067262346,4921452.496439488
28,刘斌堡乡_110119201000,116.197521,40.565376,12936612.667377802,4921444.728280409
29,刘斌堡乡_110119201000,116.198109,40.565332,12936678.289420638,4921436.991162148
30,刘斌堡乡_110119201000,116.196771,40.566643,12936529.135674436,4921631.523944004
31,刘斌堡乡_110119201000,116.196181,40.566655,12936463.27911136,4921634.6610735655
32,刘斌堡乡_110119201000,116.198353,40.558609,12936704.654407006,4920454.202097902
33,刘斌堡乡_110119201000,116.19784,40.558387,12936647.411268571,4920422.879896126
34,刘斌堡乡_110119201000,116.197321,40.558174,12936589.495071804,4920392.941065512
35,刘斌堡乡_110119201000,116.196862,40.557897,12936538.241670812,4920353.515828182
36,刘斌堡乡_110119201000,116.197741,40.556234,12936636.100016158,4920108.583016206
37,刘斌堡乡_110119201000,116.197345,40.556568,12936591.958174594,4920158.251090323
38,刘斌堡乡_110119201000,116.197112,40.556978,12936565.99806438,4920218.690770096
39,刘斌堡乡_110119201000,116.197022,40.557422,12936556.002573226,4920283.753568249
40,刘斌堡乡_110119201000,116.196841,40.55785,12936535.869443042,4920346.707183584
41,刘斌堡乡_110119201000,116.197982,40.562784,12936663.790867569,4921064.964758798
42,刘斌堡乡_110119201000,116.197431,40.562624,12936602.302238189,4921042.845701552
43,刘斌堡乡_110119201000,116.197772,40.556108,12936639.514745628,4920090.104481156
44,刘斌堡乡_110119201000,116.197418,40.555748,12936600.00046518,4920038.290273844
45,刘斌堡乡_110119201000,116.197741,40.556234,12936636.100016158,4920108.583016206
46,刘斌堡乡_110119201000,116.198163,40.556547,12936683.221352857,4920153.344043132
47,刘斌堡乡_110119201000,116.197741,40.556234,12936636.100016158,4920108.583016206
48,刘斌堡乡_110119201000,116.197772,40.556108,12936639.514745628,4920090.104481156
49,刘斌堡乡_110119201000,116.198304,40.555916,12936698.86717782,4920060.864072982
50,刘斌堡乡_110119201000,116.198888,40.555893,12936763.994238237,4920056.269171855
51,刘斌堡乡_110119201000,116.199462,40.555995,12936828.034174468,4920069.984796849
52,刘斌堡乡_110119201000,116.197982,40.562784,12936663.790867569,4921064.964758798
53,刘斌堡乡_110119201000,116.198917,40.559688,12936767.718284449,4920610.620641361
54,刘斌堡乡_110119201000,116.198341,40.559782,12936703.479293184,4920625.6164260255
55,刘斌堡乡_110119201000,116.198167,40.565328,12936684.72074123,4921436.284881343
56,刘斌堡乡_110119201000,116.198141,40.564878,12936681.761456134,4921370.57867475
57,刘斌堡乡_110119201000,116.198106,40.564429,12936677.800745446,4921305.08833887
58,刘斌堡乡_110119201000,116.198071,40.563979,12936673.839510895,4921239.400341272
59,刘斌堡乡_110119201000,116.198037,40.56353,12936670.029702729,4921173.828935776
60,刘斌堡乡_110119201000,116.198083,40.563084,12936675.109258384,4921108.57765977
61,刘斌堡乡_110119201000,116.200632,40.563206,12936959.40183979,4921121.160609662
62,刘斌堡乡_110119201000,116.200045,40.563208,12936893.936059836,4921122.608269783
63,刘斌堡乡_110119201000,116.199474,40.563094,12936830.237673908,4921107.108904732
64,刘斌堡乡_110119201000,116.198904,40.562976,12936766.651354045,4921091.046443328
65,刘斌堡乡_110119201000,116.198322,40.562923,12936701.758990524,4921084.545378358
66,刘斌堡乡_110119201000,116.198185,40.565341,12936686.754744522,4921438.150931003
67,刘斌堡乡_110119201000,116.198185,40.565341,12936686.754744522,4921438.150931003
68,刘斌堡乡_110119201000,116.198225,40.56579,12936691.260704322,4921503.672204176
69,刘斌堡乡_110119201000,116.198276,40.566238,12936697.009895507,4921568.97427402
70,刘斌堡乡_110119201000,116.198401,40.566675,12936711.00912916,4921632.589692255
71,刘斌堡乡_110119201000,116.198185,40.565341,12936686.754744522,4921438.150931003
72,刘斌堡乡_110119201000,116.198775,40.565325,12936752.582192916,4921434.566936811
73,刘斌堡乡_110119201000,116.199361,40.565284,12936817.912638525,4921427.301406789
74,刘斌堡乡_110119201000,116.199945,40.565218,12936883.049373137,4921416.508253686
75,刘斌堡乡_110119201000,116.19887,40.558822,12936762.37518563,4920484.234320254
76,刘斌堡乡_110119201000,116.198372,40.56098,12936707.069280792,4920800.556016635
77,刘斌堡乡_110119201000,116.198751,40.561323,12936749.39438536,4920849.902560912
78,刘斌堡乡_110119201000,116.19921,40.561602,12936800.62594127,4920889.64889985
79,刘斌堡乡_110119201000,116.199707,40.561844,12936856.093654305,4920924.000761008
80,刘斌堡乡_110119201000,116.19842,40.566707,12936713.135904113,4921637.227524819
81,刘斌堡乡_110119201000,116.198994,40.5668,12936777.150807632,4921649.572179331
82,刘斌堡乡_110119201000,116.199583,40.566821,12936842.848181823,4921651.424518482
83,刘斌堡乡_110119201000,116.200171,40.566855,12936908.446489148,4921655.254723083
84,刘斌堡乡_110119201000,116.200757,40.56691,12936973.794641374,4921662.135467641
85,刘斌堡乡_110119201000,116.201343,40.566883,12937039.09443739,4921657.090431634
86,刘斌堡乡_110119201000,116.19887,40.558822,12936762.37518563,4920484.234320254
87,刘斌堡乡_110119201000,116.199012,40.559259,12936778.257076235,4920547.780688103
88,刘斌堡乡_110119201000,116.198917,40.559688,12936767.718284449,4920610.620641361
89,刘斌堡乡_110119201000,116.199134,40.559654,12936791.91958222,4920605.226538486
90,刘斌堡乡_110119201000,116.199662,40.559928,12936850.819123335,4920644.152922084
91,刘斌堡乡_110119201000,116.200102,40.557556,12936899.624684932,4920296.750252966
92,刘斌堡乡_110119201000,116.199517,40.557493,12936834.35542318,4920288.720748806
93,刘斌堡乡_110119201000,116.200556,40.560082,12936950.54176405,4920664.930577079
94,刘斌堡乡_110119201000,116.19999,40.559954,12936887.42579056,4920647.332602836
95,刘斌堡乡_110119201000,116.200257,40.554056,12936916.466811178,4919785.146633918
96,刘斌堡乡_110119201000,116.200115,40.554493,12936900.65459622,4919849.23980841
97,刘斌堡乡_110119201000,116.20065,40.558198,12936960.794474447,4920389.483422233
98,刘斌堡乡_110119201000,116.200327,40.557821,12936924.731273172,4920335.018017815
99,刘斌堡乡_110119201000,116.200104,40.557554,12936899.836745178,4920296.469663063
100,刘斌堡乡_110119201000,116.200463,40.557198,12936939.823576486,4920243.723822178
101,刘斌堡乡_110119201000,116.20008,40.575456,12936899.15450106,4922912.128002334
102,刘斌堡乡_110119201000,116.199965,40.575015,12936886.295759192,4922847.956441144
103,刘斌堡乡_110119201000,116.200164,40.565204,12936907.45917181,4921414.02493457
104,刘斌堡乡_110119201000,116.200428,40.56528,12936936.910411498,4921424.620546497
105,刘斌堡乡_110119201000,116.200817,40.565617,12936980.303100709,4921473.081777426
106,刘斌堡乡_110119201000,116.200373,40.573729,12936931.685058285,4922659.235593517
107,刘斌堡乡_110119201000,116.200822,40.573436,12936981.721168872,4922615.571622726
108,刘斌堡乡_110119201000,116.201262,40.573137,12937030.750234265,4922571.032884378
109,刘斌堡乡_110119201000,116.200556,40.560082,12936950.54176405,4920664.930577079
110,刘斌堡乡_110119201000,116.20113,40.559982,12937014.533002822,4920649.19746996
111,刘斌堡乡_110119201000,116.201694,40.559848,12937077.389410706,4920628.604589509
112,刘斌堡乡_110119201000,116.202279,40.559867,12937142.617112158,4920630.315764285
113,刘斌堡乡_110119201000,116.20285,40.559952,12937206.266004166,4920641.790972385
114,刘斌堡乡_110119201000,116.203367,40.560168,12937263.920275409,4920672.5102913445
115,刘斌堡乡_110119201000,116.203865,40.56041,12937319.387821771,4920707.089909698
116,刘斌堡乡_110119201000,116.202461,40.558309,12937162.689739184,4920402.406091879
117,刘斌堡乡_110119201000,116.201878,40.558352,12937097.744867887,4920409.710016114
118,刘斌堡乡_110119201000,116.201296,40.558279,12937032.837641483,4920400.098496841
119,刘斌堡乡_110119201000,116.200713,40.558206,12936967.829528002,4920390.525655813
120,刘斌堡乡_110119201000,116.205263,40.564188,12937475.59419687,4921257.025158821
121,刘斌堡乡_110119201000,116.204676,40.564175,12937410.210411737,4921255.940527331
122,刘斌堡乡_110119201000,116.204107,40.564057,12937346.833739564,4921239.544836296
123,刘斌堡乡_110119201000,116.203538,40.563938,12937283.416216897,4921223.069934492
124,刘斌堡乡_110119201000,116.202968,40.56382,12937219.897577433,4921206.753659753
125,刘斌堡乡_110119201000,116.202399,40.563702,12937156.459686415,4921190.434580734
126,刘斌堡乡_110119201000,116.20183,40.563583,12937093.042104,4921174.033424739
127,刘斌堡乡_110119201000,116.201261,40.563465,12937029.554305775,4921157.827979987
128,刘斌堡乡_110119201000,116.200735,40.563268,12936970.899681697,4921130.057866025
129,刘斌堡乡_110119201000,116.200632,40.563206,12936959.40183979,4921121.160609662
130,刘斌堡乡_110119201000,116.200775,40.56277,12936975.272776948,4921057.224393217
131,刘斌堡乡_110119201000,116.200778,40.556877,12936974.929384775,4920196.253983592
132,刘斌堡乡_110119201000,116.201359,40.556955,12937039.694383295,4920206.547206203
133,刘斌堡乡_110119201000,116.20194,40.557032,12937104.449388068,4920216.758829461
134,刘斌堡乡_110119201000,116.202505,40.557155,12937167.471951516,4920233.764968133
