﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,北下关街道_110108007000,116.315553,39.965295,12949742.094530305,4834223.693419406
1,北下关街道_110108007000,116.316053,39.965528,12949798.177992726,4834256.460593215
2,北下关街道_110108007000,116.315553,39.965295,12949742.094530305,4834223.693419406
3,北下关街道_110108007000,116.31566,39.964855,12949754.037929213,4834159.8218113
4,北下关街道_110108007000,116.315884,39.964442,12949779.095354231,4834099.586887132
5,北下关街道_110108007000,116.316264,39.964101,12949821.670628536,4834049.546954072
6,北下关街道_110108007000,116.316164,39.96558,12949810.626786374,4834263.801940295
7,北下关街道_110108007000,116.316341,39.964049,12949830.284115214,4834041.886318095
8,北下关街道_110108007000,116.316763,39.964361,12949877.658591865,4834086.271000613
9,北下关街道_110108007000,116.317284,39.964562,12949936.06192935,4834114.453597399
10,北下关街道_110108007000,116.316341,39.964049,12949830.284115214,4834041.886318095
11,北下关街道_110108007000,116.316511,39.96362,12949849.32720177,4833979.4601737335
12,北下关街道_110108007000,116.316396,39.962464,12949836.274709435,4833812.380192162
13,北下关街道_110108007000,116.31654,39.9629,12949852.46673501,4833875.206717004
14,北下关街道_110108007000,116.316794,39.963305,12949881.00553424,4833933.370846057
15,北下关街道_110108007000,116.316396,39.962464,12949836.274709435,4833812.380192162
16,北下关街道_110108007000,116.316568,39.962037,12949855.499015424,4833750.266590647
17,北下关街道_110108007000,116.316924,39.961681,12949895.365047656,4833698.101013985
18,北下关街道_110108007000,116.316806,39.963322,12949882.34256878,4833935.819560931
19,北下关街道_110108007000,116.316531,39.965654,12949851.78674622,4834273.825859758
20,北下关街道_110108007000,116.316728,39.960349,12949873.24895859,4833505.670059367
21,北下关街道_110108007000,116.31672,39.960797,12949872.387842298,4833570.540772309
22,北下关街道_110108007000,116.316918,39.961219,12949894.646961711,4833631.256485901
23,北下关街道_110108007000,116.316728,39.960349,12949873.24895859,4833505.670059367
24,北下关街道_110108007000,116.316854,39.959911,12949887.311405707,4833442.048213553
25,北下关街道_110108007000,116.316806,39.963322,12949882.34256878,4833935.819560931
26,北下关街道_110108007000,116.317618,39.965481,12949973.59923272,4834246.873234988
27,北下关街道_110108007000,116.317057,39.965603,12949910.742923886,4834265.475920016
28,北下关街道_110108007000,116.317224,39.961824,12949929.03192784,4833718.25574244
29,北下关街道_110108007000,116.31698,39.961301,12949901.60486162,4833643.0244485065
30,北下关街道_110108007000,116.31732,39.959198,12949939.454284845,4833338.04728026
31,北下关街道_110108007000,116.317044,39.963296,12949909.04317386,4833931.639692006
32,北下关街道_110108007000,116.317078,39.962846,12949912.787736887,4833866.439948546
33,北下关街道_110108007000,116.317044,39.963296,12949909.04317386,4833931.639692006
34,北下关街道_110108007000,116.317162,39.963288,12949922.24178786,4833930.261049682
35,北下关街道_110108007000,116.317196,39.962838,12949926.016624218,4833865.10037623
36,北下关街道_110108007000,116.317162,39.963288,12949922.24178786,4833930.261049682
37,北下关街道_110108007000,116.317224,39.961824,12949929.03192784,4833718.25574244
38,北下关街道_110108007000,116.317199,39.962275,12949926.289451532,4833783.59318973
39,北下关街道_110108007000,116.317338,39.961881,12949941.782019967,4833726.34848505
40,北下关街道_110108007000,116.317396,39.963287,12949948.48795538,4833929.708709281
41,北下关街道_110108007000,116.317337,39.962521,12949941.790840944,4833818.96056312
42,北下关街道_110108007000,116.317303,39.962971,12949938.0163283,4833884.159838235
43,北下关街道_110108007000,116.31732,39.959198,12949939.454284845,4833338.04728026
44,北下关街道_110108007000,116.317432,39.957339,12949951.780260462,4833068.836405475
45,北下关街道_110108007000,116.317125,39.95772,12949917.413892029,4833124.533820697
46,北下关街道_110108007000,116.317007,39.958159,12949904.232408725,4833188.25235209
47,北下关街道_110108007000,116.317003,39.958608,12949903.826829862,4833253.230322608
48,北下关街道_110108007000,116.317191,39.959032,12949924.96250116,4833314.244283466
49,北下关街道_110108007000,116.317338,39.961881,12949941.782019967,4833726.34848505
50,北下关街道_110108007000,116.317313,39.962331,12949939.0697802,4833791.488880609
51,北下关街道_110108007000,116.317338,39.961881,12949941.782019967,4833726.34848505
52,北下关街道_110108007000,116.317378,39.959203,12949945.978383113,4833338.675763904
53,北下关街道_110108007000,116.317718,39.959569,12949984.126794798,4833391.071748321
54,北下关街道_110108007000,116.318093,39.959913,12950026.21377374,4833440.230157646
55,北下关街道_110108007000,116.317378,39.959203,12949945.978383113,4833338.675763904
56,北下关街道_110108007000,116.317899,39.958998,12950004.330220316,4833308.117637939
57,北下关街道_110108007000,116.318169,39.95627,12950034.2760771,4832912.869976862
58,北下关街道_110108007000,116.317801,39.95662,12949993.054962669,4832964.112730869
59,北下关街道_110108007000,116.317535,39.95702,12949963.305097906,4833022.46474295
60,北下关街道_110108007000,116.317513,39.963294,12949961.596193643,4833930.533916426
61,北下关街道_110108007000,116.317396,39.963287,12949948.48795538,4833929.708709281
62,北下关街道_110108007000,116.317431,39.962837,12949952.353624808,4833864.547124222
63,北下关街道_110108007000,116.317453,39.961929,12949954.682503777,4833733.104891241
64,北下关街道_110108007000,116.317428,39.962379,12949951.939939035,4833798.206351362
65,北下关街道_110108007000,116.317453,39.961929,12949954.682503777,4833733.104891241
66,北下关街道_110108007000,116.317629,39.963306,12949974.613606105,4833932.068648337
67,北下关街道_110108007000,116.317513,39.963294,12949961.596193643,4833930.533916426
68,北下关街道_110108007000,116.317547,39.962845,12949965.370805046,4833865.452839758
69,北下关街道_110108007000,116.317568,39.961968,12949967.581634656,4833738.488454353
70,北下关街道_110108007000,116.317543,39.962418,12949964.83918007,4833803.668199001
71,北下关街道_110108007000,116.317522,39.964629,12949962.76967326,4834123.710581781
72,北下关街道_110108007000,116.317565,39.965079,12949967.64104146,4834188.795535184
73,北下关街道_110108007000,116.317522,39.964629,12949962.76967326,4834123.710581781
74,北下关街道_110108007000,116.317981,39.96435,12950014.19594227,4834082.5603072615
75,北下关街道_110108007000,116.318418,39.964051,12950063.12727803,4834038.567218427
76,北下关街道_110108007000,116.317683,39.961998,12949980.4795295,4833742.656214937
77,北下关街道_110108007000,116.317745,39.963324,12949987.631331747,4833934.468315351
78,北下关街道_110108007000,116.317689,39.962525,12949981.234562485,4833818.923311696
79,北下关街道_110108007000,116.317655,39.962975,12949977.490677947,4833884.120955906
80,北下关街道_110108007000,116.317706,39.955815,12949982.317663262,4832847.791399933
81,北下关街道_110108007000,116.318056,39.956176,12950021.584919984,4832899.468694501
82,北下关街道_110108007000,116.317706,39.955815,12949982.317663262,4832847.791399933
83,北下关街道_110108007000,116.317479,39.9554,12949956.816785447,4832788.145394288
84,北下关街道_110108007000,116.317449,39.954955,12949953.370254347,4832723.828849422
