﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,北宫镇_110106100000,116.086661,39.85974,12924290.638026062,4818960.931152645
1,北宫镇_110106100000,116.086151,39.859953,12924233.744805582,4818992.157126146
2,北宫镇_110106100000,116.085654,39.86019,12924178.23637044,4819026.890906657
3,北宫镇_110106100000,116.0906,39.860463,12924729.918764692,4819062.90781716
4,北宫镇_110106100000,116.090042,39.860597,12924667.74031809,4819082.5257807
5,北宫镇_110106100000,116.089469,39.86057,12924603.88024214,4819078.914307163
6,北宫镇_110106100000,116.088908,39.860454,12924541.33514831,4819062.444985024
7,北宫镇_110106100000,116.088347,39.860347,12924478.749034535,4819047.35044858
8,北宫镇_110106100000,116.087763,39.860338,12924413.614960313,4819046.464332267
9,北宫镇_110106100000,116.0901,39.862505,12924674.316947488,4819358.1745508
10,北宫镇_110106100000,116.089533,39.862597,12924611.127713395,4819371.721329527
11,北宫镇_110106100000,116.091248,39.862098,12924802.193787135,4819298.952152248
12,北宫镇_110106100000,116.091791,39.861931,12924862.685871944,4819274.687696927
13,北宫镇_110106100000,116.091903,39.857717,12924874.89745053,4818665.768811652
14,北宫镇_110106100000,116.092433,39.857527,12924933.921386711,4818638.263108443
15,北宫镇_110106100000,116.092169,39.861853,12924904.77157593,4819263.312005991
16,北宫镇_110106100000,116.092483,39.861781,12924939.753156012,4819252.906774852
17,北宫镇_110106100000,116.092359,39.861341,12924925.929517074,4819189.319380591
18,北宫镇_110106100000,116.092264,39.860961,12924915.33955384,4819134.42900609
19,北宫镇_110106100000,116.092791,39.860777,12924973.967225298,4819107.812417263
20,北宫镇_110106100000,116.092404,39.860292,12924930.868053457,4819037.755136248
21,北宫镇_110106100000,116.092428,39.859842,12924933.50495395,4818972.731046161
22,北宫镇_110106100000,116.092647,39.857383,12924957.717200536,4818617.418452363
23,北宫镇_110106100000,116.092436,39.859682,12924934.403321244,4818949.606213621
24,北宫镇_110106100000,116.092483,39.861781,12924939.753156012,4819252.906774852
25,北宫镇_110106100000,116.093049,39.861684,12925002.760451652,4819238.804878322
26,北宫镇_110106100000,116.092611,39.859687,12924953.888422515,4818950.323031317
27,北宫镇_110106100000,116.093792,39.859396,12925085.314334212,4818908.231375505
28,北宫镇_110106100000,116.093222,39.859488,12925021.870241078,4818921.530997793
29,北宫镇_110106100000,116.092681,39.859656,12924961.68048714,4818945.805966818
30,北宫镇_110106100000,116.093228,39.856156,12925022.307102753,4818440.092253009
31,北宫镇_110106100000,116.093133,39.8566,12925011.765590483,4818504.256599742
32,北宫镇_110106100000,116.092933,39.857016,12924989.531907309,4818564.356223036
33,北宫镇_110106100000,116.092703,39.85983,12924964.135933977,4818970.964414419
34,北宫镇_110106100000,116.092864,39.860264,12924982.0692637,4819033.691370789
35,北宫镇_110106100000,116.093002,39.860747,12924997.465671437,4819103.439346978
36,北宫镇_110106100000,116.093002,39.860747,12924997.465671437,4819103.439346978
37,北宫镇_110106100000,116.093159,39.861641,12925015.02130529,4819232.603809713
38,北宫镇_110106100000,116.093251,39.861201,12925025.211732533,4819169.028148213
39,北宫镇_110106100000,116.094887,39.851774,12925206.546572397,4817807.068184723
40,北宫镇_110106100000,116.094336,39.851721,12925145.229378613,4817799.354914414
41,北宫镇_110106100000,116.093758,39.85178,12925080.890997492,4817807.830233769
42,北宫镇_110106100000,116.093792,39.859396,12925085.314334212,4818908.231375505
43,北宫镇_110106100000,116.094303,39.859608,12925142.21059645,4818938.905782378
44,北宫镇_110106100000,116.094847,39.859761,12925202.716527492,4818961.077447606
45,北宫镇_110106100000,116.095396,39.859917,12925263.81534564,4818983.76138382
46,北宫镇_110106100000,116.095937,39.860085,12925323.998393629,4819008.208653107
47,北宫镇_110106100000,116.096511,39.860149,12925387.84649085,4819017.658981649
48,北宫镇_110106100000,116.09486,39.853869,12925203.72867412,4818109.783604648
49,北宫镇_110106100000,116.094278,39.853854,12925138.972474186,4818107.556614956
50,北宫镇_110106100000,116.095155,39.855658,12925236.700691588,4818368.310618768
51,北宫镇_110106100000,116.095435,39.855263,12925267.820382282,4818311.30897031
52,北宫镇_110106100000,116.095186,39.858775,12925240.395688972,4818818.715227916
53,北宫镇_110106100000,116.095761,39.858697,12925304.34261101,4818807.569968456
54,北宫镇_110106100000,116.096869,39.852029,12925426.943125756,4817844.547005657
55,北宫镇_110106100000,116.096602,39.851629,12925397.2242206,4817786.665982736
56,北宫镇_110106100000,116.096599,39.860157,12925397.621708576,4819018.830300513
57,北宫镇_110106100000,116.096869,39.852029,12925426.943125756,4817844.547005657
58,北宫镇_110106100000,116.097322,39.852313,12925477.340883886,4817885.832544536
59,北宫镇_110106100000,116.097437,39.852803,12925490.16963657,4817956.671779901
60,北宫镇_110106100000,116.097268,39.853234,12925471.413769005,4818018.86300115
61,北宫镇_110106100000,116.097073,39.853657,12925449.789930455,4818079.909537899
62,北宫镇_110106100000,116.097616,39.860042,12925510.640282037,4819002.690902736
63,北宫镇_110106100000,116.097666,39.852566,12925515.57476107,4817922.578351515
64,北宫镇_110106100000,116.097666,39.852566,12925515.57476107,4817922.578351515
65,北宫镇_110106100000,116.098247,39.852574,12925580.16885176,4817924.054778176
66,北宫镇_110106100000,116.098825,39.852642,12925644.39415786,4817934.274809625
67,北宫镇_110106100000,116.099401,39.852712,12925708.366724957,4817944.811887979
68,北宫镇_110106100000,116.099978,39.852783,12925772.41821949,4817955.550099437
69,北宫镇_110106100000,116.097616,39.860042,12925510.640282037,4819002.690902736
70,北宫镇_110106100000,116.098086,39.860307,12925562.884196388,4819041.249960969
71,北宫镇_110106100000,116.098644,39.860439,12925624.912405508,4819060.693641939
72,北宫镇_110106100000,116.098233,39.863904,12925579.421062278,4819561.066875427
73,北宫镇_110106100000,116.098294,39.863457,12925586.192715237,4819496.516740935
74,北宫镇_110106100000,116.098479,39.863041,12925606.682925016,4819436.553968673
75,北宫镇_110106100000,116.098804,39.862667,12925642.789160194,4819382.728101629
76,北宫镇_110106100000,116.098495,39.864854,12925608.54073476,4819698.484415141
77,北宫镇_110106100000,116.099028,39.865029,12925667.7549643,4819724.132305903
78,北宫镇_110106100000,116.098503,39.867073,12925609.509762889,4820019.1174534485
79,北宫镇_110106100000,116.099059,39.867203,12925671.283579905,4820038.316031642
80,北宫镇_110106100000,116.099124,39.861458,12925678.255998565,4819208.239630126
81,北宫镇_110106100000,116.099057,39.861011,12925670.79155166,4819143.60156661
82,北宫镇_110106100000,116.099128,39.860564,12925678.669744791,4819079.104354214
83,北宫镇_110106100000,116.099295,39.860438,12925697.20231985,4819061.005502719
84,北宫镇_110106100000,116.099093,39.865037,12925674.989948304,4819725.35575758
85,北宫镇_110106100000,116.099391,39.865422,12925708.094907284,4819781.1943022935
86,北宫镇_110106100000,116.09961,39.86584,12925732.425875733,4819841.76191351
87,北宫镇_110106100000,116.099588,39.86628,12925730.021250816,4819905.313439586
88,北宫镇_110106100000,116.099505,39.866726,12925720.803801063,4819969.678397645
89,北宫镇_110106100000,116.099283,39.867136,12925696.1518109,4820028.802955288
90,北宫镇_110106100000,116.099093,39.865037,12925674.989948304,4819725.35575758
91,北宫镇_110106100000,116.099295,39.860438,12925697.20231985,4819061.005502719
92,北宫镇_110106100000,116.099866,39.860534,12925760.621595286,4819075.336758971
93,北宫镇_110106100000,116.099295,39.860438,12925697.20231985,4819061.005502719
94,北宫镇_110106100000,116.09936,39.859991,12925704.385291751,4818996.466455988
95,北宫镇_110106100000,116.099552,39.859566,12925725.674202869,4818935.241852035
96,北宫镇_110106100000,116.099756,39.859145,12925748.317343438,4818874.580794511
