﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,北石槽镇_110113115000,116.477346,40.237219,12967753.210957805,4873661.272174698
1,北石槽镇_110113115000,116.477933,40.237218,12967817.957444644,4873662.351427351
2,北石槽镇_110113115000,116.47852,40.237217,12967882.670063265,4873663.444560385
3,北石槽镇_110113115000,116.479108,40.237216,12967947.46922585,4873664.592355007
4,北石槽镇_110113115000,116.479695,40.237213,12968012.175340518,4873665.434627806
5,北石槽镇_110113115000,116.480282,40.237211,12968076.878683535,4873666.405439589
6,北石槽镇_110113115000,116.480869,40.237208,12968141.57971011,4873667.266962983
7,北石槽镇_110113115000,116.481456,40.237214,12968206.278349526,4873669.396762252
8,北石槽镇_110113115000,116.477598,40.241646,12967780.807843296,4874304.87126885
9,北石槽镇_110113115000,116.478179,40.241711,12967844.857692724,4874315.594187626
10,北石槽镇_110113115000,116.478343,40.243574,12967862.819914643,4874586.57006578
11,北石槽镇_110113115000,116.478427,40.243128,12967872.128534693,4874521.970715418
12,北石槽镇_110113115000,116.478512,40.242682,12967881.496296214,4874457.33367658
13,北石槽镇_110113115000,116.478606,40.242238,12967891.913465656,4874393.036438126
14,北石槽镇_110113115000,116.478683,40.241999,12967900.424402647,4874358.521556042
15,北石槽镇_110113115000,116.481871,40.242297,12968251.795225022,4874408.72738216
16,北石槽镇_110113115000,116.481289,40.242263,12968187.640086476,4874402.508304747
17,北石槽镇_110113115000,116.480712,40.242202,12968124.05539062,4874392.369079838
18,北石槽镇_110113115000,116.480136,40.242113,12968060.560693495,4874378.18137553
19,北石槽镇_110113115000,116.479563,40.242016,12967997.424317075,4874362.829037412
20,北石槽镇_110113115000,116.478981,40.241963,12967933.261661042,4874353.8853275245
21,北石槽镇_110113115000,116.479355,40.234264,12967974.777593343,4873236.238383114
22,北石槽镇_110113115000,116.479941,40.234286,12968039.36163566,4873240.707098449
23,北石槽镇_110113115000,116.480528,40.234303,12968104.093314167,4873244.479867288
24,北石槽镇_110113115000,116.481115,40.234299,12968168.793459084,4873245.187025979
25,北石槽镇_110113115000,116.48112,40.230669,12968169.35219986,4872717.903058561
26,北石槽镇_110113115000,116.480535,40.230705,12968104.891864564,4872721.811481462
27,北石槽镇_110113115000,116.480765,40.225495,12968130.141880937,4871965.440142487
28,北石槽镇_110113115000,116.48067,40.225935,12968119.676140074,4872029.179462349
29,北石槽镇_110113115000,116.480722,40.226384,12968125.41451602,4872094.484681439
30,北石槽镇_110113115000,116.480773,40.226832,12968131.061688036,4872159.708943346
31,北石槽镇_110113115000,116.480824,40.22728,12968136.677679151,4872224.8930676235
32,北石槽镇_110113115000,116.480876,40.227729,12968142.44255398,4872290.277729271
33,北石槽镇_110113115000,116.480927,40.228177,12968148.056199135,4872355.422397303
34,北石槽镇_110113115000,116.480978,40.228626,12968153.698683191,4872420.764751574
35,北石槽镇_110113115000,116.48103,40.229074,12968159.40000885,4872485.990297808
36,北石槽镇_110113115000,116.481081,40.229522,12968165.040145628,4872551.135585156
37,北石槽镇_110113115000,116.481132,40.229971,12968170.67910104,4872616.51724396
38,北石槽镇_110113115000,116.481149,40.230419,12968172.53579055,4872681.611940196
39,北石槽镇_110113115000,116.486066,40.225704,12968714.361835912,4872007.598750623
40,北石槽镇_110113115000,116.485481,40.225668,12968649.904506985,4872001.053738232
41,北石槽镇_110113115000,116.484896,40.225633,12968585.418225737,4871994.701105142
42,北石槽镇_110113115000,116.484311,40.225597,12968520.962578502,4871988.1497162925
43,北石槽镇_110113115000,116.483725,40.225562,12968456.357185429,4871981.751299898
44,北石槽镇_110113115000,116.48314,40.225527,12968391.901713913,4871975.356903993
45,北石槽镇_110113115000,116.482555,40.225492,12968327.41574075,4871968.963646423
