﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,北苑街道_110112003000,116.618173,39.903284,12983377.535705768,4825283.1483426485
1,北苑街道_110112003000,116.617826,39.902922,12983339.073422955,4825230.089109118
2,北苑街道_110112003000,116.617479,39.902559,12983300.614270154,4825176.901680705
3,北苑街道_110112003000,116.617131,39.902197,12983262.037765386,4825123.858431103
4,北苑街道_110112003000,116.616788,39.901833,12983224.065365728,4825070.502747897
5,北苑街道_110112003000,116.616462,39.901459,12983187.92962286,4825015.722209211
6,北苑街道_110112003000,116.616126,39.901091,12983150.6840275,4824961.77394591
7,北苑街道_110112003000,116.615786,39.900725,12983113.020107992,4824908.122146629
8,北苑街道_110112003000,116.615446,39.900358,12983075.388831217,4824854.305324349
9,北苑街道_110112003000,116.615107,39.899992,12983037.819913875,4824800.637908131
10,北苑街道_110112003000,116.614843,39.899594,12983008.60709392,4824742.506701507
11,北苑街道_110112003000,116.614824,39.899537,12983006.510793569,4824734.232842313
12,北苑街道_110112003000,116.615226,39.899213,12983051.092952115,4824688.331486124
13,北苑街道_110112003000,116.615705,39.898955,12983104.202830626,4824652.1501681665
14,北苑街道_110112003000,116.616762,39.905182,12983220.85169533,4825554.357222085
15,北苑街道_110112003000,116.61618,39.905229,12983156.277613403,4825559.863887039
16,北苑街道_110112003000,116.615597,39.905222,12983091.656386832,4825557.540907053
17,北苑街道_110112003000,116.616546,39.904611,12983196.964127725,4825471.347476499
18,北苑街道_110112003000,116.616433,39.904172,12983184.451331878,4825407.682670821
19,北苑街道_110112003000,116.616546,39.904611,12983196.964127725,4825471.347476499
20,北苑街道_110112003000,116.616844,39.904999,12983229.94540709,4825528.107839241
21,北苑街道_110112003000,116.616762,39.905182,12983220.85169533,4825554.357222085
22,北苑街道_110112003000,116.61838,39.905106,12983400.3660305,4825546.857114197
23,北苑街道_110112003000,116.617797,39.905076,12983335.657965818,4825541.311622406
24,北苑街道_110112003000,116.617212,39.905092,12983270.772934353,4825542.3566783415
25,北苑街道_110112003000,116.623808,39.907328,12984002.905155065,4825877.782427778
26,北苑街道_110112003000,116.623229,39.907263,12983938.593630502,4825867.521115184
27,北苑街道_110112003000,116.622652,39.907192,12983874.473596018,4825856.3214982115
28,北苑街道_110112003000,116.622076,39.90712,12983810.484046726,4825844.96786807
29,北苑街道_110112003000,116.621499,39.907047,12983746.414174387,4825833.418944529
30,北苑街道_110112003000,116.620922,39.906975,12983682.323758636,4825821.950750576
31,北苑街道_110112003000,116.620346,39.906903,12983618.393067855,4825810.488572232
32,北苑街道_110112003000,116.619769,39.90683,12983554.351323493,4825798.8331253985
33,北苑街道_110112003000,116.619192,39.906761,12983490.318087853,4825787.6928193765
34,北苑街道_110112003000,116.618614,39.906695,12983426.172917878,4825776.988131882
35,北苑街道_110112003000,116.618035,39.90663,12983361.945897885,4825766.367617046
36,北苑街道_110112003000,116.618805,39.903918,12983447.625346227,4825376.062859773
37,北苑街道_110112003000,116.618452,39.903558,12983408.495818762,4825323.325527259
38,北苑街道_110112003000,116.618496,39.905187,12983413.222632376,4825558.803762307
39,北苑街道_110112003000,116.61838,39.905106,12983400.3660305,4825546.857114197
40,北苑街道_110112003000,116.618592,39.904686,12983423.916296007,4825486.626707786
41,北苑街道_110112003000,116.618679,39.904242,12983433.612600025,4825422.624941285
42,北苑街道_110112003000,116.618496,39.905187,12983413.222632376,4825558.803762307
43,北苑街道_110112003000,116.619038,39.905351,12983473.357274856,4825583.59790766
44,北苑街道_110112003000,116.618805,39.903918,12983447.625346227,4825376.062859773
45,北苑街道_110112003000,116.618805,39.903918,12983447.625346227,4825376.062859773
46,北苑街道_110112003000,116.619292,39.903671,12983501.704701543,4825341.351219431
47,北苑街道_110112003000,116.61978,39.903425,12983555.880440244,4825306.735374976
48,北苑街道_110112003000,116.619592,39.905437,12983534.800490202,4825597.134405292
49,北苑街道_110112003000,116.620164,39.905343,12983598.345455948,4825584.683649215
50,北苑街道_110112003000,116.620022,39.903366,12983582.768340198,4825298.705427925
51,北苑街道_110112003000,116.620451,39.903666,12983630.33902641,4825342.896599406
52,北苑街道_110112003000,116.620707,39.904067,12983658.746056197,4825401.316350199
53,北苑街道_110112003000,116.620571,39.905279,12983643.520755477,4825576.186202273
54,北苑街道_110112003000,116.620634,39.904496,12983650.610412277,4825463.164843848
55,北苑街道_110112003000,116.6206,39.904945,12983646.77368067,4825527.981260963
56,北苑街道_110112003000,116.620773,39.904315,12983666.027926825,4825437.257518527
57,北苑街道_110112003000,116.620783,39.905392,12983667.057361878,4825592.937509662
58,北苑街道_110112003000,116.620863,39.905441,12983675.924616463,4825600.1300719865
59,北苑街道_110112003000,116.621425,39.90556,12983738.354524124,4825618.358765914
60,北苑街道_110112003000,116.622008,39.905577,12983803.090600146,4825621.846179426
61,北苑街道_110112003000,116.620926,39.900827,12983683.368933043,4824933.508953054
62,北苑街道_110112003000,116.620926,39.900827,12983683.368933043,4824933.508953054
63,北苑街道_110112003000,116.621013,39.900382,12983693.072607886,4824869.373455337
64,北苑街道_110112003000,116.6211,39.899937,12983702.776613198,4824805.198407034
65,北苑街道_110112003000,116.621187,39.899492,12983712.480863333,4824741.0621862635
66,北苑街道_110112003000,116.621292,39.89905,12983724.170265729,4824677.38639424
67,北苑街道_110112003000,116.621453,39.898618,12983742.115602357,4824615.252660152
68,北苑街道_110112003000,116.621693,39.898208,12983768.813158767,4824556.418867791
69,北苑街道_110112003000,116.621033,39.901158,12983695.212951664,4824981.510308049
70,北苑街道_110112003000,116.621413,39.901499,12983737.376078058,4825031.492564188
71,北苑街道_110112003000,116.621706,39.901885,12983769.881929923,4825087.787157342
72,北苑街道_110112003000,116.622221,39.902974,12983826.98443263,4825246.061617606
73,北苑街道_110112003000,116.622023,39.902551,12983805.03750162,4825184.60222175
74,北苑街道_110112003000,116.622221,39.902974,12983826.98443263,4825246.061617606
75,北苑街道_110112003000,116.62242,39.903213,12983849.07290458,4825280.94207509
76,北苑街道_110112003000,116.622684,39.903615,12983878.366767183,4825339.474595912
77,北苑街道_110112003000,116.622439,39.905578,12983850.958409159,4825622.712328642
78,北苑街道_110112003000,116.623007,39.905476,12983914.099390768,4825608.902809232
79,北苑街道_110112003000,116.622933,39.90394,12983906.016094832,4825386.845075765
80,北苑街道_110112003000,116.622933,39.90394,12983906.016094832,4825386.845075765
81,北苑街道_110112003000,116.62346,39.903745,12983964.571075711,4825359.4606258655
82,北苑街道_110112003000,116.623162,39.904333,12983931.403178921,4825443.979136459
83,北苑街道_110112003000,116.623472,39.904714,12983965.822340835,4825499.537010483
84,北苑街道_110112003000,116.623729,39.905118,12983994.342868514,4825558.303645948
85,北苑街道_110112003000,116.623851,39.905305,12984007.898221372,4825585.51950311
86,北苑街道_110112003000,116.624116,39.907283,12984037.16466549,4825871.809599163
87,北苑街道_110112003000,116.623851,39.905305,12984007.898221372,4825585.51950311
