﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,十渡镇_110111111000,115.482189,39.656386,12857001.010643024,4789610.034655693
1,十渡镇_110111111000,115.482433,39.656794,12857028.117501192,4789668.303576217
2,十渡镇_110111111000,115.48278,39.657154,12857066.71121923,4789719.521112456
3,十渡镇_110111111000,115.48223,39.65542,12857005.661253514,4789470.856078189
4,十渡镇_110111111000,115.482473,39.655012,12857032.73527305,4789411.646224768
5,十渡镇_110111111000,115.482802,39.654644,12857069.377613295,4789358.02458701
6,十渡镇_110111111000,115.483223,39.654337,12857116.249938365,4789313.0391475875
7,十渡镇_110111111000,115.483709,39.654091,12857170.319510521,4789276.816825677
8,十渡镇_110111111000,115.484232,39.653894,12857228.495497566,4789247.528535906
9,十渡镇_110111111000,115.484755,39.653697,12857286.692974772,4789218.35078052
10,十渡镇_110111111000,115.485281,39.653504,12857345.18395619,4789189.750031765
11,十渡镇_110111111000,115.485807,39.653312,12857403.665771384,4789161.300484284
12,十渡镇_110111111000,115.486333,39.65312,12857462.168660205,4789132.885129999
13,十渡镇_110111111000,115.48686,39.652928,12857520.752998596,4789104.542981564
14,十渡镇_110111111000,115.487398,39.652758,12857580.535932373,4789079.39051847
15,十渡镇_110111111000,115.487951,39.65262,12857641.99981798,4789058.832975219
16,十渡镇_110111111000,115.488494,39.652456,12857702.336670242,4789034.572874554
17,十渡镇_110111111000,115.488914,39.65215,12857749.007860143,4788990.042728366
18,十渡镇_110111111000,115.48291,39.657277,12857081.150144264,4789736.993683297
19,十渡镇_110111111000,115.48343,39.657478,12857138.993156364,4789764.994634206
20,十渡镇_110111111000,115.483963,39.657657,12857198.253738657,4789789.886477518
21,十渡镇_110111111000,115.484508,39.657815,12857258.840203216,4789811.751229113
22,十渡镇_110111111000,115.485053,39.657973,12857319.44747594,4789833.612430599
23,十渡镇_110111111000,115.485599,39.658129,12857380.13610558,4789855.274783195
24,十渡镇_110111111000,115.486162,39.658244,12857442.696184691,4789871.020527475
25,十渡镇_110111111000,115.48674,39.65825,12857506.922272848,4789871.052013277
26,十渡镇_110111111000,115.486768,39.658246,12857510.039904097,4789870.479374037
27,十渡镇_110111111000,115.487264,39.658475,12857565.151886396,4789902.808236312
28,十渡镇_110111111000,115.487837,39.658553,12857628.80390618,4789913.314120063
29,十渡镇_110111111000,115.488414,39.658606,12857692.870840825,4789920.305571
30,十渡镇_110111111000,115.488978,39.658503,12857755.522008881,4789904.812304142
31,十渡镇_110111111000,115.486768,39.658246,12857510.039904097,4789870.479374037
32,十渡镇_110111111000,115.486924,39.657812,12857527.398289964,4789807.767812528
33,十渡镇_110111111000,115.488844,39.657933,12857740.70453596,4789822.877629428
34,十渡镇_110111111000,115.489264,39.658243,12857787.304829935,4789867.0632961085
35,十渡镇_110111111000,115.489718,39.651023,12857838.392262127,4788826.946164852
36,十渡镇_110111111000,115.489433,39.651411,12857806.693961298,4788883.108345914
37,十渡镇_110111111000,115.489173,39.651814,12857777.803417146,4788941.414044763
38,十渡镇_110111111000,115.489358,39.658338,12857797.727274155,4789880.678068338
39,十渡镇_110111111000,115.489895,39.65838,12857857.32036282,4789886.203830582
40,十渡镇_110111111000,115.489895,39.65838,12857857.32036282,4789886.203830582
41,十渡镇_110111111000,115.490019,39.658371,12857871.138357524,4789884.774160828
42,十渡镇_110111111000,115.4906,39.658399,12857935.587135162,4789888.336818216
43,十渡镇_110111111000,115.49118,39.658437,12857999.962437531,4789893.311842662
44,十渡镇_110111111000,115.491761,39.658447,12858064.419412257,4789894.348064016
45,十渡镇_110111111000,115.492338,39.658385,12858128.44927041,4789885.041240711
46,十渡镇_110111111000,115.492917,39.658343,12858192.67642137,4789878.6305157915
47,十渡镇_110111111000,115.493499,39.658331,12858257.190162322,4789876.639630773
48,十渡镇_110111111000,115.494081,39.658319,12858321.752131274,4789874.655647635
49,十渡镇_110111111000,115.494663,39.658302,12858386.242050359,4789872.014567137
50,十渡镇_110111111000,115.495245,39.658285,12858450.780160064,4789869.419476237
51,十渡镇_110111111000,115.495826,39.658255,12858515.126467714,4789864.9950224105
52,十渡镇_110111111000,115.496403,39.658207,12858579.070449384,4789858.036956638
53,十渡镇_110111111000,115.49697,39.658103,12858641.8926269,4789842.995237652
54,十渡镇_110111111000,115.497527,39.657974,12858703.559984194,4789824.476023967
55,十渡镇_110111111000,115.498083,39.65784,12858765.156654384,4789805.255657523
56,十渡镇_110111111000,115.498603,39.657638,12858822.740019802,4789776.248882945
57,十渡镇_110111111000,115.49907,39.657372,12858874.442578575,4789738.099876019
58,十渡镇_110111111000,115.496758,39.685549,12858616.6408206,4793796.574386581
59,十渡镇_110111111000,115.496358,39.685874,12858572.346229149,4793843.398323404
60,十渡镇_110111111000,115.498983,39.655465,12858865.003805706,4789463.431073462
61,十渡镇_110111111000,115.498582,39.655142,12858820.630169626,4789416.836599419
62,十渡镇_110111111000,115.498171,39.654822,12858775.16497214,4789370.6480751615
63,十渡镇_110111111000,115.497761,39.654503,12858729.814249484,4789324.638835276
64,十渡镇_110111111000,115.497351,39.654184,12858684.42728916,4789278.690964695
65,十渡镇_110111111000,115.500931,39.655438,12859080.57931029,4789460.332446139
66,十渡镇_110111111000,115.500866,39.655133,12859073.411497727,4789416.410347405
67,十渡镇_110111111000,115.500906,39.654775,12859077.848877907,4789364.855483474
68,十渡镇_110111111000,115.501246,39.654413,12859115.51639108,4789312.931590709
69,十渡镇_110111111000,115.501438,39.653989,12859136.7995158,4789252.003825012
70,十渡镇_110111111000,115.501687,39.653582,12859164.344724901,4789193.522816003
71,十渡镇_110111111000,115.501938,39.653176,12859192.158569347,4789135.247646503
72,十渡镇_110111111000,115.500931,39.655438,12859080.57931029,4789460.332446139
73,十渡镇_110111111000,115.501421,39.655682,12859134.749786032,4789495.7729904195
74,十渡镇_110111111000,115.502027,39.653032,12859202.022580652,4789114.567458607
75,十渡镇_110111111000,115.502442,39.652716,12859247.923342729,4789069.338322675
76,十渡镇_110111111000,115.502865,39.652412,12859294.720455684,4789025.858478182
77,十渡镇_110111111000,115.503356,39.65217,12859349.032059936,4788991.390114562
78,十渡镇_110111111000,115.503848,39.651929,12859403.426114025,4788957.14682686
79,十渡镇_110111111000,115.504339,39.651687,12859457.722403321,4788922.696494268
80,十渡镇_110111111000,115.504528,39.65159,12859478.620160433,4788908.937294996
81,十渡镇_110111111000,115.504847,39.651214,12859513.870366713,4788855.101411872
82,十渡镇_110111111000,115.512879,39.647792,12860400.81726943,4788373.678127439
83,十渡镇_110111111000,115.512304,39.647723,12860337.377122851,4788362.744796005
84,十渡镇_110111111000,115.511724,39.647709,12860273.414405765,4788359.755005751
85,十渡镇_110111111000,115.51115,39.647781,12860210.067707518,4788369.144850787
86,十渡镇_110111111000,115.510577,39.647863,12860146.863026662,4788380.0489172265
87,十渡镇_110111111000,115.51001,39.64796,12860084.250574358,4788393.100900494
88,十渡镇_110111111000,115.509473,39.648134,12860024.989968082,4788417.370181447
89,十渡镇_110111111000,115.508941,39.648316,12859966.262618093,4788442.807749799
90,十渡镇_110111111000,115.508433,39.648536,12859910.170350032,4788473.783106855
91,十渡镇_110111111000,115.507937,39.648769,12859855.36305541,4788506.678866997
92,十渡镇_110111111000,115.507492,39.649059,12859806.227603799,4788547.849737831
93,十渡镇_110111111000,115.507066,39.649366,12859759.16024005,4788591.493612555
94,十渡镇_110111111000,115.50664,39.649673,12859712.087610934,4788635.156441144
95,十渡镇_110111111000,115.506217,39.649982,12859665.340335563,4788679.155745828
96,十渡镇_110111111000,115.505797,39.650294,12859618.918356013,4788723.608618947
97,十渡镇_110111111000,115.505411,39.650631,12859576.249717226,4788771.763747531
98,十渡镇_110111111000,115.50761,39.689567,12859816.694352867,4794382.908978382
99,十渡镇_110111111000,115.50814,39.689382,12859875.211221362,4794356.946346726
100,十渡镇_110111111000,115.511415,39.658168,12860238.378924757,4789865.317837786
101,十渡镇_110111111000,115.51107,39.658528,12860200.267736422,4789916.591349341
102,十渡镇_110111111000,115.512665,39.657353,12860376.370395971,4789750.102638745
103,十渡镇_110111111000,115.512756,39.657797,12860386.325067896,4789814.158736934
104,十渡镇_110111111000,115.51285,39.658241,12860396.669967271,4789878.3016972905
105,十渡镇_110111111000,115.512945,39.658685,12860407.104802355,4789942.408446637
106,十渡镇_110111111000,115.512879,39.647792,12860400.81726943,4788373.678127439
107,十渡镇_110111111000,115.513428,39.647943,12860461.329841325,4788396.410054165
108,十渡镇_110111111000,115.512951,39.659109,12860407.71898722,4790003.469098257
109,十渡镇_110111111000,115.512735,39.659527,12860383.851597285,4790063.302120422
110,十渡镇_110111111000,115.512518,39.659945,12860359.893234516,4790123.098151591
111,十渡镇_110111111000,115.512302,39.660364,12860336.02400002,4790183.056105137
112,十渡镇_110111111000,115.512085,39.660782,12860312.06388761,4790242.860057408
113,十渡镇_110111111000,115.511896,39.661207,12860291.166673213,4790303.781453691
114,十渡镇_110111111000,115.511712,39.661634,12860270.809487045,4790364.950768215
115,十渡镇_110111111000,115.511542,39.662064,12860252.013843969,4790426.582471664
116,十渡镇_110111111000,115.511394,39.662499,12860235.651064197,4790489.004909749
117,十渡镇_110111111000,115.511304,39.662941,12860225.687605929,4790552.486963855
118,十渡镇_110111111000,115.511344,39.66339,12860230.05651148,4790617.215241442
119,十渡镇_110111111000,115.511428,39.663835,12860239.293756463,4790681.488998446
120,十渡镇_110111111000,115.511516,39.66428,12860248.951855531,4790745.693715096
121,十渡镇_110111111000,115.511606,39.664724,12860258.820516486,4790809.786425495
122,十渡镇_110111111000,115.511756,39.665156,12860275.330676055,4790872.288221305
123,十渡镇_110111111000,115.511988,39.665569,12860300.886078231,4790932.153734164
124,十渡镇_110111111000,115.512292,39.665952,12860334.405077523,4790987.84282593
125,十渡镇_110111111000,115.512638,39.666313,12860372.520977976,4791040.426819272
126,十渡镇_110111111000,115.513022,39.666651,12860414.872558668,4791089.7842854615
127,十渡镇_110111111000,115.513484,39.666925,12860465.788357774,4791130.068000517
128,十渡镇_110111111000,115.513949,39.667197,12860517.030922586,4791170.139224464
129,十渡镇_110111111000,115.514524,39.667236,12860580.455806911,4791176.766662204
130,十渡镇_110111111000,115.514646,39.655153,12860595.058231208,4789436.903868197
131,十渡镇_110111111000,115.514248,39.655481,12860551.116488578,4789483.402637717
132,十渡镇_110111111000,115.513848,39.655808,12860506.991850551,4789529.71289941
133,十渡镇_110111111000,115.513471,39.65615,12860465.35561686,4789578.271748666
134,十渡镇_110111111000,115.514752,39.648612,12860607.289344275,4788495.221565729
135,十渡镇_110111111000,115.514384,39.648272,12860566.749368373,4788445.516602717
136,十渡镇_110111111000,115.513864,39.648076,12860509.434327347,4788416.369908824
137,十渡镇_110111111000,115.51408,39.649111,12860533.153363302,4788565.772230559
138,十渡镇_110111111000,115.51408,39.649111,12860533.153363302,4788565.772230559
139,十渡镇_110111111000,115.5145,39.648799,12860579.493115228,4788521.625933632
140,十渡镇_110111111000,115.5141,39.649133,12860535.373712009,4788568.981466407
141,十渡镇_110111111000,115.514467,39.649483,12860575.823565975,4788620.084079215
142,十渡镇_110111111000,115.514869,39.649808,12860620.117089976,4788667.64434947
143,十渡镇_110111111000,115.515262,39.650139,12860663.386177938,4788716.052036615
144,十渡镇_110111111000,115.514126,39.654362,12860537.782379908,4789322.018503917
145,十渡镇_110111111000,115.514509,39.654701,12860579.941309439,4789371.519380283
146,十渡镇_110111111000,115.515464,39.653097,12860685.424457522,4789142.381866958
147,十渡镇_110111111000,115.515013,39.653381,12860635.66793859,4789182.40940775
148,十渡镇_110111111000,115.514634,39.653713,12860593.83112786,4789229.48900898
149,十渡镇_110111111000,115.514331,39.654097,12860560.39524439,4789284.250963563
150,十渡镇_110111111000,115.514829,39.654978,12860615.227480972,4789412.019025795
151,十渡镇_110111111000,115.515064,39.637539,12860642.336870732,4786901.318898198
152,十渡镇_110111111000,115.515632,39.637638,12860704.969865944,4786916.675709882
153,十渡镇_110111111000,115.515314,39.650168,12860669.148656722,4788720.353729592
154,十渡镇_110111111000,115.515057,39.667281,12860639.22002827,4791184.292911934
155,十渡镇_110111111000,115.515611,39.667145,12860700.309848044,4791165.791149385
156,十渡镇_110111111000,115.516166,39.66701,12860761.515149068,4791147.426527732
157,十渡镇_110111111000,115.516733,39.666915,12860824.033130737,4791134.888713633
158,十渡镇_110111111000,115.517304,39.666994,12860886.979783762,4791147.416504985
159,十渡镇_110111111000,115.51569,39.653023,12860710.354405824,4789132.1766810035
160,十渡镇_110111111000,115.516019,39.652339,12860746.66671606,4789034.345688009
161,十渡镇_110111111000,115.51625,39.651929,12860772.19990923,4788975.770874565
162,十渡镇_110111111000,115.516235,39.651481,12860770.564480301,4788911.215777473
163,十渡镇_110111111000,115.516154,39.651037,12860761.692356518,4788847.089216741
164,十渡镇_110111111000,115.51598,39.650607,12860742.519694129,4788784.848761907
165,十渡镇_110111111000,115.51569,39.653023,12860710.354405824,4789132.1766810035
166,十渡镇_110111111000,115.51601,39.652343,12860745.705497077,4789034.910676019
167,十渡镇_110111111000,115.518246,39.637929,12860993.16439013,4786963.8922587745
168,十渡镇_110111111000,115.517674,39.637846,12860930.099938542,4786950.75599875
169,十渡镇_110111111000,115.51745,39.667329,12860903.037076425,4791195.94114337
170,十渡镇_110111111000,115.51743,39.667778,12860900.771165337,4791260.581865617
171,十渡镇_110111111000,115.517547,39.668218,12860913.666622208,4791324.194752473
172,十渡镇_110111111000,115.51745,39.667329,12860903.037076425,4791195.94114337
173,十渡镇_110111111000,115.517565,39.667068,12860915.731412472,4791158.605832581
174,十渡镇_110111111000,115.517689,39.667033,12860929.393678779,4791153.833556274
175,十渡镇_110111111000,115.518253,39.666926,12860991.572178697,4791139.609015745
176,十渡镇_110111111000,115.51926,39.66707,12861102.587293115,4791162.415239977
177,十渡镇_110111111000,115.518708,39.666926,12861041.760275902,4791140.5538003035
178,十渡镇_110111111000,115.518474,39.666848,12861015.953954825,4791128.794217494
179,十渡镇_110111111000,115.518513,39.666742,12861020.25703374,4791113.617894842
180,十渡镇_110111111000,115.518855,39.66638,12861057.994150395,4791062.21010334
181,十渡镇_110111111000,115.519287,39.666078,12861105.629287122,4791019.588948886
182,十渡镇_110111111000,115.519746,39.665801,12861156.231815862,4790980.675441334
