﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,千家店镇_110119107000,116.21254,40.740248,12938287.030109666,4947002.21215995
1,千家店镇_110119107000,116.211949,40.740229,12938221.347860418,4946999.682497166
2,千家店镇_110119107000,116.214684,40.738134,12938525.477775669,4946692.208623246
3,千家店镇_110119107000,116.214655,40.737684,12938522.296908472,4946626.320648806
4,千家店镇_110119107000,116.214625,40.737235,12938518.99508314,4946560.591852604
5,千家店镇_110119107000,116.214595,40.736785,12938515.723455397,4946494.704868354
6,千家店镇_110119107000,116.214566,40.736336,12938512.542141795,4946428.977248283
7,千家店镇_110119107000,116.214564,40.735887,12938512.319342043,4946363.213150337
8,千家店镇_110119107000,116.214728,40.735455,12938530.600591078,4946299.968896311
9,千家店镇_110119107000,116.214922,40.73503,12938552.170286022,4946237.725407899
10,千家店镇_110119107000,116.215352,40.734613,12938599.966921939,4946176.684851845
11,千家店镇_110119107000,116.215999,40.734501,12938671.835112242,4946160.341691548
12,千家店镇_110119107000,116.215422,40.734596,12938607.755674504,4946174.199804651
13,千家店镇_110119107000,116.220758,40.733414,12939199.976443814,4946003.427598335
14,千家店镇_110119107000,116.220167,40.733403,12939134.410504574,4946001.34332968
15,千家店镇_110119107000,116.219575,40.733391,12939068.772085229,4945999.185658753
16,千家店镇_110119107000,116.224093,40.730984,12939569.785030054,4945651.020645706
17,千家店镇_110119107000,116.223547,40.731148,12939509.295010328,4945674.343867564
18,千家店镇_110119107000,116.223031,40.731367,12939452.101500807,4945705.876005508
19,千家店镇_110119107000,116.222518,40.731591,12939395.229888663,4945738.119278468
20,千家店镇_110119107000,116.222025,40.731837,12939340.545694524,4945773.6321735075
21,千家店镇_110119107000,116.2312,40.725387,12940356.98768646,4944843.225510224
22,千家店镇_110119107000,116.230827,40.725736,12940315.673941452,4944893.6004565125
23,千家店镇_110119107000,116.23051,40.726115,12940280.604269156,4944948.468403914
24,千家店镇_110119107000,116.230213,40.726504,12940247.724584578,4945004.853758929
25,千家店镇_110119107000,116.229915,40.726893,12940214.691998651,4945061.204873669
26,千家店镇_110119107000,116.229618,40.727283,12940181.806866331,4945117.765451801
27,千家店镇_110119107000,116.229321,40.727672,12940148.889069473,4945174.175209038
28,千家店镇_110119107000,116.229023,40.728062,12940115.908345839,4945230.711596358
29,千家店镇_110119107000,116.228696,40.728437,12940079.679550294,4945285.058785303
30,千家店镇_110119107000,116.228334,40.728791,12940039.601269681,4945336.25735633
31,千家店镇_110119107000,116.22793,40.72912,12939994.861071205,4945383.702875687
32,千家店镇_110119107000,116.227481,40.729412,12939945.0978117,4945425.728368688
33,千家店镇_110119107000,116.226991,40.729664,12939890.851459699,4945461.833002704
34,千家店镇_110119107000,116.226474,40.729882,12939833.593517816,4945492.958229395
35,千家店镇_110119107000,116.225923,40.730044,12939772.572746722,4945515.883958317
36,千家店镇_110119107000,116.225365,40.730194,12939710.761737222,4945537.047289956
37,千家店镇_110119107000,116.227428,40.664098,12939935.906509811,4935864.251763036
38,千家店镇_110119107000,116.227709,40.66449,12939967.031406622,4935922.10587824
39,千家店镇_110119107000,116.22773,40.664511,12939969.34849515,4935925.237099474
40,千家店镇_110119107000,116.227878,40.665003,12939985.806863278,4935997.461506126
41,千家店镇_110119107000,116.227878,40.665003,12939985.806863278,4935997.461506126
42,千家店镇_110119107000,116.22792,40.665452,12939990.505407756,4936063.230473107
43,千家店镇_110119107000,116.228012,40.665893,12940000.706299102,4936127.899637671
44,千家店镇_110119107000,116.22823,40.666311,12940024.9165026,4936189.467901788
45,千家店镇_110119107000,116.228448,40.666729,12940049.06586206,4936251.001014531
46,千家店镇_110119107000,116.228667,40.667148,12940073.364943737,4936312.70078791
47,千家店镇_110119107000,116.228937,40.667546,12940103.282763679,4936371.447254246
48,千家店镇_110119107000,116.229249,40.667929,12940137.826776186,4936428.060160457
49,千家店镇_110119107000,116.229562,40.668311,12940172.518911222,4936484.526950585
50,千家店镇_110119107000,116.229874,40.668693,12940207.08877811,4936541.0014197705
51,千家店镇_110119107000,116.230258,40.669025,12940249.615542525,4936590.330524849
52,千家店镇_110119107000,116.230769,40.66925,12940306.161316436,4936624.263277564
53,千家店镇_110119107000,116.231308,40.669435,12940365.79179118,4936652.406470388
54,千家店镇_110119107000,116.231862,40.669588,12940427.124990655,4936675.926322814
55,千家店镇_110119107000,116.232432,40.669705,12940490.190205272,4936694.229418646
56,千家店镇_110119107000,116.233017,40.669759,12940554.864329495,4936703.386536898
