﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,南彩镇_110113106000,116.679023,40.145592,12990189.090381624,4860317.442336209
1,南彩镇_110113106000,116.678444,40.145535,12990124.150632065,4860310.092607524
2,南彩镇_110113106000,116.677857,40.145536,12990058.346864296,4860311.208803792
3,南彩镇_110113106000,116.677271,40.145537,12989992.595323905,4860312.395157651
4,南彩镇_110113106000,116.676685,40.145538,12989926.866010696,4860313.611687536
5,南彩镇_110113106000,116.676098,40.14554,12989861.007399017,4860314.978127943
6,南彩镇_110113106000,116.675512,40.145541,12989795.23241056,4860316.253253571
7,南彩镇_110113106000,116.674926,40.145542,12989729.480594743,4860317.55497299
8,南彩镇_110113106000,116.67434,40.145543,12989663.691592501,4860318.843915331
9,南彩镇_110113106000,116.673753,40.145544,12989597.835334746,4860320.158826421
10,南彩镇_110113106000,116.675585,40.139622,12989803.97345369,4859457.679601048
11,南彩镇_110113106000,116.675366,40.139205,12989779.462271987,4859397.624840259
12,南彩镇_110113106000,116.675585,40.139622,12989803.97345369,4859457.679601048
13,南彩镇_110113106000,116.675943,40.139979,12989844.121821,4859508.782519633
14,南彩镇_110113106000,116.676334,40.140313,12989887.972694153,4859556.48229632
15,南彩镇_110113106000,116.676411,40.140368,12989896.616305716,4859564.303330157
16,南彩镇_110113106000,116.676919,40.140593,12989953.584810276,4859596.040711374
17,南彩镇_110113106000,116.677454,40.140776,12990013.586313624,4859621.609337784
18,南彩镇_110113106000,116.677997,40.140946,12990074.462231977,4859645.339593137
19,南彩镇_110113106000,116.67854,40.141115,12990135.331010982,4859668.94013041
20,南彩镇_110113106000,116.679063,40.141319,12990193.97428719,4859697.64131527
21,南彩镇_110113106000,116.679578,40.141534,12990251.69936868,4859727.997377394
22,南彩镇_110113106000,116.680064,40.141785,12990306.138377853,4859763.664251514
23,南彩镇_110113106000,116.678701,40.131599,12990154.316706348,4858288.697195301
24,南彩镇_110113106000,116.678136,40.131492,12990090.954875294,4858274.141699382
25,南彩镇_110113106000,116.678701,40.131599,12990154.316706348,4858288.697195301
26,南彩镇_110113106000,116.678708,40.132049,12990155.05920699,4858353.934565159
27,南彩镇_110113106000,116.678658,40.132497,12990149.370587004,4858418.967529853
28,南彩镇_110113106000,116.678608,40.132945,12990143.742166145,4858484.039293266
29,南彩镇_110113106000,116.678558,40.133394,12990138.113243535,4858549.229567314
30,南彩镇_110113106000,116.678507,40.133842,12990132.362673176,4858614.304465587
31,南彩镇_110113106000,116.678459,40.134291,12990126.915040767,4858679.453327717
32,南彩镇_110113106000,116.678411,40.134739,12990121.497499019,4858744.484199573
33,南彩镇_110113106000,116.678363,40.135187,12990116.079622915,4858809.554945216
34,南彩镇_110113106000,116.678315,40.135636,12990110.631042803,4858874.744771009
35,南彩镇_110113106000,116.678267,40.136084,12990105.212635824,4858939.816635518
36,南彩镇_110113106000,116.678218,40.136533,12990099.672564063,4859005.009199817
37,南彩镇_110113106000,116.680005,40.149787,12990298.86280617,4860924.325621801
38,南彩镇_110113106000,116.679423,40.149768,12990233.569943808,4860922.471589262
39,南彩镇_110113106000,116.678841,40.149826,12990168.3215813,4860931.824259994
40,南彩镇_110113106000,116.685107,40.131357,12990872.108766189,4858245.314017468
41,南彩镇_110113106000,116.68452,40.131356,12990806.388866935,4858245.723801621
42,南彩镇_110113106000,116.683934,40.131366,12990740.77784523,4858247.747780901
43,南彩镇_110113106000,116.683347,40.131378,12990675.034447437,4858250.129454863
44,南彩镇_110113106000,116.682761,40.13139,12990609.401436225,4858252.589759185
45,南彩镇_110113106000,116.682174,40.131401,12990543.636782022,4858254.895031382
46,南彩镇_110113106000,116.681588,40.131413,12990477.982905243,4858257.395132392
47,南彩镇_110113106000,116.681001,40.131425,12990412.167318622,4858259.975064935
48,南彩镇_110113106000,116.680415,40.131437,12990346.46314955,4858262.551266456
49,南彩镇_110113106000,116.679828,40.131449,12990280.658389987,4858265.165328755
50,南彩镇_110113106000,116.679243,40.131466,12990215.086374039,4858268.558162964
51,南彩镇_110113106000,116.679023,40.145592,12990189.090381624,4860317.442336209
52,南彩镇_110113106000,116.67961,40.145587,12990254.907317907,4860315.762882774
53,南彩镇_110113106000,116.680197,40.145582,12990320.745268531,4860314.157434483
54,南彩镇_110113106000,116.680783,40.145576,12990386.422180057,4860312.433110968
55,南彩镇_110113106000,116.68137,40.145573,12990452.210278,4860311.176721383
56,南彩镇_110113106000,116.680872,40.152734,12990395.817226123,4861350.531985824
57,南彩镇_110113106000,116.680679,40.152312,12990374.234516302,4861289.599080501
58,南彩镇_110113106000,116.680578,40.151869,12990362.901774421,4861225.483077636
59,南彩镇_110113106000,116.680477,40.151425,12990351.63017271,4861161.249940845
60,南彩镇_110113106000,116.680376,40.150982,12990340.358911533,4861097.136653377
61,南彩镇_110113106000,116.680275,40.150539,12990329.057741847,4861032.986296664
62,南彩镇_110113106000,116.680174,40.150096,12990317.75691688,4860968.877074702
63,南彩镇_110113106000,116.680573,40.141909,12990363.222646916,4859780.905706393
64,南彩镇_110113106000,116.680573,40.141909,12990363.222646916,4859780.905706393
65,南彩镇_110113106000,116.68107,40.141677,12990418.943717318,4859746.546804401
66,南彩镇_110113106000,116.681625,40.141531,12990481.165632144,4859724.590700927
67,南彩镇_110113106000,116.682179,40.141385,12990543.226916185,4859702.710452443
68,南彩镇_110113106000,116.682734,40.141239,12990605.430506526,4859680.863192477
69,南彩镇_110113106000,116.683287,40.141089,12990667.413001427,4859658.464461841
70,南彩镇_110113106000,116.683837,40.140932,12990728.99290962,4859635.044739772
71,南彩镇_110113106000,116.684388,40.140775,12990790.71462893,4859611.699111848
72,南彩镇_110113106000,116.684941,40.140626,12990852.637634045,4859589.568534069
73,南彩镇_110113106000,116.680634,40.142224,12990370.040944291,4859826.509644694
74,南彩镇_110113106000,116.680945,40.142605,12990404.836497229,4859881.327595458
75,南彩镇_110113106000,116.681214,40.143002,12990434.959133422,4859938.506871596
76,南彩镇_110113106000,116.681431,40.14342,12990459.227005122,4859998.84792479
77,南彩镇_110113106000,116.681579,40.143856,12990475.762113033,4860061.862836671
78,南彩镇_110113106000,116.681718,40.144293,12990491.326768616,4860125.051922709
79,南彩镇_110113106000,116.681857,40.14473,12990506.83054133,4860188.244586847
80,南彩镇_110113106000,116.681948,40.145173,12990517.02922478,4860252.379844499
81,南彩镇_110113106000,116.680813,40.127629,12990391.434008207,4857709.819752347
82,南彩镇_110113106000,116.680809,40.128079,12990390.937705046,4857775.075729105
83,南彩镇_110113106000,116.680806,40.128529,12990390.562053666,4857840.330023134
84,南彩镇_110113106000,116.680854,40.128976,12990395.916358674,4857905.0650346745
85,南彩镇_110113106000,116.68496,40.129143,12990855.823233489,4857924.394265947
86,南彩镇_110113106000,116.684381,40.129088,12990791.014348399,4857917.01682942
87,南彩镇_110113106000,116.683795,40.129107,12990725.36958392,4857920.388310081
88,南彩镇_110113106000,116.683209,40.129127,12990659.744116219,4857923.918771458
89,南彩镇_110113106000,116.682624,40.129146,12990594.229234116,4857927.370184889
90,南彩镇_110113106000,116.682038,40.129166,12990528.552242694,4857931.020643559
91,南彩镇_110113106000,116.681452,40.129185,12990462.895387147,4857934.552278884
92,南彩镇_110113106000,116.680872,40.152734,12990395.817226123,4861350.531985824
93,南彩镇_110113106000,116.681452,40.15278,12990460.811619414,4861356.414320157
