﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,南窖乡_110111209000,115.798771,39.764027,12892198.267126033,4805205.183456064
1,南窖乡_110111209000,115.799124,39.764385,12892237.499884477,4805256.4633356305
2,南窖乡_110111209000,115.802919,39.765007,12892659.79197136,4805341.673011435
3,南窖乡_110111209000,115.802393,39.765201,12892601.24143858,4805370.413761073
4,南窖乡_110111209000,115.803131,39.764838,12892683.42810307,4805317.004332973
5,南窖乡_110111209000,115.803389,39.764397,12892712.20624062,4805253.033296506
6,南窖乡_110111209000,115.803147,39.764806,12892685.21759549,4805312.368300485
7,南窖乡_110111209000,115.803683,39.784022,12892743.20667978,4808083.352263959
8,南窖乡_110111209000,115.803129,39.784162,12892681.46432298,4808104.395872697
9,南窖乡_110111209000,115.803693,39.764436,12892746.036307476,4805258.163380764
10,南窖乡_110111209000,115.804086,39.764572,12892789.797687003,4805277.208639128
11,南窖乡_110111209000,115.803683,39.784022,12892743.20667978,4808083.352263959
12,南窖乡_110111209000,115.804263,39.783975,12892807.796571478,4808075.698246206
13,南窖乡_110111209000,115.804915,39.764668,12892882.13657084,4805289.715000623
14,南窖乡_110111209000,115.804335,39.764613,12892817.544608722,4805282.740572008
15,南窖乡_110111209000,115.804815,39.783955,12892869.303424072,4808071.879137409
16,南窖乡_110111209000,115.805264,39.784243,12892919.301400298,4808112.707566046
17,南窖乡_110111209000,115.805724,39.784519,12892970.48886404,4808151.697262432
18,南窖乡_110111209000,115.80569,39.763294,12892968.581114454,4805090.222742933
19,南窖乡_110111209000,115.806052,39.763647,12893008.925197214,4805140.484568912
20,南窖乡_110111209000,115.805852,39.784575,12892984.758049993,4808159.562052174
21,南窖乡_110111209000,115.806392,39.784403,12893044.973367082,4808133.789147662
22,南窖乡_110111209000,115.806489,39.784363,12893055.799460463,4808127.803128382
23,南窖乡_110111209000,115.807073,39.784371,12893120.856482366,4808127.863969363
24,南窖乡_110111209000,115.80763,39.784242,12893182.965946352,4808108.174185582
