﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,南苑街道_110106005000,116.353893,39.808297,12954013.51477912,4811547.05441171
1,南苑街道_110106005000,116.354354,39.808574,12954064.660082242,4811588.176845006
2,南苑街道_110106005000,116.35484,39.808823,12954118.56479385,4811625.3783170525
3,南苑街道_110106005000,116.355326,39.809073,12954172.465951424,4811662.712401801
4,南苑街道_110106005000,116.354017,39.806894,12954027.278339893,4811344.826418668
5,南苑街道_110106005000,116.354004,39.807344,12954025.832870252,4811409.715564522
6,南苑街道_110106005000,116.353992,39.807794,12954024.508695083,4811474.647314652
7,南苑街道_110106005000,116.35391,39.808239,12954015.376985213,4811538.713443659
8,南苑街道_110106005000,116.366444,39.808694,12955404.826665996,4811639.073098082
9,南苑街道_110106005000,116.365871,39.808608,12955341.294877145,4811625.03911731
10,南苑街道_110106005000,116.377172,39.8018,12956594.020122772,4810671.345765309
11,南苑街道_110106005000,116.376841,39.801428,12956557.340963392,4810616.961419161
12,南苑街道_110106005000,116.37651,39.801057,12956520.634998184,4810562.645864054
13,南苑街道_110106005000,116.376179,39.800686,12956483.932229295,4810508.36070022
14,南苑街道_110106005000,116.37584,39.80032,12956446.36106534,4810454.754874438
15,南苑街道_110106005000,116.375499,39.799953,12956408.552771706,4810401.018144117
16,南苑街道_110106005000,116.37516,39.799587,12956370.957870848,4810347.394329868
17,南苑街道_110106005000,116.37482,39.79922,12956333.275939494,4810293.642941361
18,南苑街道_110106005000,116.374481,39.798854,12956295.68705287,4810240.041808055
19,南苑街道_110106005000,116.374141,39.798487,12956258.041075235,4810186.235854826
20,南苑街道_110106005000,116.373601,39.798394,12956198.15731013,4810171.498214521
21,南苑街道_110106005000,116.373019,39.798353,12956133.651173096,4810164.119808206
22,南苑街道_110106005000,116.37245,39.798337,12956070.560677111,4810160.390298999
23,南苑街道_110106005000,116.371912,39.798293,12956010.929922286,4810152.645123023
24,南苑街道_110106005000,116.37134,39.79824,12955947.521089263,4810143.508464957
25,南苑街道_110106005000,116.370951,39.798379,12955904.400580803,4810162.558793259
26,南苑街道_110106005000,116.370368,39.798368,12955839.79609459,4810159.433962371
27,南苑街道_110106005000,116.369785,39.79834,12955775.196769547,4810153.827149451
28,南苑街道_110106005000,116.369826,39.797916,12955779.75397431,4810092.747538562
29,南苑街道_110106005000,116.369964,39.797479,12955795.059499322,4810030.032900932
30,南苑街道_110106005000,116.370127,39.797046,12955813.15767541,4809968.007467188
31,南苑街道_110106005000,116.370284,39.796612,12955830.56667618,4809905.809531109
32,南苑街道_110106005000,116.370023,39.796371,12955801.643913176,4809870.320876312
33,南苑街道_110106005000,116.369457,39.796257,12955738.943949087,4809852.3406653395
34,南苑街道_110106005000,116.368891,39.796147,12955676.217175538,4809834.9339975165
35,南苑街道_110106005000,116.368336,39.796044,12955614.723669982,4809818.522747631
