﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,南邵镇_110114111000,116.25236,40.173976,12942685.59126176,4864503.616817977
1,南邵镇_110114111000,116.252527,40.174407,12942704.130377311,4864566.541012095
2,南邵镇_110114111000,116.252694,40.174839,12942722.640982619,4864629.660606231
3,南邵镇_110114111000,116.252862,40.17527,12942741.243116474,4864692.663157753
4,南邵镇_110114111000,116.25303,40.175701,12942759.846716406,4864755.625434428
5,南邵镇_110114111000,116.253197,40.176132,12942778.36170427,4864818.584867172
6,南邵镇_110114111000,116.253367,40.176563,12942797.20849043,4864881.550311577
7,南邵镇_110114111000,116.253667,40.176946,12942830.439415405,4864937.846327854
8,南邵镇_110114111000,116.254088,40.190309,12942878.240557356,4866879.216524024
9,南邵镇_110114111000,116.253603,40.19056,12942824.598096734,4866914.497685514
10,南邵镇_110114111000,116.253036,40.190665,12942761.816697076,4866928.416254228
11,南邵镇_110114111000,116.252449,40.190686,12942696.840435216,4866930.055832047
12,南邵镇_110114111000,116.255071,40.180977,12942986.154979957,4865526.31035119
13,南邵镇_110114111000,116.254949,40.180537,12942972.609345356,4865462.124749394
14,南邵镇_110114111000,116.254783,40.180105,12942954.199420987,4865399.061512426
15,南邵镇_110114111000,116.254612,40.179674,12942935.220293708,4865336.103585126
16,南邵镇_110114111000,116.254445,40.179242,12942916.72313897,4865272.996604725
17,南邵镇_110114111000,116.254273,40.178812,12942897.626854328,4865210.151752553
18,南邵镇_110114111000,116.2541,40.178382,12942878.472000772,4865147.3437386565
19,南邵镇_110114111000,116.253927,40.177951,12942859.288548755,4865084.376314948
20,南邵镇_110114111000,116.253754,40.177521,12942840.076603096,4865021.5251536975
21,南邵镇_110114111000,116.253686,40.177078,12942832.547683287,4864957.066486708
22,南邵镇_110114111000,116.253706,40.176976,12942834.73528314,4864942.306787893
23,南邵镇_110114111000,116.254266,40.176843,12942896.747179024,4864924.296263018
24,南邵镇_110114111000,116.254844,40.176767,12942960.720075935,4864914.571670621
25,南邵镇_110114111000,116.253964,40.188213,12942864.252829451,4866574.489048231
26,南邵镇_110114111000,116.254101,40.187776,12942879.378913254,4866511.347831705
27,南邵镇_110114111000,116.254217,40.187335,12942892.19295468,4866447.5676337555
28,南邵镇_110114111000,116.254421,40.186916,12942914.741166338,4866387.215959724
29,南邵镇_110114111000,116.254095,40.190307,12942878.991176086,4866878.916894231
30,南邵镇_110114111000,116.254676,40.190359,12942943.331092382,4866887.795264434
31,南邵镇_110114111000,116.254095,40.190307,12942878.991176086,4866878.916894231
32,南邵镇_110114111000,116.25407,40.189857,12942876.183607738,4866813.471828148
33,南邵镇_110114111000,116.254105,40.189409,12942880.014171975,4866748.518944667
34,南邵镇_110114111000,116.25486,40.18916,12942963.578646695,4866714.102251889
35,南邵镇_110114111000,116.254311,40.189321,12942902.831446221,4866736.186618345
36,南邵镇_110114111000,116.254505,40.1868,12942924.041743012,4866370.548077076
37,南邵镇_110114111000,116.255085,40.186868,12942988.2370555,4866381.768487055
38,南邵镇_110114111000,116.255665,40.186938,12943052.499429412,4866393.200712869
39,南邵镇_110114111000,116.256244,40.187013,12943116.619195586,4866405.351522932
40,南邵镇_110114111000,116.254505,40.1868,12942924.041743012,4866370.548077076
41,南邵镇_110114111000,116.254431,40.186355,12942915.77276464,4866305.7855076175
42,南邵镇_110114111000,116.254516,40.18591,12942925.135200502,4866241.343770906
43,南邵镇_110114111000,116.254605,40.185465,12942934.94905294,4866176.950787144
44,南邵镇_110114111000,116.254695,40.18502,12942944.883894335,4866112.481636846
45,南邵镇_110114111000,116.254784,40.184575,12942954.669509366,4866048.088390628
46,南邵镇_110114111000,116.254873,40.18413,12942964.486069473,4865983.656549744
47,南邵镇_110114111000,116.254959,40.183685,12942973.973184472,4865919.2576523265
48,南邵镇_110114111000,116.25505,40.183241,12942984.03205151,4865854.988549707
49,南邵镇_110114111000,116.255291,40.182833,12943010.676311998,4865796.287219286
50,南邵镇_110114111000,116.255675,40.182493,12943053.159305377,4865747.777491534
51,南邵镇_110114111000,116.2548,40.189653,12942956.988248315,4866785.539713944
52,南邵镇_110114111000,116.254819,40.190103,12942959.135082722,4866850.930455116
53,南邵镇_110114111000,116.254829,40.190353,12942960.271266118,4866887.270909696
54,南邵镇_110114111000,116.25486,40.18916,12942963.578646695,4866714.102251889
55,南邵镇_110114111000,116.254874,40.189161,12942965.140698275,4866714.291242748
56,南邵镇_110114111000,116.254947,40.190349,12942973.33719635,4866886.942814221
57,南邵镇_110114111000,116.254927,40.189899,12942971.06988054,4866821.549474113
58,南邵镇_110114111000,116.254947,40.190349,12942973.33719635,4866886.942814221
59,南邵镇_110114111000,116.254974,40.189162,12942976.224707276,4866714.632031546
60,南邵镇_110114111000,116.255071,40.180977,12942986.154979957,4865526.31035119
61,南邵镇_110114111000,116.255238,40.181405,12943004.687524032,4865588.822612487
62,南邵镇_110114111000,116.255595,40.181762,12943044.245249692,4865641.46863787
63,南邵镇_110114111000,116.256031,40.182062,12943092.54494231,4865685.96432655
64,南邵镇_110114111000,116.255035,40.18966,12942983.031637037,4866787.087037591
65,南邵镇_110114111000,116.255054,40.19011,12942985.178567586,4866852.47745544
66,南邵镇_110114111000,116.255064,40.190345,12942986.283252014,4866886.61126353
67,南邵镇_110114111000,116.255209,40.189163,12943002.23829952,4866715.309058806
68,南邵镇_110114111000,116.255153,40.189663,12942996.098754816,4866787.781241786
69,南邵镇_110114111000,116.255172,40.190113,12942998.245733595,4866853.171494166
70,南邵镇_110114111000,116.255182,40.190341,12942999.349768251,4866886.320451488
71,南邵镇_110114111000,116.255209,40.189163,12943002.23829952,4866715.309058806
72,南邵镇_110114111000,116.255299,40.190337,12943012.32644978,4866886.026779547
73,南邵镇_110114111000,116.25528,40.189887,12943010.179137932,4866820.596987003
74,南邵镇_110114111000,116.255299,40.190337,12943012.32644978,4866886.026779547
75,南邵镇_110114111000,116.255327,40.189163,12943015.305546027,4866715.568389417
76,南邵镇_110114111000,116.255388,40.189674,12943022.114187708,4866789.912463476
77,南邵镇_110114111000,116.255407,40.190124,12943024.261296626,4866855.341779847
78,南邵镇_110114111000,116.255534,40.19033,12943038.340801839,4866885.516183309
79,南邵镇_110114111000,116.255444,40.189164,12943028.25302246,4866715.981823008
80,南邵镇_110114111000,116.255506,40.189683,12943035.182746388,4866791.470016039
81,南邵镇_110114111000,116.255525,40.190134,12943037.329992253,4866857.01734241
82,南邵镇_110114111000,116.255534,40.19033,12943038.340801839,4866885.516183309
