﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,双丰街道_110113012000,116.619911,40.18625,12983573.375477137,4866277.172132237
1,双丰街道_110113012000,116.619391,40.186456,12983515.66580359,4866306.034060319
2,双丰街道_110113012000,116.619946,40.18605,12983577.237047099,4866248.16802215
3,双丰街道_110113012000,116.619879,40.183899,12983569.574071283,4865935.721248503
4,双丰街道_110113012000,116.619791,40.184345,12983559.867115393,4866000.309768957
5,双丰街道_110113012000,116.619698,40.184789,12983549.589738661,4866064.6131803645
6,双丰街道_110113012000,116.619611,40.185235,12983539.974951113,4866129.163752282
7,双丰街道_110113012000,116.619666,40.18568,12983546.115664072,4866193.896664306
8,双丰街道_110113012000,116.619879,40.183899,12983569.574071283,4865935.721248503
9,双丰街道_110113012000,116.619911,40.18625,12983573.375477137,4866277.172132237
10,双丰街道_110113012000,116.620343,40.186553,12983621.363398576,4866321.977750182
11,双丰街道_110113012000,116.620884,40.186718,12983681.434869858,4866346.9812573055
12,双丰街道_110113012000,116.619911,40.18625,12983573.375477137,4866277.172132237
13,双丰街道_110113012000,116.621023,40.185771,12983696.812069625,4866209.71917307
14,双丰街道_110113012000,116.620449,40.18585,12983633.060800465,4866220.113398886
15,双丰街道_110113012000,116.62412,40.183443,12984040.634661188,4865876.80789038
16,双丰街道_110113012000,116.623533,40.183449,12983975.40926629,4865876.79098024
17,双丰街道_110113012000,116.622946,40.183448,12983910.194115335,4865875.669856882
18,双丰街道_110113012000,116.622359,40.183447,12983844.95950477,4865874.587028875
19,双丰街道_110113012000,116.621771,40.183446,12983779.64500045,4865873.424259529
20,双丰街道_110113012000,116.621184,40.183445,12983714.430900453,4865872.224371569
21,双丰街道_110113012000,116.620597,40.183444,12983649.256774915,4865870.987495958
22,双丰街道_110113012000,116.620371,40.169535,12983623.42097975,4863851.383346474
23,双丰街道_110113012000,116.620944,40.169624,12983687.02765929,4863865.365054561
24,双丰街道_110113012000,116.621528,40.169665,12983751.876814893,4863872.401133897
25,双丰街道_110113012000,116.622113,40.169705,12983816.886329629,4863879.204946719
26,双丰街道_110113012000,116.622697,40.169746,12983881.75561581,4863886.12557329
27,双丰街道_110113012000,116.623281,40.169787,12983946.635294814,4863893.006918937
28,双丰街道_110113012000,116.62386,40.169852,12984010.983902672,4863903.384550224
29,双丰街道_110113012000,116.620371,40.169535,12983623.42097975,4863851.383346474
30,双丰街道_110113012000,116.620206,40.169106,12983605.106787598,4863788.814105221
31,双丰街道_110113012000,116.620214,40.168656,12983605.948999992,4863723.519747952
32,双丰街道_110113012000,116.620225,40.168206,12983607.183301311,4863658.232596093
33,双丰街道_110113012000,116.620236,40.167756,12983608.388703309,4863592.945911616
34,双丰街道_110113012000,116.620247,40.167306,12983609.625348665,4863527.621291283
35,双丰街道_110113012000,116.620357,40.166868,12983621.839031499,4863464.322305471
36,双丰街道_110113012000,116.627329,40.166416,12984396.747012258,4863409.218768952
37,双丰街道_110113012000,116.626744,40.166449,12984331.669253305,4863413.3754619965
38,双丰街道_110113012000,116.626159,40.166483,12984266.573061256,4863417.56635566
39,双丰街道_110113012000,116.625575,40.166516,12984201.608890707,4863421.63607997
40,双丰街道_110113012000,116.62499,40.16655,12984136.595838254,4863425.780306161
41,双丰街道_110113012000,116.624405,40.166583,12984071.533788692,4863429.724032132
42,双丰街道_110113012000,116.62382,40.166617,12984006.512857217,4863433.783856168
43,双丰街道_110113012000,116.623235,40.166651,12983941.502751283,4863437.842093227
44,双丰街道_110113012000,116.622651,40.166684,12983876.593557173,4863441.664566311
45,双丰街道_110113012000,116.622066,40.166718,12983811.634556664,4863445.643746223
46,双丰街道_110113012000,116.621481,40.166751,12983746.655673645,4863449.347824514
47,双丰街道_110113012000,116.620896,40.166784,12983681.68673568,4863453.092999612
48,双丰街道_110113012000,116.620451,40.165165,12983632.272888273,4863217.33224529
49,双丰街道_110113012000,116.620316,40.165598,12983617.28817627,4863279.915693493
50,双丰街道_110113012000,116.620296,40.166048,12983615.084827945,4863345.182082033
51,双丰街道_110113012000,116.62031,40.166497,12983616.611488968,4863410.351306239
52,双丰街道_110113012000,116.621345,40.164584,12983731.56668097,4863134.662977879
53,双丰街道_110113012000,116.620927,40.164899,12983685.14929614,4863179.619838519
54,双丰街道_110113012000,116.621345,40.164584,12983731.56668097,4863134.662977879
55,双丰街道_110113012000,116.62076,40.164548,12983666.601347247,4863128.362349354
56,双丰街道_110113012000,116.620721,40.164121,12983662.251855986,4863066.342194985
57,双丰街道_110113012000,116.621306,40.164166,12983727.21620361,4863073.944094957
58,双丰街道_110113012000,116.621567,40.163708,12983756.226445852,4863007.9349092
59,双丰街道_110113012000,116.620982,40.163678,12983691.257384375,4863002.514424814
60,双丰街道_110113012000,116.621023,40.185771,12983696.812069625,4866209.71917307
61,双丰街道_110113012000,116.621023,40.185771,12983696.812069625,4866209.71917307
62,双丰街道_110113012000,116.621039,40.186734,12983698.669954484,4866349.568495927
63,双丰街道_110113012000,116.621141,40.185771,12983709.89563042,4866209.9176036855
64,双丰街道_110113012000,116.621144,40.186221,12983710.265027534,4866275.264487931
65,双丰街道_110113012000,116.624148,40.185646,12984043.971862124,4866196.72920845
66,双丰街道_110113012000,116.623582,40.185756,12983981.07228362,4866211.8283907585
67,双丰街道_110113012000,116.622995,40.185764,12983915.826941524,4866212.08873756
68,双丰街道_110113012000,116.622408,40.185766,12983850.621773371,4866211.403459693
69,双丰街道_110113012000,116.621821,40.185768,12983785.396906804,4866210.678459763
70,双丰街道_110113012000,116.621234,40.18577,12983720.242360082,4866209.915913598
71,双丰街道_110113012000,116.630622,40.187726,12984764.580009628,4866505.842011555
72,双丰街道_110113012000,116.63004,40.18767,12984699.76111872,4866497.263296314
73,双丰街道_110113012000,116.629458,40.187614,12984634.924352875,4866488.716964461
74,双丰街道_110113012000,116.628875,40.187558,12984570.009251457,4866480.045337002
75,双丰街道_110113012000,116.628293,40.187501,12984505.226723345,4866471.210732823
76,双丰街道_110113012000,116.627711,40.187445,12984440.426115815,4866462.527730718
77,双丰街道_110113012000,116.627128,40.187389,12984375.546893802,4866453.720492332
78,双丰街道_110113012000,116.626547,40.187327,12984310.889771994,4866444.083151375
79,双丰街道_110113012000,116.625966,40.187265,12984246.274227075,4866434.323856535
80,双丰街道_110113012000,116.625385,40.187203,12984181.639962029,4866424.600156939
81,双丰街道_110113012000,116.624804,40.18714,12984117.046850886,4866414.598188948
82,双丰街道_110113012000,116.624223,40.187078,12984052.434790945,4866404.790601054
83,双丰街道_110113012000,116.623642,40.187015,12983987.833468815,4866394.784533959
84,双丰街道_110113012000,116.623061,40.186953,12983923.303046597,4866384.857225091
85,双丰街道_110113012000,116.62248,40.18689,12983858.72276959,4866374.7321876
86,双丰街道_110113012000,116.621899,40.186828,12983794.18289698,4866364.726513789
87,双丰街道_110113012000,116.621318,40.186766,12983729.653040625,4866354.722488314
88,双丰街道_110113012000,116.621745,40.164287,12983775.973666117,4863092.256009595
89,双丰街道_110113012000,116.621493,40.163264,12983747.998211633,4862943.383054002
90,双丰街道_110113012000,116.621621,40.162283,12983762.230899006,4862801.2731592655
91,双丰街道_110113012000,116.621452,40.162712,12983743.474861177,4862863.22184364
92,双丰街道_110113012000,116.621467,40.163161,12983745.113879688,4862928.384147148
93,双丰街道_110113012000,116.621759,40.163997,12983777.545957183,4863050.20314444
94,双丰街道_110113012000,116.621621,40.162283,12983762.230899006,4862801.2731592655
95,双丰街道_110113012000,116.623034,40.161689,12983919.218752958,4862717.461761091
96,双丰街道_110113012000,116.622452,40.161655,12983854.585788488,4862711.552538437
97,双丰街道_110113012000,116.6219,40.161794,12983793.26513099,4862730.801131385
98,双丰街道_110113012000,116.621745,40.164287,12983775.973666117,4863092.256009595
99,双丰街道_110113012000,116.621759,40.163997,12983777.545957183,4863050.20314444
100,双丰街道_110113012000,116.621745,40.164287,12983775.973666117,4863092.256009595
101,双丰街道_110113012000,116.621759,40.163997,12983777.545957183,4863050.20314444
102,双丰街道_110113012000,116.621936,40.158902,12983797.345201079,4862311.254434101
103,双丰街道_110113012000,116.622402,40.159152,12983849.07905189,4862348.306090116
104,双丰街道_110113012000,116.622898,40.159392,12983904.190534912,4862383.961511111
105,双丰街道_110113012000,116.623394,40.159632,12983959.309871562,4862419.549272997
106,双丰街道_110113012000,116.62389,40.159872,12984014.43716428,4862455.147596577
107,双丰街道_110113012000,116.624389,40.160108,12984069.873785306,4862490.16922326
108,双丰街道_110113012000,116.624948,40.160241,12984132.007931475,4862510.240998766
109,双丰街道_110113012000,116.622747,40.163988,12983887.30170586,4863050.597211525
110,双丰街道_110113012000,116.622164,40.163939,12983822.523374606,4863042.501561229
111,双丰街道_110113012000,116.622703,40.163437,12983882.413514866,4862970.553100918
112,双丰街道_110113012000,116.622276,40.163745,12983834.984744908,4863014.534322302
