﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,台湖镇_110112114000,116.526452,39.830004,12973175.886066196,4814715.990743472
1,台湖镇_110112114000,116.52699,39.829835,12973235.769124396,4814690.476142324
2,台湖镇_110112114000,116.526826,39.819112,12973216.51892739,4813142.12879191
3,台湖镇_110112114000,116.527145,39.818735,12973252.028031142,4813087.040631683
4,台湖镇_110112114000,116.527462,39.818357,12973287.29810999,4813031.828433166
5,台湖镇_110112114000,116.52778,39.81798,12973322.723330649,4812976.682294341
6,台湖镇_110112114000,116.528097,39.817602,12973358.00040073,4812921.450353165
7,台湖镇_110112114000,116.528415,39.817224,12973393.432531731,4812866.167185566
8,台湖镇_110112114000,116.528732,39.816847,12973428.716500187,4812811.0336252805
9,台湖镇_110112114000,116.527704,39.831203,12973315.491338909,4814886.631214535
10,台湖镇_110112114000,116.527602,39.83076,12973304.076386658,4814822.822016618
11,台湖镇_110112114000,116.527499,39.830317,12973292.54093691,4814759.053383107
12,台湖镇_110112114000,116.527306,39.829894,12973270.972840143,4814698.374606213
13,台湖镇_110112114000,116.533198,39.826984,12973927.4955503,4814264.254264788
14,台湖镇_110112114000,116.532688,39.827204,12973870.62980811,4814297.304780641
15,台湖镇_110112114000,116.532165,39.827404,12973812.310916666,4814327.542353385
16,台湖镇_110112114000,116.53163,39.827585,12973752.660923962,4814355.040559663
17,台湖镇_110112114000,116.53111,39.827789,12973694.688382978,4814385.77536659
18,台湖镇_110112114000,116.530611,39.828023,12973639.091501666,4814420.714964195
19,台湖镇_110112114000,116.530121,39.828266,12973584.5026893,4814456.986234554
20,台湖镇_110112114000,116.52963,39.828509,12973529.798528533,4814493.237735076
21,台湖镇_110112114000,116.529146,39.828761,12973475.859684426,4814530.746904211
22,台湖镇_110112114000,116.528659,39.829009,12973421.62334506,4814567.650798761
23,台湖镇_110112114000,116.528172,39.829257,12973367.393391721,4814604.531328805
24,台湖镇_110112114000,116.527684,39.829505,12973313.079006037,4814641.389332401
25,台湖镇_110112114000,116.529095,39.816492,12973469.130713582,4812758.977765163
26,台湖镇_110112114000,116.529072,39.816395,12973466.609115407,4812744.998105092
27,台湖镇_110112114000,116.529296,39.815982,12973491.524864836,4812684.890212761
28,台湖镇_110112114000,116.529611,39.815602,12973526.60605223,4812629.304343388
29,台湖镇_110112114000,116.529926,39.815224,12973561.720898889,4812573.983381791
30,台湖镇_110112114000,116.530241,39.814845,12973596.808592264,4812518.53688533
31,台湖镇_110112114000,116.530556,39.814466,12973631.899450693,4812463.042835383
32,台湖镇_110112114000,116.530871,39.814087,12973666.993452359,4812407.579731875
33,台湖镇_110112114000,116.532306,39.817478,12973827.176735142,4812893.648395939
34,台湖镇_110112114000,116.531726,39.817526,12973762.503483254,4812902.047220287
35,台湖镇_110112114000,116.531155,39.817443,12973698.832673213,4812891.442407981
36,台湖镇_110112114000,116.530646,39.817224,12973642.080760036,4812861.062166135
37,台湖镇_110112114000,116.530146,39.816992,12973586.335748043,4812828.761408462
38,台湖镇_110112114000,116.529647,39.816759,12973530.688019631,4812796.279701678
39,台湖镇_110112114000,116.529152,39.816521,12973475.501538992,4812763.062076529
40,台湖镇_110112114000,116.533858,39.815444,12974000.209500615,4812595.9658496985
41,台湖镇_110112114000,116.533682,39.815015,12973980.551558701,4812534.52138021
42,台湖镇_110112114000,116.533367,39.814638,12973945.414444087,4812480.904944001
43,台湖镇_110112114000,116.532905,39.814367,12973893.830728041,4812442.958442228
44,台湖镇_110112114000,116.532406,39.814133,12973838.18561268,4812410.440023197
45,台湖镇_110112114000,116.531907,39.813899,12973782.485289147,4812377.903302191
46,台湖镇_110112114000,116.531361,39.813752,12973721.634208916,4812358.013557831
47,台湖镇_110112114000,116.532506,39.817038,12973849.495339172,4812829.608658788
48,台湖镇_110112114000,116.531948,39.816907,12973787.239342246,4812812.120246676
49,台湖镇_110112114000,116.532155,39.822738,12973810.742967129,4813653.652055936
50,台湖镇_110112114000,116.532737,39.822706,12973875.664302532,4813647.577748473
51,台湖镇_110112114000,116.53332,39.822675,12973940.683661224,4813641.592996337
52,台湖镇_110112114000,116.533902,39.822638,12974005.618104393,4813634.723233867
53,台湖镇_110112114000,116.532306,39.817478,12973827.176735142,4812893.648395939
54,台湖镇_110112114000,116.532628,39.817852,12973863.132324796,4812946.887252577
55,台湖镇_110112114000,116.533073,39.818141,12973912.807027018,4812987.431388739
56,台湖镇_110112114000,116.533571,39.818377,12973968.372828444,4813020.243899609
57,台湖镇_110112114000,116.534068,39.818613,12974023.822168157,4813053.002054984
58,台湖镇_110112114000,116.534566,39.818849,12974079.428114466,4813085.779401385
59,台湖镇_110112114000,116.535063,39.819085,12974134.886811478,4813118.504611905
60,台湖镇_110112114000,116.535578,39.819295,12974192.352681823,4813147.450735048
61,台湖镇_110112114000,116.536148,39.819391,12974255.981457055,4813159.718505565
62,台湖镇_110112114000,116.532306,39.817478,12973827.176735142,4812893.648395939
63,台湖镇_110112114000,116.532499,39.817053,12973848.706874162,4812831.856496405
64,台湖镇_110112114000,116.533466,39.815831,12973956.507429011,4812652.893191419
65,台湖镇_110112114000,116.533171,39.816219,12973923.615904044,4812709.67432579
66,台湖镇_110112114000,116.532861,39.8166,12973889.026736272,4812765.5038610445
67,台湖镇_110112114000,116.53255,39.816982,12973854.379608322,4812821.445378094
68,台湖镇_110112114000,116.532876,39.815625,12973890.686982386,4812624.70696659
69,台湖镇_110112114000,116.533409,39.81581,12973950.131482074,4812650.005012243
70,台湖镇_110112114000,116.533198,39.826984,12973927.4955503,4814264.254264788
71,台湖镇_110112114000,116.533282,39.826897,12973936.83766186,4814251.492062414
72,台湖镇_110112114000,116.533772,39.826653,12973991.491138678,4814214.938168911
73,台湖镇_110112114000,116.53426,39.826406,12974045.90617432,4814177.980672597
74,台湖镇_110112114000,116.534748,39.826159,12974100.35604491,4814141.00660835
75,台湖镇_110112114000,116.535237,39.825913,12974154.87100452,4814104.133573899
76,台湖镇_110112114000,116.533858,39.815444,12974000.209500615,4812595.9658496985
77,台湖镇_110112114000,116.533496,39.815796,12973959.84544243,4812647.773862533
78,台湖镇_110112114000,116.534605,39.81541,12974083.551231172,4812589.086449244
79,台湖镇_110112114000,116.534022,39.815438,12974018.486192074,4812594.693397063
80,台湖镇_110112114000,116.534355,39.822612,12974056.16770702,4813629.771912646
81,台湖镇_110112114000,116.534786,39.822911,12974104.28520473,4813671.827622846
82,台湖镇_110112114000,116.535292,39.823135,12974160.751385318,4813702.765745699
