﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,史各庄街道_110114013000,116.25255,40.110084,12942709.903956654,4855236.740150116
1,史各庄街道_110114013000,116.252876,40.110457,12942745.993283823,4855291.593631344
2,史各庄街道_110114013000,116.253202,40.110831,12942782.053522807,4855346.636434804
3,史各庄街道_110114013000,116.253528,40.111205,12942818.144805916,4855401.633630687
4,史各庄街道_110114013000,116.253854,40.111579,12942854.237167664,4855456.584357016
5,史各庄街道_110114013000,116.254179,40.111954,12942890.210498728,4855511.76123771
6,史各庄街道_110114013000,116.253228,40.100182,12942784.59092804,4853802.554211529
7,史各庄街道_110114013000,116.253653,40.099873,12942831.63373035,4853758.744589831
8,史各庄街道_110114013000,116.2541,40.099584,12942881.082989577,4853717.882835697
9,史各庄街道_110114013000,116.254641,40.099418,12942940.964518558,4853695.035734097
10,史各庄街道_110114013000,116.256269,40.1124,12943121.657808455,4855581.054298658
11,史各庄街道_110114013000,116.255685,40.112363,12943056.973945146,4855574.416527071
12,史各庄街道_110114013000,116.255101,40.112326,12942992.297300262,4855567.751486906
13,史各庄街道_110114013000,116.254579,40.112132,12942934.508926492,4855538.467187658
14,史各庄街道_110114013000,116.255399,40.099529,12943024.898022894,4853712.840146455
15,史各庄街道_110114013000,116.257273,40.09757,12943232.347475577,4853432.81686488
16,史各庄街道_110114013000,116.256776,40.097805,12943177.309328735,4853465.859131375
17,史各庄街道_110114013000,116.256349,40.098114,12943130.002686303,4853509.725505284
18,史各庄街道_110114013000,116.255927,40.098426,12943083.330736276,4853554.060759235
19,史各庄街道_110114013000,116.255525,40.098752,12943038.825891312,4853600.469294765
20,史各庄街道_110114013000,116.255268,40.099155,12943010.369095074,4853658.3147740625
21,史各庄街道_110114013000,116.255399,40.099529,12943024.898022894,4853712.840146455
22,史各庄街道_110114013000,116.256066,40.099506,12943098.771552026,4853710.976394406
23,史各庄街道_110114013000,116.25548,40.099526,12943033.880098775,4853712.58450088
24,史各庄街道_110114013000,116.256878,40.100686,12943188.818996219,4853883.8128307685
25,史各庄街道_110114013000,116.256346,40.100497,12943129.856591962,4853855.288381347
