﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,右安门街道_110106001000,116.345631,39.866957,12953101.151080672,4820002.401993783
1,右安门街道_110106001000,116.345122,39.866735,12953044.549109612,4819969.381458866
2,右安门街道_110106001000,116.345631,39.866957,12953101.151080672,4820002.401993783
3,右安门街道_110106001000,116.345196,39.867256,12953052.799428051,4820044.817490612
4,右安门街道_110106001000,116.345631,39.866957,12953101.151080672,4820002.401993783
5,右安门街道_110106001000,116.346189,39.866824,12953163.156626306,4819984.149217858
6,右安门街道_110106001000,116.346748,39.866693,12953225.273320714,4819966.324618171
7,右安门街道_110106001000,116.345814,39.865586,12953121.440877194,4819804.609009101
8,右安门街道_110106001000,116.346365,39.865736,12953182.665308727,4819827.311581958
9,右安门街道_110106001000,116.346922,39.865851,12953244.6020997,4819845.0026688725
10,右安门街道_110106001000,116.34643,39.865609,12953189.912863225,4819809.114594472
11,右安门街道_110106001000,116.346849,39.86667,12953236.522548147,4819963.2007941585
12,右安门街道_110106001000,116.346614,39.867082,12953210.387889372,4820022.265251611
13,右安门街道_110106001000,116.346334,39.867477,12953179.286969278,4820078.794498249
14,右安门街道_110106001000,116.346461,39.864564,12953193.320507467,4819658.158458241
15,右安门街道_110106001000,116.346412,39.864115,12953187.86451643,4819593.177101096
16,右安门街道_110106001000,116.346407,39.864095,12953187.29243318,4819590.2685653465
17,右安门街道_110106001000,116.346442,39.863645,12953191.160569064,4819525.3056737725
18,右安门街道_110106001000,116.346597,39.862496,12953208.360221362,4819359.6195671195
19,右安门街道_110106001000,116.346637,39.862943,12953212.797204582,4819424.273492787
20,右安门街道_110106001000,116.346492,39.863377,12953196.71771506,4819486.704573555
21,右安门街道_110106001000,116.346461,39.864564,12953193.320507467,4819658.158458241
22,右安门街道_110106001000,116.346721,39.864968,12953222.236957256,4819717.020088912
23,右安门街道_110106001000,116.346981,39.865371,12953251.12044342,4819775.731772343
24,右安门街道_110106001000,116.346506,39.86072,12953198.121862888,4819102.839544778
25,右安门街道_110106001000,116.34709,39.860741,12953263.033085186,4819106.984879511
26,右安门街道_110106001000,116.347673,39.860762,12953327.784347175,4819111.20343637
27,右安门街道_110106001000,116.348255,39.860807,12953392.467200506,4819118.866034012
28,右安门街道_110106001000,116.346685,39.862107,12953218.092079772,4819303.60151114
29,右安门街道_110106001000,116.347224,39.861921,12953277.969732862,4819277.738016981
30,右安门街道_110106001000,116.347054,39.866564,12953259.260006847,4819948.259557578
31,右安门街道_110106001000,116.346922,39.865851,12953244.6020997,4819845.0026688725
32,右安门街道_110106001000,116.347054,39.866564,12953259.260006847,4819948.259557578
33,右安门街道_110106001000,116.347011,39.866115,12953254.501738032,4819883.285895595
