﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,后沙峪地区_110113004000,116.46704,40.085723,12966612.466451025,4851657.744446298
1,后沙峪地区_110113004000,116.467576,40.085542,12966671.664272362,4851632.232433603
2,后沙峪地区_110113004000,116.468112,40.08536,12966730.854008097,4851606.553626288
3,后沙峪地区_110113004000,116.468649,40.085179,12966790.156367345,4851581.063262956
4,后沙峪地区_110113004000,116.469185,40.084998,12966849.33093774,4851555.638623451
5,后沙峪地区_110113004000,116.469734,40.08484,12966909.943337323,4851533.610043651
6,后沙峪地区_110113004000,116.470283,40.084682,12966970.548232822,4851511.530849891
7,后沙峪地区_110113004000,116.470832,40.084524,12967031.145974895,4851489.557468989
8,后沙峪地区_110113004000,116.471381,40.084367,12967091.706788627,4851467.727745971
9,后沙峪地区_110113004000,116.47193,40.084209,12967152.290818691,4851445.766572018
10,后沙峪地区_110113004000,116.47248,40.084052,12967212.988659581,4851423.989447978
11,后沙峪地区_110113004000,116.473029,40.083894,12967273.559977045,4851402.036720592
12,后沙峪地区_110113004000,116.473578,40.083737,12967334.095491637,4851380.341731394
13,后沙峪地区_110113004000,116.474127,40.083579,12967394.65519753,4851358.432744427
14,后沙峪地区_110113004000,116.474685,40.083443,12967456.172816623,4851339.789465734
15,后沙峪地区_110113004000,116.472783,40.090168,12967247.120818116,4852311.314068643
16,后沙峪地区_110113004000,116.473188,40.090493,12967291.845997361,4852359.176449836
17,后沙峪地区_110113004000,116.473593,40.090819,12967336.567746213,4852407.208237978
18,后沙峪地区_110113004000,116.473993,40.091148,12967380.71568868,4852455.633126373
19,后沙峪地区_110113004000,116.474401,40.091471,12967425.760788586,4852503.2620209195
20,后沙峪地区_110113004000,116.474829,40.091778,12967472.993335545,4852548.628100798
21,后沙峪地区_110113004000,116.475,40.093867,12967492.081262069,4852851.88285556
22,后沙峪地区_110113004000,116.47485,40.093433,12967475.501902554,4852788.638388644
23,后沙峪地区_110113004000,116.474547,40.093049,12967442.048992435,4852732.353186534
24,后沙峪地区_110113004000,116.474466,40.092971,12967433.093814075,4852720.915322326
25,后沙峪地区_110113004000,116.474578,40.09253,12967445.399951095,4852657.184374134
26,后沙峪地区_110113004000,116.474821,40.092121,12967472.18163956,4852598.3247210095
27,后沙峪地区_110113004000,116.474928,40.094789,12967484.19347935,4852985.439233671
28,后沙峪地区_110113004000,116.474936,40.094767,12967485.092701724,4852982.272651342
29,后沙峪地区_110113004000,116.474936,40.094767,12967485.092701724,4852982.272651342
30,后沙峪地区_110113004000,116.475523,40.094774,12967549.830500197,4852984.414829813
31,后沙峪地区_110113004000,116.474936,40.094767,12967485.092701724,4852982.272651342
32,后沙峪地区_110113004000,116.475673,40.094866,12967566.381033072,4852998.068612146
33,后沙峪地区_110113004000,116.475087,40.094859,12967501.734691253,4852995.883765347
34,后沙峪地区_110113004000,116.474937,40.094857,12967485.189374946,4852995.293271938
35,后沙峪地区_110113004000,116.475675,40.094957,12967566.627860805,4853011.249869284
36,后沙峪地区_110113004000,116.475089,40.094949,12967501.981462985,4853008.907619107
37,后沙峪地区_110113004000,116.474949,40.094947,12967486.517176382,4853008.379557139
38,后沙峪地区_110113004000,116.475679,40.094686,12967567.058355741,4852971.967603377
39,后沙峪地区_110113004000,116.475093,40.094679,12967502.382038362,4852969.781898002
40,后沙峪地区_110113004000,116.474961,40.094677,12967487.848620916,4852969.273720661
41,后沙峪地区_110113004000,116.476575,40.093224,12967665.721074622,4852761.792197289
42,后沙峪地区_110113004000,116.476217,40.092867,12967626.21354818,4852709.275861538
43,后沙峪地区_110113004000,116.475857,40.092513,12967586.46377683,4852657.233207983
44,后沙峪地区_110113004000,116.475435,40.0922,12967539.899245517,4852611.028517244
45,后沙峪地区_110113004000,116.474993,40.09188,12967491.108925687,4852563.764179659
46,后沙峪地区_110113004000,116.474961,40.095038,12967487.875046596,4853021.623821182
47,后沙峪地区_110113004000,116.475547,40.095045,12967552.52252676,4853023.764934773
48,后沙峪地区_110113004000,116.475572,40.090939,12967554.863229375,4852428.426670773
49,后沙峪地区_110113004000,116.475399,40.091369,12967535.834773175,4852490.431544688
50,后沙峪地区_110113004000,116.47511,40.09176,12967504.010436935,4852546.578092883
51,后沙峪地区_110113004000,116.475682,40.094596,12967567.38195227,4852958.916775421
52,后沙峪地区_110113004000,116.475096,40.094589,12967502.705659486,4852956.730967874
53,后沙峪地区_110113004000,116.474995,40.094497,12967491.558646968,4852943.198055729
54,后沙峪地区_110113004000,116.474995,40.094497,12967491.558646968,4852943.198055729
55,后沙峪地区_110113004000,116.475582,40.094505,12967556.326032003,4852945.539613595
56,后沙峪地区_110113004000,116.475,40.094407,12967492.122424139,4852930.152257096
57,后沙峪地区_110113004000,116.475,40.093867,12967492.081262069,4852851.88285556
58,后沙峪地区_110113004000,116.475587,40.093874,12967556.788487826,4852854.065950506
59,后沙峪地区_110113004000,116.475,40.093867,12967492.081262069,4852851.88285556
60,后沙峪地区_110113004000,116.475,40.094407,12967492.122424139,4852930.152257096
61,后沙峪地区_110113004000,116.475587,40.094415,12967556.859739294,4852932.493342241
62,后沙峪地区_110113004000,116.475,40.094407,12967492.122424139,4852930.152257096
63,后沙峪地区_110113004000,116.475691,40.094326,12967568.322529713,4852919.802983292
64,后沙峪地区_110113004000,116.475105,40.094319,12967503.70636256,4852917.618168775
65,后沙峪地区_110113004000,116.475001,40.094317,12967492.205745094,4852917.1355017945
66,后沙峪地区_110113004000,116.475002,40.094227,12967492.319039123,4852904.080060487
67,后沙峪地区_110113004000,116.475589,40.094235,12967557.086347684,4852906.382530052
68,后沙峪地区_110113004000,116.475002,40.094227,12967492.319039123,4852904.080060487
69,后沙峪地区_110113004000,116.475697,40.094146,12967568.969412586,4852893.701350069
70,后沙峪地区_110113004000,116.47511,40.094139,12967504.233206665,4852891.553082979
71,后沙峪地区_110113004000,116.475005,40.094047,12967492.635608079,4852877.97111448
72,后沙峪地区_110113004000,116.475005,40.094047,12967492.635608079,4852877.97111448
73,后沙峪地区_110113004000,116.475591,40.094054,12967557.252707388,4852880.152427154
74,后沙峪地区_110113004000,116.475005,40.094047,12967492.635608079,4852877.97111448
75,后沙峪地区_110113004000,116.475006,40.093957,12967492.748821339,4852864.955011547
76,后沙峪地区_110113004000,116.475592,40.093964,12967557.365892516,4852867.097029092
77,后沙峪地区_110113004000,116.475224,40.088975,12967516.280026788,4852142.958713043
78,后沙峪地区_110113004000,116.475197,40.088525,12967513.264455043,4852077.684645668
79,后沙峪地区_110113004000,116.475187,40.088075,12967512.109936515,4852012.411527432
80,后沙峪地区_110113004000,116.475201,40.087625,12967513.5971996,4851947.156144021
81,后沙峪地区_110113004000,116.475215,40.087175,12967515.083959203,4851881.940301561
82,后沙峪地区_110113004000,116.475229,40.086725,12967516.60026765,4851816.764657646
83,后沙峪地区_110113004000,116.475243,40.086275,12967518.056015562,4851751.548622596
84,后沙峪地区_110113004000,116.475256,40.085825,12967519.45122772,4851686.292206814
85,后沙峪地区_110113004000,116.47527,40.085375,12967520.96614448,4851621.077965363
86,后沙峪地区_110113004000,116.475284,40.084925,12967522.42060467,4851555.86269587
87,后沙峪地区_110113004000,116.475298,40.084474,12967523.934597237,4851490.452354315
88,后沙峪地区_110113004000,116.475312,40.084024,12967525.418382652,4851425.277631658
89,后沙峪地区_110113004000,116.475253,40.083578,12967518.855168477,4851360.480190969
90,后沙峪地区_110113004000,116.475227,40.083487,12967515.96290106,4851347.242895184
91,后沙峪地区_110113004000,116.475733,40.083266,12967571.786723526,4851316.20394627
92,后沙峪地区_110113004000,116.47631,40.083189,12967635.397864558,4851306.1956544295
93,后沙峪地区_110113004000,116.47689,40.083125,12967699.335968042,4851298.139584556
94,后沙峪地区_110113004000,116.47747,40.08306,12967763.29955495,4851289.904156463
95,后沙峪地区_110113004000,116.47805,40.082996,12967827.229197605,4851281.840660663
96,后沙峪地区_110113004000,116.478636,40.082991,12967891.821837064,4851282.380007315
97,后沙峪地区_110113004000,116.479221,40.08299,12967956.321450727,4851283.480720298
98,后沙峪地区_110113004000,116.479807,40.082988,12968020.93797778,4851284.43836138
99,后沙峪地区_110113004000,116.480393,40.082987,12968085.521984128,4851285.602002077
100,后沙峪地区_110113004000,116.480979,40.082986,12968150.10365348,4851286.695621757
101,后沙峪地区_110113004000,116.475572,40.090939,12967554.863229375,4852428.426670773
102,后沙峪地区_110113004000,116.475288,40.090546,12967523.511364995,4852370.875951841
103,后沙峪地区_110113004000,116.475134,40.090113,12967506.477089165,4852307.816535526
104,后沙峪地区_110113004000,116.475131,40.089663,12967506.075374529,4852242.5590082845
105,后沙峪地区_110113004000,116.475152,40.089213,12967508.3754329,4852177.320393168
106,后沙峪地区_110113004000,116.475572,40.090939,12967554.863229375,4852428.426670773
107,后沙峪地区_110113004000,116.476018,40.090648,12967604.016989814,4852387.141662049
108,后沙峪地区_110113004000,116.475729,40.095069,12967572.580860838,4853027.623350841
109,后沙峪地区_110113004000,116.476315,40.095064,12967637.190597966,4853028.059177321
110,后沙峪地区_110113004000,116.475731,40.094979,12967572.784506068,4853014.569903783
111,后沙峪地区_110113004000,116.476317,40.094974,12967637.39424483,4853015.045121498
112,后沙峪地区_110113004000,116.475733,40.094889,12967573.018140493,4853001.517113606
113,后沙峪地区_110113004000,116.47632,40.094884,12967637.747947667,4853001.995055311
114,后沙峪地区_110113004000,116.475735,40.094799,12967573.221735178,4852988.503001718
115,后沙峪地区_110113004000,116.476322,40.094809,12967637.95259998,4852991.104899729
116,后沙峪地区_110113004000,116.475737,40.094709,12967573.425275031,4852975.449560379
117,后沙峪地区_110113004000,116.476324,40.09472,12967638.156207606,4852978.208843617
118,后沙峪地区_110113004000,116.476367,40.094631,12967642.923116157,4852965.374422221
119,后沙峪地区_110113004000,116.47578,40.09462,12967578.162523724,4852962.613089055
120,后沙峪地区_110113004000,116.476369,40.094541,12967643.12657381,4852952.321048559
121,后沙峪地区_110113004000,116.475782,40.09453,12967578.36599319,4852949.559656147
122,后沙峪地区_110113004000,116.475743,40.094439,12967574.06571046,4852936.289903995
123,后沙峪地区_110113004000,116.476329,40.09445,12967638.706558956,4852939.086714026
124,后沙峪地区_110113004000,116.475744,40.094349,12967574.17905882,4852923.273836915
125,后沙峪地区_110113004000,116.476331,40.09436,12967638.90994845,4852926.033340624
126,后沙峪地区_110113004000,116.475746,40.094259,12967574.412450407,4852910.221061571
127,后沙峪地区_110113004000,116.476333,40.09427,12967639.113303663,4852912.979969497
128,后沙峪地区_110113004000,116.475748,40.094168,12967574.585655734,4852896.970321261
129,后沙峪地区_110113004000,116.476335,40.094179,12967639.346564323,4852899.769939287
130,后沙峪地区_110113004000,116.47575,40.094078,12967574.78897503,4852883.956226861
131,后沙峪地区_110113004000,116.476336,40.094087,12967639.4596395,4852886.439261134
132,后沙峪地区_110113004000,116.475752,40.093988,12967575.022264294,4852870.903458928
133,后沙峪地区_110113004000,116.476338,40.093997,12967639.662891679,4852873.385897265
134,后沙峪地区_110113004000,116.475754,40.093898,12967575.225495463,4852857.85003826
135,后沙峪地区_110113004000,116.47634,40.093907,12967639.866110193,4852860.332535948
136,后沙峪地区_110113004000,116.476362,40.094809,12967642.365827192,4852991.163202006
137,后沙峪地区_110113004000,116.476362,40.094809,12967642.365827192,4852991.163202006
138,后沙峪地区_110113004000,116.476362,40.094883,12967642.371250812,4853001.900679122
139,后沙峪地区_110113004000,116.476363,40.095063,12967642.504431155,4853028.019403319
140,后沙峪地区_110113004000,116.476364,40.094721,12967642.599535763,4852978.425139952
141,后沙峪地区_110113004000,116.476369,40.094541,12967643.12657381,4852952.321048559
142,后沙峪地区_110113004000,116.476369,40.094541,12967643.12657381,4852952.321048559
143,后沙峪地区_110113004000,116.476371,40.094451,12967643.330017207,4852939.307008429
144,后沙峪地区_110113004000,116.476374,40.094361,12967643.653493838,4852926.256297601
145,后沙峪地区_110113004000,116.476377,40.094271,12967643.976936119,4852913.205589321
146,后沙峪地区_110113004000,116.476381,40.09418,12967644.390348129,4852900.038883699
147,后沙峪地区_110113004000,116.476386,40.094088,12967644.953752091,4852886.71817958
148,后沙峪地区_110113004000,116.476389,40.093998,12967645.277091086,4852873.667479884
149,后沙峪地区_110113004000,116.476393,40.093908,12967645.720483946,4852860.619442584
150,后沙峪地区_110113004000,116.476575,40.093224,12967665.721074622,4852761.792197289
151,后沙峪地区_110113004000,116.476575,40.093224,12967665.721074622,4852761.792197289
152,后沙峪地区_110113004000,116.47787,40.093173,12967808.486858128,4852757.062502114
153,后沙峪地区_110113004000,116.477294,40.093094,12967744.99311615,4852744.413546378
154,后沙峪地区_110113004000,116.47787,40.093173,12967808.486858128,4852757.062502114
155,后沙峪地区_110113004000,116.478453,40.093155,12967872.779491004,4852755.7029967625
156,后沙峪地区_110113004000,116.479034,40.093208,12967936.834212547,4852764.616560272
157,后沙峪地区_110113004000,116.47926,40.093253,12967961.77883322,4852771.64644526
158,后沙峪地区_110113004000,116.479845,40.093276,12968026.247122405,4852776.259315837
159,后沙峪地区_110113004000,116.48043,40.093298,12968090.742714167,4852780.725493988
160,后沙峪地区_110113004000,116.481016,40.093321,12968155.326170756,4852785.359653409
161,后沙峪地区_110113004000,116.481601,40.093346,12968219.787862962,4852790.273394434
162,后沙峪地区_110113004000,116.482185,40.093366,12968284.157624863,4852794.443357657
163,后沙峪地区_110113004000,116.482771,40.093374,12968348.765387809,4852796.892713901
164,后沙峪地区_110113004000,116.481444,40.083024,12968201.393709403,4851293.261588231
165,后沙峪地区_110113004000,116.481979,40.083208,12968260.350532629,4851321.094103395
166,后沙峪地区_110113004000,116.482336,40.083276,12968299.728639113,4851331.748227988
167,后沙峪地区_110113004000,116.482431,40.083719,12968310.218756968,4851396.182624336
168,后沙峪地区_110113004000,116.48263,40.084142,12968332.229497753,4851457.982636208
169,后沙峪地区_110113004000,116.482777,40.084578,12968348.479713103,4851521.5331861265
170,后沙峪地区_110113004000,116.482936,40.085011,12968366.049551234,4851584.643835963
171,后沙峪地区_110113004000,116.483248,40.08539,12968400.477681639,4851640.292997817
172,后沙峪地区_110113004000,116.482745,40.082976,12968344.7683696,4851289.171037338
173,后沙峪地区_110113004000,116.482534,40.080896,12968321.256315023,4850987.162926774
174,后沙峪地区_110113004000,116.482729,40.081318,12968342.788100785,4851048.753031178
175,后沙峪地区_110113004000,116.482534,40.080896,12968321.256315023,4850987.162926774
176,后沙峪地区_110113004000,116.482775,40.08049,12968347.73872444,4850928.806002895
177,后沙峪地区_110113004000,116.482745,40.082976,12968344.7683696,4851289.171037338
178,后沙峪地区_110113004000,116.483318,40.083062,12968407.913720962,4851302.91425857
179,后沙峪地区_110113004000,116.483904,40.083057,12968472.48930244,4851303.518280822
180,后沙峪地区_110113004000,116.48449,40.083054,12968537.065057794,4851304.358294594
181,后沙峪地区_110113004000,116.485049,40.083179,12968598.684182588,4851323.728315178
182,后沙峪地区_110113004000,116.482745,40.082976,12968344.7683696,4851289.171037338
183,后沙峪地区_110113004000,116.482699,40.08253,12968339.618954599,4851224.392702564
184,后沙峪地区_110113004000,116.482812,40.082088,12968352.054345716,4851160.586077926
185,后沙峪地区_110113004000,116.482838,40.081553,12968354.846864067,4851083.0597502785
186,后沙峪地区_110113004000,116.482838,40.081553,12968354.846864067,4851083.0597502785
187,后沙峪地区_110113004000,116.482848,40.081463,12968355.917322919,4851070.028691171
188,后沙峪地区_110113004000,116.483367,40.081254,12968413.11904862,4851040.880794032
189,后沙峪地区_110113004000,116.483906,40.081081,12968472.484929029,4851016.977096664
190,后沙峪地区_110113004000,116.484466,40.080948,12968534.165773796,4850998.949343637
191,后沙峪地区_110113004000,116.485004,40.080776,12968593.442033548,4850975.199721675
192,后沙峪地区_110113004000,116.483078,40.080227,12968381.108412428,4850891.339960026
193,后沙峪地区_110113004000,116.483594,40.080017,12968437.949625945,4850862.027175261
194,后沙峪地区_110113004000,116.483101,40.093312,12968385.1297796,4852788.678083965
195,后沙峪地区_110113004000,116.483162,40.092865,12968391.815496847,4852723.98173516
196,后沙峪地区_110113004000,116.483108,40.092417,12968385.807156552,4852658.902701869
197,后沙峪地区_110113004000,116.483054,40.091969,12968379.828057518,4852593.824496362
198,后沙峪地区_110113004000,116.483,40.091521,12968373.818204766,4852528.745691382
199,后沙峪地区_110113004000,116.482946,40.091073,12968367.837634454,4852463.667734977
200,后沙峪地区_110113004000,116.482892,40.090625,12968361.8263523,4852398.589200645
201,后沙峪地区_110113004000,116.482838,40.090177,12968355.84439535,4852333.51153636
202,后沙峪地区_110113004000,116.482784,40.089729,12968349.801737068,4852268.39326733
203,后沙峪地区_110113004000,116.48273,40.089281,12968343.818506187,4852203.355270493
204,后沙峪地区_110113004000,116.482745,40.088833,12968345.456583729,4852138.38185339
205,后沙峪地区_110113004000,116.482915,40.088402,12968364.110147487,4852076.293726467
206,后沙峪地区_110113004000,116.483031,40.088023,12968376.856672216,4852021.5764874825
207,后沙峪地区_110113004000,116.482699,40.087655,12968340.241263768,4851967.5260863975
208,后沙峪地区_110113004000,116.482575,40.087219,12968326.514539361,4851904.034296727
209,后沙峪地区_110113004000,116.48279,40.086805,12968350.179276945,4851844.426331253
210,后沙峪地区_110113004000,116.483195,40.086482,12968394.768107783,4851798.534800436
211,后沙峪地区_110113004000,116.483342,40.086398,12968410.933640001,4851786.651399292
212,后沙峪地区_110113004000,116.483642,40.086784,12968444.040880864,4851843.292704928
213,后沙峪地区_110113004000,116.483757,40.087222,12968456.777855825,4851907.0759185385
214,后沙峪地区_110113004000,116.483584,40.087647,12968437.795168461,4851968.289730346
215,后沙峪地区_110113004000,116.483172,40.08796,12968392.394488107,4852012.784841463
216,后沙峪地区_110113004000,116.483101,40.093312,12968385.1297796,4852788.678083965
217,后沙峪地区_110113004000,116.483648,40.093465,12968445.396971272,4852812.069166962
