﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,周口店地区_110111009000,115.800848,39.715373,12892426.822761858,4798185.343293068
1,周口店地区_110111009000,115.800316,39.715555,12892367.61846549,4798212.188247766
2,周口店地区_110111009000,115.80124,39.703599,12892469.162193328,4796487.043205521
3,周口店地区_110111009000,115.801494,39.703194,12892497.403499117,4796428.325235487
4,周口店地区_110111009000,115.801415,39.700012,12892488.348442411,4795969.676112593
5,周口店地区_110111009000,115.801919,39.700239,12892544.457301395,4796001.763701065
6,周口店地区_110111009000,115.802422,39.700466,12892600.483929377,4796033.781681715
7,周口店地区_110111009000,115.802848,39.70077,12892647.923524212,4796077.04410932
8,周口店地区_110111009000,115.803338,39.701004,12892702.512551311,4796110.077415832
9,周口店地区_110111009000,115.803858,39.701207,12892760.439488867,4796138.546144204
10,周口店地区_110111009000,115.802016,39.713565,12892556.580101399,4797923.142011353
11,周口店地区_110111009000,115.801573,39.713275,12892507.23362894,4797881.873661582
12,周口店地区_110111009000,115.802081,39.71435,12892563.929815197,4798036.232885033
13,周口店地区_110111009000,115.80203,39.713905,12892558.19051161,4797972.177613804
14,周口店地区_110111009000,115.802016,39.713565,12892556.580101399,4797923.142011353
15,周口店地区_110111009000,115.802544,39.713375,12892615.359976593,4797895.015334927
16,周口店地区_110111009000,115.803015,39.71323,12892667.793928033,4797873.455844829
17,周口店地区_110111009000,115.803588,39.713148,12892731.569737593,4797860.776047739
18,周口店地区_110111009000,115.804212,39.704899,12892800.185698906,4796670.303190218
19,周口店地区_110111009000,115.804791,39.70489,12892864.687692147,4796668.055966089
20,周口店地区_110111009000,115.805044,39.704938,12892892.871241534,4796674.577210134
21,周口店地区_110111009000,115.805224,39.704877,12892912.926454207,4796665.476988606
22,周口店地区_110111009000,115.806101,39.697696,12893010.069331488,4795628.608696167
23,周口店地区_110111009000,115.805661,39.697989,12892961.044846931,4795671.630453366
24,周口店地区_110111009000,115.805545,39.704745,12892948.674956178,4796645.877504993
25,周口店地区_110111009000,115.806092,39.7049,12893009.636880124,4796667.253011071
26,周口店地区_110111009000,115.806666,39.70496,12893073.631217856,4796674.86401907
27,周口店地区_110111009000,115.805842,39.700233,12892981.355446167,4795994.7993156
28,周口店地区_110111009000,115.806272,39.699929,12893029.287108943,4795950.217316826
29,周口店地区_110111009000,115.806682,39.699612,12893074.95017399,4795903.771868904
30,周口店地区_110111009000,115.806944,39.69921,12893104.121047353,4795845.315904947
31,周口店地区_110111009000,115.807132,39.698784,12893125.046721457,4795783.536555834
32,周口店地区_110111009000,115.805749,39.711935,12892972.195913004,4797682.319379813
33,周口店地区_110111009000,115.806331,39.711959,12893037.030859787,4797684.699743482
34,周口店地区_110111009000,115.806869,39.712123,12893097.009079438,4797707.376701165
35,周口店地区_110111009000,115.807088,39.692297,12893119.83232004,4794848.531483388
36,周口店地区_110111009000,115.807009,39.718063,12893113.32108905,4798563.756239912
37,周口店地区_110111009000,115.807529,39.718267,12893171.313880038,4798592.178306942
38,周口店地区_110111009000,115.807376,39.71421,12893153.771699864,4798007.362668842
39,周口店地区_110111009000,115.807917,39.714377,12893214.130398704,4798030.406146602
40,周口店地区_110111009000,115.809445,39.696307,12893382.79436067,4795421.755725169
41,周口店地区_110111009000,115.809113,39.696677,12893345.772856032,4795475.829406945
42,周口店地区_110111009000,115.81093,39.696022,12893548.406394184,4795377.386780316
43,周口店地区_110111009000,115.810389,39.696186,12893488.061613081,4795402.246802977
44,周口店地区_110111009000,115.80982,39.696271,12893424.59581006,4795415.757859532
45,周口店地区_110111009000,115.809422,39.704315,12893380.829936737,4796576.298185584
46,周口店地区_110111009000,115.809913,39.704073,12893435.567650724,4796540.353186001
47,周口店地区_110111009000,115.809743,39.712238,12893417.452831985,4797718.108288122
48,周口店地区_110111009000,115.810324,39.712204,12893482.2526139,4797711.886202626
49,周口店地区_110111009000,115.810475,39.702415,12893498.09440842,4796300.035740433
50,周口店地区_110111009000,115.810361,39.716303,12893486.876854176,4798302.969967706
51,周口店地区_110111009000,115.81061,39.715896,12893514.595061254,4798243.71866379
52,周口店地区_110111009000,115.813699,39.694161,12893857.266833976,4795102.499318328
53,周口店地区_110111009000,115.813278,39.694472,12893810.311487084,4795148.321673468
54,周口店地区_110111009000,115.812843,39.694771,12893761.781178506,4795192.481572274
55,周口店地区_110111009000,115.812393,39.695057,12893711.554897532,4795234.862172695
56,周口店地区_110111009000,115.811941,39.695341,12893661.151020365,4795276.879075357
57,周口店地区_110111009000,115.811467,39.695602,12893608.262520753,4795315.603228117
58,周口店地区_110111009000,115.811063,39.695921,12893563.210582517,4795362.532479214
59,周口店地区_110111009000,115.810689,39.714224,12893523.214079188,4798002.406820762
60,周口店地区_110111009000,115.811118,39.713919,12893571.034326917,4797957.450774868
61,周口店地区_110111009000,115.812192,39.696824,12893689.22501437,4795490.012238389
62,周口店地区_110111009000,115.81171,39.697077,12893635.455561653,4795527.630456629
63,周口店地区_110111009000,115.812877,39.702861,12893766.105753265,4796358.701269864
64,周口店地区_110111009000,115.812543,39.703228,12893728.887899758,4796412.416718346
65,周口店地区_110111009000,115.815981,39.711285,12894113.45104486,4797565.44975297
66,周口店地区_110111009000,115.815409,39.711362,12894049.593055196,4797578.035479513
67,周口店地区_110111009000,115.814842,39.711462,12893986.319479669,4797593.953761375
68,周口店地区_110111009000,115.814299,39.711624,12893925.699105065,4797618.715760458
69,周口店地区_110111009000,115.813741,39.711754,12893863.441190556,4797638.876121245
70,周口店地区_110111009000,115.813168,39.711812,12893799.511954065,4797648.643799591
71,周口店地区_110111009000,115.814296,39.694216,12893923.881046506,4795108.884705326
72,周口店地区_110111009000,115.813718,39.694163,12893859.392071359,4795102.691018287
73,周口店地区_110111009000,115.814296,39.694216,12893923.881046506,4795108.884705326
74,周口店地区_110111009000,115.814818,39.694018,12893982.173835622,4795078.983497763
75,周口店地区_110111009000,115.815382,39.693912,12894045.120189754,4795062.259518245
76,周口店地区_110111009000,115.814409,39.70061,12893936.905535921,4796030.305045954
77,周口店地区_110111009000,115.814266,39.701046,12893920.993109027,4796093.510408962
78,周口店地区_110111009000,115.814953,39.695629,12893997.289250704,4795310.85994491
79,周口店地区_110111009000,115.814371,39.695622,12893932.339575665,4795311.346672443
80,周口店地区_110111009000,115.814756,39.704155,12893975.933534103,4796540.524005117
81,周口店地区_110111009000,115.814373,39.703816,12893933.154553408,4796492.642499369
82,周口店地区_110111009000,115.815767,39.704599,12894088.843292827,4796601.890329804
83,周口店地区_110111009000,115.815255,39.704384,12894031.673255427,4796572.285623693
84,周口店地区_110111009000,115.816315,39.695204,12894149.329033382,4795246.050618548
85,周口店地区_110111009000,115.815851,39.695476,12894097.557397101,4795286.455082607
86,周口店地区_110111009000,115.815291,39.695575,12894035.03268964,4795302.209129934
87,周口店地区_110111009000,115.815109,39.714671,12894016.475550879,4798056.059725405
88,周口店地区_110111009000,115.815569,39.714395,12894067.797244063,4798015.037983628
89,周口店地区_110111009000,115.816003,39.714096,12894116.234659672,4797970.78044125
90,周口店地区_110111009000,115.816442,39.713808,12894165.192411212,4797928.066250153
91,周口店地区_110111009000,115.816962,39.713606,12894223.243756851,4797897.54317821
92,周口店地区_110111009000,115.817464,39.713377,12894279.26058512,4797863.101456079
93,周口店地区_110111009000,115.815518,39.693892,12894060.303536661,4795059.006038463
94,周口店地区_110111009000,115.816081,39.693775,12894123.134276032,4795040.658787851
95,周口店地区_110111009000,115.816541,39.693501,12894174.484703837,4794999.947234107
96,周口店地区_110111009000,115.817019,39.693245,12894227.84354209,4794961.761457941
97,周口店地区_110111009000,115.817258,39.722181,12894257.317598032,4799133.458477925
98,周口店地区_110111009000,115.816706,39.722317,12894195.703849364,4799154.564315026
99,周口店地区_110111009000,115.816136,39.722408,12894132.08478179,4799169.203993467
100,周口店地区_110111009000,115.815598,39.722578,12894072.062366115,4799195.134159925
101,周口店地区_110111009000,115.815777,39.704592,12894089.96638532,4796600.849571381
102,周口店地区_110111009000,115.815777,39.704592,12894089.96638532,4796600.849571381
103,周口店地区_110111009000,115.816214,39.704294,12894138.716882735,4796556.746833748
104,周口店地区_110111009000,115.816693,39.70404,12894192.18164688,4796518.867053844
105,周口店地区_110111009000,115.817235,39.703883,12894252.673749257,4796494.743536289
106,周口店地区_110111009000,115.816315,39.695204,12894149.329033382,4795246.050618548
107,周口店地区_110111009000,115.816866,39.69506,12894210.82790945,4795223.798178267
108,周口店地区_110111009000,115.817417,39.694915,12894272.361183874,4795201.373861591
109,周口店地区_110111009000,115.816836,39.68887,12894207.317536939,4794331.707411351
110,周口店地区_110111009000,115.817296,39.689143,12894258.649781473,4794369.787647033
111,周口店地区_110111009000,115.817785,39.689387,12894313.265605161,4794403.603022363
112,周口店地区_110111009000,115.817035,39.69324,12894229.605100278,4794960.980068185
113,周口店地区_110111009000,115.81741,39.72306,12894274.422569813,4799259.795479996
114,周口店地区_110111009000,115.816963,39.723348,12894224.548155976,4799302.5959942285
115,周口店地区_110111009000,115.817358,39.693259,12894265.690440375,4794962.845124026
116,周口店地区_110111009000,115.817807,39.692976,12894315.803560916,4794920.8041961035
117,周口店地区_110111009000,115.817693,39.722393,12894305.941347076,4799162.819738195
118,周口店地区_110111009000,115.817853,39.689419,12894320.859816212,4794408.046696239
119,周口店地区_110111009000,115.818421,39.689518,12894384.288192257,4794420.740262015
120,周口店地区_110111009000,115.818947,39.689712,12894443.041874984,4794447.247643584
121,周口店地区_110111009000,115.819469,39.689911,12894501.312276334,4794474.42107938
122,周口店地区_110111009000,115.819992,39.69011,12894559.737085639,4794501.660819933
123,周口店地区_110111009000,115.817737,39.703881,12894308.716289809,4796493.074407326
124,周口店地区_110111009000,115.817669,39.704327,12894301.187772598,4796557.572671655
125,周口店地区_110111009000,115.817737,39.703881,12894308.716289809,4796493.074407326
126,周口店地区_110111009000,115.8182,39.703607,12894360.396666715,4796452.268051872
127,周口店地区_110111009000,115.817439,39.723042,12894277.670810826,4799257.141700319
128,周口店地区_110111009000,115.817984,39.713309,12894337.332807407,4797851.91569455
129,周口店地区_110111009000,115.817439,39.723042,12894277.670810826,4799257.141700319
130,周口店地区_110111009000,115.817633,39.722617,12894299.282862889,4799195.320816438
131,周口店地区_110111009000,115.817675,39.724758,12894304.219435278,4799503.9608374415
132,周口店地区_110111009000,115.818255,39.724718,12894368.979105173,4799496.648356718
133,周口店地区_110111009000,115.818837,39.724712,12894433.95850634,4799494.168756604
134,周口店地区_110111009000,115.817984,39.713309,12894337.332807407,4797851.91569455
135,周口店地区_110111009000,115.818494,39.713525,12894394.28360736,4797881.659096094
136,周口店地区_110111009000,115.818717,39.702227,12894418.013671232,4796251.885912684
137,周口店地区_110111009000,115.818643,39.702674,12894409.782710766,4796316.556052828
138,周口店地区_110111009000,115.818485,39.703106,12894392.194927504,4796379.247339824
139,周口店地区_110111009000,115.818744,39.702196,12894421.019017192,4796247.360143516
140,周口店地区_110111009000,115.820269,39.713489,12894592.513713753,4797871.437549582
141,周口店地区_110111009000,115.819686,39.713501,12894527.406323098,4797874.84654526
142,周口店地区_110111009000,115.819104,39.713489,12894462.390180701,4797874.72292198
143,周口店地区_110111009000,115.818744,39.702196,12894421.019017192,4796247.360143516
144,周口店地区_110111009000,115.818806,39.702023,12894427.933316197,4796222.25514499
145,周口店地区_110111009000,115.819137,39.701654,12894464.849542467,4796168.1199831255
146,周口店地区_110111009000,115.819606,39.701388,12894517.207827931,4796128.450043698
147,周口店地区_110111009000,115.820061,39.712071,12894569.092471082,4797667.55879893
148,周口店地区_110111009000,115.819641,39.71176,12894522.151026571,4797623.925220297
149,周口店地区_110111009000,115.819239,39.711438,12894477.245528638,4797578.597570938
