﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,和平街街道_110105007000,116.401915,39.973526,12959352.435172813,4835506.817207911
1,和平街街道_110105007000,116.401358,39.973662,12959290.293537341,4835527.079040481
2,和平街街道_110105007000,116.401935,39.973151,12959354.615840117,4835452.49631734
3,和平街街道_110105007000,116.401535,39.972823,12959309.934355728,4835405.458838683
4,和平街街道_110105007000,116.401931,39.973564,12959354.22443838,4835512.296285592
5,和平街街道_110105007000,116.401586,39.973927,12959315.74265917,4835565.200588155
6,和平街街道_110105007000,116.401931,39.973564,12959354.22443838,4835512.296285592
7,和平街街道_110105007000,116.401935,39.973151,12959354.615840117,4835452.49631734
8,和平街街道_110105007000,116.401931,39.973564,12959354.22443838,4835512.296285592
9,和平街街道_110105007000,116.404705,39.972656,12959663.824121015,4835377.324904482
10,和平街街道_110105007000,116.404132,39.972734,12959599.840612011,4835389.435962494
11,和平街街道_110105007000,116.403547,39.972726,12959534.527599232,4835389.077640029
12,和平街街道_110105007000,116.402963,39.972738,12959469.31795372,4835391.543144352
13,和平街街道_110105007000,116.402416,39.972893,12959408.279359302,4835414.61471798
14,和平街街道_110105007000,116.401978,39.973595,12959359.464713387,4835516.720394939
15,和平街街道_110105007000,116.402376,39.973925,12959403.90900048,4835564.052218952
16,和平街街道_110105007000,116.404975,39.971867,12959693.878642151,4835262.721076768
17,和平街街道_110105007000,116.404807,39.972295,12959675.187678974,4835324.9204251
18,和平街街道_110105007000,116.404975,39.971867,12959693.878642151,4835262.721076768
19,和平街街道_110105007000,116.404975,39.971867,12959693.878642151,4835262.721076768
20,和平街街道_110105007000,116.404853,39.971431,12959680.235747939,4835199.805516521
21,和平街街道_110105007000,116.404989,39.971026,12959695.382147616,4835140.989389134
22,和平街街道_110105007000,116.405326,39.970969,12959733.015184423,4835132.242980097
23,和平街街道_110105007000,116.40545,39.971883,12959746.943726864,4835264.327522136
24,和平街街道_110105007000,116.405566,39.971891,12959759.915883541,4835265.288659391
25,和平街街道_110105007000,116.405605,39.970962,12959764.170037791,4835130.797319537
26,和平街街道_110105007000,116.405846,39.963516,12959790.261933027,4834052.71964674
27,和平街街道_110105007000,116.405734,39.963077,12959777.69731179,4833989.372713194
28,和平街街道_110105007000,116.405692,39.970972,12959773.869591994,4835132.115950941
29,和平街街道_110105007000,116.407427,39.963697,12959966.902757578,4834076.254906016
30,和平街街道_110105007000,116.406859,39.963596,12959903.462566696,4834062.619117525
31,和平街街道_110105007000,116.406274,39.963599,12959838.072148662,4834064.013682032
32,和平街街道_110105007000,116.405828,39.96642,12959788.593202814,4834473.025617226
33,和平街街道_110105007000,116.405828,39.96642,12959788.593202814,4834473.025617226
34,和平街街道_110105007000,116.405747,39.965978,12959779.48589012,4834409.1968851555
35,和平街街道_110105007000,116.405799,39.971909,12959785.952534277,4835267.558461173
36,和平街街道_110105007000,116.40587,39.965565,12959793.204204302,4834349.211099129
37,和平街街道_110105007000,116.406434,39.965462,12959856.182704136,4834333.4295411315
38,和平街街道_110105007000,116.407018,39.965451,12959921.423361344,4834330.810031649
39,和平街街道_110105007000,116.405854,39.96772,12959791.662336888,4834661.160852202
40,和平街街道_110105007000,116.406424,39.967627,12959855.30898592,4834646.78366634
41,和平街街道_110105007000,116.406086,39.971933,12959817.992973473,4835270.561279556
42,和平街街道_110105007000,116.405941,39.971919,12959801.805583356,4835268.788534942
43,和平街街道_110105007000,116.406001,39.971471,12959808.466199297,4835203.833575832
44,和平街街道_110105007000,116.406076,39.971029,12959816.793885887,4835139.757601935
45,和平街街道_110105007000,116.406203,39.971942,12959831.05833727,4835271.66990684
46,和平街街道_110105007000,116.407659,39.971793,12959993.734337663,4835247.624007462
47,和平街街道_110105007000,116.407098,39.971922,12959931.070025267,4835267.283802021
48,和平街街道_110105007000,116.406519,39.971967,12959866.376274524,4835274.768982157
49,和平街街道_110105007000,116.406534,39.967591,12959867.583000349,4834641.382239876
