﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,团结湖街道_110105013000,116.455564,39.923091,12965336.798318159,4828104.578793756
1,团结湖街道_110105013000,116.456127,39.932213,12965399.307642242,4829423.666703741
2,团结湖街道_110105013000,116.455939,39.931787,12965378.44778347,4829362.057458762
3,团结湖街道_110105013000,116.455858,39.931579,12965369.451282386,4829331.945082679
4,团结湖街道_110105013000,116.455996,39.931142,12965384.744021196,4829268.74701755
5,团结湖街道_110105013000,116.456387,39.924081,12965428.053861031,4828247.737723385
6,团结湖街道_110105013000,116.456062,39.923936,12965391.99970546,4828226.726424242
7,团结湖街道_110105013000,116.455843,39.924352,12965367.696866814,4828286.90485038
8,团结湖街道_110105013000,116.455812,39.924799,12965364.276462935,4828351.57153664
9,团结湖街道_110105013000,116.455983,39.925228,12965383.218957225,4828413.550669102
10,团结湖街道_110105013000,116.456129,39.923222,12965399.44325745,4828123.521358741
11,团结湖街道_110105013000,116.456074,39.92367,12965393.364881141,4828188.294738094
12,团结湖街道_110105013000,116.456093,39.930995,12965395.51467172,4829247.475217208
13,团结湖街道_110105013000,116.456624,39.926574,12965454.316434452,4828608.194520204
14,团结湖街道_110105013000,116.45637,39.926169,12965426.171758456,4828549.619906176
15,团结湖街道_110105013000,116.456205,39.925738,12965407.86305936,4828487.278705243
16,团结湖街道_110105013000,116.4561,39.925391,12965396.221658707,4828437.119372548
17,团结湖街道_110105013000,116.456502,39.925065,12965440.793886678,4828389.993733023
18,团结湖街道_110105013000,116.456129,39.923222,12965399.44325745,4828123.521358741
19,团结湖街道_110105013000,116.456093,39.930995,12965395.51467172,4829247.475217208
20,团结湖街道_110105013000,116.455824,39.930597,12965365.634783858,4829189.926256994
21,团结湖街道_110105013000,116.455748,39.930153,12965357.210480649,4829125.76772744
22,团结湖街道_110105013000,116.455846,39.929711,12965368.07121822,4829061.813978571
23,团结湖街道_110105013000,116.456127,39.929318,12965399.241287654,4829004.978831829
24,团结湖街道_110105013000,116.456514,39.928981,12965442.146301748,4828956.2348737605
25,团结湖街道_110105013000,116.458193,39.93114,12965628.33041655,4829268.749321538
26,团结湖街道_110105013000,116.457611,39.931094,12965563.822541414,4829261.952464458
27,团结湖街道_110105013000,116.457029,39.931046,12965499.302578326,4829254.887511703
28,团结湖街道_110105013000,116.456447,39.931003,12965434.770566355,4829248.653132654
29,团结湖街道_110105013000,116.456159,39.923156,12965402.764523879,4828113.96142036
30,团结湖街道_110105013000,116.456244,39.92271,12965412.19324871,4828049.513433959
31,团结湖街道_110105013000,116.456137,39.932226,12965400.424379066,4829425.513725853
32,团结湖街道_110105013000,116.457719,39.931785,12965575.837491475,4829361.926952484
33,团结湖街道_110105013000,116.457252,39.932057,12965524.055084515,4829401.158594815
34,团结湖街道_110105013000,116.456718,39.932232,12965464.871889831,4829426.427319229
35,团结湖街道_110105013000,116.45641,39.922357,12965430.610955635,4827998.429737367
36,团结湖街道_110105013000,116.456387,39.924081,12965428.053861031,4828247.737723385
37,团结湖街道_110105013000,116.456942,39.924224,12965489.566291675,4828268.426539158
38,团结湖街道_110105013000,116.457509,39.924333,12965552.456055112,4828284.260987292
39,团结湖街道_110105013000,116.45641,39.922357,12965430.610955635,4827998.429737367
40,团结湖街道_110105013000,116.456967,39.922223,12965492.40286729,4827979.117768666
41,团结湖街道_110105013000,116.457551,39.922201,12965557.16562425,4827976.0194514
42,团结湖街道_110105013000,116.458135,39.922211,12965621.884903498,4827977.594775017
43,团结湖街道_110105013000,116.458697,39.922331,12965684.146026745,4827995.084474753
44,团结湖街道_110105013000,116.456731,39.927703,12965466.19375445,4828771.447766761
45,团结湖街道_110105013000,116.456631,39.92726,12965455.09421348,4828707.394189541
46,团结湖街道_110105013000,116.456623,39.92681,12965454.22333376,4828642.318651078
47,团结湖街道_110105013000,116.456624,39.926574,12965454.316434452,4828608.194520204
48,团结湖街道_110105013000,116.457115,39.926329,12965508.772168549,4828572.823875591
49,团结湖街道_110105013000,116.457607,39.926086,12965563.310069602,4828537.7612113645
50,团结湖街道_110105013000,116.458165,39.925959,12965625.165664757,4828519.51834863
51,团结湖街道_110105013000,116.456731,39.927703,12965466.19375445,4828771.447766761
52,团结湖街道_110105013000,116.456732,39.928153,12965466.312693458,4828836.522595372
53,团结湖街道_110105013000,116.456733,39.928604,12965466.432801398,4828901.755279768
54,团结湖街道_110105013000,116.456731,39.927703,12965466.19375445,4828771.447766761
55,团结湖街道_110105013000,116.457299,39.927592,12965529.181550516,4828755.496107298
56,团结湖街道_110105013000,116.456733,39.928829,12965466.432957375,4828934.312924586
57,团结湖街道_110105013000,116.457074,39.929195,12965504.23353434,4828987.255491419
58,团结湖街道_110105013000,116.457322,39.929602,12965531.74542592,4829046.132015192
59,团结湖街道_110105013000,116.458223,39.931067,12965631.67653284,4829258.175518794
60,团结湖街道_110105013000,116.457972,39.930661,12965603.80731494,4829199.381851306
61,团结湖街道_110105013000,116.457721,39.930254,12965575.997108392,4829140.480061793
62,团结湖街道_110105013000,116.457469,39.929847,12965548.034802146,4829081.58685717
63,团结湖街道_110105013000,116.457624,39.932292,12965565.32171497,4829435.237688021
64,团结湖街道_110105013000,116.457711,39.931847,12965574.933851242,4829370.86705744
65,团结湖街道_110105013000,116.458236,39.931325,12965633.127802828,4829295.490367169
66,团结湖街道_110105013000,116.457864,39.931672,12965591.879886303,4829345.568069228
67,团结湖街道_110105013000,116.458271,39.924697,12965636.919537254,4828337.082874647
68,团结湖街道_110105013000,116.458193,39.93114,12965628.33041655,4829268.749321538
69,团结湖街道_110105013000,116.458193,39.93114,12965628.33041655,4829268.749321538
70,团结湖街道_110105013000,116.458549,39.924823,12965667.732911738,4828355.376746314
71,团结湖街道_110105013000,116.458223,39.931067,12965631.67653284,4829258.175518794
72,团结湖街道_110105013000,116.458666,39.930772,12965680.760733237,4829215.655694834
73,团结湖街道_110105013000,116.459108,39.930477,12965729.717949495,4829173.161655178
74,团结湖街道_110105013000,116.460612,39.932249,12965896.384449892,4829430.127165478
75,团结湖街道_110105013000,116.460028,39.932261,12965831.685605822,4829431.537160059
76,团结湖街道_110105013000,116.459467,39.932142,12965769.534438822,4829414.100258972
77,团结湖街道_110105013000,116.458983,39.931892,12965715.90165021,4829377.731863248
78,团结湖街道_110105013000,116.458563,39.931578,12965669.34552834,4829332.216860399
79,团结湖街道_110105013000,116.45865,39.925942,12965678.928376224,4828517.19340832
80,团结湖街道_110105013000,116.458923,39.922687,12965709.187506987,4828046.652904277
81,团结湖街道_110105013000,116.458535,39.923024,12965666.213111466,4828095.26061602
82,团结湖街道_110105013000,116.458549,39.924823,12965667.732911738,4828355.376746314
83,团结湖街道_110105013000,116.458634,39.925266,12965677.130995017,4828419.441187079
84,团结湖街道_110105013000,116.45865,39.925716,12965678.901830612,4828484.520969082
85,团结湖街道_110105013000,116.458923,39.922687,12965709.187506987,4828046.652904277
86,团结湖街道_110105013000,116.460816,39.922248,12965918.909613058,4827984.118347967
87,团结湖街道_110105013000,116.46024,39.92218,12965855.09085174,4827973.950009611
88,团结湖街道_110105013000,116.459657,39.922205,12965790.533941614,4827977.2714181105
89,团结湖街道_110105013000,116.459102,39.922345,12965729.036068322,4827997.285701936
90,团结湖街道_110105013000,116.458923,39.922687,12965709.187506987,4828046.652904277
91,团结湖街道_110105013000,116.45925,39.923058,12965745.441453699,4828100.42039628
92,团结湖街道_110105013000,116.459692,39.923352,12965794.384126727,4828143.115348027
93,团结湖街道_110105013000,116.459169,39.930437,12965736.470176047,4829167.360640259
94,团结湖街道_110105013000,116.458945,39.930021,12965711.625505494,4829107.143132009
95,团结湖街道_110105013000,116.459169,39.930437,12965736.470176047,4829167.360640259
96,团结湖街道_110105013000,116.459683,39.930223,12965793.408298917,4829136.682532121
97,团结湖街道_110105013000,116.459822,39.930162,12965808.809270646,4829127.928641506
98,团结湖街道_110105013000,116.459597,39.929747,12965783.879938273,4829067.77016997
99,团结湖街道_110105013000,116.459822,39.930162,12965808.809270646,4829127.928641506
100,团结湖街道_110105013000,116.459906,39.923509,12965818.069207996,4828165.917893067
101,团结湖街道_110105013000,116.460397,39.92375,12965872.458340943,4828201.047070923
102,团结湖街道_110105013000,116.460718,39.927916,12965907.978428122,4828803.559597138
103,团结湖街道_110105013000,116.460136,39.927887,12965843.552731846,4828799.04050192
104,团结湖街道_110105013000,116.460815,39.930638,12965918.805772465,4829197.25251358
105,团结湖街道_110105013000,116.460404,39.930317,12965873.272908648,4829150.587152895
106,团结湖街道_110105013000,116.460996,39.928211,12965938.770047428,4828846.421329435
107,团结湖街道_110105013000,116.46085,39.928646,12965922.620403573,4828909.200132733
108,团结湖街道_110105013000,116.460841,39.929097,12965921.656932715,4828974.425200899
109,团结湖街道_110105013000,116.46074,39.929537,12965910.450259203,4829037.995451911
110,团结湖街道_110105013000,116.460437,39.92992,12965876.885498364,4829093.225845821
111,团结湖街道_110105013000,116.460468,39.923772,12965880.322619837,4828204.247952419
112,团结湖街道_110105013000,116.461053,39.923777,12965945.103309093,4828205.303993599
113,团结湖街道_110105013000,116.460851,39.932154,12965922.837356765,4829416.540253774
114,团结湖街道_110105013000,116.460996,39.928211,12965938.770047428,4828846.421329435
115,团结湖街道_110105013000,116.460718,39.927916,12965907.978428122,4828803.559597138
116,团结湖街道_110105013000,116.460862,39.927481,12965923.949782502,4828740.7390362155
117,团结湖街道_110105013000,116.461609,39.922527,12966006.688299024,4828024.946168893
118,团结湖街道_110105013000,116.461085,39.92233,12965948.674008258,4827996.102073098
119,团结湖街道_110105013000,116.460815,39.930638,12965918.805772465,4829197.25251358
120,团结湖街道_110105013000,116.460825,39.931088,12965919.926426828,4829262.342590294
121,团结湖街道_110105013000,116.460815,39.930638,12965918.805772465,4829197.25251358
122,团结湖街道_110105013000,116.461399,39.930624,12965983.458964529,4829195.626973298
123,团结湖街道_110105013000,116.461984,39.930616,12966048.191149058,4829194.869444236
124,团结湖街道_110105013000,116.460826,39.93145,12965920.022361385,4829314.714510708
125,团结湖街道_110105013000,116.460842,39.931901,12965921.80797455,4829379.929652848
126,团结湖街道_110105013000,116.460868,39.927221,12965924.584391415,4828703.1675345665
127,团结湖街道_110105013000,116.460871,39.927041,12965924.917352797,4828677.125598058
128,团结湖街道_110105013000,116.461412,39.926114,12965984.85099087,4828543.435064405
129,团结湖街道_110105013000,116.461061,39.926473,12965945.983377727,4828595.134814871
130,团结湖街道_110105013000,116.460881,39.926898,12965926.033497032,4828656.464178983
131,团结湖街道_110105013000,116.460851,39.932154,12965922.837356765,4829416.540253774
132,团结湖街道_110105013000,116.461431,39.932205,12965987.039158598,4829424.289239382
133,团结湖街道_110105013000,116.462006,39.932143,12966050.685233437,4829415.716455643
