﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,城北街道_110114001000,116.20701,40.217742,12937666.246627143,4870795.606105878
1,城北街道_110114001000,116.206474,40.217561,12937606.548696976,4870769.881914726
2,城北街道_110114001000,116.206279,40.226733,12937585.30644591,4872102.590974546
3,城北街道_110114001000,116.206787,40.226506,12937641.87669172,4872068.990358362
4,城北街道_110114001000,116.20732,40.226324,12937701.1922944,4872041.941474452
5,城北街道_110114001000,116.207466,40.226305,12937717.442263665,4872039.054864091
6,城北街道_110114001000,116.208032,40.226426,12937780.440655027,4872056.037459108
7,城北街道_110114001000,116.207511,40.23132,12937722.524989862,4872767.533092144
8,城北街道_110114001000,116.208225,40.230326,12937801.990701973,4872622.38885329
9,城北街道_110114001000,116.207865,40.230681,12937761.929568605,4872674.328982751
10,城北街道_110114001000,116.207618,40.231089,12937734.4202146,4872733.872305042
11,城北街道_110114001000,116.207746,40.228284,12937748.65635655,4872326.244869273
12,城北街道_110114001000,116.207805,40.22873,12937755.222942082,4872390.970590745
13,城北街道_110114001000,116.207746,40.228284,12937748.65635655,4872326.244869273
14,城北街道_110114001000,116.207907,40.22785,12937766.566753639,4872263.031719944
15,城北街道_110114001000,116.208067,40.227417,12937784.38440349,4872199.980145229
16,城北街道_110114001000,116.208225,40.230326,12937801.990701973,4872622.38885329
17,城北街道_110114001000,116.207944,40.229931,12937770.710503744,4872565.283166642
18,城北街道_110114001000,116.207778,40.229501,12937752.225961285,4872503.008804928
19,城北街道_110114001000,116.207753,40.229051,12937749.443550002,4872437.664037663
20,城北街道_110114001000,116.207928,40.218471,12937768.478615839,4870900.481838491
21,城北街道_110114001000,116.208221,40.218861,12937801.084643647,4870956.870187692
22,城北街道_110114001000,116.208375,40.222283,12937818.455354894,4871453.841035942
23,城北街道_110114001000,116.207995,40.222622,12937776.172926368,4871503.46663759
24,城北街道_110114001000,116.208296,40.226482,12937809.817891026,4872063.9089219235
25,城北街道_110114001000,116.208261,40.22693,12937805.950888854,4872129.0257849265
26,城北街道_110114001000,116.208606,40.225486,12937844.288138578,4871918.919993356
27,城北街道_110114001000,116.208277,40.225115,12937807.676784268,4871865.342438441
28,城北街道_110114001000,116.208225,40.230326,12937801.990701973,4872622.38885329
29,城北街道_110114001000,116.208296,40.226482,12937809.817891026,4872063.9089219235
