﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,夏各庄镇_110117106000,117.127521,40.119976,13040163.37971601,4856713.8548690425
1,夏各庄镇_110117106000,117.12762,40.12042,13040174.420601403,4856778.059975594
2,夏各庄镇_110117106000,117.127521,40.119976,13040163.37971601,4856713.8548690425
3,夏各庄镇_110117106000,117.127694,40.120823,13040182.67347821,4856836.331154307
4,夏各庄镇_110117106000,117.128176,40.121079,13040236.520061327,4856872.495634102
5,夏各庄镇_110117106000,117.128657,40.121336,13040290.22071709,4856908.796769534
6,夏各庄镇_110117106000,117.129129,40.121602,13040342.955614384,4856946.350874692
7,夏各庄镇_110117106000,117.129529,40.121931,13040387.590518862,4856993.1921116635
8,夏各庄镇_110117106000,117.129922,40.122264,13040431.500319356,4857040.661001458
9,夏各庄镇_110117106000,117.130245,40.12264,13040467.581273321,4857094.434799998
10,夏各庄镇_110117106000,117.130576,40.123012,13040504.544400401,4857147.632321711
11,夏各庄镇_110117106000,117.130913,40.123378,13040542.17758441,4857199.942461137
12,夏各庄镇_110117106000,117.129042,40.119822,13040333.304022707,4856688.43780926
13,夏各庄镇_110117106000,117.128459,40.119867,13040268.173274847,4856696.161434124
14,夏各庄镇_110117106000,117.127876,40.119915,13040203.05111717,4856704.323532745
15,夏各庄镇_110117106000,117.12979,40.134961,13040415.741822552,4858882.053637863
16,夏各庄镇_110117106000,117.130326,40.134779,13040475.659098359,4858854.451037265
17,夏各庄镇_110117106000,117.130887,40.134651,13040538.369191328,4858834.636978461
18,夏各庄镇_110117106000,117.131618,40.135856,13040619.941916695,4859007.672125371
19,夏各庄镇_110117106000,117.13112,40.136093,13040564.25169314,4859043.199306704
20,夏各庄镇_110117106000,117.130613,40.13632,13040507.56652301,4859077.308477661
21,夏各庄镇_110117106000,117.130126,40.136571,13040453.130011449,4859114.776432223
22,夏各庄镇_110117106000,117.132793,40.121213,13040752.445126565,4856881.543013407
