﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,大兴庄镇_110117111000,117.029541,40.165019,13029248.559306286,4863181.406542847
1,大兴庄镇_110117111000,117.028961,40.165076,13029183.332474839,4863190.922438392
2,大兴庄镇_110117111000,117.028375,40.165092,13029117.434627822,4863194.5233530635
3,大兴庄镇_110117111000,117.027788,40.165109,13029051.412084809,4863198.257110697
4,大兴庄镇_110117111000,117.027202,40.165126,13028985.508297421,4863202.077268116
5,大兴庄镇_110117111000,117.026616,40.165144,13028919.602120705,4863205.985171505
6,大兴庄镇_110117111000,117.02603,40.165161,13028853.663581708,4863209.783265567
7,大兴庄镇_110117111000,117.025444,40.165178,13028787.753824886,4863213.586725704
8,大兴庄镇_110117111000,117.024858,40.165194,13028721.84287579,4863217.237341368
9,大兴庄镇_110117111000,117.024271,40.16521,13028655.77916307,4863220.894688536
10,大兴庄镇_110117111000,117.023685,40.165225,13028589.866980283,4863224.392604337
11,大兴庄镇_110117111000,117.023099,40.165241,13028523.954737449,4863228.048100186
12,大兴庄镇_110117111000,117.022513,40.165257,13028458.012465758,4863231.663602813
13,大兴庄镇_110117111000,117.021927,40.165272,13028392.070956336,4863235.158175746
14,大兴庄镇_110117111000,117.02134,40.165288,13028326.039403087,4863238.80801604
15,大兴庄镇_110117111000,117.020754,40.165303,13028260.130948408,4863242.291714977
16,大兴庄镇_110117111000,117.020168,40.165318,13028194.194019526,4863245.808198155
17,大兴庄镇_110117111000,117.019582,40.165334,13028128.289764037,4863249.433292106
18,大兴庄镇_110117111000,117.018995,40.165349,13028062.26669213,4863252.85416919
19,大兴庄镇_110117111000,117.018409,40.165365,13027996.30743798,4863256.458745567
20,大兴庄镇_110117111000,117.017823,40.16538,13027930.412419701,4863259.891358781
21,大兴庄镇_110117111000,117.017237,40.165395,13027864.49084434,4863263.349476592
22,大兴庄镇_110117111000,117.016651,40.16541,13027798.603856735,4863266.712227253
23,大兴庄镇_110117111000,117.016064,40.165425,13027732.56956351,4863270.100322706
24,大兴庄镇_110117111000,117.015478,40.165441,13027666.661687413,4863273.6244087415
25,大兴庄镇_110117111000,117.014892,40.165458,13027600.75909137,4863277.246459908
26,大兴庄镇_110117111000,117.014306,40.165475,13027534.862140378,4863280.886406549
27,大兴庄镇_110117111000,117.01372,40.165492,13027469.001561886,4863284.424210025
28,大兴庄镇_110117111000,117.013133,40.165503,13027402.995621499,4863287.153786046
29,大兴庄镇_110117111000,117.029973,40.142599,13029298.43439495,4859927.999910696
30,大兴庄镇_110117111000,117.02941,40.142718,13029235.143304111,4859946.503325452
31,大兴庄镇_110117111000,117.028827,40.142684,13029169.556259137,4859942.847389527
32,大兴庄镇_110117111000,117.028246,40.142622,13029104.242298134,4859935.106961147
33,大兴庄镇_110117111000,117.027665,40.142559,13029038.895042133,4859927.260637223
34,大兴庄镇_110117111000,117.027084,40.142499,13028973.544834567,4859919.857028174
35,大兴庄镇_110117111000,117.029541,40.165019,13029248.559306286,4863181.406542847
36,大兴庄镇_110117111000,117.029872,40.164489,13029285.784814388,4863103.772366517
37,大兴庄镇_110117111000,117.029872,40.164489,13029285.784814388,4863103.772366517
38,大兴庄镇_110117111000,117.029973,40.142599,13029298.43439495,4859927.999910696
39,大兴庄镇_110117111000,117.030844,40.164366,13029395.081892643,4863083.81487664
40,大兴庄镇_110117111000,117.030266,40.16432,13029330.07908518,4863078.413247728
41,大兴庄镇_110117111000,117.030116,40.142614,13029314.502323503,4859929.920330281
42,大兴庄镇_110117111000,117.030604,40.142864,13029369.365266006,4859965.08117905
43,大兴庄镇_110117111000,117.03116,40.142999,13029431.861118024,4859983.525393484
44,大兴庄镇_110117111000,117.031736,40.143082,13029496.605620928,4859994.384830707
45,大兴庄镇_110117111000,117.032312,40.143167,13029561.314509517,4860005.500254799
46,大兴庄镇_110117111000,117.032888,40.143252,13029626.078669805,4860016.713646589
47,大兴庄镇_110117111000,117.030844,40.164366,13029395.081892643,4863083.81487664
48,大兴庄镇_110117111000,117.031124,40.16502,13029426.534683894,4863178.136866653
49,大兴庄镇_110117111000,117.031124,40.16502,13029426.534683894,4863178.136866653
50,大兴庄镇_110117111000,117.031693,40.165115,13029490.5274915,4863190.750439762
51,大兴庄镇_110117111000,117.032279,40.165123,13029556.400003888,4863190.746938044
52,大兴庄镇_110117111000,117.032866,40.165133,13029622.357989,4863190.99891554
53,大兴庄镇_110117111000,117.033155,40.143292,13029656.075309675,4860021.94555547
54,大兴庄镇_110117111000,117.033726,40.143379,13029720.223513901,4860033.4792154115
55,大兴庄镇_110117111000,117.033804,40.164974,13029727.784636896,4863166.095329636
56,大兴庄镇_110117111000,117.047099,40.145688,13031220.084450644,4860350.685516505
57,大兴庄镇_110117111000,117.046661,40.145389,13031171.119910998,4860307.615700271
58,大兴庄镇_110117111000,117.046136,40.145194,13031112.33096929,4860279.647760204
59,大兴庄镇_110117111000,117.04556,40.145112,13031047.829261843,4860268.175328245
60,大兴庄镇_110117111000,117.044982,40.145033,13030983.104072576,4860257.180483205
61,大兴庄镇_110117111000,117.044405,40.144955,13030918.45849882,4860246.3843345195
62,大兴庄镇_110117111000,117.043827,40.144877,13030853.711151998,4860235.591490268
63,大兴庄镇_110117111000,117.043251,40.144795,13030789.165486844,4860224.286324638
64,大兴庄镇_110117111000,117.042675,40.144709,13030724.609721677,4860212.431127598
65,大兴庄镇_110117111000,117.042099,40.144623,13030660.01332323,4860200.615648012
66,大兴庄镇_110117111000,117.041524,40.144538,13030595.588566337,4860188.954190402
67,大兴庄镇_110117111000,117.040948,40.144452,13030530.972145116,4860177.214917416
68,大兴庄镇_110117111000,117.040372,40.144366,13030466.376348166,4860165.512081994
69,大兴庄镇_110117111000,117.039797,40.14428,13030401.86206799,4860153.843793813
70,大兴庄镇_110117111000,117.039221,40.144195,13030337.24750385,4860142.369306975
71,大兴庄镇_110117111000,117.038645,40.144109,13030272.593758836,4860130.772091486
72,大兴庄镇_110117111000,117.03807,40.144023,13030208.083007831,4860119.166079528
73,大兴庄镇_110117111000,117.037494,40.143937,13030143.412120942,4860107.634110937
74,大兴庄镇_110117111000,117.036918,40.143852,13030078.732944429,4860096.290610966
75,大兴庄镇_110117111000,117.036343,40.143766,13030014.167406643,4860084.778194417
76,大兴庄镇_110117111000,117.035767,40.14368,13029949.503240164,4860073.296364008
77,大兴庄镇_110117111000,117.035191,40.143594,13029884.831741614,4860061.88167353
78,大兴庄镇_110117111000,117.034616,40.143508,13029820.21398482,4860050.453087065
79,大兴庄镇_110117111000,117.03404,40.143423,13029755.528681755,4860039.247861543
80,大兴庄镇_110117111000,117.033804,40.164974,13029727.784636896,4863166.095329636
81,大兴庄镇_110117111000,117.03439,40.164966,13029793.60534873,4863163.8134353375
82,大兴庄镇_110117111000,117.034975,40.164942,13029859.32851186,4863159.23693698
83,大兴庄镇_110117111000,117.035561,40.164927,13029925.165769301,4863155.984060492
84,大兴庄镇_110117111000,117.036147,40.164918,13029990.995427378,4863153.625498273
85,大兴庄镇_110117111000,117.036733,40.164906,13030056.78701081,4863150.903455695
86,大兴庄镇_110117111000,117.037319,40.164892,13030122.570560077,4863147.857871169
87,大兴庄镇_110117111000,117.037906,40.164878,13030188.497404296,4863144.88084015
88,大兴庄镇_110117111000,117.038492,40.164864,13030254.263868539,4863141.939475563
89,大兴庄镇_110117111000,117.039078,40.16485,13030320.051703958,4863139.031630911
90,大兴庄镇_110117111000,117.039242,40.134633,13030340.501721093,4858755.6867684545
91,大兴庄镇_110117111000,117.039821,40.134564,13030405.496166052,4858744.814074103
92,大兴庄镇_110117111000,117.040396,40.134477,13030469.96774121,4858731.428070257
93,大兴庄镇_110117111000,117.040958,40.134352,13030533.039519938,4858712.552416021
94,大兴庄镇_110117111000,117.041535,40.13427,13030597.764485242,4858699.9029785395
95,大兴庄镇_110117111000,117.042112,40.134189,13030662.479333978,4858687.488059433
96,大兴庄镇_110117111000,117.042688,40.134108,13030727.062824126,4858675.074042262
97,大兴庄镇_110117111000,117.043265,40.134027,13030791.75714201,4858662.697849639
98,大兴庄镇_110117111000,117.043841,40.133946,13030856.28941907,4858650.363622462
99,大兴庄镇_110117111000,117.039665,40.165083,13030385.916135255,4863171.936427333
100,大兴庄镇_110117111000,117.039665,40.165083,13030385.916135255,4863171.936427333
101,大兴庄镇_110117111000,117.040195,40.165274,13030445.374578902,4863198.953594866
102,大兴庄镇_110117111000,117.04075,40.16542,13030507.615181934,4863219.386378247
103,大兴庄镇_110117111000,117.041305,40.165566,13030569.877286676,4863239.852758659
104,大兴庄镇_110117111000,117.041861,40.165711,13030632.251611765,4863260.234225307
105,大兴庄镇_110117111000,117.040183,40.151928,13030444.547965216,4861262.608184538
106,大兴庄镇_110117111000,117.040769,40.151944,13030510.276303183,4861264.172864047
107,大兴庄镇_110117111000,117.041355,40.151948,13030576.026014043,4861264.004423262
108,大兴庄镇_110117111000,117.041408,40.151942,13030581.96750291,4861263.015044955
109,大兴庄镇_110117111000,117.041862,40.151657,13030632.910659287,4861221.14918277
110,大兴庄镇_110117111000,117.042315,40.151372,13030683.726667954,4861179.269624173
111,大兴庄镇_110117111000,117.042807,40.151131,13030738.865601378,4861143.772265238
112,大兴庄镇_110117111000,117.043331,40.15093,13030797.629048217,4861114.043166783
113,大兴庄镇_110117111000,117.042447,40.165732,13030697.921637602,4863262.580277243
114,大兴庄镇_110117111000,117.042939,40.164871,13030753.114564018,4863137.095402943
115,大兴庄镇_110117111000,117.042774,40.1653,13030734.623668132,4863199.520282221
116,大兴庄镇_110117111000,117.042939,40.164871,13030753.114564018,4863137.095402943
117,大兴庄镇_110117111000,117.043515,40.164792,13030817.64606454,4863125.044913179
118,大兴庄镇_110117111000,117.044102,40.164795,13030883.437285382,4863124.907242075
119,大兴庄镇_110117111000,117.044688,40.164798,13030949.096144397,4863124.774181306
120,大兴庄镇_110117111000,117.045275,40.1648,13031014.834478395,4863124.565332834
121,大兴庄镇_110117111000,117.045861,40.1648,13031080.470459381,4863124.125782918
122,大兴庄镇_110117111000,117.046448,40.164797,13031146.185600955,4863123.296933637
123,大兴庄镇_110117111000,117.047033,40.164818,13031211.706769811,4863126.017772202
124,大兴庄镇_110117111000,117.043392,40.150905,13030804.47778143,4861110.379637646
125,大兴庄镇_110117111000,117.043665,40.150507,13030835.078730313,4861052.374454855
126,大兴庄镇_110117111000,117.04368,40.150077,13030836.783517763,4860989.955432619
127,大兴庄镇_110117111000,117.04359,40.149633,13030826.767135821,4860925.669468202
128,大兴庄镇_110117111000,117.043632,40.149188,13030831.503789004,4860861.05184211
129,大兴庄镇_110117111000,117.043552,40.129316,13030824.32139188,4857979.279186513
130,大兴庄镇_110117111000,117.044138,40.129316,13030889.990632068,4857978.712504241
131,大兴庄镇_110117111000,117.044724,40.129314,13030955.648861673,4857977.913040863
132,大兴庄镇_110117111000,117.045311,40.129319,13031021.385889482,4857978.139156957
133,大兴庄镇_110117111000,117.045896,40.129332,13031086.928919306,4857979.590871212
134,大兴庄镇_110117111000,117.046482,40.129344,13031152.520943921,4857980.889747963
135,大兴庄镇_110117111000,117.047068,40.129371,13031218.129887493,4857984.47521689
136,大兴庄镇_110117111000,117.047652,40.129409,13031283.483744858,4857989.6812104685
137,大兴庄镇_110117111000,117.048235,40.129461,13031348.733454252,4857996.978670799
138,大兴庄镇_110117111000,117.048818,40.129451,13031413.946902845,4857995.276196966
139,大兴庄镇_110117111000,117.043637,40.149177,13030832.050063098,4860859.47166759
140,大兴庄镇_110117111000,117.045636,40.149173,13031055.994940553,4860857.144094735
141,大兴庄镇_110117111000,117.045055,40.149105,13030990.936320819,4860847.719708717
142,大兴庄镇_110117111000,117.044473,40.149056,13030925.74348977,4860841.132830941
143,大兴庄镇_110117111000,117.04389,40.149084,13030860.411143629,4860845.723684535
144,大兴庄镇_110117111000,117.045656,40.167722,13031057.5451867,4863548.355260486
145,大兴庄镇_110117111000,117.045073,40.167708,13030992.238269256,4863546.759818835
146,大兴庄镇_110117111000,117.04452,40.167856,13030930.280816784,4863568.710864658
147,大兴庄镇_110117111000,117.043975,40.168021,13030869.222022178,4863593.1698652
148,大兴庄镇_110117111000,117.044482,40.133952,13030928.130622769,4858650.654798703
149,大兴庄镇_110117111000,117.044431,40.125444,13030923.113843216,4857416.985467286
150,大兴庄镇_110117111000,117.045015,40.125484,13030988.550868418,4857422.305869281
151,大兴庄镇_110117111000,117.045598,40.125526,13031053.824968169,4857427.9463025965
152,大兴庄镇_110117111000,117.046182,40.125567,13031119.239006722,4857433.471726674
153,大兴庄镇_110117111000,117.046766,40.125608,13031184.611077439,4857439.041851317
154,大兴庄镇_110117111000,117.047349,40.125649,13031249.880563281,4857444.618278044
155,大兴庄镇_110117111000,117.047933,40.12569,13031315.228855489,4857450.278710991
156,大兴庄镇_110117111000,117.048508,40.125764,13031379.53384708,4857460.750353529
157,大兴庄镇_110117111000,117.049053,40.12593,13031440.49246278,4857484.657495099
158,大兴庄镇_110117111000,117.049555,40.126162,13031496.626915311,4857518.146807666
159,大兴庄镇_110117111000,117.049976,40.126471,13031543.70576518,4857562.8408430545
160,大兴庄镇_110117111000,117.044482,40.133952,13030928.130622769,4858650.654798703
161,大兴庄镇_110117111000,117.04502,40.134132,13030988.373018939,4858676.288754231
162,大兴庄镇_110117111000,117.04559,40.134222,13031052.187791834,4858688.866472445
163,大兴庄镇_110117111000,117.046173,40.134267,13031117.509831272,4858694.982466819
164,大兴庄镇_110117111000,117.046758,40.134294,13031182.97346917,4858698.506256008
165,大兴庄镇_110117111000,117.045656,40.167722,13031057.5451867,4863548.355260486
166,大兴庄镇_110117111000,117.045666,40.168171,13031058.663719712,4863613.492993542
167,大兴庄镇_110117111000,117.045468,40.168593,13031036.502024388,4863674.920757177
168,大兴庄镇_110117111000,117.045231,40.169005,13031009.949723644,4863734.902636415
169,大兴庄镇_110117111000,117.044994,40.169416,13030983.396505985,4863794.735024199
170,大兴庄镇_110117111000,117.044757,40.169828,13030956.872670121,4863854.693119885
171,大兴庄镇_110117111000,117.045751,40.14777,13031068.995410534,4860653.5438491255
172,大兴庄镇_110117111000,117.045168,40.147715,13031003.726100339,4860646.00177654
173,大兴庄镇_110117111000,117.045664,40.15038,13031059.032796446,4861032.191724789
174,大兴庄镇_110117111000,117.04509,40.150475,13030994.747071944,4861046.441951245
175,大兴庄镇_110117111000,117.045679,40.150398,13031060.726508018,4861034.811532274
176,大兴庄镇_110117111000,117.045318,40.150753,13031020.27713669,4861086.550691943
177,大兴庄镇_110117111000,117.04799,40.137403,13031320.581718259,4859148.689716427
178,大兴庄镇_110117111000,117.047406,40.137444,13031255.226595959,4859154.942367171
179,大兴庄镇_110117111000,117.046823,40.137497,13031189.979274113,4859162.930870022
180,大兴庄镇_110117111000,117.046241,40.137551,13031124.780539382,4859171.160342075
181,大兴庄镇_110117111000,117.045659,40.137604,13031059.630830094,4859179.2761296695
182,大兴庄镇_110117111000,117.045636,40.149173,13031055.994940553,4860857.144094735
183,大兴庄镇_110117111000,117.04563,40.149623,13031055.287111918,4860922.420495562
184,大兴庄镇_110117111000,117.045604,40.150071,13031052.339804055,4860987.404475551
185,大兴庄镇_110117111000,117.046528,40.148132,13031155.955040222,4860705.514835247
186,大兴庄镇_110117111000,117.04616,40.148483,13031114.757265698,4860756.667494238
187,大兴庄镇_110117111000,117.045854,40.148868,13031080.45411836,4860812.730433485
188,大兴庄镇_110117111000,117.046773,40.166895,13031182.561915545,4863427.531266734
189,大兴庄镇_110117111000,117.046345,40.167203,13031134.678820226,4863472.539353981
190,大兴庄镇_110117111000,117.045925,40.167518,13031087.637534566,4863518.548041881
191,大兴庄镇_110117111000,117.045664,40.15038,13031059.032796446,4861032.191724789
192,大兴庄镇_110117111000,117.045679,40.150398,13031060.726508018,4861034.811532274
193,大兴庄镇_110117111000,117.046528,40.148132,13031155.955040222,4860705.514835247
194,大兴庄镇_110117111000,117.046027,40.147898,13031099.890529374,4860671.94280203
195,大兴庄镇_110117111000,117.046061,40.150542,13031103.48807779,4861055.421361097
196,大兴庄镇_110117111000,117.046334,40.150588,13031134.055741198,4861061.874988296
197,大兴庄镇_110117111000,117.046673,40.150954,13031171.977213755,4861114.741607382
198,大兴庄镇_110117111000,117.046905,40.151366,13031197.937727164,4861174.369701968
199,大兴庄镇_110117111000,117.047046,40.151802,13031213.69710534,4861237.509386899
200,大兴庄镇_110117111000,117.047176,40.152241,13031228.185280574,4861301.1738597965
201,大兴庄镇_110117111000,117.047283,40.152684,13031240.161829002,4861365.372103671
202,大兴庄镇_110117111000,117.047425,40.15312,13031256.012289004,4861428.520401368
203,大兴庄镇_110117111000,117.047531,40.153562,13031267.868488608,4861492.567238399
204,大兴庄镇_110117111000,117.047585,40.15401,13031273.854986079,4861557.564227046
205,大兴庄镇_110117111000,117.046334,40.150588,13031134.055741198,4861061.874988296
206,大兴庄镇_110117111000,117.046779,40.150297,13031183.899135618,4861019.390282564
207,大兴庄镇_110117111000,117.046528,40.148132,13031155.955040222,4860705.514835247
208,大兴庄镇_110117111000,117.046773,40.166895,13031182.561915545,4863427.531266734
209,大兴庄镇_110117111000,117.047355,40.166923,13031247.743829727,4863431.264097585
210,大兴庄镇_110117111000,117.047911,40.166781,13031309.980982631,4863410.381721223
211,大兴庄镇_110117111000,117.048456,40.166615,13031370.93715543,4863386.085100919
212,大兴庄镇_110117111000,117.049001,40.166448,13031431.913140303,4863361.631896578
213,大兴庄镇_110117111000,117.049547,40.166282,13031492.99952622,4863337.3762822775
214,大兴庄镇_110117111000,117.050092,40.166116,13031553.924102053,4863313.2018427765
215,大兴庄镇_110117111000,117.050637,40.165949,13031614.868269155,4863288.871676131
216,大兴庄镇_110117111000,117.051182,40.165783,13031675.771482548,4863264.740477858
217,大兴庄镇_110117111000,117.051713,40.165594,13031735.09312528,4863237.308641041
