﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,大华山镇_110117105000,117.022597,40.258132,13028470.959835054,4876720.908542493
1,大华山镇_110117105000,117.022298,40.257745,13028437.362717431,4876665.3999768635
2,大华山镇_110117105000,117.022035,40.257343,13028407.809062267,4876607.588159814
3,大华山镇_110117105000,117.021787,40.256935,13028379.95792865,4876548.868565016
4,大华山镇_110117105000,117.021528,40.256531,13028350.830239698,4876490.730353888
5,大华山镇_110117105000,117.021266,40.256129,13028321.398613421,4876432.913819859
6,大华山镇_110117105000,117.021004,40.255726,13028291.997656511,4876374.9774483545
7,大华山镇_110117105000,117.020742,40.255323,13028262.536163934,4876317.00205986
8,大华山镇_110117105000,117.020482,40.25492,13028233.317954611,4876259.059163924
9,大华山镇_110117105000,117.020259,40.254503,13028208.26435693,4876198.928902134
10,大华山镇_110117105000,117.02005,40.254082,13028184.791280441,4876138.248428759
11,大华山镇_110117105000,117.019842,40.253661,13028161.439834032,4876077.524828183
12,大华山镇_110117105000,117.019634,40.25324,13028138.05802797,4876016.840392271
13,大华山镇_110117105000,117.02059,40.270057,13028244.091106348,4878458.241057149
14,大华山镇_110117105000,117.020864,40.269659,13028274.969923094,4878399.772640447
15,大华山镇_110117105000,117.021158,40.269273,13028308.066773811,4878342.984989711
16,大华山镇_110117105000,117.02161,40.268985,13028358.962212194,4878300.159889621
17,大华山镇_110117105000,117.021754,40.268899,13028375.136589784,4878287.321830924
18,大华山镇_110117105000,117.022215,40.26862,13028427.035332568,4878245.730605848
19,大华山镇_110117105000,117.022677,40.268342,13028479.02593395,4878204.292923227
20,大华山镇_110117105000,117.023139,40.268064,13028531.01713557,4878162.854022275
21,大华山镇_110117105000,117.023595,40.267781,13028582.340692699,4878120.681749454
22,大华山镇_110117105000,117.024051,40.267497,13028633.694959033,4878078.351344964
23,大华山镇_110117105000,117.024451,40.267168,13028678.73289264,4878029.669602178
24,大华山镇_110117105000,117.02271,40.261805,13028483.34985502,4877254.316583846
25,大华山镇_110117105000,117.022644,40.261358,13028475.923014179,4877189.552072619
26,大华山镇_110117105000,117.022573,40.261038,13028467.996266238,4877143.202434622
27,大华山镇_110117105000,117.022549,40.260588,13028465.310615906,4877077.8923822455
28,大华山镇_110117105000,117.022539,40.260139,13028464.235577444,4877012.662689319
29,大华山镇_110117105000,117.022549,40.259689,13028465.409456268,4876947.261718014
30,大华山镇_110117105000,117.022606,40.259242,13028471.870644689,4876882.168772182
31,大华山镇_110117105000,117.022766,40.258548,13028489.937050901,4876780.981309551
32,大华山镇_110117105000,117.024898,40.266194,13028729.062788004,4877887.106696181
33,大华山镇_110117105000,117.02445,40.265906,13028678.70839821,4877846.255564627
34,大华山镇_110117105000,117.024176,40.265512,13028647.934983691,4877789.648302347
35,大华山镇_110117105000,117.023997,40.265083,13028627.831860187,4877727.703657882
36,大华山镇_110117105000,117.023831,40.264651,13028609.188007135,4877665.330779241
37,大华山镇_110117105000,117.023665,40.264219,13028590.544506518,4877602.919083228
38,大华山镇_110117105000,117.02349,40.263789,13028570.898259118,4877540.847116975
39,大华山镇_110117105000,117.023315,40.263359,13028551.252305545,4877478.775643466
40,大华山镇_110117105000,117.023141,40.262929,13028531.697827937,4877416.663031246
41,大华山镇_110117105000,117.022976,40.262497,13028513.177034257,4877354.250335751
42,大华山镇_110117105000,117.02281,40.262065,13028494.534909122,4877291.880309287
43,大华山镇_110117105000,117.02288,40.258844,13028502.728301248,4876823.745495814
44,大华山镇_110117105000,117.027633,40.262474,13029037.087813368,4877340.417670288
45,大华山镇_110117105000,117.027335,40.26209,13029003.584725725,4877285.28221564
46,大华山镇_110117105000,117.026917,40.261773,13028956.58268391,4877240.121033276
47,大华山镇_110117105000,117.026494,40.26146,13028909.062546013,4877195.646450663
48,大华山镇_110117105000,117.026072,40.261147,13028861.60232698,4877151.0956529025
49,大华山镇_110117105000,117.025649,40.260834,13028814.05014026,4877106.589892566
50,大华山镇_110117105000,117.025226,40.260522,13028766.527611185,4877062.204548328
51,大华山镇_110117105000,117.0248,40.260211,13028718.60941255,4877017.988583228
52,大华山镇_110117105000,117.024375,40.2599,13028670.842785735,4876973.770807606
53,大华山镇_110117105000,117.023969,40.259575,13028625.174269231,4876927.494583305
54,大华山镇_110117105000,117.023609,40.25922,13028584.735837113,4876876.7203865545
55,大华山镇_110117105000,117.023157,40.258936,13028533.86633763,4876836.479688702
56,大华山镇_110117105000,117.025451,40.267899,13028791.157693408,4878133.602022045
57,大华山镇_110117105000,117.025188,40.267496,13028761.599450236,4878075.660355714
58,大华山镇_110117105000,117.024917,40.267097,13028731.159780689,4878018.292751734
59,大华山镇_110117105000,117.024827,40.266947,13028721.025098916,4877996.70049158
60,大华山镇_110117105000,117.025043,40.266529,13028745.377624841,4877935.468694506
61,大华山镇_110117105000,117.024898,40.266194,13028729.062788004,4877887.106696181
62,大华山镇_110117105000,117.024898,40.266194,13028729.062788004,4877887.106696181
63,大华山镇_110117105000,117.025206,40.265811,13028763.774687972,4877830.753059912
64,大华山镇_110117105000,117.025691,40.26641,13028818.289975448,4877916.672699735
65,大华山镇_110117105000,117.025111,40.26647,13028753.041377567,4877926.734477633
66,大华山镇_110117105000,117.026634,40.263514,13028924.61132045,4877493.786717782
67,大华山镇_110117105000,117.026136,40.263747,13028868.55372703,4877528.724223631
68,大华山镇_110117105000,117.02575,40.264086,13028825.09453002,4877578.85515936
69,大华山镇_110117105000,117.025431,40.264462,13028789.197553651,4877634.208157811
70,大华山镇_110117105000,117.026564,40.268647,13028916.280244552,4878239.81213335
71,大华山镇_110117105000,117.026039,40.26845,13028857.25773935,4878212.356277127
72,大华山镇_110117105000,117.02564,40.268124,13028812.40714018,4878165.888149401
73,大华山镇_110117105000,117.026286,40.250069,13028886.70530531,4875541.171081052
74,大华山镇_110117105000,117.026786,40.250249,13028942.932418926,4875566.165789831
75,大华山镇_110117105000,117.027347,40.250383,13029005.999097843,4875584.3869806975
76,大华山镇_110117105000,117.027907,40.250514,13029069.00301536,4875602.145413162
77,大华山镇_110117105000,117.028476,40.250622,13029132.97881275,4875616.581594088
78,大华山镇_110117105000,117.029029,40.250771,13029195.154911876,4875637.059356311
79,大华山镇_110117105000,117.029568,40.25095,13029255.775431052,4875661.8791544875
80,大华山镇_110117105000,117.030148,40.251002,13029320.962074408,4875668.1692862855
81,大华山镇_110117105000,117.030734,40.251033,13029386.845233345,4875671.465334759
