﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,大台街道_110109004000,115.810911,39.928411,12893549.336375706,4828926.863271461
1,大台街道_110109004000,115.811211,39.928025,12893582.809673136,4828870.349944975
2,大台街道_110109004000,115.812063,39.929698,12893677.89477587,4829110.269265272
3,大台街道_110109004000,115.811784,39.930093,12893646.756641084,4829168.056987917
4,大台街道_110109004000,115.815166,39.92052,12894024.229207514,4827775.4000360565
5,大台街道_110109004000,115.814692,39.920258,12893971.342829188,4827738.783866074
6,大台街道_110109004000,115.814224,39.919989,12893919.128936848,4827701.081224646
7,大台街道_110109004000,115.813756,39.919719,12893866.919308526,4827663.246743268
8,大台街道_110109004000,115.813291,39.919447,12893814.987413619,4827625.07825209
9,大台街道_110109004000,115.812848,39.919153,12893765.580793543,4827583.668498573
10,大台街道_110109004000,115.813971,39.924265,12893890.789221568,4828319.927283639
11,大台街道_110109004000,115.814545,39.924211,12893954.857877597,4828310.685668584
12,大台街道_110109004000,115.815122,39.924135,12894019.26680812,4828298.199799489
13,大台街道_110109004000,115.814757,39.931896,12893978.597464997,4829421.403291293
14,大台街道_110109004000,115.814903,39.932331,12893994.912226537,4829483.909318851
15,大台街道_110109004000,115.815664,39.920719,12894079.825301157,4827802.886329778
16,大台街道_110109004000,115.81549,39.921332,12894060.392164603,4827891.968309513
17,大台街道_110109004000,115.815943,39.921609,12894110.977154175,4827930.809100342
18,大台街道_110109004000,115.816512,39.921707,12894174.481235988,4827943.435527344
19,大台街道_110109004000,115.81549,39.921332,12894060.392164603,4827891.968309513
20,大台街道_110109004000,115.815612,39.920892,12894074.047221,4827828.029411167
21,大台街道_110109004000,115.816177,39.920711,12894137.105178755,4827800.361391637
22,大台街道_110109004000,115.815621,39.944151,12894075.839210335,4831191.845674858
23,大台街道_110109004000,115.815538,39.944596,12894066.612030068,4831256.444217195
24,大台街道_110109004000,115.81541,39.945032,12894052.343740469,4831319.855153592
25,大台街道_110109004000,115.816375,39.94351,12894159.917785939,4831097.103344979
26,大台街道_110109004000,115.815974,39.943832,12894115.204712128,4831144.771204496
27,大台街道_110109004000,115.816177,39.920711,12894137.105178755,4827800.361391637
28,大台街道_110109004000,115.816507,39.921083,12894173.96079639,4827853.248647106
29,大台街道_110109004000,115.816736,39.921697,12894199.509481132,4827941.3991318755
30,大台街道_110109004000,115.816691,39.921727,12894194.466195937,4827945.862474454
31,大台街道_110109004000,115.816703,39.922176,12894195.785078084,4828010.738301397
32,大台街道_110109004000,115.816904,39.922598,12894218.216124548,4828071.230797933
33,大台街道_110109004000,115.816691,39.921727,12894194.466195937,4827945.862474454
34,大台街道_110109004000,115.817893,39.922019,12894328.68578979,4827984.779310626
35,大台街道_110109004000,115.817399,39.921784,12894273.530262353,4827952.162146356
36,大台街道_110109004000,115.816827,39.921698,12894209.684788324,4827941.294025478
37,大台街道_110109004000,115.817273,39.922874,12894259.42572171,4828110.090513776
38,大台街道_110109004000,115.817075,39.927199,12894237.308317853,4828736.00080821
39,大台街道_110109004000,115.817586,39.92698,12894294.356839843,4828702.967084413
40,大台街道_110109004000,115.818141,39.926902,12894356.297987863,4828690.130172657
41,大台街道_110109004000,115.816695,39.950174,12894196.348236138,4832060.435916337
42,大台街道_110109004000,115.816798,39.949326,12894207.777107274,4831937.44841516
43,大台街道_110109004000,115.816724,39.949772,12894199.558713702,4832002.195662305
44,大台街道_110109004000,115.816673,39.952081,12894194.111174354,4832336.426800671
45,大台街道_110109004000,115.816974,39.952467,12894227.745244082,4832391.4680532245
46,大台街道_110109004000,115.816774,39.950283,12894205.167528406,4832076.02194568
47,大台街道_110109004000,115.81714,39.950634,12894246.087032916,4832125.7962266775
48,大台街道_110109004000,115.817564,39.950944,12894293.444256753,4832169.455258049
49,大台街道_110109004000,115.817968,39.951265,12894338.617775364,4832214.843385706
50,大台街道_110109004000,115.818304,39.951632,12894376.172794065,4832266.991036638
51,大台街道_110109004000,115.818718,39.951949,12894422.473645698,4832311.7142028585
52,大台街道_110109004000,115.819078,39.952304,12894462.704043766,4832362.065075763
53,大台街道_110109004000,115.817273,39.922874,12894259.42572171,4828110.090513776
54,大台街道_110109004000,115.817273,39.922874,12894259.42572171,4828110.090513776
55,大台街道_110109004000,115.817566,39.922484,12894292.154771123,4828052.930138588
56,大台街道_110109004000,115.817848,39.92209,12894323.640339157,4827995.166983639
57,大台街道_110109004000,115.817964,39.923417,12894336.565574292,4828186.734055802
58,大台街道_110109004000,115.817596,39.923069,12894295.475969858,4828137.411070037
59,大台街道_110109004000,115.817214,39.934636,12894253.00796211,4829811.15560772
60,大台街道_110109004000,115.817598,39.934297,12894295.858208176,4829761.085570692
61,大台街道_110109004000,115.817438,39.925469,12894277.824648373,4828484.823870478
62,大台街道_110109004000,115.81798,39.925639,12894338.332956286,4828507.950381071
63,大台街道_110109004000,115.818521,39.92581,12894398.753523069,4828531.1452942435
64,大台街道_110109004000,115.819035,39.926018,12894456.138476714,4828559.811040369
65,大台街道_110109004000,115.817102,39.952681,12894242.074260132,4832422.1234424375
66,大台街道_110109004000,115.817409,39.953064,12894276.40875449,4832476.711901936
67,大台街道_110109004000,115.817672,39.953466,12894305.825515807,4832534.153877969
68,大台街道_110109004000,115.817736,39.953911,12894313.011397673,4832598.370573229
69,大台街道_110109004000,115.818057,39.954227,12894348.92143574,4832643.181309554
70,大台街道_110109004000,115.818574,39.954433,12894406.663926437,4832671.557941297
71,大台街道_110109004000,115.81899,39.954745,12894453.14912625,4832715.529493834
72,大台街道_110109004000,115.81945,39.955022,12894504.554192768,4832754.358180611
73,大台街道_110109004000,115.819913,39.955296,12894556.29498094,4832792.701653787
74,大台街道_110109004000,115.820275,39.955649,12894596.773615632,4832842.76199385
75,大台街道_110109004000,115.820779,39.955838,12894653.096140001,4832868.663105915
76,大台街道_110109004000,115.821338,39.955964,12894715.551179055,4832885.269294869
77,大台街道_110109004000,115.821728,39.9563,12894759.160967879,4832932.811963023
78,大台街道_110109004000,115.82217,39.956593,12894808.54014336,4832973.936563435
79,大台街道_110109004000,115.822681,39.956811,12894865.660422163,4833004.003441649
80,大台街道_110109004000,115.822959,39.957203,12894896.758775115,4833059.921036643
81,大台街道_110109004000,115.82306,39.957645,12894908.080907678,4833123.604588963
82,大台街道_110109004000,115.82313,39.958093,12894915.93966045,4833188.233504975
83,大台街道_110109004000,115.823184,39.958541,12894922.036016932,4833252.904226752
84,大台街道_110109004000,115.822931,39.958908,12894893.816567505,4833306.760696826
85,大台街道_110109004000,115.823053,39.959335,12894907.5073489,4833368.19188768
86,大台街道_110109004000,115.823278,39.95975,12894932.713532077,4833427.62558149
87,大台街道_110109004000,115.823652,39.960093,12894974.503149804,4833476.148532222
88,大台街道_110109004000,115.824154,39.960305,12895030.590805057,4833505.412922167
89,大台街道_110109004000,115.82469,39.960461,12895090.500890587,4833526.422338881
