﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,大孙各庄镇_110113109000,116.852813,40.104233,13009523.438693624,4854370.72753101
1,大孙各庄镇_110113109000,116.853395,40.10429,13009587.791447457,4854380.244219082
2,大孙各庄镇_110113109000,116.853976,40.104346,13009651.999844104,4854389.57825493
3,大孙各庄镇_110113109000,116.854558,40.104403,13009716.334547177,4854399.048736154
4,大孙各庄镇_110113109000,116.855139,40.10446,13009780.58560941,4854408.453420763
5,大孙各庄镇_110113109000,116.855721,40.104516,13009844.903516633,4854417.7155028945
6,大孙各庄镇_110113109000,116.856302,40.104572,13009909.16844536,4854426.988740794
7,大孙各庄镇_110113109000,116.856886,40.104618,13009973.771052308,4854434.706142513
8,大孙各庄镇_110113109000,116.857469,40.104664,13010038.26124195,4854442.470447266
9,大孙各庄镇_110113109000,116.858053,40.10471,13010102.879695144,4854450.167003711
10,大孙各庄镇_110113109000,116.858636,40.104756,13010167.38627383,4854457.8690452725
11,大孙各庄镇_110113109000,116.85922,40.104802,13010232.021711694,4854465.501077835
12,大孙各庄镇_110113109000,116.859803,40.104848,13010296.545785084,4854473.097303529
13,大孙各庄镇_110113109000,116.860387,40.104894,13010361.199295666,4854480.700036233
14,大孙各庄镇_110113109000,116.86097,40.10494,13010425.741916819,4854488.22580331
15,大孙各庄镇_110113109000,116.861554,40.104987,13010490.414532324,4854495.91337809
16,大孙各庄镇_110113109000,116.862137,40.105033,13010555.006765269,4854503.36539572
17,大孙各庄镇_110113109000,116.862721,40.105079,13010619.699385343,4854510.81956201
18,大孙各庄镇_110113109000,116.863304,40.105125,13010684.281966528,4854518.19353378
19,大孙各庄镇_110113109000,116.863888,40.105171,13010748.995479753,4854525.5683349045
20,大孙各庄镇_110113109000,116.864471,40.105217,13010813.629426321,4854532.861899012
21,大孙各庄镇_110113109000,116.865055,40.105263,13010878.36462873,4854540.154311703
22,大孙各庄镇_110113109000,116.865638,40.105309,13010943.020604834,4854547.403547319
23,大孙各庄镇_110113109000,116.866222,40.105355,13011007.778201306,4854554.571541865
24,大孙各庄镇_110113109000,116.866805,40.105401,13011072.45686932,4854561.734580035
25,大孙各庄镇_110113109000,116.867389,40.105447,13011137.237497764,4854568.854437325
26,大孙各庄镇_110113109000,116.867972,40.105494,13011201.939462056,4854576.086386334
27,大孙各庄镇_110113109000,116.868556,40.10554,13011266.773796434,4854583.07759218
28,大孙各庄镇_110113109000,116.869139,40.105586,13011331.529666565,4854590.062076276
29,大孙各庄镇_110113109000,116.869723,40.105632,13011396.327739283,4854597.000957329
30,大孙各庄镇_110113109000,116.870306,40.105678,13011461.107800903,4854603.893545043
31,大孙各庄镇_110113109000,116.87089,40.105724,13011525.960413335,4854610.73995716
32,大孙各庄镇_110113109000,116.871473,40.10577,13011590.764990257,4854617.539416941
33,大孙各庄镇_110113109000,116.872057,40.105816,13011655.642270602,4854624.33146991
34,大孙各庄镇_110113109000,116.87264,40.105862,13011720.471584883,4854630.997607108
35,大孙各庄镇_110113109000,116.873224,40.105908,13011785.37370917,4854637.695280392
36,大孙各庄镇_110113109000,116.873807,40.105954,13011850.227904784,4854644.306244221
37,大孙各庄镇_110113109000,116.874391,40.106,13011915.185157938,4854650.869855686
38,大孙各庄镇_110113109000,116.874974,40.106046,13011980.064277777,4854657.386131712
39,大孙各庄镇_110113109000,116.875558,40.106092,13012045.046480326,4854663.894306154
40,大孙各庄镇_110113109000,116.876141,40.106138,13012109.950477382,4854670.35541724
41,大孙各庄镇_110113109000,116.876725,40.106184,13012174.957522754,4854676.729860693
42,大孙各庄镇_110113109000,116.877309,40.106223,13012239.976827439,4854682.034708826
43,大孙各庄镇_110113109000,116.855996,40.047659,13009870.414623134,4846176.241885077
44,大孙各庄镇_110113109000,116.856581,40.047669,13009935.132670686,4846178.782949294
45,大孙各庄镇_110113109000,116.857167,40.04768,13009999.91846227,4846181.4532713825
46,大孙各庄镇_110113109000,116.857752,40.04769,13010064.622060454,4846183.9738528505
47,大孙各庄镇_110113109000,116.858338,40.0477,13010129.484187711,4846186.426528503
48,大孙各庄镇_110113109000,116.858923,40.04771,13010194.204558427,4846188.883449515
49,大孙各庄镇_110113109000,116.859508,40.04772,13010258.963790754,4846191.307485326
50,大孙各庄镇_110113109000,116.860094,40.04773,13010323.822309269,4846193.659237576
51,大孙各庄镇_110113109000,116.860679,40.04774,13010388.599958679,4846195.974078274
52,大孙各庄镇_110113109000,116.861265,40.04775,13010453.477428082,4846198.293181669
53,大孙各庄镇_110113109000,116.861819,40.047881,13010514.844076244,4846218.049912792
54,大孙各庄镇_110113109000,116.861786,40.04833,13010511.171595562,4846283.069617916
55,大孙各庄镇_110113109000,116.861727,40.048778,13010504.672447996,4846347.8922687955
56,大孙各庄镇_110113109000,116.861669,40.049226,13010498.234726941,4846412.677057638
57,大孙各庄镇_110113109000,116.86161,40.049674,13010491.73809994,4846477.540137213
58,大孙各庄镇_110113109000,116.861552,40.050122,13010485.30289442,4846542.326065749
59,大孙各庄镇_110113109000,116.861494,40.05057,13010478.899030147,4846607.191602259
60,大孙各庄镇_110113109000,116.861437,40.051019,13010472.586670227,4846672.137639507
61,大孙各庄镇_110113109000,116.86138,40.051467,13010466.305626718,4846736.927513449
62,大孙各庄镇_110113109000,116.861326,40.051915,13010460.32663763,4846801.801028729
63,大孙各庄镇_110113109000,116.861272,40.052363,13010454.378949108,4846866.597012424
64,大孙各庄镇_110113109000,116.865216,40.047803,13010891.285333078,4846210.780953665
65,大孙各庄镇_110113109000,116.864632,40.047809,13010826.547837785,4846211.090198533
66,大孙各庄镇_110113109000,116.864046,40.047798,13010761.580626868,4846208.839986399
67,大孙各庄镇_110113109000,116.86346,40.047788,13010696.624294065,4846206.705627005
68,大孙各庄镇_110113109000,116.862875,40.047778,13010631.829113595,4846204.532682823
69,大孙各庄镇_110113109000,116.862289,40.047774,13010566.92397035,4846203.222241893
70,大孙各庄镇_110113109000,116.865549,40.047567,13010928.20747471,4846176.903590221
71,大孙各庄镇_110113109000,116.865872,40.046561,13010964.028184023,4846031.486854108
72,大孙各庄镇_110113109000,116.865675,40.046982,13010942.187278878,4846092.329078614
73,大孙各庄镇_110113109000,116.86559,40.047427,13010932.726091256,4846156.674267435
74,大孙各庄镇_110113109000,116.865748,40.045126,13010950.289886437,4845823.533779656
75,大孙各庄镇_110113109000,116.865742,40.045577,13010949.617923886,4845888.868651458
76,大孙各庄镇_110113109000,116.866099,40.042551,13010989.249379646,4845450.903575888
77,大孙各庄镇_110113109000,116.86605,40.043,13010983.781737218,4845515.872544837
78,大孙各庄镇_110113109000,116.866009,40.043448,13010979.249041911,4845580.6941100145
79,大孙各庄镇_110113109000,116.865972,40.043897,13010975.139159031,4845645.677688762
80,大孙各庄镇_110113109000,116.865928,40.044346,13010970.217206262,4845710.73258339
81,大孙各庄镇_110113109000,116.865846,40.044791,13010961.140162371,4845775.0789005
82,大孙各庄镇_110113109000,116.865872,40.046561,13010964.028184023,4846031.486854108
83,大孙各庄镇_110113109000,116.865743,40.046125,13010949.698450364,4845968.239412289
84,大孙各庄镇_110113109000,116.865872,40.046561,13010964.028184023,4846031.486854108
85,大孙各庄镇_110113109000,116.866453,40.04661,13011028.457505576,4846039.13887058
86,大孙各庄镇_110113109000,116.867021,40.046721,13011091.481327476,4846055.655031775
87,大孙各庄镇_110113109000,116.867589,40.046832,13011154.51623767,4846072.129411023
88,大孙各庄镇_110113109000,116.868169,40.046894,13011218.858959194,4846081.537434154
89,大孙各庄镇_110113109000,116.868751,40.046942,13011283.45476067,4846088.78070332
90,大孙各庄镇_110113109000,116.869333,40.04699,13011348.09264096,4846096.018197909
91,大孙各庄镇_110113109000,116.869915,40.047038,13011412.712400902,4846103.249173073
92,大孙各庄镇_110113109000,116.870497,40.047086,13011477.374441486,4846110.3950433815
93,大孙各庄镇_110113109000,116.87108,40.047135,13011542.139174186,4846117.691442252
94,大孙各庄镇_110113109000,116.871662,40.047183,13011606.795525558,4846124.744364932
95,大孙各庄镇_110113109000,116.872235,40.047262,13011670.498119352,4846136.267216254
96,大孙各庄镇_110113109000,116.872789,40.047405,13011732.068969598,4846156.975375497
97,大孙各庄镇_110113109000,116.873349,40.047536,13011794.315432914,4846175.952017134
98,大孙各庄镇_110113109000,116.873909,40.047667,13011856.603654565,4846194.88520882
99,大孙各庄镇_110113109000,116.874469,40.047798,13011918.903456843,4846213.774874364
100,大孙各庄镇_110113109000,116.87503,40.047929,13011981.305459721,4846232.6209114725
101,大孙各庄镇_110113109000,116.875589,40.048061,13012043.537778106,4846251.580878763
102,大孙各庄镇_110113109000,116.876149,40.048194,13012105.842043387,4846270.576017826
103,大孙各庄镇_110113109000,116.876708,40.048327,13012168.097362947,4846289.5674294075
104,大孙各庄镇_110113109000,116.877267,40.048461,13012230.333889872,4846308.673162102
105,大孙各庄镇_110113109000,116.877826,40.048594,13012292.581798976,4846327.578968725
106,大孙各庄镇_110113109000,116.878385,40.048727,13012354.871264936,4846346.520689542
107,大孙各庄镇_110113109000,116.878944,40.048861,13012417.14174311,4846365.49889668
108,大孙各庄镇_110113109000,116.879494,40.049013,13012478.425103614,4846387.035395851
109,大孙各庄镇_110113109000,116.865907,40.053839,13010968.055219207,4847085.958278109
110,大孙各庄镇_110113109000,116.86644,40.054026,13011027.189270776,4847113.486592566
111,大孙各庄镇_110113109000,116.866973,40.054213,13011086.333108433,4847141.017976657
112,大孙各庄镇_110113109000,116.867507,40.0544,13011145.547100717,4847168.513199063
113,大孙各庄镇_110113109000,116.86804,40.054587,13011204.710822472,4847195.970868751
114,大孙各庄镇_110113109000,116.868573,40.054774,13011263.884615717,4847223.351848446
