﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,大安山乡_110111211000,115.723653,39.897607,12883868.531259224,4824406.376144093
1,大安山乡_110111211000,115.723754,39.900414,12883879.552463952,4824811.87603824
2,大安山乡_110111211000,115.723775,39.899967,12883881.964266535,4824747.252971004
3,大安山乡_110111211000,115.724642,39.898272,12883979.01269952,4824501.305718411
4,大安山乡_110111211000,115.724426,39.897854,12883954.921030987,4824441.170196204
5,大安山乡_110111211000,115.724643,39.898274,12883979.103314862,4824501.6182962805
6,大安山乡_110111211000,115.725146,39.898503,12884035.28216273,4824534.185176882
7,大安山乡_110111211000,115.727024,39.899274,12884244.949309517,4824643.8832000885
8,大安山乡_110111211000,115.72653,39.899509,12884189.78019102,4824678.251575926
9,大安山乡_110111211000,115.727176,39.89567,12884262.260445923,4824123.007600238
10,大安山乡_110111211000,115.727548,39.896017,12884303.739179002,4824172.932663035
11,大安山乡_110111211000,115.728328,39.899859,12884390.420482928,4824727.551462859
12,大安山乡_110111211000,115.72855,39.900272,12884415.149682015,4824787.047454211
13,大安山乡_110111211000,115.730944,39.853213,12884683.066240912,4817986.738272907
14,大安山乡_110111211000,115.731083,39.853646,12884698.636311946,4818049.27571003
15,大安山乡_110111211000,115.731093,39.854092,12884699.789379481,4818113.704043504
16,大安山乡_110111211000,115.730996,39.854533,12884689.002620773,4818177.466784998
17,大安山乡_110111211000,115.730468,39.892405,12884629.853498315,4823649.464224887
18,大安山乡_110111211000,115.730581,39.892846,12884642.38302297,4823713.141223658
19,大安山乡_110111211000,115.730448,39.895088,12884627.362392819,4824037.129902258
20,大安山乡_110111211000,115.730681,39.894683,12884653.3727378,4823978.551632422
21,大安山乡_110111211000,115.732171,39.862439,12884820.540755851,4819319.570706491
22,大安山乡_110111211000,115.731756,39.862122,12884774.269172443,4819273.7790934825
23,大安山乡_110111211000,115.733037,39.856765,12884916.647417212,4818499.687759003
24,大安山乡_110111211000,115.732607,39.856461,12884868.719152791,4818455.730157826
25,大安山乡_110111211000,115.732105,39.856232,12884812.752011247,4818422.709473126
26,大安山乡_110111211000,115.733091,39.86297,12884923.057745997,4819396.205431907
27,大安山乡_110111211000,115.732621,39.862703,12884870.700627385,4819357.659529158
28,大安山乡_110111211000,115.733037,39.856765,12884916.647417212,4818499.687759003
29,大安山乡_110111211000,115.733366,39.857137,12884953.307800386,4818553.395258485
30,大安山乡_110111211000,115.733091,39.86297,12884923.057745997,4819396.205431907
31,大安山乡_110111211000,115.733577,39.863219,12884977.217808185,4819432.194584184
32,大安山乡_110111211000,115.732664,39.896885,12884874.180096969,4824296.316214464
33,大安山乡_110111211000,115.733201,39.896708,12884934.037036626,4824270.740079203
34,大安山乡_110111211000,115.733115,39.898405,12884924.276504034,4824515.948697241
35,大安山乡_110111211000,115.733669,39.898259,12884985.993602503,4824494.873407116
36,大安山乡_110111211000,115.734217,39.898104,12885047.036215136,4824472.5465999525
37,大安山乡_110111211000,115.733703,39.887891,12884990.692399763,4822996.847256457
38,大安山乡_110111211000,115.733422,39.888286,12884959.368961925,4823053.877870321
39,大安山乡_110111211000,115.733734,39.885948,12884994.308308318,4822716.122129142
40,大安山乡_110111211000,115.7336,39.88551,12884979.427512204,4822652.830615235
41,大安山乡_110111211000,115.734111,39.910884,12885034.094657306,4826319.382036744
42,大安山乡_110111211000,115.733527,39.91087,12884969.051649045,4826317.298759494
43,大安山乡_110111211000,115.734045,39.892308,12885028.425908366,4823635.089564062
44,大安山乡_110111211000,115.734626,39.892257,12885093.132355353,4823627.807122037
45,大安山乡_110111211000,115.735104,39.880512,12885147.180844063,4821930.985610409
46,大安山乡_110111211000,115.734923,39.880084,12885127.043739557,4821869.072535281
47,大安山乡_110111211000,115.735075,39.897669,12885142.60122847,4824409.90114852
48,大安山乡_110111211000,115.734768,39.892245,12885108.922098413,4823626.06187438
49,大安山乡_110111211000,115.735312,39.892081,12885169.489916703,4823602.525157873
50,大安山乡_110111211000,115.735864,39.891934,12885230.950478366,4823581.461345575
51,大安山乡_110111211000,115.735075,39.897669,12885142.60122847,4824409.90114852
52,大安山乡_110111211000,115.734769,39.897286,12885108.563176949,4824354.469973412
53,大安山乡_110111211000,115.735075,39.897669,12885142.60122847,4824409.90114852
54,大安山乡_110111211000,115.735161,39.897666,12885152.169953015,4824409.446951617
