﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,大屯街道_110105025000,116.394101,40.008031,12958481.301771142,4840505.3307609195
1,大屯街道_110105025000,116.394101,40.008031,12958481.301771142,4840505.3307609195
2,大屯街道_110105025000,116.394056,40.007585,12958476.360285642,4840440.787794171
3,大屯街道_110105025000,116.394156,40.007144,12958487.514985781,4840376.944551829
4,大屯街道_110105025000,116.394228,40.008159,12958495.454380639,4840523.854529455
5,大屯街道_110105025000,116.394807,40.008202,12958559.938841619,4840530.034823549
6,大屯街道_110105025000,116.39538,40.008123,12958623.782406656,4840518.50258398
7,大屯街道_110105025000,116.39588,40.007892,12958679.523208817,4840485.000024961
8,大屯街道_110105025000,116.394707,40.004034,12958549.097431092,4839926.769078122
9,大屯街道_110105025000,116.394366,40.004399,12958511.099522613,4839979.611863728
10,大屯街道_110105025000,116.394191,40.004826,12958491.58340733,4840041.420846508
11,大屯街道_110105025000,116.394155,40.005275,12958487.52882324,4840106.399174175
12,大屯街道_110105025000,116.394136,40.005725,12958485.376142258,4840171.533549414
13,大屯街道_110105025000,116.394117,40.006175,12958483.22274535,4840236.667981192
14,大屯街道_110105025000,116.394109,40.006624,12958482.307004375,4840301.644880047
15,大屯街道_110105025000,116.395998,40.007352,12958692.718859443,4840406.795632209
16,大屯街道_110105025000,116.395507,40.007106,12958638.017275825,4840371.283413043
17,大屯街道_110105025000,116.394942,40.007002,12958575.094267476,4840356.362494469
18,大屯街道_110105025000,116.394357,40.006985,12958509.909752626,4840353.923381982
19,大屯街道_110105025000,116.394559,40.001293,12958532.808492389,4839530.061828749
20,大屯街道_110105025000,116.394425,40.001729,12958517.85691277,4839593.166969619
21,大屯街道_110105025000,116.394403,40.002179,12958515.378253648,4839658.301806819
22,大屯街道_110105025000,116.394381,40.002628,12958512.898807492,4839723.279572707
23,大屯街道_110105025000,116.394359,40.003078,12958510.418433417,4839788.414357769
24,大屯街道_110105025000,116.394388,40.003526,12958513.585498512,4839853.269951448
25,大屯街道_110105025000,116.394624,40.003936,12958539.861952784,4839912.606680201
26,大屯街道_110105025000,116.394559,40.001293,12958532.808492389,4839530.061828749
27,大屯街道_110105025000,116.394571,40.000707,12958534.146625722,4839445.258377031
28,大屯街道_110105025000,116.394571,40.000707,12958534.146625722,4839445.258377031
29,大屯街道_110105025000,116.394513,40.000261,12958527.711448802,4839380.720977082
30,大屯街道_110105025000,116.394527,39.999811,12958529.310270147,4839315.586735823
31,大屯街道_110105025000,116.394535,39.999361,12958530.213397082,4839250.453151758
32,大屯街道_110105025000,116.394543,39.99891,12958531.115600271,4839185.1625091545
33,大屯街道_110105025000,116.394551,39.99846,12958532.016738996,4839120.028883462
34,大屯街道_110105025000,116.394563,39.99801,12958533.400156848,4839054.894735991
35,大屯街道_110105025000,116.394577,39.99756,12958534.96378635,4838989.760352543
36,大屯街道_110105025000,116.394611,39.997111,12958538.761601645,4838924.74130603
37,大屯街道_110105025000,116.394836,39.996738,12958563.851268047,4838870.767066293
38,大屯街道_110105025000,116.3947,39.996354,12958548.704180026,4838815.193748605
39,大屯街道_110105025000,116.394715,39.995904,12958550.384813637,4838750.058809007
40,大屯街道_110105025000,116.394736,39.995453,12958552.728979087,4838684.765927294
41,大屯街道_110105025000,116.394757,39.995003,12958555.102218883,4838619.6691927165
42,大屯街道_110105025000,116.39478,39.994553,12958557.655629829,4838554.532841813
43,大屯街道_110105025000,116.394803,39.994103,12958560.207947245,4838489.396354598
44,大屯街道_110105025000,116.394836,39.996738,12958563.851268047,4838870.767066293
45,大屯街道_110105025000,116.39622,40.004043,12958717.695127307,4839927.782720387
46,大屯街道_110105025000,116.395636,40.004075,12958652.60002977,4839932.592063034
47,大屯街道_110105025000,116.395051,40.004062,12958587.430376235,4839930.797980118
