﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,大峪街道_110109001000,116.078228,39.930841,12923345.23740421,4829247.369989585
1,大峪街道_110109001000,116.077742,39.93059,12923290.871603483,4829211.904095011
2,大峪街道_110109001000,116.077264,39.930331,12923237.380180052,4829175.346300659
3,大峪街道_110109001000,116.076987,39.93981,12923206.807118703,4830546.901455108
4,大峪街道_110109001000,116.077396,39.940129,12923252.642716147,4830592.266399338
5,大峪街道_110109001000,116.07787,39.94039,12923305.6913426,4830629.163227154
6,大峪街道_110109001000,116.078427,39.940524,12923368.038902273,4830647.5590305105
7,大峪街道_110109001000,116.07901,39.940535,12923433.282242604,4830648.16102531
8,大峪街道_110109001000,116.07746,39.939121,12923259.711803395,4830446.325223965
9,大峪街道_110109001000,116.077134,39.939494,12923223.263950123,4830500.890284426
10,大峪街道_110109001000,116.078327,39.929596,12923356.29757099,4829067.12454206
11,大峪街道_110109001000,116.077888,39.929313,12923307.182967229,4829026.974886111
12,大峪街道_110109001000,116.079195,39.931067,12923453.462596325,4829278.364718992
13,大峪街道_110109001000,116.078658,39.930892,12923393.376847466,4829253.97200419
14,大峪街道_110109001000,116.078714,39.940018,12923400.128744856,4830573.87628705
15,大峪街道_110109001000,116.079201,39.940267,12923454.616356809,4830609.043372295
16,大峪街道_110109001000,116.078935,39.939756,12923424.801650763,4830535.561982439
17,大峪街道_110109001000,116.079401,39.940028,12923476.982762726,4830574.151089236
18,大峪街道_110109001000,116.079251,39.941174,12923460.28643719,4830740.135132301
19,大峪街道_110109001000,116.079432,39.940746,12923480.516251832,4830677.9650827935
20,大峪街道_110109001000,116.081175,39.930713,12923674.888524514,4829224.018039225
21,大峪街道_110109001000,116.080629,39.930554,12923613.832092706,4829201.844578238
22,大峪街道_110109001000,116.080123,39.930329,12923557.254192598,4829170.10168009
23,大峪街道_110109001000,116.079576,39.930169,12923496.030353509,4829147.874121669
24,大峪街道_110109001000,116.079644,39.939716,12923504.135210434,4830528.592505041
25,大峪街道_110109001000,116.079493,39.939282,12923487.187821444,4830466.07789485
26,大峪街道_110109001000,116.079586,39.940432,12923497.69046463,4830632.250247128
27,大峪街道_110109001000,116.079586,39.940432,12923497.69046463,4830632.250247128
28,大峪街道_110109001000,116.079665,39.935653,12923506.234243773,4829940.858273733
29,大峪街道_110109001000,116.080246,39.935697,12923571.186377596,4829946.284630062
30,大峪街道_110109001000,116.080827,39.935743,12923636.18980037,4829951.981073131
31,大峪街道_110109001000,116.079787,39.940599,12923520.201915508,4830656.106923139
