﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,大庄科乡_110119200000,116.127251,40.382117,12928795.388778659,4894776.977180002
1,大庄科乡_110119200000,116.126972,40.382514,12928764.526357539,4894834.0453740675
2,大庄科乡_110119200000,116.126688,40.382906,12928733.124966238,4894890.428181793
3,大庄科乡_110119200000,116.126354,40.383277,12928696.204996245,4894943.638568529
4,大庄科乡_110119200000,116.126014,40.383645,12928658.655993737,4894996.358391265
5,大庄科乡_110119200000,116.125657,40.384002,12928619.188415654,4895047.451594293
6,大庄科乡_110119200000,116.125288,40.384352,12928578.401985608,4895097.485253144
7,大庄科乡_110119200000,116.124897,40.384689,12928535.217042679,4895145.565102907
8,大庄科乡_110119200000,116.127251,40.382117,12928795.388778659,4894776.977180002
9,大庄科乡_110119200000,116.127454,40.381695,12928817.821874354,4894715.998129964
10,大庄科乡_110119200000,116.127612,40.381262,12928835.304898642,4894653.362509726
11,大庄科乡_110119200000,116.127785,40.380832,12928854.43852364,4894591.199597361
12,大庄科乡_110119200000,116.131436,40.381395,12929257.577779243,4894681.7188506
13,大庄科乡_110119200000,116.130881,40.381245,12929196.291746045,4894658.607835195
14,大庄科乡_110119200000,116.131436,40.381395,12929257.577779243,4894681.7188506
15,大庄科乡_110119200000,116.131844,40.381716,12929302.606864858,4894729.3300845185
16,大庄科乡_110119200000,116.13317,40.383359,12929448.898378124,4894971.435332397
17,大庄科乡_110119200000,116.133499,40.382985,12929485.275017424,4894917.677398902
18,大庄科乡_110119200000,116.133828,40.382613,12929521.683608247,4894864.228914712
19,大庄科乡_110119200000,116.134134,40.382228,12929555.512858605,4894808.8253828455
20,大庄科乡_110119200000,116.134075,40.381132,12929549.11473365,4894649.162509933
21,大庄科乡_110119200000,116.134663,40.381114,12929614.053490201,4894647.718194381
22,大庄科乡_110119200000,116.136434,40.382378,12929809.640474312,4894835.220753351
23,大庄科乡_110119200000,116.135992,40.382659,12929760.755260386,4894875.271635101
24,大庄科乡_110119200000,116.135557,40.382962,12929712.683221867,4894918.559505241
25,大庄科乡_110119200000,116.135122,40.383264,12929664.555432817,4894961.633783004
26,大庄科乡_110119200000,116.134686,40.383566,12929616.371611515,4895004.731775109
27,大庄科乡_110119200000,116.13425,40.383868,12929568.19177586,4895047.776195578
28,大庄科乡_110119200000,116.136478,40.3809,12929814.6390991,4894620.118870017
29,大庄科乡_110119200000,116.135958,40.381111,12929757.167902945,4894649.82060409
30,大庄科乡_110119200000,116.135387,40.381129,12929694.04598507,4894651.320380805
31,大庄科乡_110119200000,116.136476,40.370007,12929815.448721858,4893034.472525699
32,大庄科乡_110119200000,116.136093,40.36968,12929773.145563,4892986.146935851
33,大庄科乡_110119200000,116.13724,40.381065,12929898.851449996,4894645.559035133
34,大庄科乡_110119200000,116.136673,40.380942,12929836.209174583,4894626.601904695
35,大庄科乡_110119200000,116.136492,40.431771,12929816.468190765,4902031.13566328
36,大庄科乡_110119200000,116.136312,40.432197,12929796.59115381,4902092.946647928
37,大庄科乡_110119200000,116.13724,40.381065,12929898.851449996,4894645.559035133
38,大庄科乡_110119200000,116.137186,40.38151,12929892.8524751,4894710.233254187
39,大庄科乡_110119200000,116.13724,40.381065,12929898.851449996,4894645.559035133
40,大庄科乡_110119200000,116.137525,40.380675,12929930.390241686,4894589.280531415
41,大庄科乡_110119200000,116.13771,40.380247,12929950.904753556,4894527.272548038
42,大庄科乡_110119200000,116.139182,40.378097,12930113.830572683,4894216.779063667
43,大庄科乡_110119200000,116.13865,40.37829,12930055.003985554,4894244.020437397
44,大庄科乡_110119200000,116.139405,40.380167,12930138.287100006,4894518.464733925
45,大庄科乡_110119200000,116.140153,40.397846,12930219.67212761,4897093.766212734
46,大庄科乡_110119200000,116.139755,40.398178,12930175.628006361,4897141.530625971
47,大庄科乡_110119200000,116.139628,40.38137,12930162.841357889,4894693.945056245
48,大庄科乡_110119200000,116.139806,40.380943,12930182.553755295,4894632.082701798
49,大庄科乡_110119200000,116.13983,40.380485,12930185.250242252,4894565.408532676
50,大庄科乡_110119200000,116.13983,40.380485,12930185.250242252,4894565.408532676
51,大庄科乡_110119200000,116.139907,40.380804,12930193.755402278,4894611.968862176
52,大庄科乡_110119200000,116.140163,40.380123,12930222.098134033,4894513.246474554
53,大庄科乡_110119200000,116.140286,40.379685,12930235.769769957,4894449.663711352
54,大庄科乡_110119200000,116.140521,40.370435,12930262.628626632,4893103.562688909
55,大庄科乡_110119200000,116.140555,40.369997,12930266.401896732,4893039.832545381
