﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,大栅栏街道_110102013000,116.378337,39.898495,12956726.61281041,4824641.903252251
1,大栅栏街道_110102013000,116.378257,39.89746,12956717.829186356,4824492.18007176
2,大栅栏街道_110102013000,116.378084,39.897886,12956698.57400644,4824553.382657695
3,大栅栏街道_110102013000,116.378278,39.897441,12956720.175992303,4824489.476974662
4,大栅栏街道_110102013000,116.378278,39.897441,12956720.175992303,4824489.476974662
5,大栅栏街道_110102013000,116.378861,39.897464,12956784.837800011,4824493.988430188
6,大栅栏街道_110102013000,116.379421,39.89758,12956846.97244484,4824511.830090481
7,大栅栏街道_110102013000,116.379893,39.897843,12956899.325711811,4824550.768687781
8,大栅栏街道_110102013000,116.378278,39.897441,12956720.175992303,4824489.476974662
9,大栅栏街道_110102013000,116.378185,39.896998,12956709.884119768,4824425.292432044
10,大栅栏街道_110102013000,116.378199,39.896548,12956711.466675492,4824360.295012682
11,大栅栏街道_110102013000,116.378212,39.896097,12956712.959049402,4824295.1396070905
12,大栅栏街道_110102013000,116.378226,39.895647,12956714.571366394,4824230.182603635
13,大栅栏街道_110102013000,116.378262,39.895199,12956718.618215563,4824165.503245213
14,大栅栏街道_110102013000,116.378337,39.898495,12956726.61281041,4824641.903252251
15,大栅栏街道_110102013000,116.378917,39.898534,12956790.943006316,4824648.718444097
16,大栅栏街道_110102013000,116.379483,39.898431,12956853.764134347,4824634.976237395
17,大栅栏街道_110102013000,116.379992,39.89821,12956910.26157486,4824603.973334629
18,大栅栏街道_110102013000,116.378423,39.894902,12956736.476601541,4824122.893114472
19,大栅栏街道_110102013000,116.378504,39.890341,12956745.883347338,4823464.09502109
20,大栅栏街道_110102013000,116.378916,39.890022,12956791.611700552,4823418.816959605
21,大栅栏街道_110102013000,116.378487,39.892637,12956743.783281328,4823795.788787986
22,大栅栏街道_110102013000,116.378487,39.892637,12956743.783281328,4823795.788787986
23,大栅栏街道_110102013000,116.378437,39.893082,12956738.204959894,4823859.970571748
24,大栅栏街道_110102013000,116.37839,39.893532,12956732.92643931,4823924.902230046
25,大栅栏街道_110102013000,116.378343,39.893981,12956727.677846186,4823989.677711146
26,大栅栏街道_110102013000,116.378296,39.89443,12956722.429030346,4824054.453284149
27,大栅栏街道_110102013000,116.378248,39.894879,12956717.059777165,4824119.2268796265
28,大栅栏街道_110102013000,116.378194,39.895327,12956711.029127223,4824183.871520634
29,大栅栏街道_110102013000,116.378171,39.895777,12956708.455004517,4824248.850710064
30,大栅栏街道_110102013000,116.378145,39.896227,12956705.5200077,4824313.823925852
31,大栅栏街道_110102013000,116.378106,39.896676,12956701.142183386,4824378.576318486
32,大栅栏街道_110102013000,116.378106,39.897127,12956701.092532309,4824443.757242769
33,大栅栏街道_110102013000,116.378081,39.897565,12956698.278779196,4824507.008942047
34,大栅栏街道_110102013000,116.378066,39.898015,12956696.575846326,4824572.004994778
35,大栅栏街道_110102013000,116.378018,39.898464,12956691.205857266,4824636.741293827
36,大栅栏街道_110102013000,116.378265,39.898702,12956718.593811387,4824671.671494258
37,大栅栏街道_110102013000,116.37885,39.898715,12956783.49706562,4824674.698364571
38,大栅栏街道_110102013000,116.379434,39.898729,12956848.288794424,4824677.885566082
39,大栅栏街道_110102013000,116.380019,39.898743,12956913.240018617,4824681.040559617
40,大栅栏街道_110102013000,116.380603,39.898764,12956978.019460408,4824685.137004526
41,大栅栏街道_110102013000,116.381187,39.898786,12957042.838490041,4824689.354224836
42,大栅栏街道_110102013000,116.381772,39.898807,12957107.787828898,4824693.418158293
43,大栅栏街道_110102013000,116.382356,39.898825,12957172.627302969,4824696.971732523
44,大栅栏街道_110102013000,116.382941,39.89884,12957237.567717731,4824700.056219634
45,大栅栏街道_110102013000,116.383525,39.898855,12957302.428391611,4824703.099613016
46,大栅栏街道_110102013000,116.38411,39.898869,12957367.420342678,4824705.94696836
47,大栅栏街道_110102013000,116.384694,39.898884,12957432.272581885,4824708.907950541
48,大栅栏街道_110102013000,116.385279,39.898901,12957497.28628583,4824712.10283761
49,大栅栏街道_110102013000,116.385863,39.898927,12957562.189798173,4824716.586386903
50,大栅栏街道_110102013000,116.386447,39.898947,12957627.07530503,4824720.124870778
51,大栅栏街道_110102013000,116.387031,39.898941,12957692.005362697,4824719.896172962
52,大栅栏街道_110102013000,116.387615,39.898912,12957756.919579312,4824716.252021911
53,大栅栏街道_110102013000,116.388197,39.898868,12957821.636304896,4824710.36664794
54,大栅栏街道_110102013000,116.388779,39.898825,12957886.364720449,4824704.671499955
55,大栅栏街道_110102013000,116.389361,39.898782,12957951.105168795,4824698.852620128
56,大栅栏街道_110102013000,116.389828,39.898667,12958003.047778253,4824682.578991548
57,大栅栏街道_110102013000,116.389859,39.898218,12958006.56576571,4824617.687719523
58,大栅栏街道_110102013000,116.390178,39.897854,12958042.075206239,4824565.25144566
