﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,大石窝镇_110111109000,115.711089,39.559285,12882455.04478275,4775642.503131175
1,大石窝镇_110111109000,115.711665,39.559226,12882519.616192942,4775632.68636222
2,大石窝镇_110111109000,115.712238,39.559152,12882583.879915418,4775620.787769531
3,大石窝镇_110111109000,115.712809,39.559066,12882647.865927802,4775607.1977855
4,大石窝镇_110111109000,115.712888,39.559056,12882656.732948024,4775605.609164099
5,大石窝镇_110111109000,115.713452,39.558948,12882719.9246629,4775588.859904044
6,大石窝镇_110111109000,115.714016,39.558839,12882783.141255422,4775572.0141485715
7,大石窝镇_110111109000,115.714582,39.558736,12882846.594538596,4775556.04404355
8,大石窝镇_110111109000,115.715148,39.558634,12882909.980895877,4775540.215695762
9,大石窝镇_110111109000,115.715577,39.55835,12882958.07457647,4775498.529095281
10,大石窝镇_110111109000,115.715854,39.557966,12882989.11471123,4775442.74592656
11,大石窝镇_110111109000,115.716029,39.557537,12883008.715525545,4775380.708619817
12,大石窝镇_110111109000,115.71619,39.557104,12883026.769090896,4775318.157336498
13,大石窝镇_110111109000,115.716348,39.556671,12883044.489195708,4775255.537152116
14,大石窝镇_110111109000,115.716525,39.556243,12883064.333419506,4775193.66087573
15,大石窝镇_110111109000,115.716712,39.555817,12883085.300373912,4775132.040556529
16,大石窝镇_110111109000,115.716914,39.555395,12883107.935913043,4775070.978847724
17,大石窝镇_110111109000,115.717126,39.554976,12883131.724055039,4775010.329775667
18,大石窝镇_110111109000,115.717358,39.554563,12883157.726281216,4774950.50414085
19,大石窝镇_110111109000,115.717624,39.554164,12883187.51917481,4774892.645620142
20,大石窝镇_110111109000,115.721043,39.549533,12883570.451713026,4774221.047741627
21,大石窝镇_110111109000,115.720794,39.549939,12883542.61538109,4774279.833910749
22,大石窝镇_110111109000,115.720548,39.550347,12883515.050540075,4774338.857144907
23,大石窝镇_110111109000,115.720302,39.550755,12883487.484527344,4774397.926350945
24,大石窝镇_110111109000,115.720059,39.551163,12883460.281282859,4774456.957859437
25,大石窝镇_110111109000,115.719815,39.551572,12883432.955617696,4774516.153949549
26,大石窝镇_110111109000,115.71957,39.55198,12883405.477386188,4774575.242125584
27,大石窝镇_110111109000,115.719299,39.552378,12883375.117976606,4774632.901324527
28,大石窝镇_110111109000,115.721415,39.54931,12883612.121862048,4774188.434442746
29,大石窝镇_110111109000,115.725663,39.548535,12884086.985004334,4774071.926332334
30,大石窝镇_110111109000,115.725092,39.548621,12884023.181610692,4774084.848232821
31,大石窝镇_110111109000,115.724527,39.548726,12883960.032076223,4774100.53280255
32,大石窝镇_110111109000,115.723962,39.548831,12883896.90261785,4774116.255777715
33,大石窝镇_110111109000,115.723397,39.548937,12883833.732696082,4774132.212202878
34,大石窝镇_110111109000,115.722832,39.549042,12883770.553027853,4774148.011119901
35,大石窝镇_110111109000,115.722267,39.549148,12883707.39386797,4774164.002412634
36,大石窝镇_110111109000,115.721702,39.549254,12883644.22524069,4774179.9907427365
37,大石窝镇_110111109000,115.725663,39.548535,12884086.985004334,4774071.926332334
38,大石窝镇_110111109000,115.726236,39.548461,12884150.958116647,4774060.759382998
39,大石窝镇_110111109000,115.72681,39.548393,12884215.071016015,4774050.490592852
40,大石窝镇_110111109000,115.727385,39.548327,12884279.263361344,4774040.536278409
41,大石窝镇_110111109000,115.72796,39.548261,12884343.44437507,4774030.663749407
42,大石窝镇_110111109000,115.728534,39.548192,12884407.493290607,4774020.36725393
43,大石窝镇_110111109000,115.729107,39.548114,12884471.440868963,4774008.827840766
44,大石窝镇_110111109000,115.729679,39.548036,12884535.225724323,4773997.332864045
45,大石窝镇_110111109000,115.730252,39.547958,12884599.15018051,4773985.881010789
46,大石窝镇_110111109000,115.730824,39.54788,12884662.942042891,4773974.473853221
47,大石窝镇_110111109000,115.731398,39.547808,12884726.933165178,4773963.968305814
48,大石窝镇_110111109000,115.731972,39.54774,12884790.912054187,4773954.092499102
49,大石窝镇_110111109000,115.732546,39.547671,12884854.879175361,4773944.105655617
