﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,天坛街道_110101016000,116.392923,39.879246,12958349.046020791,4821877.734795498
1,天坛街道_110101016000,116.392384,39.879419,12958289.024530318,4821902.616953078
2,天坛街道_110101016000,116.392979,39.879164,12958355.269891785,4821865.905389295
3,天坛街道_110101016000,116.39244,39.87899,12958295.267613176,4821840.627355884
4,天坛街道_110101016000,116.392587,39.8895,12958310.939101687,4823359.155870224
5,天坛街道_110101016000,116.39257,39.889051,12958309.111449132,4823294.290427532
6,天坛街道_110101016000,116.393241,39.887806,12958383.888149012,4823114.557706489
7,天坛街道_110101016000,116.392907,39.888175,12958346.688445752,4823167.787586304
8,天坛街道_110101016000,116.392675,39.888587,12958320.838362746,4823227.288841646
9,天坛街道_110101016000,116.392587,39.8895,12958310.939101687,4823359.155870224
10,天坛街道_110101016000,116.392729,39.882004,12958327.311516616,4822276.163738274
11,天坛街道_110101016000,116.392705,39.882453,12958324.592271615,4822341.021278247
12,天坛街道_110101016000,116.392729,39.882004,12958327.311516616,4822276.163738274
13,天坛街道_110101016000,116.392751,39.881554,12958329.758280303,4822211.149046724
14,天坛街道_110101016000,116.392773,39.881104,12958332.23433882,4822146.134352019
15,天坛街道_110101016000,116.392795,39.880653,12958334.709540859,4822081.002035262
16,天坛街道_110101016000,116.392819,39.880204,12958337.395011663,4822016.144245249
17,天坛街道_110101016000,116.392853,39.879754,12958341.226784268,4821951.130914817
18,天坛街道_110101016000,116.392915,39.879306,12958348.136811273,4821886.395038774
19,天坛街道_110101016000,116.392713,39.889624,12958324.963719778,4823377.085958866
20,天坛街道_110101016000,116.393223,39.889841,12958381.729383467,4823408.534564394
21,天坛街道_110101016000,116.392753,39.885292,12958329.740289489,4822751.241086667
22,天坛街道_110101016000,116.393046,39.885681,12958362.341495292,4822807.476168797
23,天坛街道_110101016000,116.392753,39.885292,12958329.740289489,4822751.241086667
24,天坛街道_110101016000,116.392598,39.884858,12958312.540056579,4822688.472793765
25,天坛街道_110101016000,116.392601,39.884409,12958312.909115313,4822623.611938623
26,天坛街道_110101016000,116.392622,39.883959,12958315.239587357,4822558.597188988
27,天坛街道_110101016000,116.392644,39.883509,12958317.720197307,4822493.582658956
28,天坛街道_110101016000,116.392699,39.883062,12958323.88258686,4822429.004149617
29,天坛街道_110101016000,116.392804,39.882829,12958335.582858825,4822395.353715093
30,天坛街道_110101016000,116.393388,39.882837,12958400.61394199,4822396.622201938
31,天坛街道_110101016000,116.392923,39.879246,12958349.046020791,4821877.734795498
32,天坛街道_110101016000,116.393184,39.879025,12958378.102347584,4821845.8196789855
33,天坛街道_110101016000,116.393111,39.871117,12958370.150728257,4820703.27400866
34,天坛街道_110101016000,116.393343,39.871511,12958395.989143398,4820760.236358212
35,天坛街道_110101016000,116.393742,39.871839,12958440.400873754,4820807.6700119795
36,天坛街道_110101016000,116.394201,39.872118,12958491.523620227,4820847.945339944
37,天坛街道_110101016000,116.393118,39.885759,12958370.36556869,4822818.730815465
38,天坛街道_110101016000,116.392913,39.88618,12958347.50487751,4822879.534658525
39,天坛街道_110101016000,116.39283,39.886625,12958338.227495814,4822943.837527269
40,天坛街道_110101016000,116.392869,39.887074,12958342.534080101,4823008.704290437
41,天坛街道_110101016000,116.393043,39.887503,12958361.876463797,4823070.763808822
42,天坛街道_110101016000,116.393122,39.885758,12958370.788318522,4822818.613576994
43,天坛街道_110101016000,116.393371,39.885351,12958398.540105188,4822759.844336529
44,天坛街道_110101016000,116.393122,39.885758,12958370.788318522,4822818.613576994
45,天坛街道_110101016000,116.393706,39.885732,12958435.829056896,4822814.918240563
46,天坛街道_110101016000,116.393184,39.879025,12958378.102347584,4821845.8196789855
47,天坛街道_110101016000,116.392931,39.878619,12958349.927156802,4821787.165485152
48,天坛街道_110101016000,116.392733,39.878197,12958327.912572762,4821726.119823605
49,天坛街道_110101016000,116.392733,39.877748,12958327.936068583,4821661.25882634
50,天坛街道_110101016000,116.392773,39.877299,12958332.396129306,4821596.403347892
51,天坛街道_110101016000,116.392995,39.876886,12958357.140684547,4821536.781584214
52,天坛街道_110101016000,116.393376,39.876546,12958399.576051004,4821487.705521694
53,天坛街道_110101016000,116.393833,39.876265,12958450.469005965,4821447.152612298
54,天坛街道_110101016000,116.393184,39.879025,12958378.102347584,4821845.8196789855
55,天坛街道_110101016000,116.393763,39.878964,12958442.571898108,4821837.06379761
56,天坛街道_110101016000,116.393241,39.887806,12958383.888149012,4823114.557706489
57,天坛街道_110101016000,116.393823,39.887853,12958448.713397833,4823121.39525737
58,天坛街道_110101016000,116.39443,39.889988,12958516.12773132,4823429.843573331
59,天坛街道_110101016000,116.393848,39.88997,12958451.31715671,4823427.248427279
60,天坛街道_110101016000,116.393889,39.889273,12958455.945958408,4823326.52422325
61,天坛街道_110101016000,116.393776,39.889715,12958443.309728675,4823390.408386577
62,天坛街道_110101016000,116.393888,39.877281,12958456.552482132,4821593.922112835
63,天坛街道_110101016000,116.394344,39.877,12958507.364457421,4821553.336932359
64,天坛街道_110101016000,116.394005,39.87899,12958469.538059969,4821840.821933019
65,天坛街道_110101016000,116.393949,39.878945,12958463.289269708,4821834.317937035
66,天坛街道_110101016000,116.394275,39.878571,12958499.612141196,4821780.33612835
67,天坛街道_110101016000,116.394597,39.878195,12958535.515441114,4821725.9873266835
68,天坛街道_110101016000,116.394273,39.883331,12958499.143892806,4822468.05856913
69,天坛街道_110101016000,116.393964,39.882949,12958464.743660118,4822412.853852218
70,天坛街道_110101016000,116.394005,39.87899,12958469.538059969,4821840.821933019
71,天坛街道_110101016000,116.394413,39.879312,12958514.973549211,4821887.355294282
72,天坛街道_110101016000,116.394044,39.876157,12958473.968860578,4821431.549351637
73,天坛街道_110101016000,116.394299,39.876562,12958502.340739917,4821490.047002859
74,天坛街道_110101016000,116.394044,39.876157,12958473.968860578,4821431.549351637
75,天坛街道_110101016000,116.393973,39.887866,12958465.412277212,4823123.273545325
76,天坛街道_110101016000,116.393973,39.887866,12958465.412277212,4823123.273545325
77,天坛街道_110101016000,116.394135,39.887433,12958483.482320836,4823060.717112848
78,天坛街道_110101016000,116.394342,39.872434,12958507.252476051,4820893.632481344
79,天坛街道_110101016000,116.394081,39.872836,12958478.158338157,4820951.691186701
80,天坛街道_110101016000,116.393909,39.873266,12958459.00040734,4821013.814992518
81,天坛街道_110101016000,116.393844,39.873713,12958451.74003234,4821078.403231112
82,天坛街道_110101016000,116.393822,39.874163,12958449.310301147,4821143.421670714
83,天坛街道_110101016000,116.393801,39.874613,12958446.970061438,4821208.439972456
84,天坛街道_110101016000,116.393828,39.875062,12958449.943639727,4821273.3010900505
85,天坛街道_110101016000,116.393964,39.8755,12958465.056637172,4821336.6313343495
86,天坛街道_110101016000,116.394133,39.875832,12958483.888428384,4821384.594430869
87,天坛街道_110101016000,116.394138,39.885712,12958483.968499847,4822812.047467163
88,天坛街道_110101016000,116.3943,39.871393,12958502.560969124,4820743.219102885
89,天坛街道_110101016000,116.394487,39.87182,12958523.363966119,4820804.929260055
90,天坛街道_110101016000,116.394165,39.887916,12958486.789755892,4823130.476537668
91,天坛街道_110101016000,116.394446,39.88831,12958518.042983579,4823187.400774056
92,天坛街道_110101016000,116.394165,39.887916,12958486.789755892,4823130.476537668
93,天坛街道_110101016000,116.394671,39.887691,12958543.171873735,4823097.979626607
94,天坛街道_110101016000,116.395169,39.887455,12958598.688093409,4823063.802839419
95,天坛街道_110101016000,116.395633,39.873305,12958651.059988238,4821019.2957430445
96,天坛街道_110101016000,116.395274,39.872955,12958611.065235937,4820968.823053241
97,天坛街道_110101016000,116.394822,39.87267,12958560.681185177,4820927.674376738
98,天坛街道_110101016000,116.394342,39.872434,12958507.252476051,4820893.632481344
99,天坛街道_110101016000,116.394547,39.871946,12958530.09730549,4820823.107743665
100,天坛街道_110101016000,116.394273,39.883331,12958499.143892806,4822468.05856913
101,天坛街道_110101016000,116.394352,39.875796,12958508.293521164,4821379.367368837
102,天坛街道_110101016000,116.394925,39.875886,12958572.115947716,4821392.348283314
103,天坛街道_110101016000,116.395497,39.875977,12958635.85962396,4821405.401603778
104,天坛街道_110101016000,116.396068,39.87607,12958699.46398366,4821418.684562503
105,天坛街道_110101016000,116.396652,39.87608,12958764.534502912,4821419.964300425
106,天坛街道_110101016000,116.397235,39.876075,12958829.527292645,4821418.963895883
107,天坛街道_110101016000,116.397775,39.875911,12958889.731198821,4821395.053566313
108,天坛街道_110101016000,116.398239,39.875638,12958941.4820294,4821355.317621272
109,天坛街道_110101016000,116.394352,39.875796,12958508.293521164,4821379.367368837
110,天坛街道_110101016000,116.394839,39.875547,12958562.553490289,4821343.372807457
111,天坛街道_110101016000,116.39532,39.875291,12958616.127154056,4821306.288638275
112,天坛街道_110101016000,116.39435,39.883401,12958507.716181448,4822478.163956158
113,天坛街道_110101016000,116.394345,39.883848,12958507.137451312,4822542.751188909
114,天坛街道_110101016000,116.394508,39.884279,12958525.255676782,4822605.010741571
115,天坛街道_110101016000,116.397879,39.883418,12958900.980121067,4822479.604130728
116,天坛街道_110101016000,116.397295,39.883397,12958835.884974891,4822476.854600791
117,天坛街道_110101016000,116.396711,39.883376,12958770.771841975,4822474.058799659
118,天坛街道_110101016000,116.396127,39.883355,12958705.701246189,4822471.2162412815
119,天坛街道_110101016000,116.395544,39.883335,12958640.73357022,4822468.483421057
120,天坛街道_110101016000,116.39496,39.883319,12958575.657127237,4822466.252605157
121,天坛街道_110101016000,116.394386,39.883394,12958511.73382609,4822477.141946265
122,天坛街道_110101016000,116.394469,39.876922,12958521.292223567,4821542.077920654
123,天坛街道_110101016000,116.394634,39.877353,12958539.636491494,4821604.334299952
124,天坛街道_110101016000,116.39466,39.877802,12958542.513725162,4821669.192126851
125,天坛街道_110101016000,116.394547,39.871946,12958530.09730549,4820823.107743665
126,天坛街道_110101016000,116.396,39.890659,12958690.988514617,4823526.567133405
127,天坛街道_110101016000,116.395439,39.890532,12958628.482164938,4823508.338070897
128,天坛街道_110101016000,116.39491,39.890345,12958569.588131925,4823481.399048642
129,天坛街道_110101016000,116.394483,39.89004,12958522.042647542,4823437.363325027
130,天坛街道_110101016000,116.394872,39.888891,12958565.472112877,4823271.296445622
131,天坛街道_110101016000,116.39476,39.889333,12958552.953108955,4823335.195684376
132,天坛街道_110101016000,116.394596,39.889764,12958534.63553484,4823397.49272306
133,天坛街道_110101016000,116.394506,39.885585,12958524.935111528,4822793.677251762
134,天坛街道_110101016000,116.395036,39.885775,12958583.974815916,4822821.076028889
135,天坛街道_110101016000,116.395554,39.885982,12958641.663421603,4822850.94728648
136,天坛街道_110101016000,116.394506,39.885585,12958524.935111528,4822793.677251762
137,天坛街道_110101016000,116.394665,39.885152,12958542.702867556,4822731.10982591
138,天坛街道_110101016000,116.394642,39.8847,12958540.17307176,4822665.820189909
139,天坛街道_110101016000,116.395162,39.878399,12958598.42934338,4821755.410527925
140,天坛街道_110101016000,116.394677,39.878149,12958544.428789942,4821719.315148522
141,天坛街道_110101016000,116.394735,39.871,12958551.016136719,4820686.424216391
142,天坛街道_110101016000,116.394831,39.871444,12958561.702843634,4820750.567107565
143,天坛街道_110101016000,116.394642,39.8847,12958540.17307176,4822665.820189909
144,天坛街道_110101016000,116.394685,39.888693,12958544.647810318,4823242.712830321
145,天坛街道_110101016000,116.394778,39.879611,12958555.582727263,4821930.540628202
146,天坛街道_110101016000,116.395352,39.879685,12958619.534147283,4821941.136037567
147,天坛街道_110101016000,116.395936,39.879703,12958684.6190454,4821943.648841344
148,天坛街道_110101016000,116.396518,39.879732,12958749.443656072,4821947.64409689
149,天坛街道_110101016000,116.398561,39.871433,12958977.44004994,4820747.609677666
150,天坛街道_110101016000,116.397995,39.871332,12958914.326567821,4820733.341867461
151,天坛街道_110101016000,116.397411,39.871314,12958849.197472718,4820731.032547788
152,天坛街道_110101016000,116.396827,39.87129,12958784.141161975,4820727.814422243
153,天坛街道_110101016000,116.396244,39.871272,12958719.127251538,4820725.4510782715
154,天坛街道_110101016000,116.395672,39.871355,12958655.423370622,4820737.578009304
155,天坛街道_110101016000,116.395137,39.871535,12958595.80818905,4820763.64440989
156,天坛街道_110101016000,116.39724,39.888972,12958829.318596974,4823282.381322808
157,天坛街道_110101016000,116.396656,39.888945,12958764.23784313,4823278.6796072535
158,天坛街道_110101016000,116.396072,39.888924,12958699.138550168,4823275.871934432
159,天坛街道_110101016000,116.395488,39.888904,12958634.081795288,4823273.0956918085
160,天坛街道_110101016000,116.394903,39.888891,12958568.915926952,4823271.291612552
161,天坛街道_110101016000,116.39553,39.887284,12958638.887736658,4823039.0327808065
162,天坛街道_110101016000,116.396009,39.887541,12958692.258517215,4823076.053174668
163,天坛街道_110101016000,116.396566,39.887665,12958754.294181632,4823093.808527016
164,天坛街道_110101016000,116.39553,39.887284,12958638.887736658,4823039.0327808065
165,天坛街道_110101016000,116.396456,39.875055,12958742.72232502,4821271.936811628
166,天坛街道_110101016000,116.395873,39.875053,12958677.776470179,4821271.816775545
167,天坛街道_110101016000,116.395623,39.886997,12958649.27794513,4822997.544787555
168,天坛街道_110101016000,116.395737,39.886848,12958661.982468184,4822975.998418568
169,天坛街道_110101016000,116.395737,39.886848,12958661.982468184,4822975.998418568
170,天坛街道_110101016000,116.395819,39.886402,12958671.178410944,4822911.544798938
171,天坛街道_110101016000,116.395858,39.886171,12958675.520078985,4822878.142614361
172,天坛街道_110101016000,116.396434,39.886092,12958739.717050891,4822866.587218106
173,天坛街道_110101016000,116.397009,39.886012,12958803.805204231,4822854.790878056
174,天坛街道_110101016000,116.397577,39.885903,12958867.121625794,4822838.798877027
175,天坛街道_110101016000,116.396,39.890659,12958690.988514617,4823526.567133405
176,天坛街道_110101016000,116.396578,39.890712,12958755.417996522,4823534.007595128
177,天坛街道_110101016000,116.397268,39.886953,12958832.591930298,4822990.625242994
178,天坛街道_110101016000,116.396685,39.886916,12958767.632196095,4822985.553627926
179,天坛街道_110101016000,116.398638,39.87512,12958985.990394462,4821280.246066345
180,天坛街道_110101016000,116.398053,39.875105,12958920.727206312,4821278.458458135
181,天坛街道_110101016000,116.397469,39.875089,12958855.627433661,4821276.427992783
182,天坛街道_110101016000,116.396885,39.875074,12958790.539837496,4821274.507996133
183,天坛街道_110101016000,116.396884,39.890761,12958789.509109484,4823541.015177364
184,天坛街道_110101016000,116.39744,39.890627,12958851.466548342,4823521.393648555
185,天坛街道_110101016000,116.397948,39.890406,12958908.15191451,4823489.216124668
186,天坛街道_110101016000,116.396994,39.87985,12958802.515497312,4821964.534582919
187,天坛街道_110101016000,116.396979,39.8803,12958800.824669467,4822029.5197144775
188,天坛街道_110101016000,116.396994,39.87985,12958802.515497312,4821964.534582919
189,天坛街道_110101016000,116.39756,39.879747,12958865.616767915,4821949.367988594
190,天坛街道_110101016000,116.398144,39.879757,12958930.74867696,4821950.528814477
191,天坛街道_110101016000,116.398727,39.879779,12958995.740777014,4821953.329780044
192,天坛街道_110101016000,116.399302,39.87986,12959059.833669074,4821964.635088033
193,天坛街道_110101016000,116.399878,39.879941,12959124.089375123,4821975.895469167
194,天坛街道_110101016000,116.398643,39.875012,12958986.53880784,4821264.644744129
195,天坛街道_110101016000,116.398059,39.874997,12958921.396479482,4821262.8176877955
196,天坛街道_110101016000,116.397475,39.874981,12958856.296573006,4821260.7876929995
197,天坛街道_110101016000,116.397538,39.885421,12958862.839620277,4822769.137073301
198,天坛街道_110101016000,116.397158,39.88508,12958820.481766267,4822720.061556388
199,天坛街道_110101016000,116.398633,39.875228,12958985.411673049,4821295.847562888
200,天坛街道_110101016000,116.398048,39.875212,12958920.17888122,4821293.902626317
201,天坛街道_110101016000,116.397464,39.875197,12958855.079178726,4821292.028540495
202,天坛街道_110101016000,116.397562,39.888244,12958865.275670217,4823177.029156824
203,天坛街道_110101016000,116.397233,39.887871,12958828.637523415,4823123.305339217
204,天坛街道_110101016000,116.397437,39.886951,12958851.457541307,4822990.306384825
205,天坛街道_110101016000,116.397228,39.887372,12958828.139720956,4823051.195142312
206,天坛街道_110101016000,116.398305,39.890103,12958947.978957226,4823445.2244324
207,天坛街道_110101016000,116.39792,39.889764,12958905.071189156,4823396.464429803
208,天坛街道_110101016000,116.397598,39.889388,12958869.21686417,4823342.28209184
209,天坛街道_110101016000,116.397275,39.889013,12958833.214577947,4823288.282443778
210,天坛街道_110101016000,116.39724,39.888972,12958829.318596974,4823282.381322808
211,天坛街道_110101016000,116.397424,39.888545,12958849.857636083,4823220.602924794
212,天坛街道_110101016000,116.397437,39.886951,12958851.457541307,4822990.306384825
213,天坛街道_110101016000,116.398017,39.882083,12958916.44131741,4822286.626900703
214,天坛街道_110101016000,116.397601,39.881781,12958870.078446524,4822243.238890103
215,天坛街道_110101016000,116.397437,39.886951,12958851.457541307,4822990.306384825
216,天坛街道_110101016000,116.397863,39.886643,12958898.98611379,4822945.556946818
217,天坛街道_110101016000,116.398286,39.886332,12958946.158178136,4822900.393128835
218,天坛街道_110101016000,116.397538,39.885421,12958862.839620277,4822769.137073301
219,天坛街道_110101016000,116.397928,39.885756,12958906.261072988,4822817.364578281
220,天坛街道_110101016000,116.398583,39.875359,12958979.841543484,4821314.809986592
221,天坛街道_110101016000,116.398001,39.875396,12958914.940387702,4821320.501650595
222,天坛街道_110101016000,116.398375,39.888066,12958955.949288469,4823150.849342784
223,天坛街道_110101016000,116.397815,39.888194,12958893.490942989,4823169.681171499
224,天坛街道_110101016000,116.397709,39.873704,12958882.431901509,4821076.191538934
225,天坛街道_110101016000,116.397991,39.874097,12958913.867306,4821132.860333048
226,天坛街道_110101016000,116.398391,39.874424,12958958.43220145,4821179.842721254
227,天坛街道_110101016000,116.397999,39.885827,12958914.177535785,4822827.591664968
228,天坛街道_110101016000,116.398241,39.885924,12958941.173894938,4822841.47718687
229,天坛街道_110101016000,116.398241,39.885924,12958941.173894938,4822841.47718687
230,天坛街道_110101016000,116.398312,39.885477,12958949.105706284,4822776.846118316
231,天坛街道_110101016000,116.398412,39.872793,12958960.808139775,4820944.211717653
232,天坛街道_110101016000,116.398378,39.873243,12958957.016207254,4821009.212419911
233,天坛街道_110101016000,116.398555,39.872739,12958976.778291516,4820936.319979884
234,天坛街道_110101016000,116.398457,39.889195,12958964.974470545,4823313.952540514
235,天坛街道_110101016000,116.398305,39.890103,12958947.978957226,4823445.2244324
236,天坛街道_110101016000,116.398305,39.890103,12958947.978957226,4823445.2244324
237,天坛街道_110101016000,116.399055,39.890673,12959031.551673025,4823527.062039834
238,天坛街道_110101016000,116.398593,39.890399,12958980.068130715,4823487.797960885
239,天坛街道_110101016000,116.398349,39.888683,12958952.987199718,4823240.0661945045
240,天坛街道_110101016000,116.398368,39.888232,12958955.14725283,4823174.87831368
241,天坛街道_110101016000,116.398952,39.88788,12959020.29953337,4823123.615633852
242,天坛街道_110101016000,116.398413,39.888055,12958960.184358895,4823149.257546564
243,天坛街道_110101016000,116.398661,39.874678,12958988.54697954,4821216.3492910275
244,天坛街道_110101016000,116.39852,39.87451,12958972.825330198,4821192.183261066
245,天坛街道_110101016000,116.398579,39.874062,12958979.403072286,4821127.440028504
246,天坛街道_110101016000,116.398561,39.871433,12958977.44004994,4820747.609677666
247,天坛街道_110101016000,116.398547,39.871884,12958975.859227825,4820812.7943016095
248,天坛街道_110101016000,116.398515,39.872333,12958972.281171443,4820877.676964912
249,天坛街道_110101016000,116.403666,39.871583,12959547.061141707,4820764.270413328
250,天坛街道_110101016000,116.403102,39.871472,12959484.092144316,4820748.960624104
251,天坛街道_110101016000,116.402518,39.871454,12959418.890957395,4820747.0781637
252,天坛街道_110101016000,116.401934,39.871438,12959353.73117723,4820745.427436785
253,天坛街道_110101016000,116.40135,39.871424,12959288.55240997,4820744.0084400745
254,天坛街道_110101016000,116.400766,39.871406,12959223.385184372,4820741.997257367
255,天坛街道_110101016000,116.400183,39.871388,12959158.350628527,4820739.8627023045
256,天坛街道_110101016000,116.399599,39.871373,12959093.176449496,4820738.194341698
257,天坛街道_110101016000,116.399015,39.871362,12959028.04434101,4820737.029431349
258,天坛街道_110101016000,116.398555,39.872739,12958976.778291516,4820936.319979884
259,天坛街道_110101016000,116.398457,39.889195,12958964.974470545,4823313.952540514
