﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,天宫院街道_110115010000,116.311733,39.686242,12949306.828455668,4793936.175964722
1,天宫院街道_110115010000,116.311815,39.686685,12949316.024905916,4793999.80407814
2,天宫院街道_110115010000,116.311917,39.684251,12949327.489316462,4793648.856107683
3,天宫院街道_110115010000,116.311776,39.684685,12949311.686398072,4793711.689593761
4,天宫院街道_110115010000,116.311768,39.685135,12949310.765476067,4793776.548725203
5,天宫院街道_110115010000,116.31176,39.685585,12949309.876072517,4793841.408139097
6,天宫院街道_110115010000,116.311766,39.686034,12949310.56709058,4793906.117179938
7,天宫院街道_110115010000,116.311801,39.682636,12949314.509135628,4793416.405175973
8,天宫院街道_110115010000,116.311897,39.683078,12949325.275748322,4793479.875071634
9,天宫院街道_110115010000,116.311801,39.682636,12949314.509135628,4793416.405175973
10,天宫院街道_110115010000,116.311819,39.682186,12949316.529640844,4793351.527644358
11,天宫院街道_110115010000,116.311833,39.681736,12949318.12606311,4793286.66019639
12,天宫院街道_110115010000,116.311846,39.681286,12949319.602106132,4793221.75720339
13,天宫院街道_110115010000,116.311855,39.680837,12949320.623621453,4793157.060318871
14,天宫院街道_110115010000,116.311912,39.68039,12949327.021563385,4793092.522302758
15,天宫院街道_110115010000,116.311918,39.676283,12949327.862673497,4792500.827677136
16,天宫院街道_110115010000,116.311968,39.67673,12949333.451633018,4792565.1000277605
17,天宫院街道_110115010000,116.312108,39.677167,12949349.124611052,4792627.789865184
18,天宫院街道_110115010000,116.311918,39.676283,12949327.862673497,4792500.827677136
19,天宫院街道_110115010000,116.311926,39.675833,12949328.804290783,4792435.986138922
20,天宫院街道_110115010000,116.311935,39.675383,12949329.837947937,4792371.104404321
21,天宫院街道_110115010000,116.311944,39.674933,12949330.872460876,4792306.301639577
22,天宫院街道_110115010000,116.311953,39.674483,12949331.907869283,4792241.460620219
23,天宫院街道_110115010000,116.311962,39.674033,12949332.944135461,4792176.620410236
24,天宫院街道_110115010000,116.311963,39.673583,12949333.070157511,4792111.800552825
25,天宫院街道_110115010000,116.311798,39.69031,12949314.198254269,4794522.254326145
26,天宫院街道_110115010000,116.312365,39.6904,12949377.79185522,4794534.027459009
27,天宫院街道_110115010000,116.312947,39.690396,12949443.080005255,4794532.219635496
28,天宫院街道_110115010000,116.31353,39.690393,12949508.48399017,4794530.58699939
29,天宫院街道_110115010000,116.314113,39.690389,12949573.88198475,4794528.859772701
30,天宫院街道_110115010000,116.314696,39.690386,12949639.273672562,4794527.234658234
31,天宫院街道_110115010000,116.315279,39.690382,12949704.658719275,4794525.556523112
32,天宫院街道_110115010000,116.315859,39.690344,12949769.672279662,4794518.986322397
33,天宫院街道_110115010000,116.311798,39.69031,12949314.198254269,4794522.254326145
34,天宫院街道_110115010000,116.311692,39.689872,12949302.289573805,4794459.38080844
35,天宫院街道_110115010000,116.311707,39.689422,12949303.957519906,4794394.495349775
36,天宫院街道_110115010000,116.311721,39.688972,12949305.535520338,4794329.612813005
37,天宫院街道_110115010000,116.311736,39.688522,12949307.205798747,4794264.729264494
38,天宫院街道_110115010000,116.311752,39.688073,12949308.968350613,4794200.001056089
39,天宫院街道_110115010000,116.311767,39.687623,12949310.64095822,4794135.119416793
40,天宫院街道_110115010000,116.311801,39.687174,12949314.471003864,4794070.348609166
41,天宫院街道_110115010000,116.311845,39.686746,12949319.425644254,4794008.564219141
42,天宫院街道_110115010000,116.312213,39.673038,12949361.174408954,4792032.747654056
43,天宫院街道_110115010000,116.312213,39.673038,12949361.174408954,4792032.747654056
44,天宫院街道_110115010000,116.312043,39.67261,12949342.137755012,4791971.4256623415
45,天宫院街道_110115010000,116.311995,39.672154,12949336.769976672,4791905.866571387
46,天宫院街道_110115010000,116.312002,39.671704,12949337.59778527,4791841.034967827
47,天宫院街道_110115010000,116.31201,39.671254,12949338.517459305,4791776.163095883
48,天宫院街道_110115010000,116.312018,39.670804,12949339.468191436,4791711.330385042
49,天宫院街道_110115010000,116.312026,39.670354,12949340.3892444,4791646.499059212
50,天宫院街道_110115010000,116.312034,39.669904,12949341.310940094,4791581.707523961
51,天宫院街道_110115010000,116.312042,39.669454,12949342.233330471,4791516.8385696085
52,天宫院街道_110115010000,116.312044,39.669312,12949342.48957249,4791496.362761147
53,天宫院街道_110115010000,116.312033,39.66899,12949341.274767792,4791450.018303674
54,天宫院街道_110115010000,116.312068,39.668921,12949345.1989086,4791440.011729058
55,天宫院街道_110115010000,116.312099,39.668473,12949348.703775369,4791375.401593943
56,天宫院街道_110115010000,116.312099,39.668023,12949348.74733408,4791310.592764226
57,天宫院街道_110115010000,116.312107,39.667573,12949349.702478513,4791245.804178015
58,天宫院街道_110115010000,116.312116,39.667123,12949350.749276971,4791180.975238469
59,天宫院街道_110115010000,116.312125,39.666673,12949351.796598935,4791116.107884751
60,天宫院街道_110115010000,116.311917,39.684251,12949327.489316462,4793648.856107683
61,天宫院街道_110115010000,116.311752,39.683823,12949309.005432568,4793587.54318373
