﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,安定镇_110115105000,116.41281,39.597107,12960562.827919004,4781164.143709755
1,安定镇_110115105000,116.413342,39.59729,12960622.31673683,4781189.240251927
2,安定镇_110115105000,116.413873,39.597474,12960681.750326311,4781214.5130931055
3,安定镇_110115105000,116.414404,39.597658,12960741.158609599,4781239.728295531
4,安定镇_110115105000,116.414936,39.597842,12960800.693187337,4781264.922687324
5,安定镇_110115105000,116.415467,39.598025,12960860.11080008,4781289.985146709
6,安定镇_110115105000,116.415998,39.598209,12960919.532822995,4781315.148425641
7,安定镇_110115105000,116.41653,39.598393,12960979.080394302,4781340.293705098
8,安定镇_110115105000,116.417061,39.598577,12961038.479937207,4781365.466972994
9,安定镇_110115105000,116.417592,39.598761,12961097.913351808,4781390.587179857
10,安定镇_110115105000,116.418124,39.598945,12961157.4715358,4781415.692323652
11,安定镇_110115105000,116.418655,39.599129,12961216.880856108,4781440.828606633
12,安定镇_110115105000,116.419186,39.599313,12961276.323207831,4781465.875833329
13,安定镇_110115105000,116.419718,39.599497,12961335.859170921,4781490.950786925
14,安定镇_110115105000,116.420249,39.599681,12961395.27580063,4781516.05939233
15,安定镇_110115105000,116.420781,39.599865,12961454.846164124,4781541.079252801
16,安定镇_110115105000,116.421312,39.600049,12961514.266242225,4781566.1356160585
17,安定镇_110115105000,116.421846,39.600226,12961574.0514734,4781590.163134692
18,安定镇_110115105000,116.414551,39.593764,12960757.10105461,4780678.690541207
19,安定镇_110115105000,116.415077,39.593955,12960815.96900314,4780704.9467163235
20,安定镇_110115105000,116.415604,39.594146,12960874.96286732,4780731.144542156
21,安定镇_110115105000,116.416132,39.594336,12960934.051991979,4780757.207430641
22,安定镇_110115105000,116.416659,39.594527,12960992.99333332,4780783.375879887
23,安定镇_110115105000,116.417186,39.594717,12961051.999019973,4780809.372939776
24,安定镇_110115105000,116.417713,39.594908,12961110.977877708,4780835.474922498
25,安定镇_110115105000,116.418277,39.595004,12961174.081031544,4780847.844213806
26,安定镇_110115105000,116.414534,39.601041,12960756.135651924,4781726.544202515
27,安定镇_110115105000,116.415057,39.601238,12960814.640224814,4781753.631659895
28,安定镇_110115105000,116.415579,39.601437,12960873.058273586,4781781.016913635
29,安定镇_110115105000,116.416081,39.601666,12960929.236242002,4781812.730875909
30,安定镇_110115105000,116.416598,39.601871,12960987.085635345,4781840.958203686
31,安定镇_110115105000,116.417121,39.602069,12961045.606017506,4781868.141944438
32,安定镇_110115105000,116.417644,39.602267,12961104.160127908,4781895.312171749
33,安定镇_110115105000,116.418167,39.602464,12961162.68684128,4781922.314995148
34,安定镇_110115105000,116.41869,39.602662,12961221.216506308,4781949.463140729
35,安定镇_110115105000,116.419213,39.602859,12961279.748597227,4781976.406125036
36,安定镇_110115105000,116.419735,39.603057,12961338.22237932,4782003.536862262
37,安定镇_110115105000,116.420258,39.603255,12961396.758963414,4782030.658308621
38,安定镇_110115105000,116.420781,39.603452,12961455.297176696,4782057.577595283
39,安定镇_110115105000,116.421304,39.60365,12961513.837040303,4782084.686260954
40,安定镇_110115105000,116.421865,39.603759,12961576.592103876,4782098.842978273
41,安定镇_110115105000,116.416588,39.5877,12960984.313947303,4779800.670706033
42,安定镇_110115105000,116.417064,39.587954,12961037.551187968,4779836.007073339
43,安定镇_110115105000,116.417555,39.588196,12961092.52173588,4779869.576503763
44,安定镇_110115105000,116.418045,39.588438,12961147.373757986,4779903.1381876245
45,安定镇_110115105000,116.418535,39.588681,12961202.198259808,4779936.847107576
46,安定镇_110115105000,116.419023,39.588927,12961256.843307441,4779970.980850282
47,安定镇_110115105000,116.418365,39.595006,12961183.92368145,4780847.934763209
48,安定镇_110115105000,116.418787,39.595313,12961231.195515223,4780890.990407035
49,安定镇_110115105000,116.4193,39.595525,12961288.60580222,4780920.180307242
50,安定镇_110115105000,116.419815,39.595735,12961346.26114201,4780949.0048318915
51,安定镇_110115105000,116.420329,39.595945,12961403.766629826,4780977.864447085
