﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,安定门街道_110101004000,116.38843,39.947366,12957847.070139417,4831722.838426384
1,安定门街道_110101004000,116.387981,39.947654,12957797.209184386,4831764.101780837
2,安定门街道_110101004000,116.387847,39.947319,12957782.258796986,4831715.52304364
3,安定门街道_110101004000,116.38791,39.945609,12957789.070043659,4831468.196498482
4,安定门街道_110101004000,116.387895,39.946059,12957787.481238926,4831533.256057552
5,安定门街道_110101004000,116.38793,39.946506,12957791.408640072,4831597.963437122
6,安定门街道_110101004000,116.387949,39.942513,12957793.134197954,4831020.285086345
7,安定门街道_110101004000,116.388533,39.942485,12957858.061855346,4831016.7220923705
8,安定门街道_110101004000,116.389088,39.942356,12957919.798093192,4830998.496783241
9,安定门街道_110101004000,116.389543,39.942076,12957970.376525152,4830958.27517356
10,安定门街道_110101004000,116.389944,39.941748,12958014.927275024,4830911.090986104
11,安定门街道_110101004000,116.388145,39.946908,12957815.347024612,4831656.335503735
12,安定门街道_110101004000,116.388524,39.947251,12957857.520336887,4831706.304297867
13,安定门街道_110101004000,116.38844,39.947362,12957848.215300819,4831722.2571943505
14,安定门街道_110101004000,116.388445,39.947812,12957848.799384391,4831787.374098516
15,安定门街道_110101004000,116.38844,39.947362,12957848.215300819,4831722.2571943505
16,安定门街道_110101004000,116.388551,39.947274,12957860.53707219,4831709.620498768
17,安定门街道_110101004000,116.388768,39.947258,12957884.653824225,4831707.456101274
18,安定门街道_110101004000,116.38892,39.947693,12957901.607644245,4831770.512927332
19,安定门街道_110101004000,116.388768,39.947258,12957884.653824225,4831707.456101274
20,安定门街道_110101004000,116.389326,39.947123,12957946.723508263,4831688.349263905
21,安定门街道_110101004000,116.389886,39.946992,12958008.985657193,4831669.750789459
22,安定门街道_110101004000,116.388873,39.944237,12957896.032165088,4831270.47519858
23,安定门街道_110101004000,116.389417,39.944401,12957956.531155057,4831294.562427985
24,安定门街道_110101004000,116.388898,39.944743,12957898.847046506,4831343.68459692
25,安定门街道_110101004000,116.389412,39.944529,12957955.998750849,4831313.083359324
26,安定门街道_110101004000,116.389865,39.941498,12958006.133490022,4830874.907014164
27,安定门街道_110101004000,116.389339,39.941302,12957947.6157952,4830846.156416433
28,安定门街道_110101004000,116.389985,39.941708,12958019.478711953,4830905.343691445
29,安定门街道_110101004000,116.389404,39.941762,12957954.85441438,4830912.7894762615
30,安定门街道_110101004000,116.389127,39.943893,12957924.256320858,4831220.878101472
31,安定门街道_110101004000,116.389467,39.944259,12957962.098450866,4831274.06684866
32,安定门街道_110101004000,116.389198,39.94595,12957932.356865425,4831518.563869687
33,安定门街道_110101004000,116.389757,39.946082,12957994.549277218,4831538.005512389
34,安定门街道_110101004000,116.390327,39.946184,12958057.95688587,4831553.092781037
35,安定门街道_110101004000,116.389971,39.945315,12958018.279284835,4831427.169541412
36,安定门街道_110101004000,116.389398,39.945406,12957954.533674713,4831439.957244812
37,安定门街道_110101004000,116.389632,39.94056,12957980.134984685,4830739.041684256
38,安定门街道_110101004000,116.389755,39.941,12957993.855350608,4830802.759913101
39,安定门街道_110101004000,116.389853,39.941444,12958004.802780356,4830867.091432311
40,安定门街道_110101004000,116.389652,39.93993,12957982.327017238,4830647.896713104
41,安定门街道_110101004000,116.389625,39.94038,12957979.339388657,4830712.981644163
42,安定门街道_110101004000,116.389619,39.94446,12957979.032343335,4831303.235616372
43,安定门街道_110101004000,116.38975,39.944508,12957993.602406716,4831310.29455412
44,安定门街道_110101004000,116.38975,39.944508,12957993.602406716,4831310.29455412
45,安定门街道_110101004000,116.38988,39.944947,12958008.114733128,4831373.864584724
46,安定门街道_110101004000,116.391749,39.943023,12958215.915177751,4831096.375410399
47,安定门街道_110101004000,116.391322,39.943331,12958168.411742985,4831140.8258389905
48,安定门街道_110101004000,116.390903,39.943646,12958121.790745892,4831186.196540621
49,安定门街道_110101004000,116.390479,39.943956,12958074.663315112,4831230.835064472
50,安定门街道_110101004000,116.390057,39.944268,12958027.754029004,4831275.7251200015
51,安定门街道_110101004000,116.389954,39.946975,12958016.55428413,4831667.35330373
52,安定门街道_110101004000,116.389843,39.947417,12958004.259114096,4831731.22979566
53,安定门街道_110101004000,116.389865,39.941498,12958006.133490022,4830874.907014164
54,安定门街道_110101004000,116.389985,39.941708,12958019.478711953,4830905.343691445
55,安定门街道_110101004000,116.390001,39.941697,12958021.25741623,4830903.743030642
56,安定门街道_110101004000,116.389996,39.941645,12958020.710927216,4830896.2452119235
57,安定门街道_110101004000,116.390437,39.941349,12958069.73536255,4830853.646714609
58,安定门街道_110101004000,116.390804,39.941,12958110.557737295,4830803.340292583
59,安定门街道_110101004000,116.390001,39.941697,12958021.25741623,4830903.743030642
60,安定门街道_110101004000,116.39045,39.941985,12958071.257591518,4830945.676172897
61,安定门街道_110101004000,116.390889,39.942283,12958120.149865195,4830989.030138694
62,安定门街道_110101004000,116.389954,39.946975,12958016.55428413,4831667.35330373
63,安定门街道_110101004000,116.390448,39.946734,12958071.48905527,4831632.742836015
64,安定门街道_110101004000,116.389971,39.945315,12958018.279284835,4831427.169541412
65,安定门街道_110101004000,116.390217,39.945724,12958045.670691682,4831486.477160405
66,安定门街道_110101004000,116.390463,39.946132,12958073.094971126,4831545.659549674
67,安定门街道_110101004000,116.390802,39.946514,12958110.837200707,4831601.104851485
68,安定门街道_110101004000,116.390802,39.946514,12958110.837200707,4831601.104851485
69,安定门街道_110101004000,116.391387,39.946529,12958175.978657054,4831603.51749501
70,安定门街道_110101004000,116.391749,39.943023,12958215.915177751,4831096.375410399
71,安定门街道_110101004000,116.391383,39.942672,12958175.151343865,4831045.522721351
72,安定门街道_110101004000,116.391542,39.941979,12958192.783813672,4830945.306815329
73,安定门街道_110101004000,116.39128,39.942382,12958163.633905627,4831003.497796434
74,安定门街道_110101004000,116.391611,39.94653,12958200.873465009,4831603.744122486
75,安定门街道_110101004000,116.392072,39.946807,12958252.232292894,4831643.97706186
76,安定门街道_110101004000,116.392576,39.947035,12958308.3640574,4831677.084110016
77,安定门街道_110101004000,116.393123,39.947193,12958369.26915317,4831700.073258897
78,安定门街道_110101004000,116.3937,39.947266,12958433.529374797,4831710.697374685
79,安定门街道_110101004000,116.394284,39.947277,12958498.581410166,4831712.286991138
80,安定门街道_110101004000,116.394866,39.947241,12958563.399982277,4831707.039738745
81,安定门街道_110101004000,116.395426,39.947111,12958625.775020216,4831688.131664083
82,安定门街道_110101004000,116.395949,39.94691,12958684.015099572,4831658.987290024
83,安定门街道_110101004000,116.39643,39.946654,12958737.60572961,4831621.775235999
84,安定门街道_110101004000,116.394964,39.944052,12958574.002779882,4831245.6405116515
85,安定门街道_110101004000,116.394548,39.944369,12958527.689589754,4831291.536779925
86,安定门街道_110101004000,116.394121,39.944676,12958480.14403808,4831335.9579720395
87,安定门街道_110101004000,116.393691,39.944982,12958432.303483829,4831380.236496363
88,安定门街道_110101004000,116.393255,39.945283,12958383.775174974,4831423.743676176
89,安定门街道_110101004000,116.392836,39.945597,12958337.157124482,4831469.07163636
90,安定门街道_110101004000,116.392416,39.945911,12958290.425157195,4831514.453965266
91,安定门街道_110101004000,116.391994,39.946223,12958243.48850705,4831559.458586766
92,安定门街道_110101004000,116.391749,39.943023,12958215.915177751,4831096.375410399
93,安定门街道_110101004000,116.392334,39.943021,12958281.045141116,4831096.278362006
94,安定门街道_110101004000,116.392492,39.941955,12958298.504483266,4830942.081373671
95,安定门街道_110101004000,116.392789,39.942343,12958331.616878863,4830998.3229578
96,安定门街道_110101004000,116.392607,39.942994,12958311.409258207,4831092.480824409
97,安定门街道_110101004000,116.393139,39.943182,12958370.654267617,4831119.741588069
98,安定门街道_110101004000,116.393675,39.943363,12958430.362211794,4831145.982230722
99,安定门街道_110101004000,116.39421,39.943545,12958489.960084613,4831172.340228859
100,安定门街道_110101004000,116.394715,39.943772,12958546.249275025,4831205.177369473
101,安定门街道_110101004000,116.392607,39.942994,12958311.409258207,4831092.480824409
102,安定门街道_110101004000,116.39276,39.942559,12958328.402489886,4831029.556670132
103,安定门街道_110101004000,116.392826,39.942391,12958335.725973632,4831005.273818734
104,安定门街道_110101004000,116.39306,39.941978,12958361.750057628,4830945.5329759875
105,安定门街道_110101004000,116.393178,39.941539,12958374.85269312,4830882.048951317
106,安定门街道_110101004000,116.39641,39.946324,12958735.339919169,4831574.018432535
107,安定门街道_110101004000,116.395835,39.94624,12958671.263621436,4831562.040244068
108,安定门街道_110101004000,116.39526,39.946157,12958607.169253869,4831550.173604647
109,安定门街道_110101004000,116.394964,39.944052,12958574.002779882,4831245.6405116515
110,安定门街道_110101004000,116.395274,39.944434,12958608.595128108,4831300.838974527
111,安定门街道_110101004000,116.395554,39.944829,12958639.808491498,4831357.955394904
112,安定门街道_110101004000,116.39579,39.945241,12958666.161599338,4831417.507322274
113,安定门街道_110101004000,116.396026,39.945653,12958692.487148052,4831477.052291437
114,安定门街道_110101004000,116.396262,39.946066,12958718.81542857,4831536.747226326
115,安定门街道_110101004000,116.394964,39.944052,12958574.002779882,4831245.6405116515
116,安定门街道_110101004000,116.397353,39.943093,12958840.149821833,4831106.1954387445
117,安定门街道_110101004000,116.396807,39.943254,12958779.307886878,4831129.717692546
118,安定门街道_110101004000,116.396259,39.943413,12958718.234876594,4831152.8860883415
119,安定门街道_110101004000,116.395714,39.943577,12958657.535892703,4831176.7973340675
120,安定门街道_110101004000,116.395201,39.943792,12958600.356358942,4831207.961047459
121,安定门街道_110101004000,116.3966,39.946547,12958756.547307378,4831606.207523307
122,安定门街道_110101004000,116.397943,39.946552,12958906.258858789,4831606.341114638
123,安定门街道_110101004000,116.39736,39.94658,12958841.2536158,4831610.696576477
124,安定门街道_110101004000,116.396775,39.946562,12958776.044902653,4831608.334481475
125,安定门街道_110101004000,116.396998,39.940885,12958800.39021808,4830786.927156431
126,安定门街道_110101004000,116.39698,39.941332,12958798.424957106,4830851.605570169
127,安定门街道_110101004000,116.397161,39.941759,12958818.618088897,4830913.290105178
128,安定门街道_110101004000,116.397478,39.942136,12958853.987001253,4830967.681635942
129,安定门街道_110101004000,116.396998,39.940885,12958800.39021808,4830786.927156431
130,安定门街道_110101004000,116.397196,39.940785,12958822.452087564,4830772.355757509
131,安定门街道_110101004000,116.397748,39.940635,12958883.96931923,4830750.372622278
132,安定门街道_110101004000,116.397773,39.943411,12958886.978302723,4831152.00855086
133,安定门街道_110101004000,116.397353,39.943093,12958840.149821833,4831106.1954387445
134,安定门街道_110101004000,116.397577,39.942677,12958865.062055651,4831045.881142806
135,安定门街道_110101004000,116.397738,39.942398,12958883.001938365,4831005.4523930745
136,安定门街道_110101004000,116.399385,39.945143,12959066.894373385,4831401.562004216
137,安定门街道_110101004000,116.398999,39.944805,12959023.819154972,4831352.948550796
138,安定门街道_110101004000,116.398646,39.944446,12958984.407597193,4831301.193345104
139,安定门街道_110101004000,116.398327,39.944068,12958948.810045527,4831246.731886755
140,安定门街道_110101004000,116.398012,39.943688,12958913.670103295,4831191.940957077
141,安定门街道_110101004000,116.397773,39.943411,12958886.978302723,4831152.00855086
142,安定门街道_110101004000,116.398351,39.943339,12958951.44470534,4831141.227159539
143,安定门街道_110101004000,116.397906,39.940598,12958901.565359429,4830744.947369556
144,安定门街道_110101004000,116.398347,39.940894,12958950.786361845,4830787.533797582
145,安定门街道_110101004000,116.397929,39.942317,12958904.283569422,4830993.650764057
146,安定门街道_110101004000,116.398496,39.942429,12958967.496582357,4831009.5110398
147,安定门街道_110101004000,116.399062,39.942542,12959030.660603153,4831025.4463492455
148,安定门街道_110101004000,116.399639,39.942613,12959095.012854232,4831035.32626056
149,安定门街道_110101004000,116.400186,39.942765,12959156.023777384,4831056.843994204
150,安定门街道_110101004000,116.400675,39.943011,12959210.605702622,4831091.994759229
151,安定门街道_110101004000,116.398594,39.941072,12958978.320255104,4830813.116578455
152,安定门街道_110101004000,116.398507,39.941516,12958968.67198704,4830877.412777094
153,安定门街道_110101004000,116.398279,39.94193,12958943.266196778,4830937.441992522
154,安定门街道_110101004000,116.397946,39.942299,12958906.187327862,4830991.050888528
155,安定门街道_110101004000,116.401203,39.947965,12959270.016785141,4831808.277831193
156,安定门街道_110101004000,116.400701,39.947736,12959214.000617325,4831775.6014049845
157,安定门街道_110101004000,116.40014,39.94761,12959151.375748582,4831757.89809384
158,安定门街道_110101004000,116.399574,39.947501,12959088.218748163,4831742.551670759
159,安定门街道_110101004000,116.399047,39.947306,12959029.421048252,4831714.73228885
160,安定门街道_110101004000,116.398579,39.947037,12958977.219939575,4831676.161667414
161,安定门街道_110101004000,116.39816,39.946723,12958930.466100046,4831630.938924717
162,安定门街道_110101004000,116.397943,39.946552,12958906.258858789,4831606.341114638
163,安定门街道_110101004000,116.398306,39.946198,12958946.689782973,4831554.944541447
164,安定门街道_110101004000,116.398668,39.945844,12958987.004816733,4831503.492190548
165,安定门街道_110101004000,116.39903,39.94549,12959027.35517771,4831452.0225777
166,安定门街道_110101004000,116.398594,39.941072,12958978.320255104,4830813.116578455
